Serial number,time,size,direction
1,0.0,95,1
2,0.016217,60,-1
3,0.016223,95,-1
4,0.069358,54,1
5,0.260738,289,1
6,0.279803,967,1
7,0.296075,60,-1
8,0.321359,1291,1
9,0.325421,491,1
10,0.326873,491,1
11,0.326888,491,1
12,0.335642,1291,1
13,0.341578,60,-1
14,0.343073,60,-1
15,0.355882,1514,1
16,0.357276,1105,1
17,0.368761,1514,1
18,0.369105,1514,1
19,0.37247,60,-1
20,0.373819,1514,1
21,0.374164,1514,1
22,0.385093,60,-1
23,0.386393,1088,1
24,0.390089,60,-1
25,0.396111,491,1
26,0.402564,60,-1
27,0.421098,214,-1
28,0.432009,54,1
29,0.466894,491,1
30,0.490309,491,1
31,0.50649,60,-1
32,0.560401,491,1
33,0.616586,60,-1
34,0.618376,491,1
35,0.634484,60,-1
36,0.669514,491,1
37,0.685616,60,-1
38,0.697647,491,1
39,0.713783,60,-1
40,0.767813,491,1
41,0.783939,60,-1
42,0.799306,491,1
43,0.815406,60,-1
44,0.815408,99,-1
45,0.821167,149,-1
46,0.841771,54,1
47,0.860131,491,1
48,0.894096,491,1
49,0.910365,60,-1
50,0.962258,491,1
51,1.005015,491,1
52,1.021247,60,-1
53,1.05127,491,1
54,1.103359,491,1
55,1.116618,60,-1
56,1.119517,60,-1
57,1.166109,491,1
58,1.182287,60,-1
59,1.198866,491,1
60,1.215049,60,-1
61,1.269357,491,1
62,1.285465,60,-1
63,1.289046,491,1
64,1.305192,60,-1
65,1.36245,491,1
66,1.378571,60,-1
67,1.400958,491,1
68,1.417091,60,-1
69,1.452487,491,1
70,1.468679,60,-1
71,1.500366,491,1
72,1.516634,60,-1
73,1.56735,491,1
74,1.583587,60,-1
75,1.595906,491,1
76,1.612142,60,-1
77,1.658986,491,1
78,1.675165,60,-1
79,1.694249,491,1
80,1.710601,60,-1
81,1.762116,491,1
82,1.778249,60,-1
83,1.806504,491,1
84,1.822621,60,-1
85,1.852417,491,1
86,1.86855,60,-1
87,1.897057,491,1
88,1.913218,60,-1
89,1.970126,491,1
90,1.986271,60,-1
91,1.996703,491,1
92,2.012874,60,-1
93,2.064431,491,1
94,2.080699,60,-1
95,2.093178,491,1
96,2.109408,60,-1
97,2.163645,491,1
98,2.179912,60,-1
99,2.205177,491,1
100,2.221374,60,-1
101,2.25737,491,1
102,2.273504,60,-1
103,2.303787,491,1
104,2.320081,60,-1
105,2.368945,491,1
106,2.385068,60,-1
107,2.39414,491,1
108,2.410251,60,-1
109,2.471775,491,1
110,2.487922,60,-1
111,2.49175,491,1
112,2.507982,60,-1
113,2.563014,491,1
114,2.579214,60,-1
115,2.602516,491,1
116,2.618705,60,-1
117,2.651091,491,1
118,2.667342,60,-1
119,2.699465,491,1
120,2.715703,60,-1
121,2.769078,491,1
122,2.785242,60,-1
123,2.796563,491,1
124,2.812672,60,-1
125,2.861932,491,1
126,2.878087,60,-1
127,2.878089,99,-1
128,2.89256,491,1
129,2.966625,60,-1
130,2.967236,491,1
131,2.983381,60,-1
132,3.006423,491,1
133,3.02257,60,-1
134,3.058109,491,1
135,3.074253,60,-1
136,3.082594,176,-1
137,3.098437,491,1
138,3.166726,60,-1
139,3.171813,491,1
140,3.188031,60,-1
141,3.199228,491,1
142,3.215437,60,-1
143,3.269227,491,1
144,3.285367,60,-1
145,3.310262,491,1
146,3.326353,60,-1
147,3.37394,491,1
148,3.390056,60,-1
149,3.419245,491,1
150,3.435376,60,-1
151,3.454443,491,1
152,3.470563,60,-1
153,3.50137,491,1
154,3.517509,60,-1
155,3.566505,491,1
156,3.582629,60,-1
157,3.598738,491,1
158,3.60338,225,-1
159,3.603839,1514,-1
160,3.60402,845,-1
161,3.607141,54,1
162,3.615537,1514,-1
163,3.615593,1514,-1
164,3.615922,1267,-1
165,3.615926,591,-1
166,3.646106,54,1
167,3.646644,1514,-1
168,3.64675,1514,-1
169,3.646862,1267,-1
170,3.646982,1514,-1
171,3.6472,1514,-1
172,3.647617,54,1
173,3.648768,54,1
174,3.649641,54,1
175,3.650518,54,1
176,3.662373,1514,-1
177,3.662495,1514,-1
178,3.66261,1514,-1
179,3.6628,1514,-1
180,3.663943,1514,-1
181,3.664036,1514,-1
182,3.664236,1172,-1
183,3.664713,54,1
184,3.666134,54,1
185,3.666352,54,1
186,3.676233,491,1
187,3.696046,491,1
188,3.712304,60,-1
189,3.764525,491,1
190,3.765241,91,1
191,3.765539,91,1
192,3.781363,60,-1
193,3.795748,301,1
194,3.811821,60,-1
195,4.118916,159,-1
196,4.132472,155,-1
197,4.134416,54,1
