Serial number,time,size,direction
1,0.0,1033,1
2,0.04378,267,1
3,0.058113,1514,1
4,0.060283,60,-1
5,0.060683,231,1
6,0.066378,891,1
7,0.077185,60,-1
8,0.078933,491,1
9,0.080247,491,1
10,0.080279,491,1
11,0.080343,1514,1
12,0.080378,631,1
13,0.095474,60,-1
14,0.096819,60,-1
15,0.097069,60,-1
16,0.106036,491,1
17,0.108285,1291,1
18,0.109623,491,1
19,0.113192,1514,1
20,0.114564,631,1
21,0.12129,491,1
22,0.122667,1291,1
23,0.124949,60,-1
24,0.129859,60,-1
25,0.137819,60,-1
26,0.158851,491,1
27,0.160743,1514,1
28,0.160776,1514,1
29,0.160799,1514,1
30,0.160851,1514,1
31,0.160893,288,1
32,0.175373,60,-1
33,0.1759,211,-1
34,0.177231,54,1
35,0.177529,60,-1
36,0.177815,60,-1
37,0.182155,491,1
38,0.214683,491,1
39,0.231279,60,-1
40,0.285488,491,1
41,0.302189,99,-1
42,0.334239,491,1
43,0.380022,491,1
44,0.396594,60,-1
45,0.447971,491,1
46,0.487696,491,1
47,0.504198,60,-1
48,0.51996,491,1
49,0.585341,491,1
50,0.587448,60,-1
51,0.602005,60,-1
52,0.616032,491,1
53,0.63266,60,-1
54,0.680528,491,1
55,0.697229,60,-1
56,0.723634,491,1
57,0.740209,60,-1
58,0.780065,491,1
59,0.796609,60,-1
60,0.82041,491,1
61,0.836918,60,-1
62,0.892669,491,1
63,0.909244,60,-1
64,0.917919,491,1
65,0.934437,60,-1
66,0.983964,491,1
67,1.000495,60,-1
68,1.0156,491,1
69,1.032218,60,-1
70,1.156662,491,1
71,1.157223,491,1
72,1.173216,60,-1
73,1.173727,60,-1
74,1.177486,491,1
75,1.194044,60,-1
76,1.255722,491,1
77,1.272246,60,-1
78,1.291045,491,1
79,1.307591,60,-1
80,1.316159,491,1
81,1.332687,60,-1
82,1.395006,491,1
83,1.411577,60,-1
84,1.437827,491,1
85,1.454352,60,-1
86,1.478423,491,1
87,1.494979,60,-1
88,1.538451,491,1
89,1.55503,60,-1
90,1.578274,491,1
91,1.59495,60,-1
92,1.620174,491,1
93,1.636822,60,-1
94,1.75789,491,1
95,1.760788,491,1
96,1.774509,60,-1
97,1.777344,60,-1
98,1.784372,491,1
99,1.800964,60,-1
100,1.812172,491,1
101,1.828672,60,-1
102,1.887543,491,1
103,1.904045,60,-1
104,1.926641,491,1
105,1.936701,152,-1
106,1.977626,491,1
107,1.994238,60,-1
108,2.022671,491,1
109,2.09174,491,1
110,2.097416,60,-1
111,2.116846,491,1
112,2.157406,60,-1
113,2.188645,491,1
114,2.201152,99,-1
115,2.211084,176,-1
116,2.212986,54,1
117,2.234159,491,1
118,2.293778,491,1
119,2.310295,60,-1
120,2.327788,491,1
121,2.384454,491,1
122,2.400967,60,-1
123,2.428601,491,1
124,2.474157,242,-1
125,2.474671,1514,-1
126,2.474811,1514,-1
127,2.474814,68,-1
128,2.480377,54,1
129,2.481151,54,1
130,2.494185,491,1
131,2.506979,1514,-1
132,2.507096,1514,-1
133,2.507201,1267,-1
134,2.50738,1219,-1
135,2.51189,54,1
136,2.512953,54,1
137,2.544786,491,1
138,2.557433,60,-1
139,2.568958,60,-1
140,2.583222,491,1
141,2.595727,1514,-1
142,2.595734,1514,-1
143,2.596129,1267,-1
144,2.596133,1514,-1
145,2.596135,1514,-1
146,2.596285,328,-1
147,2.596287,1030,-1
148,2.601033,54,1
149,2.609477,54,1
150,2.61024,54,1
151,2.617468,491,1
152,2.617744,1514,-1
153,2.617972,1514,-1
154,2.626222,1514,-1
155,2.626437,1514,-1
156,2.626934,1514,-1
157,2.627156,1514,-1
158,2.634321,1514,-1
159,2.651317,54,1
160,2.652986,54,1
161,2.653161,54,1
162,2.66812,1514,-1
163,2.668325,1514,-1
164,2.66974,1514,-1
165,2.669858,1514,-1
166,2.669967,1514,-1
167,2.670161,1514,-1
168,2.67062,54,1
169,2.67199,54,1
170,2.673651,54,1
171,2.674169,99,1
172,2.682989,491,1
173,2.68729,1514,-1
174,2.687483,1514,-1
175,2.688634,1514,-1
176,2.688825,1514,-1
177,2.690385,1514,-1
178,2.690591,1514,-1
179,2.690825,1514,-1
180,2.691038,1514,-1
181,2.692181,54,1
182,2.693512,99,1
183,2.708853,1514,-1
184,2.709037,1514,-1
185,2.721002,54,1
186,2.721147,54,1
187,2.721225,91,1
188,2.721303,91,1
189,2.722573,54,1
190,2.737636,1514,-1
191,2.737762,1514,-1
192,2.737881,1514,-1
193,2.738006,1514,-1
194,2.738128,1514,-1
195,2.738321,1514,-1
196,2.739188,1343,-1
197,2.739719,54,1
198,2.742858,54,1
199,2.742936,54,1
200,2.775725,54,1
201,2.794213,468,1
202,2.857437,60,-1
203,2.886981,161,-1
204,2.888274,54,1
205,2.909712,153,-1
206,2.912484,54,1
