Serial number,time,size,direction
1,0.0,288,1
2,0.006971,1251,1
3,0.013008,1291,1
4,0.013866,491,1
5,0.015549,491,1
6,0.01558,491,1
7,0.016495,60,-1
8,0.023593,60,-1
9,0.029659,60,-1
10,0.030396,60,-1
11,0.032119,60,-1
12,0.03212,60,-1
13,0.059579,1514,1
14,0.060526,631,1
15,0.06056,1514,1
16,0.060586,1514,1
17,0.060971,771,1
18,0.061,491,1
19,0.062329,491,1
20,0.063225,491,1
21,0.076221,60,-1
22,0.077062,60,-1
23,0.077266,60,-1
24,0.077268,60,-1
25,0.077528,60,-1
26,0.07753,60,-1
27,0.077749,1514,1
28,0.078599,1216,1
29,0.078866,60,-1
30,0.079763,60,-1
31,0.090254,1514,1
32,0.091769,631,1
33,0.094448,60,-1
34,0.095245,60,-1
35,0.105863,491,1
36,0.108291,60,-1
37,0.113158,491,1
38,0.114542,491,1
39,0.122419,60,-1
40,0.129696,60,-1
41,0.129972,214,-1
42,0.131705,54,1
43,0.161508,491,1
44,0.178034,60,-1
45,0.196197,491,1
46,0.253974,60,-1
47,0.258409,491,1
48,0.274991,60,-1
49,0.29381,491,1
50,0.310445,60,-1
51,0.360736,491,1
52,0.377378,60,-1
53,0.406808,491,1
54,0.423493,60,-1
55,0.45724,491,1
56,0.473775,60,-1
57,0.503171,491,1
58,0.51985,60,-1
59,0.570533,491,1
60,0.58706,60,-1
61,0.593737,491,1
62,0.610266,60,-1
63,0.661414,491,1
64,0.677957,60,-1
65,0.69491,491,1
66,0.71144,60,-1
67,0.773373,491,1
68,0.789922,60,-1
69,0.80223,491,1
70,0.818815,60,-1
71,0.85124,491,1
72,0.867803,60,-1
73,0.900304,491,1
74,0.916892,60,-1
75,0.967147,491,1
76,0.983781,60,-1
77,0.998357,491,1
78,1.014921,60,-1
79,1.06424,491,1
80,1.080725,60,-1
81,1.089126,491,1
82,1.106012,60,-1
83,1.155265,491,1
84,1.171822,60,-1
85,1.201422,491,1
86,1.217992,60,-1
87,1.268525,491,1
88,1.28507,60,-1
89,1.300622,491,1
90,1.317147,60,-1
91,1.370237,491,1
92,1.387048,60,-1
93,1.397287,491,1
94,1.41392,60,-1
95,1.463242,491,1
96,1.479806,60,-1
97,1.489484,491,1
98,1.506001,60,-1
99,1.56724,491,1
100,1.583746,60,-1
101,1.603695,491,1
102,1.620294,60,-1
103,1.649453,491,1
104,1.666001,60,-1
105,1.701032,491,1
106,1.717565,60,-1
107,1.761287,491,1
108,1.777855,60,-1
109,1.796135,491,1
110,1.812643,60,-1
111,1.860845,491,1
112,1.877432,60,-1
113,1.972763,491,1
114,1.973061,491,1
115,1.973086,491,1
116,1.989416,60,-1
117,1.989418,99,-1
118,1.989556,66,-1
