Serial number,time,size,direction
1,0.0,284,1
2,0.016804,60,-1
3,0.082222,1514,1
4,0.082507,413,1
5,0.082536,1514,1
6,0.082574,231,1
7,0.099212,60,-1
8,0.099214,60,-1
9,0.099515,60,-1
10,0.111179,491,1
11,0.111603,1514,1
12,0.113434,1514,1
13,0.113465,1514,1
14,0.113487,1514,1
15,0.127988,60,-1
16,0.128599,60,-1
17,0.129483,1514,1
18,0.130372,1514,1
19,0.130476,60,-1
20,0.130478,60,-1
21,0.13066,60,-1
22,0.132313,1514,1
23,0.132772,1514,1
24,0.134148,1514,1
25,0.146447,60,-1
26,0.147327,60,-1
27,0.149298,60,-1
28,0.149766,60,-1
29,0.151124,60,-1
30,0.161678,1514,1
31,0.163894,1172,1
32,0.163924,491,1
33,0.178653,60,-1
34,0.180852,60,-1
35,0.180854,60,-1
36,0.21819,218,-1
37,0.222687,491,1
38,0.222974,54,1
39,0.23952,60,-1
40,0.257396,491,1
41,0.274246,60,-1
42,0.330215,491,1
43,0.34708,60,-1
44,0.364619,491,1
45,0.381476,60,-1
46,0.41231,491,1
47,0.429158,60,-1
48,0.42916,99,-1
49,0.459846,491,1
50,0.516852,60,-1
51,0.527604,491,1
52,0.544624,60,-1
53,0.560868,491,1
54,0.577873,60,-1
55,0.624419,491,1
56,0.64129,60,-1
57,0.655493,491,1
58,0.676412,60,-1
59,0.719271,491,1
60,0.736355,60,-1
61,0.764677,491,1
62,0.781523,60,-1
63,0.814064,491,1
64,0.830924,60,-1
65,0.862483,491,1
66,0.879341,60,-1
67,0.928579,491,1
68,0.945434,60,-1
69,0.96101,491,1
70,0.977944,60,-1
71,1.029524,491,1
72,1.046448,60,-1
73,1.063175,491,1
74,1.08005,60,-1
75,1.122542,491,1
76,1.139573,60,-1
77,1.16728,491,1
78,1.184238,60,-1
79,1.21328,491,1
80,1.230129,60,-1
81,1.261494,491,1
82,1.278331,60,-1
83,1.330675,491,1
84,1.347563,60,-1
85,1.39515,491,1
86,1.412013,60,-1
87,1.42417,491,1
88,1.441005,60,-1
89,1.480415,491,1
90,1.497369,60,-1
91,1.535027,491,1
92,1.552032,60,-1
93,1.568539,491,1
94,1.585553,60,-1
95,1.637213,491,1
96,1.654194,60,-1
97,1.663823,491,1
98,1.680704,60,-1
99,1.728446,491,1
100,1.745291,60,-1
101,1.770221,491,1
102,1.787034,60,-1
103,1.843316,491,1
104,1.855542,491,1
105,1.860161,60,-1
106,1.872382,60,-1
107,1.982123,491,1
108,1.982491,491,1
109,1.999024,60,-1
110,1.999357,60,-1
111,2.012063,491,1
112,2.028985,60,-1
113,2.079391,491,1
114,2.096252,60,-1
115,2.096253,99,-1
116,2.127766,491,1
117,2.166262,491,1
118,2.183145,60,-1
119,2.208975,149,-1
120,2.236257,491,1
121,2.25885,491,1
122,2.265582,171,-1
123,2.302471,54,1
124,2.325787,491,1
125,2.326813,60,-1
126,2.342693,60,-1
127,2.374805,491,1
128,2.391663,60,-1
129,2.426785,491,1
130,2.443687,60,-1
131,2.477712,491,1
132,2.500452,60,-1
133,2.501143,409,-1
134,2.501855,1514,-1
135,2.502078,848,-1
136,2.502591,54,1
137,2.503613,54,1
138,2.504388,54,1
139,2.527334,491,1
140,2.532982,1514,-1
141,2.533222,1514,-1
142,2.533225,1267,-1
143,2.533323,985,-1
144,2.53844,54,1
145,2.541672,54,1
146,2.566501,491,1
147,2.583536,60,-1
148,2.595903,1514,-1
149,2.595909,1514,-1
150,2.596276,1267,-1
151,2.596343,1514,-1
152,2.596345,1514,-1
153,2.596492,328,-1
154,2.596493,1030,-1
155,2.596495,1514,-1
156,2.59661,1514,-1
157,2.596786,1267,-1
158,2.600213,54,1
159,2.600908,54,1
160,2.601206,54,1
161,2.602727,54,1
162,2.611084,54,1
163,2.61123,99,1
164,2.617214,1514,-1
165,2.617418,1514,-1
166,2.617419,1514,-1
167,2.617421,391,-1
168,2.622215,54,1
169,2.622339,54,1
170,2.638888,491,1
171,2.639129,91,1
172,2.642954,1514,-1
173,2.643029,1514,-1
174,2.643085,1267,-1
175,2.643116,91,1
176,2.643217,1514,-1
177,2.643268,1514,-1
178,2.643395,334,-1
179,2.643397,514,-1
180,2.643517,1514,-1
181,2.643623,1514,-1
182,2.643741,1267,-1
183,2.643856,1514,-1
184,2.643984,1363,-1
185,2.644074,1420,-1
186,2.644075,126,-1
187,2.655964,60,-1
188,2.656964,54,1
189,2.657172,54,1
190,2.657254,54,1
191,2.657325,54,1
192,2.657397,54,1
193,2.657467,54,1
194,2.658027,99,1
195,2.674002,1117,-1
196,2.675961,54,1
197,2.690421,466,1
198,2.707285,60,-1
199,2.724275,1514,-1
200,2.724374,1514,-1
201,2.724501,1267,-1
202,2.724627,1514,-1
203,2.724679,1514,-1
204,2.724715,241,-1
205,2.724716,176,-1
206,2.724907,1514,-1
207,2.725012,1514,-1
208,2.725127,1267,-1
209,2.725264,1514,-1
210,2.725337,1514,-1
211,2.725338,334,-1
212,2.725405,939,-1
213,2.725568,564,-1
214,2.726727,54,1
215,2.727685,54,1
216,2.728411,54,1
217,2.729454,54,1
218,2.730353,54,1
219,2.731286,54,1
220,2.732178,54,1
221,2.737721,99,1
222,2.743628,1160,-1
223,2.766477,1514,-1
224,2.766582,1514,-1
225,2.766699,1267,-1
226,2.766808,1514,-1
227,2.766862,1185,-1
228,2.766967,692,-1
229,2.767106,1514,-1
230,2.76721,1514,-1
231,2.767328,1267,-1
232,2.767458,1514,-1
233,2.767506,1514,-1
234,2.767595,334,-1
235,2.767596,423,-1
236,2.767689,1080,-1
237,2.767874,1160,-1
238,2.768634,54,1
239,2.769891,54,1
240,2.770972,54,1
241,2.775177,54,1
242,2.775422,54,1
243,2.775562,54,1
244,2.775632,54,1
245,2.775702,99,1
246,2.82611,1514,-1
247,2.826205,1514,-1
248,2.826313,1267,-1
249,2.826373,1514,-1
250,2.826462,669,-1
251,2.826593,1208,-1
252,2.826727,1514,-1
253,2.826819,1514,-1
254,2.826938,1267,-1
255,2.82707,1514,-1
256,2.827137,1514,-1
257,2.827156,150,-1
258,2.827157,267,-1
259,2.827315,1420,-1
260,2.827499,1160,-1
261,2.831458,54,1
262,2.832346,54,1
263,2.833307,54,1
264,2.836123,54,1
265,2.836278,54,1
266,2.836371,99,1
267,2.837507,54,1
268,2.837583,54,1
269,2.837978,1514,-1
270,2.848375,1514,-1
271,2.84857,1514,-1
272,2.849256,1514,-1
273,2.849446,1514,-1
274,2.85023,1514,-1
275,2.850415,1514,-1
276,2.850429,54,1
277,2.853015,1514,-1
278,2.853191,537,-1
279,2.853502,54,1
280,2.853642,54,1
281,2.854799,54,1
282,2.892317,54,1
283,2.906778,60,-1
284,2.917831,160,-1
285,2.919047,54,1
286,2.939198,155,-1
287,2.957572,54,1
288,3.184587,77,-1
289,3.202377,66,1
