Serial number,time,size,direction
1,0.0,77,1
2,0.01764,77,-1
3,0.01899,66,1
4,0.422234,285,1
5,0.435319,940,1
6,0.438901,60,-1
7,0.440469,1291,1
8,0.440824,891,1
9,0.443974,491,1
10,0.44591,491,1
11,0.448344,491,1
12,0.452367,60,-1
13,0.457512,60,-1
14,0.457778,60,-1
15,0.460835,60,-1
16,0.461077,491,1
17,0.462584,60,-1
18,0.464968,60,-1
19,0.477609,60,-1
20,0.514169,491,1
21,0.515743,491,1
22,0.516749,491,1
23,0.519051,491,1
24,0.520015,491,1
25,0.521715,491,1
26,0.523554,491,1
27,0.524922,491,1
28,0.530796,60,-1
29,0.532273,60,-1
30,0.5333,60,-1
31,0.53565,60,-1
32,0.536562,60,-1
33,0.538306,60,-1
34,0.540124,60,-1
35,0.541513,60,-1
36,0.551873,217,-1
37,0.563647,1514,1
38,0.565508,1514,1
39,0.565538,1514,1
40,0.565561,1514,1
41,0.565619,1488,1
42,0.572081,491,1
43,0.572212,54,1
44,0.579996,491,1
45,0.582195,60,-1
46,0.582457,60,-1
47,0.588623,60,-1
48,0.588625,99,-1
49,0.634528,54,1
50,0.643599,491,1
51,0.645547,60,-1
52,0.661422,60,-1
53,0.687541,491,1
54,0.704154,60,-1
55,0.753582,491,1
56,0.770273,60,-1
57,0.825088,491,1
58,0.836121,491,1
59,0.842079,60,-1
60,0.853036,60,-1
61,0.886657,491,1
62,0.903802,60,-1
63,0.950301,491,1
64,0.966961,60,-1
65,1.078433,491,1
66,1.079938,491,1
67,1.079953,491,1
68,1.095595,60,-1
69,1.096787,60,-1
70,1.096788,60,-1
71,1.170326,491,1
72,1.187161,60,-1
73,1.21112,491,1
74,1.227755,60,-1
75,1.239853,491,1
76,1.256529,60,-1
77,1.290906,491,1
78,1.30761,60,-1
79,1.34928,491,1
80,1.366282,60,-1
81,1.384086,491,1
82,1.402143,60,-1
83,1.464489,491,1
84,1.481183,60,-1
85,1.482959,491,1
86,1.499949,60,-1
87,1.538412,491,1
88,1.555275,60,-1
89,1.659285,491,1
90,1.661879,491,1
91,1.675957,60,-1
92,1.67934,60,-1
93,1.681616,491,1
94,1.698336,60,-1
95,1.760245,491,1
96,1.777141,60,-1
97,1.780568,491,1
98,1.79722,60,-1
99,1.850314,491,1
100,1.866976,60,-1
101,1.878784,491,1
102,1.895396,60,-1
103,1.942863,491,1
104,1.959555,60,-1
105,2.002213,491,1
106,2.018832,60,-1
107,2.033839,491,1
108,2.050389,60,-1
109,2.091153,491,1
110,2.107994,60,-1
111,2.160916,491,1
112,2.177542,60,-1
113,2.177763,491,1
114,2.194417,60,-1
115,2.249977,491,1
116,2.266758,60,-1
117,2.275138,491,1
118,2.291764,60,-1
119,2.341344,491,1
120,2.358298,60,-1
121,2.400389,491,1
122,2.417329,60,-1
123,2.43579,491,1
124,2.452862,60,-1
125,2.484947,491,1
126,2.50157,60,-1
127,2.560113,491,1
128,2.576681,60,-1
129,2.582701,491,1
130,2.599451,60,-1
131,2.654149,491,1
132,2.671334,60,-1
133,2.682891,491,1
134,2.699549,60,-1
135,2.7248,151,-1
136,2.728028,54,1
137,2.741218,491,1
138,2.799731,491,1
139,2.815093,60,-1
140,2.81642,60,-1
141,2.826128,175,-1
142,2.839649,491,1
143,2.856522,99,-1
144,2.884861,491,1
145,2.945069,60,-1
146,2.963542,491,1
147,2.980188,491,1
148,2.980628,60,-1
149,2.997235,60,-1
150,3.0513,491,1
151,3.067871,60,-1
152,3.069639,215,-1
153,3.070128,1514,-1
154,3.070313,804,-1
155,3.07589,54,1
156,3.077802,1514,-1
157,3.077897,1514,-1
158,3.077976,1267,-1
159,3.078166,987,-1
160,3.080639,54,1
161,3.080716,54,1
162,3.113927,1514,-1
163,3.114033,1514,-1
164,3.114148,1267,-1
165,3.114298,1514,-1
166,3.114365,1514,-1
167,3.114367,328,-1
168,3.114538,1030,-1
169,3.115476,1514,-1
170,3.125903,54,1
171,3.127235,54,1
172,3.127392,54,1
173,3.127468,54,1
174,3.12853,54,1
175,3.129148,54,1
176,3.129916,54,1
177,3.142571,1514,-1
178,3.144059,1514,-1
179,3.144249,1514,-1
180,3.145209,1514,-1
181,3.145402,1514,-1
182,3.145873,1514,-1
183,3.146076,1514,-1
184,3.146554,1514,-1
185,3.146683,1514,-1
186,3.146874,1514,-1
187,3.148248,54,1
188,3.148335,54,1
189,3.155345,54,1
190,3.15543,54,1
191,3.155595,54,1
192,3.158749,491,1
193,3.158983,536,1
194,3.164904,1514,-1
195,3.165084,967,-1
196,3.175659,60,-1
197,3.17615,54,1
198,3.216856,491,1
199,3.280522,491,1
200,3.280606,91,1
201,3.280679,91,1
202,3.285568,60,-1
203,3.293166,303,1
204,3.297218,60,-1
205,3.297219,60,-1
206,3.310387,60,-1
207,3.494913,162,-1
208,3.515558,154,-1
209,3.527107,54,1
