Serial number,time,size,direction
1,0.0,284,1
2,0.016812,60,-1
3,0.033839,1514,1
4,0.035468,377,1
5,0.035496,1291,1
6,0.035532,891,1
7,0.035554,891,1
8,0.044657,891,1
9,0.050803,60,-1
10,0.052263,60,-1
11,0.052421,60,-1
12,0.052424,60,-1
13,0.052426,60,-1
14,0.056007,491,1
15,0.058201,891,1
16,0.061553,60,-1
17,0.072847,60,-1
18,0.07285,99,-1
19,0.076087,1291,1
20,0.076797,54,1
21,0.079159,891,1
22,0.088607,491,1
23,0.093059,60,-1
24,0.09578,491,1
25,0.105395,60,-1
26,0.117062,1291,1
27,0.117644,1291,1
28,0.117675,1514,1
29,0.117697,231,1
30,0.117732,1291,1
31,0.123595,491,1
32,0.133989,60,-1
33,0.134733,60,-1
34,0.138686,491,1
35,0.140426,60,-1
36,0.154204,219,-1
37,0.189062,491,1
38,0.196422,60,-1
39,0.205917,60,-1
40,0.255148,491,1
41,0.272054,60,-1
42,0.28089,491,1
43,0.297835,60,-1
44,0.349711,491,1
45,0.366639,60,-1
46,0.37733,491,1
47,0.394224,60,-1
48,0.443154,491,1
49,0.460015,60,-1
50,0.488461,491,1
51,0.505267,60,-1
52,0.537675,491,1
53,0.554569,60,-1
54,0.595037,491,1
55,0.611843,60,-1
56,0.652682,491,1
57,0.66951,60,-1
58,0.677346,491,1
59,0.694184,60,-1
60,0.752478,491,1
61,0.769268,60,-1
62,0.775343,491,1
63,0.792185,60,-1
64,0.840858,491,1
65,0.857788,60,-1
66,0.886539,491,1
67,0.90337,60,-1
68,0.935187,491,1
69,0.951995,60,-1
70,0.988882,491,1
71,1.005739,60,-1
72,1.049361,491,1
73,1.066223,60,-1
74,1.081519,491,1
75,1.098391,60,-1
76,1.151583,491,1
77,1.168484,60,-1
78,1.177543,491,1
79,1.194403,60,-1
80,1.246394,491,1
81,1.263294,60,-1
82,1.285232,491,1
83,1.302072,60,-1
84,1.338516,491,1
85,1.355578,60,-1
86,1.388651,491,1
87,1.405677,60,-1
88,1.448258,491,1
89,1.465121,60,-1
90,1.480032,491,1
91,1.496995,60,-1
92,1.551357,491,1
93,1.570385,60,-1
94,1.578151,491,1
95,1.594947,60,-1
96,1.64444,491,1
97,1.661254,60,-1
98,1.690679,491,1
99,1.707547,60,-1
100,1.739111,491,1
101,1.755917,60,-1
102,1.788244,491,1
103,1.805093,60,-1
104,1.854663,491,1
105,1.871632,60,-1
106,1.878984,491,1
107,1.895939,60,-1
108,1.952128,491,1
109,1.969142,60,-1
110,1.977062,491,1
111,1.993947,60,-1
112,2.043892,491,1
113,2.060739,60,-1
114,2.089581,491,1
115,2.106474,60,-1
116,2.138074,491,1
117,2.154982,60,-1
118,2.188857,491,1
119,2.205732,60,-1
120,2.251161,491,1
121,2.268013,60,-1
122,2.281269,491,1
123,2.298106,60,-1
124,2.352332,491,1
125,2.369375,60,-1
126,2.379789,491,1
127,2.396766,60,-1
128,2.445961,491,1
129,2.462929,60,-1
130,2.490541,491,1
131,2.507429,60,-1
132,2.537845,491,1
133,2.554654,60,-1
134,2.554655,99,-1
135,2.588266,491,1
136,2.650524,491,1
137,2.656409,60,-1
138,2.667336,60,-1
139,2.682309,491,1
140,2.69913,60,-1
141,2.74595,491,1
142,2.762809,60,-1
143,2.776832,491,1
144,2.79365,60,-1
145,2.841005,491,1
146,2.857804,60,-1
147,2.89519,491,1
148,2.912203,60,-1
149,2.939357,148,-1
150,2.940724,491,1
151,2.991403,54,1
152,2.991624,491,1
153,3.008453,60,-1
154,3.018991,172,-1
155,3.020135,54,1
156,3.072031,491,1
157,3.087674,491,1
158,3.088957,99,-1
159,3.090382,54,1
160,3.146398,60,-1
161,3.14969,491,1
162,3.166525,60,-1
163,3.179221,491,1
164,3.196059,60,-1
165,3.242392,491,1
166,3.259357,60,-1
167,3.286846,491,1
168,3.303755,60,-1
169,3.323618,213,-1
170,3.324052,1514,-1
171,3.324151,1514,-1
172,3.324347,1156,-1
173,3.324927,54,1
174,3.326272,54,1
175,3.326615,54,1
176,3.326873,54,1
177,3.358697,491,1
178,3.364411,1514,-1
179,3.364517,1514,-1
180,3.36463,1267,-1
181,3.364751,1514,-1
182,3.364837,1514,-1
183,3.364985,328,-1
184,3.364987,1030,-1
185,3.365194,1514,-1
186,3.368706,54,1
187,3.368989,54,1
188,3.369114,54,1
189,3.372047,54,1
190,3.385698,1514,-1
191,3.385845,1514,-1
192,3.385967,1514,-1
193,3.386094,1514,-1
194,3.386209,1514,-1
195,3.386419,1514,-1
196,3.388452,491,1
197,3.388971,1514,-1
198,3.389207,1514,-1
199,3.39144,54,1
200,3.392961,54,1
201,3.393544,54,1
202,3.393815,54,1
203,3.394214,99,1
204,3.408529,1514,-1
205,3.408697,1395,-1
206,3.411079,54,1
207,3.45652,60,-1
208,3.458561,491,1
209,3.475527,60,-1
210,3.481126,91,1
211,3.481356,91,1
212,3.497926,60,-1
213,3.498172,60,-1
214,3.500961,432,1
215,3.517891,60,-1
216,3.726446,158,-1
217,3.751366,154,-1
218,3.762241,54,1
