Serial number,time,size,direction
1,0.0,285,1
2,0.017624,60,-1
3,0.066825,1078,1
4,0.067161,780,1
5,0.067441,1078,1
6,0.06747,667,1
7,0.073076,491,1
8,0.076613,491,1
9,0.085117,60,-1
10,0.085642,60,-1
11,0.086205,60,-1
12,0.086208,60,-1
13,0.092008,60,-1
14,0.095073,60,-1
15,0.140579,491,1
16,0.141094,491,1
17,0.141124,491,1
18,0.141206,491,1
19,0.141271,491,1
20,0.141311,491,1
21,0.141391,491,1
22,0.141416,491,1
23,0.141597,491,1
24,0.142832,491,1
25,0.158632,60,-1
26,0.159266,60,-1
27,0.159268,60,-1
28,0.159436,60,-1
29,0.159439,60,-1
30,0.159441,60,-1
31,0.159443,60,-1
32,0.159444,60,-1
33,0.159643,60,-1
34,0.16072,60,-1
35,0.182213,491,1
36,0.182608,491,1
37,0.183485,491,1
38,0.183972,491,1
39,0.185002,491,1
40,0.1859,491,1
41,0.186664,491,1
42,0.187221,491,1
43,0.188036,491,1
44,0.188617,215,-1
45,0.188679,491,1
46,0.200089,60,-1
47,0.201883,60,-1
48,0.201945,1078,1
49,0.202296,1078,1
50,0.203414,60,-1
51,0.204846,60,-1
52,0.206153,60,-1
53,0.219912,60,-1
54,0.220918,1078,1
55,0.221273,1078,1
56,0.221997,1078,1
57,0.223825,1078,1
58,0.223854,1078,1
59,0.223896,1041,1
60,0.235571,491,1
61,0.239157,60,-1
62,0.241723,60,-1
63,0.242151,60,-1
64,0.253306,99,-1
65,0.308104,54,1
66,0.308405,491,1
67,0.348202,491,1
68,0.365682,60,-1
69,0.393181,491,1
70,0.428276,491,1
71,0.445972,60,-1
72,0.495957,491,1
73,0.543332,491,1
74,0.558589,60,-1
75,0.561058,60,-1
76,0.589713,491,1
77,0.60763,60,-1
78,0.651884,491,1
79,0.669524,60,-1
80,0.700578,491,1
81,0.718196,60,-1
82,0.728654,491,1
83,0.746289,60,-1
84,0.801676,491,1
85,0.819237,60,-1
86,0.826747,491,1
87,0.844223,60,-1
88,0.89284,491,1
89,0.910504,60,-1
90,0.93888,491,1
91,0.956429,60,-1
92,1.009055,491,1
93,1.026961,60,-1
94,1.036298,491,1
95,1.054227,60,-1
96,1.102446,491,1
97,1.120102,60,-1
98,1.133783,491,1
99,1.151573,60,-1
100,1.199178,491,1
101,1.216848,60,-1
102,1.224461,491,1
103,1.24317,60,-1
104,1.298457,491,1
105,1.316074,60,-1
106,1.343815,491,1
107,1.361465,60,-1
108,1.476229,491,1
109,1.476543,491,1
110,1.494043,60,-1
111,1.494265,60,-1
112,1.506033,491,1
113,1.506294,491,1
114,1.522563,60,-1
115,1.523988,60,-1
116,1.589658,491,1
117,1.607307,60,-1
118,1.61232,491,1
119,1.629941,60,-1
120,1.631303,491,1
121,1.64966,60,-1
122,1.714546,491,1
123,1.732223,60,-1
124,1.766165,491,1
125,1.78393,60,-1
126,1.789414,491,1
127,1.808446,60,-1
128,1.838278,491,1
129,1.856196,60,-1
130,1.907597,491,1
131,1.925132,60,-1
132,1.938727,491,1
133,1.956532,60,-1
134,2.006192,491,1
135,2.023869,60,-1
136,2.083141,491,1
137,2.093322,491,1
