Serial number,time,size,direction
1,0.0,285,1
2,0.01654,60,-1
3,0.03387,936,1
4,0.050538,60,-1
5,0.053852,1291,1
6,0.054235,1514,1
7,0.054266,231,1
8,0.06827,1514,1
9,0.069586,231,1
10,0.070485,60,-1
11,0.070925,60,-1
12,0.085007,60,-1
13,0.086051,60,-1
14,0.086199,99,-1
15,0.099828,1291,1
16,0.101322,491,1
17,0.102554,491,1
18,0.1032,491,1
19,0.11099,1514,1
20,0.11241,1031,1
21,0.116045,491,1
22,0.117963,60,-1
23,0.119727,60,-1
24,0.12973,60,-1
25,0.137914,1291,1
26,0.154545,60,-1
27,0.155123,216,-1
28,0.15705,1291,1
29,0.161269,491,1
30,0.16543,491,1
31,0.166093,491,1
32,0.172447,491,1
33,0.173094,491,1
34,0.177906,60,-1
35,0.182653,60,-1
36,0.18971,60,-1
37,0.205488,891,1
38,0.206992,491,1
39,0.223533,60,-1
40,0.236384,491,1
41,0.298163,60,-1
42,0.30522,491,1
43,0.32184,60,-1
44,0.333228,491,1
45,0.349911,60,-1
46,0.398999,491,1
47,0.416233,60,-1
48,0.435336,491,1
49,0.451959,60,-1
50,0.496861,491,1
51,0.514361,60,-1
52,0.541077,491,1
53,0.558495,60,-1
54,0.589322,491,1
55,0.607234,60,-1
56,0.636625,491,1
57,0.654488,60,-1
58,0.702408,491,1
59,0.719186,60,-1
60,0.733848,491,1
61,0.751557,60,-1
62,0.799927,491,1
63,0.816944,60,-1
64,0.830647,491,1
65,0.847945,60,-1
66,0.903643,491,1
67,0.923378,60,-1
68,0.941851,491,1
69,0.960044,60,-1
70,0.990282,491,1
71,1.008907,60,-1
72,1.045593,491,1
73,1.063312,60,-1
74,1.104069,491,1
75,1.122862,60,-1
76,1.135973,491,1
77,1.154645,60,-1
78,1.201905,491,1
79,1.222452,60,-1
80,1.233575,491,1
81,1.253641,60,-1
82,1.298969,491,1
83,1.317505,60,-1
84,1.361833,491,1
85,1.381105,60,-1
86,1.397416,491,1
87,1.416952,60,-1
88,1.436102,491,1
89,1.456386,60,-1
90,1.501473,491,1
91,1.519583,60,-1
92,1.532531,491,1
93,1.550882,60,-1
94,1.60705,491,1
95,1.626808,60,-1
96,1.628924,491,1
97,1.647805,60,-1
98,1.698993,491,1
99,1.718095,60,-1
100,1.739409,491,1
101,1.757,60,-1
102,1.788545,491,1
103,1.807256,60,-1
104,1.838475,491,1
105,1.859595,60,-1
106,1.902191,491,1
107,1.923174,60,-1
108,1.934192,491,1
109,1.955341,60,-1
110,2.003673,491,1
111,2.024763,60,-1
112,2.031709,491,1
113,2.052565,60,-1
114,2.097709,491,1
115,2.119539,60,-1
116,2.143828,491,1
117,2.166629,60,-1
118,2.192111,491,1
119,2.214887,60,-1
120,2.244607,491,1
121,2.266949,60,-1
122,2.303024,491,1
123,2.325043,60,-1
124,2.336631,491,1
125,2.359326,60,-1
126,2.401882,491,1
127,2.424995,60,-1
128,2.424999,99,-1
129,2.433746,491,1
130,2.496397,491,1
131,2.504197,60,-1
132,2.51844,60,-1
133,2.544096,491,1
134,2.566685,60,-1
135,2.593296,491,1
136,2.615732,60,-1
137,2.634522,491,1
138,2.655583,60,-1
139,2.689311,152,-1
140,2.705051,491,1
141,2.733354,491,1
142,2.753433,60,-1
143,2.795194,491,1
144,2.817661,172,-1
145,2.853607,491,1
146,2.922558,60,-1
147,2.973464,491,1
148,2.973628,491,1
149,2.993983,60,-1
150,2.993986,60,-1
151,2.993988,99,-1
152,3.006253,491,1
153,3.063159,491,1
154,3.070528,60,-1
155,3.082014,60,-1
156,3.10293,491,1
157,3.121902,60,-1
158,3.127224,209,-1
159,3.127666,1514,-1
160,3.127742,1514,-1
161,3.127743,229,-1
162,3.13447,54,1
163,3.134641,54,1
164,3.161365,1514,-1
165,3.161471,1514,-1
166,3.161592,1267,-1
167,3.161714,1514,-1
168,3.1618,1514,-1
169,3.161801,328,-1
170,3.161939,1030,-1
171,3.162131,1514,-1
172,3.162212,1514,-1
173,3.162401,1267,-1
174,3.182197,491,1
175,3.260589,60,-1
176,3.261036,491,1
177,3.261259,491,1
178,3.261289,54,1
179,3.261426,54,1
180,3.261553,54,1
181,3.263828,54,1
182,3.264233,54,1
183,3.279997,60,-1
184,3.280364,1514,-1
185,3.280486,1514,-1
186,3.28062,1514,-1
187,3.28073,1514,-1
188,3.280864,1514,-1
189,3.280946,1514,-1
190,3.281111,816,-1
191,3.283097,54,1
192,3.284006,99,1
193,3.285306,54,1
194,3.285576,54,1
195,3.299536,491,1
196,3.318281,60,-1
197,3.340168,91,1
198,3.342465,91,1
199,3.360626,60,-1
200,3.401241,304,1
201,3.45974,60,-1
202,3.500531,162,-1
203,3.541924,153,-1
204,3.559134,54,1
