Serial number,time,size,direction
1,0.0,77,1
2,0.017669,77,-1
3,0.019032,66,1
4,0.260941,289,1
5,0.309858,989,1
6,0.326069,60,-1
7,0.341644,1514,1
8,0.34294,231,1
9,0.352924,1291,1
10,0.355381,491,1
11,0.359178,60,-1
12,0.364229,491,1
13,0.365202,1514,1
14,0.371541,60,-1
15,0.373133,1514,1
16,0.373469,1514,1
17,0.381511,60,-1
18,0.38289,1514,1
19,0.383159,947,1
20,0.38976,60,-1
21,0.394644,1514,1
22,0.394981,1514,1
23,0.399354,60,-1
24,0.408865,1208,1
25,0.419728,60,-1
26,0.44666,491,1
27,0.462791,60,-1
28,0.482102,491,1
29,0.492747,217,-1
30,0.493942,54,1
31,0.543621,60,-1
32,0.546631,491,1
33,0.562793,60,-1
34,0.590517,491,1
35,0.606652,60,-1
36,0.655653,491,1
37,0.671873,60,-1
38,0.686775,491,1
39,0.703114,60,-1
40,0.758559,491,1
41,0.774735,60,-1
42,0.783223,491,1
43,0.799358,60,-1
44,0.848356,491,1
45,0.864565,60,-1
46,0.878084,491,1
47,0.894258,60,-1
48,0.942669,491,1
49,0.945838,153,-1
50,0.947138,54,1
51,0.958912,60,-1
52,1.001164,491,1
53,1.017364,60,-1
54,1.040609,491,1
55,1.056855,60,-1
56,1.094801,491,1
57,1.111059,60,-1
58,1.15826,491,1
59,1.174534,60,-1
60,1.184777,491,1
61,1.20108,60,-1
62,1.247788,491,1
63,1.263993,60,-1
64,1.279675,491,1
65,1.295869,60,-1
66,1.349058,491,1
67,1.365281,60,-1
68,1.391434,491,1
69,1.407586,60,-1
70,1.443587,491,1
71,1.459732,60,-1
72,1.488428,491,1
73,1.504602,60,-1
74,1.554648,491,1
75,1.570762,60,-1
76,1.579894,491,1
77,1.596066,60,-1
78,1.65162,491,1
79,1.667805,60,-1
80,1.6788,491,1
81,1.695077,60,-1
82,1.743601,491,1
83,1.759848,60,-1
84,1.789779,491,1
85,1.805965,60,-1
86,1.843688,491,1
87,1.859862,60,-1
88,1.859863,99,-1
89,1.861339,54,1
90,1.886616,491,1
91,1.943631,60,-1
92,1.954725,491,1
93,1.97097,60,-1
94,1.982635,491,1
95,2.006642,60,-1
96,2.047386,491,1
97,2.063559,60,-1
98,2.08142,491,1
99,2.097583,60,-1
100,2.180637,491,1
101,2.188156,491,1
102,2.196959,60,-1
103,2.204635,60,-1
104,2.270119,491,1
105,2.286298,60,-1
106,2.313113,491,1
107,2.329355,60,-1
108,2.359774,491,1
109,2.376084,60,-1
110,2.407228,491,1
111,2.423433,60,-1
112,2.449845,491,1
113,2.465993,60,-1
114,2.47776,491,1
115,2.493918,60,-1
116,2.55301,491,1
117,2.569138,60,-1
118,2.593183,491,1
119,2.609652,60,-1
120,2.642536,491,1
121,2.658705,60,-1
122,2.704334,491,1
123,2.720688,60,-1
124,2.768288,491,1
125,2.782069,491,1
126,2.7845,60,-1
127,2.784502,99,-1
128,2.81908,54,1
129,2.853669,60,-1
130,2.854001,491,1
131,2.870229,60,-1
132,2.881598,491,1
133,2.896478,174,-1
134,2.898122,54,1
135,2.943593,60,-1
136,2.946955,491,1
137,2.963149,60,-1
138,2.994,491,1
139,3.01023,60,-1
140,3.040941,174,-1
141,3.045592,491,1
142,3.045882,54,1
143,3.073324,91,1
144,3.073698,91,1
145,3.089417,60,-1
146,3.133604,60,-1
147,3.273365,215,-1
148,3.273745,1514,-1
149,3.273922,889,-1
150,3.279463,1514,-1
151,3.279467,1514,-1
152,3.279687,1267,-1
153,3.279795,507,-1
154,3.280097,54,1
155,3.281878,54,1
156,3.282723,54,1
157,3.295682,1514,-1
158,3.295686,1514,-1
159,3.295933,1267,-1
160,3.296457,1514,-1
161,3.296568,1514,-1
162,3.296693,1514,-1
163,3.296911,1514,-1
164,3.29814,1514,-1
165,3.298358,1312,-1
166,3.299266,54,1
167,3.299447,54,1
168,3.300069,54,1
169,3.300335,54,1
170,3.302168,54,1
171,3.337407,99,1
172,3.353637,60,-1
173,3.459788,158,-1
174,3.477426,152,-1
175,3.481039,54,1
176,3.561366,324,1
177,3.57745,60,-1
