Serial number,time,size,direction
1,0.0,284,1
2,0.016799,60,-1
3,0.034518,937,1
4,0.036685,1291,1
5,0.039385,1514,1
6,0.040772,631,1
7,0.051374,60,-1
8,0.05356,60,-1
9,0.056282,60,-1
10,0.057556,60,-1
11,0.057558,99,-1
12,0.062704,54,1
13,0.085776,1514,1
14,0.087326,1431,1
15,0.104322,60,-1
16,0.127672,491,1
17,0.129821,491,1
18,0.131623,491,1
19,0.131651,491,1
20,0.131718,491,1
21,0.1463,1514,1
22,0.146615,60,-1
23,0.14812,1514,1
24,0.148481,60,-1
25,0.148995,1245,1
26,0.149974,491,1
27,0.150525,491,1
28,0.16326,60,-1
29,0.164441,216,-1
30,0.165108,1514,1
31,0.165967,60,-1
32,0.166354,342,1
33,0.1673,60,-1
34,0.183122,60,-1
35,0.194708,54,1
36,0.196124,491,1
37,0.24486,491,1
38,0.256886,60,-1
39,0.261638,60,-1
40,0.277316,491,1
41,0.294132,60,-1
42,0.352708,491,1
43,0.369497,60,-1
44,0.37115,491,1
45,0.387933,60,-1
46,0.437803,491,1
47,0.454599,60,-1
48,0.485486,491,1
49,0.502333,60,-1
50,0.533052,491,1
51,0.550008,60,-1
52,0.592987,491,1
53,0.609848,60,-1
54,0.643522,491,1
55,0.66046,60,-1
56,0.677339,491,1
57,0.694355,60,-1
58,0.751703,491,1
59,0.768538,60,-1
60,0.785364,491,1
61,0.802145,60,-1
62,0.834377,491,1
63,0.851231,60,-1
64,0.882377,491,1
65,0.89922,60,-1
66,0.930052,491,1
67,0.946812,60,-1
68,0.992013,491,1
69,1.008831,60,-1
70,1.041095,491,1
71,1.057945,60,-1
72,1.074704,491,1
73,1.0916,60,-1
74,1.152151,491,1
75,1.169021,60,-1
76,1.170673,491,1
77,1.187516,60,-1
78,1.263508,491,1
79,1.280034,491,1
80,1.280352,60,-1
81,1.296825,60,-1
82,1.337206,491,1
83,1.354031,60,-1
84,1.392017,491,1
85,1.408833,60,-1
86,1.442672,491,1
87,1.459641,60,-1
88,1.475696,491,1
89,1.492481,60,-1
90,1.539375,491,1
91,1.556293,60,-1
92,1.569863,491,1
93,1.58676,60,-1
94,1.640323,491,1
95,1.657194,60,-1
96,1.688531,491,1
97,1.705455,60,-1
98,1.740689,491,1
99,1.757558,60,-1
100,1.788603,491,1
101,1.805389,60,-1
102,1.85002,491,1
103,1.866814,60,-1
104,1.878278,491,1
105,1.89507,60,-1
106,1.963271,491,1
107,1.97495,491,1
108,1.980072,60,-1
109,1.991736,60,-1
110,2.038719,491,1
111,2.055566,60,-1
112,2.089161,491,1
113,2.106042,60,-1
114,2.133541,491,1
115,2.150418,60,-1
116,2.192225,491,1
117,2.209087,60,-1
118,2.244618,491,1
119,2.26145,60,-1
120,2.275353,491,1
121,2.292465,60,-1
122,2.352182,491,1
123,2.369055,60,-1
124,2.370048,491,1
125,2.38691,60,-1
126,2.43439,491,1
127,2.451206,60,-1
128,2.451208,99,-1
129,2.482517,491,1
130,2.534735,491,1
131,2.546908,60,-1
132,2.551534,60,-1
133,2.593139,491,1
134,2.610089,60,-1
135,2.661179,491,1
136,2.677148,491,1
