Serial number,time,size,direction
1,0.0,832,1
2,0.016659,60,-1
3,0.044358,1514,1
4,0.045601,1514,1
5,0.045636,771,1
6,0.045659,891,1
7,0.047335,266,1
8,0.061043,60,-1
9,0.06235,60,-1
10,0.062353,60,-1
11,0.062355,60,-1
12,0.063908,60,-1
13,0.072778,1514,1
14,0.073362,631,1
15,0.073392,1514,1
16,0.074278,1514,1
17,0.075656,408,1
18,0.089504,60,-1
19,0.090022,60,-1
20,0.090254,60,-1
21,0.09099,60,-1
22,0.092203,60,-1
23,0.098779,1514,1
24,0.115506,60,-1
25,0.120362,215,-1
26,0.186082,1514,1
27,0.187329,1514,1
28,0.187855,1514,1
29,0.18789,362,1
30,0.187913,54,1
31,0.204148,60,-1
32,0.204652,60,-1
33,0.204659,491,1
34,0.204654,99,-1
35,0.238459,54,1
36,0.239166,491,1
37,0.255745,60,-1
38,0.3088,491,1
39,0.352166,491,1
40,0.368778,60,-1
41,0.396639,491,1
42,0.446909,491,1
43,0.463503,60,-1
44,0.514588,491,1
45,0.543031,491,1
46,0.559633,60,-1
47,0.605327,491,1
48,0.635196,491,1
49,0.651813,60,-1
50,0.704487,491,1
51,0.748432,491,1
52,0.765123,60,-1
53,0.794586,491,1
54,0.848853,491,1
55,0.865449,60,-1
56,0.920799,491,1
57,0.942976,491,1
58,0.959749,60,-1
59,1.0094,491,1
60,1.033286,491,1
61,1.049863,60,-1
62,1.106515,491,1
63,1.151796,491,1
64,1.168441,60,-1
65,1.198022,491,1
66,1.20524,149,-1
67,1.206436,54,1
68,1.248628,491,1
69,1.260851,173,-1
70,1.262393,54,1
71,1.309807,491,1
72,1.326497,60,-1
73,1.342896,491,1
74,1.377718,217,-1
75,1.378216,1514,-1
76,1.378302,1514,-1
77,1.378491,1077,-1
78,1.38199,54,1
79,1.38304,1514,-1
80,1.383148,1514,-1
81,1.383354,1267,-1
82,1.383355,116,-1
83,1.386455,1514,-1
84,1.391436,54,1
85,1.391517,54,1
86,1.391778,54,1
87,1.391938,54,1
88,1.392096,54,1
89,1.392171,54,1
90,1.392247,54,1
91,1.392323,54,1
92,1.398598,540,-1
93,1.401272,54,1
94,1.403773,491,1
95,1.445854,491,1
96,1.44952,91,1
97,1.449605,91,1
98,1.462421,60,-1
99,1.466111,60,-1
100,1.47122,361,1
101,1.53019,60,-1
102,1.736898,161,-1
103,1.761102,151,-1
104,1.765391,54,1
