Serial number,time,size,direction
1,0.0,1514,1
2,0.016097,60,-1
3,0.056072,1514,1
4,0.056605,1514,1
5,0.056637,1514,1
6,0.05666,1514,1
7,0.056684,1514,1
8,0.056707,1514,1
9,0.072848,60,-1
10,0.073294,60,-1
11,0.073481,60,-1
12,0.073483,60,-1
13,0.073703,60,-1
14,0.073705,99,-1
15,0.12232,60,-1
16,0.331326,99,-1
17,0.535084,1514,1
18,0.53529,1514,1
19,0.535617,1514,1
20,0.535635,1514,1
21,0.53602,1514,1
22,0.536037,1514,1
23,0.536048,1514,1
24,0.536061,54,1
25,0.551894,60,-1
26,0.551897,60,-1
27,0.552328,60,-1
28,0.552329,60,-1
29,0.55275,60,-1
30,0.552751,60,-1
31,0.552752,99,-1
32,0.556568,1514,1
33,0.557623,1514,1
34,0.558378,709,1
35,0.573403,60,-1
36,0.574966,60,-1
37,0.586841,491,1
38,0.653272,491,1
39,0.661237,60,-1
40,0.669824,60,-1
41,0.688232,491,1
42,0.704835,60,-1
43,0.750807,491,1
44,0.767388,60,-1
45,0.774253,491,1
46,0.791083,60,-1
47,0.862658,491,1
48,0.879341,60,-1
49,0.889219,491,1
50,0.898837,152,-1
51,0.938939,491,1
52,0.955563,60,-1
53,1.06491,491,1
54,1.065248,491,1
55,1.081941,60,-1
56,1.093952,491,1
57,1.118495,171,-1
58,1.175739,491,1
59,1.200143,491,1
60,1.217475,60,-1
61,1.226907,54,1
62,1.25608,491,1
63,1.32566,60,-1
64,1.333214,491,1
65,1.339389,491,1
66,1.355325,60,-1
67,1.361431,60,-1
68,1.38795,491,1
69,1.409096,60,-1
70,1.46563,491,1
71,1.513862,491,1
72,1.538211,60,-1
73,1.574909,491,1
74,1.644688,60,-1
75,1.654663,491,1
76,1.65602,491,1
77,1.680484,60,-1
78,1.686954,60,-1
79,1.688062,491,1
80,1.713642,60,-1
81,1.726976,210,-1
82,1.727304,1514,-1
83,1.727398,1514,-1
84,1.7274,340,-1
85,1.738536,491,1
86,1.738616,54,1
87,1.740391,54,1
88,1.740461,54,1
89,1.740687,54,1
90,1.790408,491,1
91,1.809319,1514,-1
92,1.809424,1514,-1
93,1.809538,1267,-1
94,1.809671,1514,-1
95,1.809873,1514,-1
96,1.810847,54,1
97,1.812788,54,1
98,1.812887,54,1
99,1.819343,54,1
100,1.819537,54,1
101,1.838259,1514,-1
102,1.840345,1514,-1
103,1.84048,1514,-1
104,1.845502,54,1
105,1.845721,54,1
106,1.845799,54,1
107,1.846242,1514,-1
108,1.846441,1514,-1
109,1.847971,491,1
110,1.856687,54,1
111,1.856834,91,1
112,1.85691,91,1
113,1.872924,1514,-1
114,1.873064,1514,-1
115,1.873262,1514,-1
116,1.876941,54,1
117,1.884246,1514,-1
118,1.884357,1514,-1
119,1.884359,60,-1
120,1.88898,303,1
121,1.893889,54,1
122,1.905491,1514,-1
123,1.905679,1514,-1
124,1.910197,54,1
125,1.917915,1514,-1
126,1.922658,1514,-1
127,1.922841,1514,-1
128,1.924707,54,1
129,1.93986,1514,-1
130,1.94006,1514,-1
131,1.942303,54,1
132,1.942445,99,1
133,1.944637,99,1
134,1.954025,1514,-1
135,1.954208,1514,-1
136,1.972096,1514,-1
137,1.972239,502,-1
138,1.974328,60,-1
139,1.97684,54,1
140,1.977283,54,1
141,2.186654,162,-1
142,2.206529,153,-1
143,2.21821,54,1
