Serial number,time,size,direction
1,0.0,283,1
2,0.005115,1514,1
3,0.006466,349,1
4,0.016825,60,-1
5,0.022076,60,-1
6,0.023262,60,-1
7,0.029673,1514,1
8,0.030188,631,1
9,0.030216,1514,1
10,0.030241,231,1
11,0.035107,491,1
12,0.036704,1291,1
13,0.042189,491,1
14,0.043576,491,1
15,0.046645,60,-1
16,0.04704,60,-1
17,0.047217,60,-1
18,0.051965,60,-1
19,0.053636,60,-1
20,0.056415,491,1
21,0.059014,60,-1
22,0.060397,60,-1
23,0.06593,1514,1
24,0.067307,631,1
25,0.073203,1291,1
26,0.073281,60,-1
27,0.074539,1291,1
28,0.08292,60,-1
29,0.084225,60,-1
30,0.089336,491,1
31,0.090119,60,-1
32,0.091495,60,-1
33,0.10619,60,-1
34,0.122458,1291,1
35,0.12381,491,1
36,0.127282,491,1
37,0.136542,216,-1
38,0.138152,54,1
39,0.140694,60,-1
40,0.193915,60,-1
41,0.19738,491,1
42,0.214242,60,-1
43,0.221982,491,1
44,0.23882,60,-1
45,0.293083,491,1
46,0.309989,60,-1
47,0.337255,491,1
48,0.354295,60,-1
49,0.39223,491,1
50,0.409169,60,-1
51,0.431197,491,1
52,0.448092,60,-1
53,0.512571,491,1
54,0.529446,60,-1
55,0.530284,491,1
56,0.547096,60,-1
57,0.59467,491,1
58,0.611574,60,-1
59,0.625597,491,1
60,0.642446,60,-1
61,0.700084,491,1
62,0.718166,60,-1
63,0.750035,491,1
64,0.766916,60,-1
65,0.785054,491,1
66,0.801902,60,-1
67,0.832702,491,1
68,0.849567,60,-1
69,0.898424,491,1
70,0.915349,60,-1
71,0.930872,491,1
72,0.947796,60,-1
73,1.000702,491,1
74,1.017571,60,-1
75,1.023056,491,1
76,1.051966,60,-1
77,1.095881,491,1
78,1.112709,60,-1
79,1.132773,491,1
80,1.14962,60,-1
81,1.182161,491,1
82,1.199014,60,-1
83,1.231325,491,1
84,1.248189,60,-1
85,1.31526,491,1
86,1.329431,491,1
87,1.332162,60,-1
88,1.346285,60,-1
89,1.401246,491,1
90,1.418206,60,-1
91,1.427192,491,1
92,1.444136,60,-1
93,1.492314,491,1
94,1.509377,60,-1
95,1.553198,491,1
96,1.5701,60,-1
97,1.588042,491,1
98,1.604959,60,-1
99,1.630302,491,1
100,1.647136,60,-1
101,1.697158,491,1
102,1.713991,60,-1
103,1.733849,491,1
104,1.750837,60,-1
105,1.795913,491,1
106,1.812767,60,-1
107,1.825853,491,1
108,1.853868,60,-1
109,1.893689,491,1
110,1.91063,60,-1
111,1.952691,491,1
112,1.990056,491,1
113,2.00696,60,-1
114,2.029912,491,1
115,2.101043,60,-1
116,2.103034,491,1
117,2.119943,60,-1
118,2.146764,491,1
119,2.163622,60,-1
120,2.163623,99,-1
121,2.165173,54,1
122,2.190633,491,1
123,2.222888,491,1
124,2.239726,60,-1
125,2.293769,491,1
126,2.353605,491,1
127,2.363893,60,-1
128,2.370476,60,-1
129,2.384654,491,1
130,2.40153,60,-1
131,2.453562,491,1
132,2.470536,60,-1
133,2.496052,491,1
134,2.512961,60,-1
135,2.536031,491,1
136,2.553022,60,-1
137,2.59335,491,1
138,2.610303,60,-1
139,2.610424,99,-1
140,2.627133,491,1
141,2.690728,491,1
142,2.693977,60,-1
143,2.707585,60,-1
144,2.735127,491,1
145,2.752015,60,-1
146,2.853749,491,1
147,2.853873,491,1
148,2.87058,60,-1
149,2.870583,60,-1
150,2.941952,491,1
151,2.958854,60,-1
152,2.995866,491,1
153,2.997138,491,1
154,3.012778,60,-1
155,3.013997,60,-1
156,3.034255,491,1
157,3.051183,60,-1
158,3.120784,491,1
159,3.136403,491,1
160,3.137734,60,-1
161,3.15325,60,-1
162,3.182933,491,1
163,3.199793,60,-1
164,3.247276,491,1
165,3.264146,60,-1
166,3.312662,491,1
167,3.329512,60,-1
168,3.354504,491,1
169,3.371396,60,-1
170,3.434037,491,1
171,3.435348,491,1
172,3.450999,60,-1
173,3.452305,60,-1
174,3.497373,491,1
175,3.514519,60,-1
176,3.552858,491,1
177,3.569864,60,-1
178,3.587331,491,1
179,3.604365,60,-1
180,3.636148,491,1
181,3.653127,60,-1
182,3.712598,491,1
183,3.725742,491,1
184,3.729461,60,-1
185,3.74256,60,-1
186,3.796602,491,1
187,3.813434,60,-1
188,3.826385,491,1
189,3.843265,60,-1
190,3.890816,491,1
191,3.907669,60,-1
192,3.95252,491,1
193,3.969387,60,-1
194,4.002193,491,1
195,4.008998,150,-1
196,4.030645,491,1
197,4.047692,60,-1
198,4.112842,491,1
199,4.132012,491,1
200,4.14889,60,-1
201,4.200053,491,1
202,4.226362,491,1
203,4.237375,173,-1
204,4.279762,54,1
205,4.283938,60,-1
206,4.29248,491,1
207,4.309335,60,-1
208,4.335505,491,1
209,4.352407,60,-1
210,4.384455,491,1
211,4.40135,60,-1
212,4.43326,491,1
213,4.450144,60,-1
214,4.485016,215,-1
215,4.485462,1514,-1
216,4.485579,1514,-1
217,4.485582,136,-1
218,4.486682,54,1
219,4.487341,54,1
220,4.488447,54,1
221,4.488591,54,1
222,4.510343,491,1
223,4.536142,60,-1
224,4.538249,491,1
225,4.547214,1514,-1
226,4.547218,1514,-1
227,4.547412,1267,-1
228,4.547521,1514,-1
229,4.547614,1514,-1
230,4.547749,328,-1
231,4.547751,1030,-1
232,4.547869,1514,-1
233,4.547992,1514,-1
234,4.548188,1267,-1
235,4.550883,54,1
236,4.551073,54,1
237,4.551636,54,1
238,4.552606,99,1
239,4.554149,54,1
240,4.568007,1514,-1
241,4.568176,1514,-1
242,4.568178,1514,-1
243,4.56842,1514,-1
244,4.568422,1514,-1
245,4.568553,1514,-1
246,4.568676,1514,-1
247,4.568848,1514,-1
248,4.569622,1514,-1
249,4.569836,1514,-1
250,4.5708,54,1
251,4.571136,1514,-1
252,4.57137,1514,-1
253,4.57195,54,1
254,4.572495,54,1
255,4.572798,54,1
256,4.574604,54,1
257,4.575463,54,1
258,4.587877,1514,-1
259,4.588104,1514,-1
260,4.588957,1514,-1
261,4.589182,1514,-1
262,4.589482,1514,-1
263,4.589645,1514,-1
264,4.589778,1514,-1
265,4.589988,1514,-1
266,4.591641,1514,-1
267,4.591865,1514,-1
268,4.592414,1514,-1
269,4.5926,751,-1
270,4.599897,54,1
271,4.601039,491,1
272,4.602098,99,1
