Serial number,time,size,direction
1,0.0,289,1
2,0.057734,60,-1
3,0.11748,963,1
4,0.129431,1514,1
5,0.130741,231,1
6,0.131137,491,1
7,0.133731,60,-1
8,0.145734,60,-1
9,0.146869,60,-1
10,0.147319,60,-1
11,0.164074,1514,1
12,0.16574,1514,1
13,0.165772,1267,1
14,0.167204,1514,1
15,0.168885,1514,1
16,0.168916,1267,1
17,0.179059,1514,1
18,0.18045,60,-1
19,0.180661,1514,1
20,0.182084,60,-1
21,0.182251,60,-1
22,0.182459,1514,1
23,0.183625,60,-1
24,0.18436,1514,1
25,0.185117,1514,1
26,0.185241,60,-1
27,0.185243,60,-1
28,0.186356,236,1
29,0.195343,60,-1
30,0.197031,60,-1
31,0.198818,60,-1
32,0.200701,60,-1
33,0.201442,60,-1
34,0.202517,60,-1
35,0.203192,491,1
36,0.21948,60,-1
37,0.243876,491,1
38,0.260066,60,-1
39,0.26438,221,-1
40,0.266727,54,1
41,0.314882,491,1
42,0.335644,491,1
43,0.351801,60,-1
44,0.401946,491,1
45,0.450654,491,1
46,0.46684,60,-1
47,0.489277,491,1
48,0.547832,60,-1
49,0.550459,491,1
50,0.566777,60,-1
51,0.610559,491,1
52,0.6268,60,-1
53,0.635613,491,1
54,0.651964,60,-1
55,0.705099,491,1
56,0.721335,60,-1
57,0.734421,491,1
58,0.750715,60,-1
59,0.800181,491,1
60,0.816369,60,-1
61,0.847092,491,1
62,0.863339,60,-1
63,0.894231,491,1
64,0.910519,60,-1
65,0.941332,491,1
66,0.95755,60,-1
67,1.027102,491,1
68,1.034015,491,1
69,1.043362,60,-1
70,1.05032,60,-1
71,1.105399,491,1
72,1.121659,60,-1
73,1.14151,491,1
74,1.157834,60,-1
75,1.199226,491,1
76,1.216142,60,-1
77,1.244912,491,1
78,1.261173,60,-1
79,1.291257,491,1
80,1.307439,60,-1
81,1.337837,491,1
82,1.354122,60,-1
83,1.403301,491,1
84,1.419486,60,-1
85,1.434687,491,1
86,1.450864,60,-1
87,1.505277,491,1
88,1.521423,60,-1
89,1.530681,491,1
90,1.546898,60,-1
91,1.602293,491,1
92,1.618642,60,-1
93,1.64678,491,1
94,1.663052,60,-1
95,1.714884,491,1
96,1.731077,60,-1
97,1.731079,99,-1
98,1.74186,491,1
99,1.807617,491,1
100,1.807761,60,-1
101,1.823808,60,-1
102,1.84127,491,1
103,1.857463,60,-1
104,1.903554,491,1
105,1.919753,60,-1
106,1.933748,491,1
107,1.949923,60,-1
108,1.997389,491,1
109,2.013554,60,-1
110,2.042614,491,1
111,2.046947,148,-1
112,2.058954,99,-1
113,2.060494,54,1
114,2.100789,491,1
115,2.132802,175,-1
116,2.174491,54,1
117,2.177929,491,1
118,2.210462,491,1
119,2.226754,60,-1
120,2.237974,491,1
121,2.297794,60,-1
122,2.304886,491,1
123,2.321167,60,-1
124,2.336509,491,1
125,2.352707,60,-1
126,2.389566,218,-1
127,2.389922,1514,-1
128,2.390099,900,-1
129,2.395958,1514,-1
130,2.396075,1514,-1
131,2.39614,1267,-1
132,2.396309,675,-1
133,2.417203,491,1
134,2.417295,54,1
135,2.418591,54,1
136,2.418682,54,1
137,2.419699,54,1
138,2.419859,54,1
139,2.421659,54,1
140,2.421749,54,1
141,2.433014,1514,-1
142,2.433112,1514,-1
143,2.433306,1267,-1
144,2.433572,1514,-1
145,2.433765,1514,-1
146,2.434903,1514,-1
147,2.435112,1514,-1
148,2.435426,54,1
149,2.435499,54,1
150,2.435583,54,1
151,2.435971,1514,-1
152,2.436098,1514,-1
153,2.436222,1514,-1
154,2.436248,54,1
155,2.436421,1514,-1
156,2.436438,54,1
157,2.437176,54,1
158,2.437954,1394,-1
159,2.438014,99,1
160,2.438171,54,1
161,2.43898,54,1
162,2.439811,54,1
163,2.449864,1514,-1
164,2.451704,1514,-1
165,2.451833,1514,-1
166,2.451951,1514,-1
167,2.452149,1514,-1
168,2.452667,1514,-1
169,2.452862,1514,-1
170,2.453169,54,1
171,2.454423,1514,-1
172,2.454547,1514,-1
173,2.454664,1514,-1
174,2.454865,1514,-1
175,2.455213,1514,-1
176,2.455413,1514,-1
177,2.455648,54,1
178,2.455722,54,1
179,2.45607,1514,-1
180,2.456252,1056,-1
181,2.45667,491,1
182,2.456685,54,1
183,2.458457,99,1
184,2.458652,54,1
185,2.458721,54,1
186,2.459672,54,1
187,2.474576,60,-1
188,2.492236,491,1
189,2.557758,60,-1
190,2.622083,491,1
191,2.62232,491,1
192,2.622338,491,1
193,2.638392,60,-1
194,2.63854,66,-1
195,2.638541,60,-1
196,2.638669,491,1
197,2.654948,60,-1
198,2.731535,491,1
199,2.747738,60,-1
200,2.765107,491,1
201,2.765313,91,1
202,2.765397,91,1
203,2.7724,305,1
204,2.781257,60,-1
205,2.781258,60,-1
206,2.781466,60,-1
207,2.788567,60,-1
208,2.809284,156,-1
209,2.931303,54,1
210,2.935847,151,-1
211,2.951119,54,1
