Serial number,time,size,direction
1,0.0,286,1
2,0.016535,60,-1
3,0.042815,944,1
4,0.043459,1514,1
5,0.043493,231,1
6,0.043515,491,1
7,0.043537,491,1
8,0.059407,60,-1
9,0.06018,60,-1
10,0.060183,60,-1
11,0.060184,60,-1
12,0.078005,1291,1
13,0.080095,1514,1
14,0.080128,1514,1
15,0.08015,808,1
16,0.08017,491,1
17,0.094615,60,-1
18,0.096808,60,-1
19,0.096811,60,-1
20,0.096954,60,-1
21,0.096956,60,-1
22,0.097118,99,-1
23,0.122866,1514,1
24,0.16567,213,-1
25,0.170687,631,1
26,0.200981,491,1
27,0.201977,1514,1
28,0.203542,1514,1
29,0.203573,1514,1
30,0.203596,1514,1
31,0.203617,621,1
32,0.203798,54,1
33,0.203938,54,1
34,0.217602,60,-1
35,0.22023,60,-1
36,0.220479,60,-1
37,0.261779,60,-1
38,0.276576,491,1
39,0.29314,60,-1
40,0.34326,491,1
41,0.359801,60,-1
42,0.381437,491,1
43,0.393504,491,1
44,0.398206,60,-1
45,0.41018,60,-1
46,0.515231,491,1
47,0.516025,491,1
48,0.536829,60,-1
49,0.551985,491,1
50,0.568651,60,-1
51,0.599676,491,1
52,0.616258,60,-1
53,0.674206,491,1
54,0.690806,60,-1
55,0.696176,491,1
56,0.712742,60,-1
57,0.772975,491,1
58,0.790037,60,-1
59,0.793814,491,1
60,0.810348,60,-1
61,0.856523,491,1
62,0.873157,60,-1
63,0.910413,491,1
64,0.927085,60,-1
65,0.954008,491,1
66,0.970634,60,-1
67,1.006393,491,1
68,1.023006,60,-1
69,1.070801,491,1
70,1.087363,60,-1
71,1.093971,491,1
72,1.111322,60,-1
73,1.167428,491,1
74,1.184033,60,-1
75,1.192737,491,1
76,1.209266,60,-1
77,1.25942,491,1
78,1.275961,60,-1
79,1.311449,491,1
80,1.327986,60,-1
81,1.352863,491,1
82,1.369405,60,-1
83,1.405063,491,1
84,1.421686,60,-1
85,1.47312,491,1
86,1.489771,60,-1
87,1.499265,491,1
88,1.51594,60,-1
89,1.576319,491,1
90,1.592945,60,-1
91,1.596493,491,1
92,1.613187,60,-1
93,1.663539,491,1
94,1.680125,60,-1
95,1.709649,491,1
96,1.726189,60,-1
97,1.756133,491,1
98,1.772703,60,-1
99,1.804789,491,1
100,1.821325,60,-1
101,1.879631,491,1
102,1.894921,491,1
103,1.896226,60,-1
104,1.931785,60,-1
105,1.95796,491,1
106,1.974547,60,-1
107,1.992579,491,1
108,2.00932,60,-1
109,2.057579,491,1
110,2.074191,60,-1
111,2.103464,152,-1
112,2.115152,491,1
113,2.115245,54,1
114,2.159474,491,1
115,2.175953,60,-1
116,2.200159,491,1
117,2.272937,491,1
118,2.281731,60,-1
119,2.289516,60,-1
120,2.298544,491,1
121,2.315113,60,-1
122,2.315115,99,-1
123,2.316597,54,1
124,2.354306,176,-1
125,2.359214,54,1
126,2.371596,491,1
127,2.402918,491,1
128,2.419454,60,-1
129,2.467736,491,1
130,2.513661,491,1
131,2.530256,60,-1
132,2.557003,491,1
133,2.606954,491,1
134,2.623585,60,-1
135,2.673098,491,1
136,2.699694,491,1
137,2.717161,60,-1
138,2.734754,213,-1
139,2.735203,1514,-1
140,2.735291,1514,-1
141,2.735292,288,-1
142,2.740869,1514,-1
143,2.740972,1514,-1
144,2.741174,1267,-1
145,2.741175,150,-1
146,2.749688,54,1
147,2.749766,54,1
148,2.750679,54,1
149,2.780412,54,1
150,2.780758,491,1
151,2.790076,1514,-1
152,2.790182,1514,-1
153,2.790298,1267,-1
154,2.790437,1514,-1
155,2.790521,1514,-1
156,2.790522,328,-1
157,2.790701,1030,-1
158,2.794935,54,1
159,2.795021,54,1
160,2.795676,99,1
161,2.797138,1514,-1
162,2.797265,1514,-1
163,2.797471,1514,-1
164,2.799153,54,1
165,2.79945,54,1
166,2.801419,491,1
167,2.811597,1514,-1
168,2.811727,1514,-1
169,2.811803,1514,-1
170,2.811804,144,-1
171,2.813626,54,1
172,2.814265,54,1
173,2.816184,1514,-1
174,2.816292,1514,-1
175,2.816403,1267,-1
176,2.816552,1514,-1
177,2.816603,1514,-1
178,2.816722,334,-1
179,2.816723,514,-1
180,2.816921,1514,-1
181,2.830307,1514,-1
182,2.8305,1514,-1
183,2.830914,1514,-1
184,2.831107,1514,-1
185,2.846219,54,1
186,2.846301,54,1
187,2.862831,1514,-1
188,2.862959,1514,-1
189,2.863075,1514,-1
190,2.863277,1514,-1
191,2.864237,491,1
192,2.913495,91,1
193,2.913579,91,1
194,2.91414,303,1
195,2.921648,60,-1
196,2.929967,60,-1
197,2.930108,60,-1
198,2.93084,1514,-1
199,3.01194,1514,-1
200,3.046712,303,1
201,3.062815,60,-1
202,3.076763,54,1
203,3.077013,54,1
204,3.077101,54,1
205,3.077186,99,1
206,3.077264,54,1
207,3.093796,1514,-1
208,3.093961,1514,-1
209,3.094057,1514,-1
210,3.094169,1514,-1
211,3.094272,1514,-1
212,3.094468,1399,-1
213,3.141783,54,1
214,3.399697,157,-1
215,3.420086,154,-1
216,3.581709,154,-1
217,3.637348,859,1
218,3.653405,60,-1
219,4.300569,859,1
220,4.31655,60,-1
221,4.341924,1514,-1
