Serial number,time,size,direction
1,0.0,287,1
2,0.009982,1514,1
3,0.016775,60,-1
4,0.026963,60,-1
5,0.031532,388,1
6,0.032965,1514,1
7,0.035425,1514,1
8,0.036965,1514,1
9,0.04833,60,-1
10,0.049973,60,-1
11,0.050042,1514,1
12,0.051523,1514,1
13,0.052408,60,-1
14,0.053067,1514,1
15,0.053099,1514,1
16,0.053929,60,-1
17,0.054178,974,1
18,0.05561,491,1
19,0.067008,60,-1
20,0.068511,60,-1
21,0.069591,928,1
22,0.070073,60,-1
23,0.070075,60,-1
24,0.071087,60,-1
25,0.072407,60,-1
26,0.073807,491,1
27,0.074729,491,1
28,0.075946,491,1
29,0.086505,60,-1
30,0.090633,60,-1
31,0.091516,60,-1
32,0.092782,60,-1
33,0.092784,99,-1
34,0.116172,491,1
35,0.116315,54,1
36,0.162131,216,-1
37,0.162161,491,1
38,0.163543,54,1
39,0.19962,491,1
40,0.216492,60,-1
41,0.275251,491,1
42,0.307811,491,1
43,0.324706,60,-1
44,0.356506,491,1
45,0.408118,491,1
46,0.424923,60,-1
47,0.468962,491,1
48,0.524466,491,1
49,0.538066,60,-1
50,0.541409,60,-1
51,0.562126,491,1
52,0.579023,60,-1
53,0.595436,491,1
54,0.612353,60,-1
55,0.673888,491,1
56,0.69077,60,-1
57,0.710507,491,1
58,0.727381,60,-1
59,0.75794,491,1
60,0.774752,60,-1
61,0.810285,491,1
62,0.828589,60,-1
63,0.868552,491,1
64,0.885392,60,-1
65,0.898556,491,1
66,0.915381,60,-1
67,0.964291,491,1
68,0.981119,60,-1
69,0.996309,491,1
70,1.013273,60,-1
71,1.062152,491,1
72,1.078992,60,-1
73,1.114479,491,1
74,1.13131,60,-1
75,1.155143,491,1
76,1.171959,60,-1
77,1.226227,491,1
78,1.243025,60,-1
79,1.269255,491,1
80,1.286059,60,-1
81,1.311268,491,1
82,1.328142,60,-1
83,1.363588,491,1
84,1.380438,60,-1
85,1.397983,491,1
86,1.414823,60,-1
87,1.461563,491,1
88,1.478422,60,-1
89,1.505064,491,1
90,1.522,60,-1
91,1.552982,491,1
92,1.570018,60,-1
93,1.610037,491,1
94,1.626991,60,-1
95,1.670244,491,1
96,1.687099,60,-1
97,1.710847,491,1
98,1.727714,60,-1
99,1.761344,491,1
100,1.778207,60,-1
101,1.796481,491,1
102,1.813271,60,-1
103,1.87433,491,1
104,1.891573,60,-1
105,1.921286,491,1
106,1.938091,60,-1
107,1.957127,491,1
108,1.974046,60,-1
109,2.003738,491,1
110,2.020588,60,-1
111,2.06951,491,1
112,2.086409,60,-1
113,2.098792,491,1
114,2.115647,60,-1
115,2.169073,491,1
116,2.185913,60,-1
117,2.193349,491,1
118,2.210176,60,-1
119,2.275113,491,1
120,2.291903,60,-1
121,2.330204,491,1
122,2.354102,60,-1
123,2.358076,491,1
124,2.374938,60,-1
125,2.406532,491,1
126,2.423398,60,-1
127,2.471501,491,1
128,2.488346,60,-1
129,2.510945,491,1
130,2.527786,60,-1
