Serial number,time,size,direction
1,0.0,278,1
2,0.017676,60,-1
3,0.128095,1514,1
4,0.128325,341,1
5,0.145658,60,-1
6,0.145809,60,-1
7,0.178451,1514,1
8,0.178881,1514,1
9,0.178911,1514,1
10,0.196111,60,-1
11,0.196448,60,-1
12,0.19645,60,-1
13,0.229774,1514,1
14,0.231026,1514,1
15,0.232559,1514,1
16,0.247467,60,-1
17,0.248778,60,-1
18,0.250151,60,-1
19,0.253975,1514,1
20,0.255712,1514,1
21,0.256582,1514,1
22,0.262789,212,-1
23,0.264377,54,1
24,0.273473,60,-1
25,0.275814,1514,1
26,0.27751,1514,1
27,0.277581,1514,1
28,0.29368,60,-1
29,0.295407,60,-1
30,0.2957,979,1
31,0.341355,491,1
32,0.359047,60,-1
33,0.37374,491,1
34,0.436482,491,1
35,0.446266,60,-1
36,0.453976,60,-1
37,0.467915,491,1
38,0.485327,60,-1
39,0.534652,491,1
40,0.552206,60,-1
41,0.574985,491,1
42,0.592448,60,-1
43,0.624716,491,1
44,0.642183,60,-1
45,0.678005,491,1
46,0.695622,60,-1
47,0.743459,491,1
48,0.760982,60,-1
49,0.765755,491,1
50,0.783225,60,-1
51,0.832418,491,1
52,0.849916,60,-1
53,0.863843,491,1
54,0.881556,60,-1
55,0.93063,491,1
56,0.948252,60,-1
57,0.973663,491,1
58,0.991388,60,-1
59,1.024246,491,1
60,1.041745,60,-1
61,1.070414,491,1
62,1.088048,60,-1
63,1.137442,491,1
64,1.154903,60,-1
65,1.169583,491,1
66,1.187568,60,-1
67,1.234139,491,1
68,1.251596,60,-1
69,1.265947,491,1
70,1.283448,60,-1
71,1.346805,491,1
72,1.364438,60,-1
73,1.37866,491,1
74,1.396213,60,-1
75,1.425085,491,1
76,1.442617,60,-1
77,1.474453,491,1
78,1.491917,60,-1
79,1.538574,491,1
80,1.556046,60,-1
81,1.573547,491,1
82,1.590945,60,-1
83,1.636403,491,1
84,1.653828,60,-1
85,1.666408,491,1
86,1.683888,60,-1
87,1.734453,491,1
88,1.751832,60,-1
89,1.774153,491,1
90,1.791633,60,-1
91,1.821211,491,1
92,1.838857,60,-1
93,1.879398,491,1
94,1.897,60,-1
95,1.935938,491,1
96,1.95347,60,-1
97,1.953474,99,-1
98,1.968187,491,1
99,2.032378,491,1
100,2.047473,60,-1
101,2.051542,60,-1
102,2.063881,491,1
103,2.081361,60,-1
104,2.128697,491,1
105,2.146125,60,-1
106,2.180476,491,1
107,2.197953,60,-1
108,2.22197,491,1
109,2.239416,60,-1
110,2.270654,491,1
111,2.288158,60,-1
112,2.28816,99,-1
113,2.341356,491,1
114,2.367205,491,1
115,2.384818,60,-1
116,2.435596,491,1
117,2.463833,491,1
118,2.481322,60,-1
119,2.54082,491,1
120,2.5795,491,1
121,2.59707,60,-1
122,2.622653,491,1
123,2.673774,491,1
124,2.691418,60,-1
125,2.743056,491,1
126,2.766631,491,1
127,2.784066,60,-1
128,2.83895,491,1
129,2.862645,491,1
130,2.880201,60,-1
131,2.906499,151,-1
132,2.930854,491,1
133,2.984621,491,1
134,3.002101,60,-1
135,3.029714,491,1
136,3.075746,491,1
137,3.093133,60,-1
138,3.131799,175,-1
139,3.1353,491,1
140,3.167552,54,1
141,3.173431,491,1
142,3.190868,60,-1
143,3.241977,491,1
144,3.263902,491,1
145,3.2816,60,-1
146,3.329621,491,1
147,3.332175,219,-1
148,3.33267,1514,-1
149,3.332815,1514,-1
150,3.332819,235,-1
151,3.333599,54,1
152,3.33484,54,1
153,3.335217,54,1
154,3.335491,54,1
155,3.371938,1514,-1
156,3.372128,1514,-1
157,3.372167,1267,-1
158,3.372287,1514,-1
159,3.372382,1514,-1
160,3.372508,328,-1
161,3.37251,1030,-1
162,3.37263,1514,-1
163,3.37273,1514,-1
164,3.372943,1267,-1
165,3.377283,54,1
166,3.378137,54,1
167,3.379087,54,1
168,3.381133,54,1
169,3.381471,54,1
170,3.381609,54,1
171,3.38453,54,1
172,3.385266,491,1
173,3.395041,1514,-1
174,3.395401,1514,-1
175,3.395761,1514,-1
176,3.395763,391,-1
177,3.399589,54,1
178,3.399852,54,1
179,3.419005,1514,-1
180,3.419011,1514,-1
181,3.419436,1267,-1
182,3.41944,1514,-1
183,3.419441,1514,-1
184,3.419446,334,-1
185,3.419448,514,-1
186,3.419656,1514,-1
187,3.419658,1514,-1
188,3.419747,1267,-1
189,3.419867,1514,-1
190,3.419984,1363,-1
191,3.420063,1420,-1
192,3.420271,126,-1
193,3.420273,1117,-1
194,3.422522,54,1
195,3.423462,54,1
196,3.424319,54,1
197,3.425313,99,1
198,3.425472,54,1
199,3.427685,54,1
200,3.427866,99,1
201,3.428807,54,1
202,3.440267,1514,-1
203,3.440274,1514,-1
204,3.440536,1267,-1
205,3.440898,491,1
206,3.441072,1514,-1
207,3.441235,1514,-1
208,3.44198,1514,-1
209,3.442203,1514,-1
210,3.443016,1514,-1
211,3.443164,1514,-1
212,3.443284,1514,-1
213,3.443476,1514,-1
214,3.445316,1437,-1
215,3.458433,60,-1
216,3.459672,54,1
217,3.461226,54,1
218,3.463151,1514,-1
219,3.463358,1514,-1
220,3.46336,1267,-1
221,3.46343,1514,-1
222,3.463619,1185,-1
223,3.464627,54,1
224,3.46481,54,1
225,3.464906,54,1
226,3.465053,54,1
227,3.466183,54,1
228,3.467674,54,1
229,3.468186,99,1
230,3.47491,491,1
231,3.477327,1514,-1
232,3.477529,1514,-1
233,3.478804,1514,-1
234,3.478991,1514,-1
235,3.479725,54,1
236,3.48223,1514,-1
237,3.482463,1514,-1
238,3.482464,1514,-1
239,3.482466,306,-1
240,3.483134,54,1
241,3.487879,54,1
242,3.488236,99,1
243,3.492465,60,-1
244,3.494055,1514,-1
245,3.494167,1514,-1
246,3.494256,1267,-1
247,3.494331,1514,-1
248,3.494418,669,-1
249,3.494542,1208,-1
250,3.494686,1514,-1
251,3.49478,1514,-1
252,3.494986,1267,-1
253,3.496361,54,1
254,3.497405,1514,-1
255,3.497604,1514,-1
256,3.498174,54,1
257,3.500228,54,1
258,3.500332,54,1
259,3.500485,54,1
260,3.500632,1514,-1
261,3.500831,1375,-1
262,3.501605,54,1
263,3.504256,54,1
264,3.532981,91,1
265,3.533143,91,1
266,3.546259,60,-1
267,3.5504,60,-1
268,3.550401,60,-1
269,3.550891,1514,-1
270,3.551004,1514,-1
271,3.551116,1267,-1
272,3.551193,1514,-1
273,3.551194,153,-1
274,3.551297,1514,-1
275,3.551299,264,-1
276,3.55154,1514,-1
277,3.551626,1514,-1
278,3.551746,1267,-1
279,3.551841,1514,-1
280,3.551906,1094,-1
281,3.552025,783,-1
282,3.552118,1420,-1
283,3.552311,1160,-1
284,3.554623,54,1
285,3.560705,54,1
286,3.56555,54,1
287,3.566052,99,1
288,3.568209,207,1
289,3.570511,54,1
290,3.574898,54,1
291,3.574975,54,1
292,3.576135,99,1
293,3.576511,54,1
294,3.577535,1514,-1
295,3.577642,1514,-1
296,3.577832,1267,-1
297,3.579059,1097,-1
298,3.579171,1514,-1
299,3.579341,780,-1
300,3.583219,1514,-1
301,3.583415,1514,-1
302,3.583675,54,1
303,3.5844,54,1
304,3.585592,60,-1
305,3.58807,1514,-1
306,3.588264,1514,-1
307,3.591321,54,1
308,3.592439,1514,-1
309,3.592539,1514,-1
310,3.592729,1128,-1
311,3.593384,54,1
312,3.597383,54,1
313,3.599216,54,1
314,3.59993,1514,-1
315,3.600035,1514,-1
316,3.600087,1267,-1
317,3.600249,581,-1
318,3.600537,54,1
319,3.60122,1514,-1
320,3.601411,1514,-1
321,3.601908,1514,-1
322,3.6021,1514,-1
323,3.608884,1514,-1
324,3.609076,1514,-1
325,3.610873,1514,-1
326,3.610945,1514,-1
327,3.611121,910,-1
328,3.626389,1514,-1
329,3.626492,1514,-1
330,3.626603,1241,-1
331,3.62674,1514,-1
332,3.62683,1514,-1
333,3.626832,352,-1
334,3.70715,1514,-1
335,3.813511,54,1
336,3.813673,54,1
337,3.813745,54,1
338,3.813815,54,1
339,3.813886,99,1
340,3.816493,54,1
341,3.817064,99,1
342,3.831144,1514,-1
343,3.83128,1514,-1
344,3.831389,1514,-1
345,3.831526,1514,-1
346,3.831642,1514,-1
347,3.831827,1514,-1
348,3.834002,1514,-1
349,3.834194,1514,-1
350,3.876281,60,-1
351,3.944779,99,1
352,3.944929,66,1
353,3.946727,66,1
354,3.949471,66,1
355,3.955309,66,1
356,3.960242,66,1
357,3.960953,60,-1
358,3.962495,1514,-1
359,3.962682,1514,-1
360,3.963685,66,1
361,3.9667,66,1
362,3.96697,66,1
363,3.967117,1514,-1
364,3.972954,1514,-1
365,3.977787,910,-1
366,3.981317,1514,-1
367,3.984352,1514,-1
368,3.984539,1241,-1
369,4.103697,66,1
370,4.104103,66,1
371,4.104353,66,1
372,4.104486,66,1
373,4.10463,66,1
374,4.104756,66,1
375,4.104879,66,1
376,4.121491,1514,-1
377,4.12165,1514,-1
378,4.121652,352,-1
379,4.121896,1514,-1
380,4.122015,1514,-1
381,4.122152,1514,-1
382,4.122271,1514,-1
383,4.122389,1514,-1
384,4.122515,1514,-1
385,4.122641,1514,-1
386,4.122752,1514,-1
387,4.122956,1514,-1
388,4.263165,74,1
389,4.263443,74,1
390,4.263579,74,1
391,4.263732,66,1
392,4.263859,66,1
393,4.263984,66,1
394,4.264578,66,1
395,4.266805,66,1
396,4.267142,66,1
397,4.281212,1241,-1
398,4.281412,1514,-1
399,4.2816,921,-1
400,4.430385,54,1
401,4.4306,66,1
402,4.432647,111,1
403,4.432801,111,1
404,4.450229,60,-1
405,4.450234,60,-1
406,4.726495,1514,-1
407,4.822119,66,1
408,4.839682,1514,-1
409,4.839882,1514,-1
410,4.90238,66,1
411,4.902461,54,1
