Serial number,time,size,direction
1,0.0,285,1
2,0.016826,60,-1
3,0.106403,963,1
4,0.107153,1291,1
5,0.110469,491,1
6,0.113493,491,1
7,0.118921,491,1
8,0.122972,60,-1
9,0.123355,491,1
10,0.123871,60,-1
11,0.125142,491,1
12,0.126044,491,1
13,0.1271,60,-1
14,0.1301,60,-1
15,0.135445,60,-1
16,0.140006,60,-1
17,0.141842,60,-1
18,0.142568,60,-1
19,0.162547,491,1
20,0.16296,1514,1
21,0.167259,342,1
22,0.167674,1514,1
23,0.168983,342,1
24,0.175823,491,1
25,0.176223,1514,1
26,0.177586,1216,1
27,0.179224,60,-1
28,0.179805,60,-1
29,0.179946,99,-1
30,0.180762,1514,1
31,0.181691,779,1
32,0.184355,60,-1
33,0.186472,1514,1
34,0.186793,779,1
35,0.193265,60,-1
36,0.19516,60,-1
37,0.199446,60,-1
38,0.203673,60,-1
39,0.219257,491,1
40,0.229887,491,1
41,0.231117,220,-1
42,0.246437,60,-1
43,0.273094,54,1
44,0.290644,491,1
45,0.338554,491,1
46,0.353262,60,-1
47,0.35527,60,-1
48,0.385683,491,1
49,0.402363,60,-1
50,0.434599,491,1
51,0.451785,60,-1
52,0.499109,491,1
53,0.515968,60,-1
54,0.530959,491,1
55,0.547506,60,-1
56,0.593357,491,1
57,0.610574,60,-1
58,0.623867,491,1
59,0.640361,60,-1
60,0.64889,149,-1
61,0.650229,54,1
62,0.699442,491,1
63,0.755215,491,1
64,0.762957,60,-1
65,0.771904,60,-1
66,0.787693,491,1
67,0.804722,60,-1
68,0.838937,491,1
69,0.855494,60,-1
70,0.918041,491,1
71,0.934628,60,-1
72,0.935929,491,1
73,0.952799,60,-1
74,0.991359,491,1
75,1.007959,60,-1
76,1.025753,491,1
77,1.042741,60,-1
78,1.090705,491,1
79,1.107672,60,-1
80,1.136744,491,1
81,1.154327,60,-1
82,1.185949,491,1
83,1.202639,60,-1
84,1.235502,491,1
85,1.252031,60,-1
86,1.301112,491,1
87,1.317726,60,-1
88,1.329687,491,1
89,1.346266,60,-1
90,1.399458,491,1
91,1.41669,60,-1
92,1.426146,491,1
93,1.443458,60,-1
94,1.49031,491,1
95,1.50701,60,-1
96,1.536069,491,1
97,1.552786,60,-1
98,1.614676,491,1
99,1.631265,60,-1
100,1.634125,491,1
101,1.650753,60,-1
102,1.700864,491,1
103,1.717429,60,-1
104,1.732021,491,1
105,1.748513,60,-1
106,1.799747,491,1
107,1.817096,60,-1
108,1.82499,491,1
109,1.841905,60,-1
110,1.889808,491,1
111,1.906542,60,-1
112,1.939783,491,1
113,1.956537,60,-1
114,1.983463,491,1
115,2.000076,60,-1
116,2.03187,491,1
117,2.048455,60,-1
118,2.102299,491,1
119,2.119048,60,-1
120,2.137415,491,1
121,2.153949,60,-1
122,2.195747,491,1
123,2.212637,60,-1
124,2.227544,491,1
125,2.244514,60,-1
126,2.317046,491,1
127,2.333604,60,-1
128,2.335081,491,1
129,2.351617,60,-1
130,2.387153,491,1
131,2.403872,60,-1
132,2.432796,491,1
133,2.449625,60,-1
134,2.5022,491,1
135,2.518819,60,-1
136,2.518824,99,-1
137,2.536537,491,1
138,2.537254,54,1
139,2.575338,177,-1
140,2.580358,54,1
141,2.599837,491,1
142,2.624417,491,1
143,2.641416,60,-1
144,2.697219,491,1
145,2.743992,491,1
146,2.760722,60,-1
147,2.795335,491,1
148,2.817189,454,-1
149,2.817745,1514,-1
150,2.817831,1514,-1
151,2.817832,166,-1
152,2.819641,54,1
153,2.819876,54,1
154,2.823403,1514,-1
155,2.823602,1514,-1
156,2.823603,1267,-1
157,2.823604,366,-1
158,2.82715,54,1
159,2.827437,54,1
160,2.849885,491,1
161,2.865108,1514,-1
162,2.865202,1514,-1
163,2.865306,1267,-1
164,2.865431,1514,-1
165,2.86552,1514,-1
166,2.865522,328,-1
167,2.865649,1030,-1
168,2.865805,1514,-1
169,2.865902,1514,-1
170,2.866004,1267,-1
171,2.866084,1514,-1
172,2.866192,847,-1
173,2.866249,1514,-1
174,2.866287,511,-1
175,2.86646,601,-1
176,2.867649,54,1
177,2.868603,54,1
178,2.86927,54,1
179,2.870223,99,1
180,2.87039,54,1
181,2.873483,54,1
182,2.87447,54,1
183,2.882509,54,1
184,2.886947,60,-1
185,2.894134,1514,-1
186,2.894241,1514,-1
187,2.894356,1267,-1
188,2.894501,1514,-1
189,2.894552,1514,-1
190,2.894667,334,-1
191,2.894669,514,-1
192,2.894805,1514,-1
193,2.894905,1514,-1
194,2.895022,1267,-1
195,2.895143,1514,-1
196,2.895253,1363,-1
197,2.895333,1420,-1
198,2.895334,126,-1
199,2.896434,54,1
200,2.898005,54,1
201,2.899045,54,1
202,2.899377,1117,-1
203,2.899983,54,1
204,2.903927,54,1
205,2.904005,99,1
206,2.904364,491,1
207,2.904378,54,1
208,2.90531,54,1
209,2.921636,60,-1
210,2.922097,1514,-1
211,2.922199,1514,-1
212,2.922311,1267,-1
213,2.922459,1514,-1
214,2.922527,1514,-1
215,2.922529,241,-1
216,2.92253,176,-1
217,2.922724,1514,-1
218,2.922832,1514,-1
219,2.922948,1267,-1
220,2.92308,1514,-1
221,2.923156,1514,-1
222,2.923157,334,-1
223,2.923216,939,-1
224,2.923305,564,-1
225,2.923493,1160,-1
226,2.924378,54,1
227,2.925476,54,1
228,2.927037,54,1
229,2.927117,54,1
230,2.927866,54,1
