Serial number,time,size,direction
1,0.0,958,1
2,0.003082,1291,1
3,0.019753,60,-1
4,0.026544,267,1
5,0.048889,491,1
6,0.049367,491,1
7,0.050147,491,1
8,0.050707,491,1
9,0.053225,491,1
10,0.065431,60,-1
11,0.065749,491,1
12,0.066674,60,-1
13,0.067215,491,1
14,0.069771,60,-1
15,0.078553,491,1
16,0.082542,491,1
17,0.083718,491,1
18,0.0838,60,-1
19,0.096762,491,1
20,0.099089,60,-1
21,0.101683,491,1
22,0.107999,491,1
23,0.111125,491,1
24,0.113319,60,-1
25,0.1246,60,-1
26,0.129504,491,1
27,0.130002,491,1
28,0.130031,1514,1
29,0.130069,1514,1
30,0.130772,445,1
31,0.133949,891,1
32,0.146047,60,-1
33,0.146748,60,-1
34,0.147296,60,-1
35,0.151242,1514,1
36,0.151654,1514,1
37,0.153069,1171,1
38,0.167891,60,-1
39,0.169682,60,-1
40,0.172847,491,1
41,0.192195,218,-1
42,0.204142,54,1
43,0.218795,491,1
44,0.284256,60,-1
45,0.28696,491,1
46,0.303518,60,-1
47,0.322847,491,1
48,0.339396,60,-1
49,0.392846,491,1
50,0.409579,60,-1
51,0.409971,491,1
52,0.426652,60,-1
53,0.476408,491,1
54,0.493037,60,-1
55,0.528243,491,1
56,0.54486,60,-1
57,0.570514,491,1
58,0.587154,60,-1
59,0.620325,491,1
60,0.63703,60,-1
61,0.695594,491,1
62,0.712155,60,-1
63,0.717959,491,1
64,0.734466,60,-1
65,0.783667,491,1
66,0.800235,60,-1
67,0.80853,491,1
68,0.825048,60,-1
69,0.88194,491,1
70,0.898563,60,-1
71,0.923982,491,1
72,0.940604,60,-1
73,0.96988,491,1
74,0.986437,60,-1
75,1.018253,491,1
76,1.034769,60,-1
77,1.087794,491,1
78,1.10431,60,-1
79,1.115456,491,1
80,1.131985,60,-1
81,1.181623,491,1
82,1.1983,60,-1
83,1.216826,491,1
84,1.233405,60,-1
85,1.279313,491,1
86,1.295911,60,-1
87,1.354519,491,1
88,1.371063,60,-1
89,1.374164,491,1
90,1.390781,60,-1
91,1.423008,491,1
92,1.439696,60,-1
93,1.488846,491,1
94,1.505535,60,-1
95,1.513601,491,1
96,1.530234,60,-1
97,1.58683,491,1
98,1.603448,60,-1
99,1.603449,99,-1
100,1.612086,491,1
101,1.674282,60,-1
102,1.677267,491,1
103,1.693868,60,-1
104,1.708357,169,-1
105,1.724533,491,1
106,1.778163,491,1
107,1.784264,60,-1
108,1.794673,60,-1
109,1.827038,491,1
110,1.843717,60,-1
111,1.894693,491,1
112,1.911253,60,-1
113,1.927638,176,-1
114,1.972104,491,1
115,1.999423,491,1
116,2.015937,60,-1
117,2.016456,491,1
118,2.074306,60,-1
119,2.082966,491,1
120,2.099501,60,-1
121,2.132354,186,1
122,2.132691,491,1
123,2.148821,60,-1
124,2.149197,60,-1
125,2.176604,491,1
126,2.193137,60,-1
127,2.260896,491,1
128,2.277468,60,-1
129,2.290506,491,1
130,2.307134,60,-1
131,2.307136,99,-1
132,2.31695,491,1
133,2.374308,60,-1
134,2.388525,491,1
135,2.405089,60,-1
136,2.422072,491,1
137,2.438738,60,-1
138,2.463778,299,-1
139,2.464186,1514,-1
140,2.464281,1514,-1
141,2.464447,1048,-1
142,2.466638,54,1
143,2.467277,54,1
144,2.483963,1514,-1
145,2.483967,1514,-1
146,2.484102,1267,-1
147,2.484104,269,-1
148,2.554874,1514,-1
149,2.554959,1514,-1
150,2.555064,1267,-1
151,2.555201,1514,-1
152,2.555285,1514,-1
153,2.555286,328,-1
154,2.57937,491,1
155,2.579684,491,1
156,2.579702,54,1
157,2.580472,491,1
158,2.580559,54,1
159,2.581233,54,1
160,2.581516,54,1
161,2.596453,1514,-1
162,2.596636,1514,-1
163,2.597177,1514,-1
164,2.597306,1514,-1
165,2.597439,1514,-1
166,2.59763,1514,-1
167,2.597849,1514,-1
168,2.597978,1514,-1
169,2.598095,1514,-1
170,2.598217,1514,-1
171,2.598342,1514,-1
172,2.598406,1514,-1
173,2.598562,610,-1
174,2.610209,54,1
175,2.611923,54,1
176,2.612127,54,1
177,2.61506,54,1
178,2.615316,54,1
179,2.617124,54,1
180,2.61736,54,1
181,2.645968,99,1
182,2.650273,491,1
183,2.666973,60,-1
184,2.691001,91,1
185,2.691213,91,1
186,2.70549,443,1
187,2.707698,60,-1
188,2.76431,60,-1
189,3.047313,155,-1
190,3.094665,54,1
191,3.102408,155,-1
192,3.104113,54,1
