Serial number,time,size,direction
1,0.0,287,1
2,0.01686,60,-1
3,0.069118,1514,1
4,0.069416,416,1
5,0.070757,1291,1
6,0.075096,891,1
7,0.075559,491,1
8,0.086111,60,-1
9,0.086288,60,-1
10,0.087741,60,-1
11,0.09201,60,-1
12,0.092407,60,-1
13,0.169301,1291,1
14,0.169711,491,1
15,0.16974,491,1
16,0.173203,491,1
17,0.174793,491,1
18,0.174824,491,1
19,0.174887,491,1
20,0.186305,60,-1
21,0.18658,60,-1
22,0.186582,60,-1
23,0.18733,212,-1
24,0.188026,1514,1
25,0.189521,1514,1
26,0.189554,1514,1
27,0.189576,54,1
28,0.191659,60,-1
29,0.191661,60,-1
30,0.198594,1514,1
31,0.200338,1514,1
32,0.200368,1013,1
33,0.20649,60,-1
34,0.215566,60,-1
35,0.217379,60,-1
36,0.22789,1291,1
37,0.257447,491,1
38,0.274259,60,-1
39,0.306266,491,1
40,0.356175,491,1
41,0.367812,60,-1
42,0.373137,60,-1
43,0.424313,491,1
44,0.441342,60,-1
45,0.543147,491,1
46,0.543308,491,1
47,0.549317,491,1
48,0.560011,60,-1
49,0.560165,60,-1
50,0.566119,60,-1
51,0.661014,491,1
52,0.67788,60,-1
53,0.677881,99,-1
54,0.678587,491,1
55,0.706789,491,1
56,0.723599,60,-1
57,0.773864,491,1
58,0.822605,491,1
59,0.837831,60,-1
60,0.839488,60,-1
61,0.853794,491,1
62,0.870742,60,-1
63,0.925255,491,1
64,0.942148,60,-1
65,0.950255,491,1
66,0.967089,60,-1
67,1.013045,491,1
68,1.029893,60,-1
69,1.138201,491,1
70,1.138714,491,1
71,1.15517,60,-1
72,1.15676,491,1
73,1.177397,60,-1
74,1.222179,491,1
75,1.239076,60,-1
76,1.250605,491,1
77,1.267491,60,-1
78,1.317013,491,1
79,1.333931,60,-1
80,1.356154,491,1
81,1.37307,60,-1
82,1.411505,491,1
83,1.428596,60,-1
84,1.459567,491,1
85,1.476455,60,-1
86,1.508418,491,1
87,1.525288,60,-1
88,1.553562,491,1
89,1.570385,60,-1
90,1.62424,491,1
91,1.641114,60,-1
92,1.659271,491,1
93,1.676125,60,-1
94,1.718461,491,1
95,1.735275,60,-1
96,1.749447,491,1
97,1.766302,60,-1
98,1.810094,491,1
99,1.826929,60,-1
100,1.856861,491,1
101,1.884976,60,-1
102,1.911289,491,1
103,1.928134,60,-1
104,1.958895,491,1
105,1.975764,60,-1
106,2.024744,491,1
107,2.041609,60,-1
108,2.048706,491,1
109,2.065593,60,-1
110,2.120635,491,1
111,2.137503,60,-1
112,2.147085,491,1
113,2.163936,60,-1
114,2.218071,491,1
115,2.234967,60,-1
116,2.261545,491,1
117,2.27843,60,-1
118,2.308961,491,1
119,2.325874,60,-1
120,2.370164,491,1
121,2.387189,60,-1
122,2.417796,491,1
123,2.434773,60,-1
124,2.434916,99,-1
125,2.450185,491,1
126,2.507817,60,-1
127,2.518395,491,1
128,2.535308,60,-1
129,2.551914,491,1
130,2.568801,60,-1
131,2.569847,151,-1
132,2.627375,491,1
133,2.668828,491,1
134,2.685635,60,-1
135,2.709274,491,1
136,2.760347,491,1
137,2.767749,60,-1
138,2.777196,60,-1
139,2.820796,491,1
140,2.837626,60,-1
141,2.852643,491,1
142,2.869491,60,-1
143,2.92095,491,1
144,2.937834,60,-1
145,2.945296,491,1
146,2.962248,60,-1
147,2.973591,174,-1
148,3.020724,491,1
149,3.065137,491,1
150,3.077748,60,-1
151,3.081956,60,-1
152,3.111895,491,1
153,3.128748,60,-1
154,3.160025,491,1
155,3.176933,60,-1
156,3.224629,491,1
157,3.241511,60,-1
158,3.256682,491,1
159,3.273513,60,-1
160,3.319507,491,1
161,3.336412,60,-1
162,3.350021,491,1
163,3.36693,60,-1
164,3.41487,491,1
165,3.431874,60,-1
166,3.459354,491,1
167,3.47637,60,-1
168,3.516291,235,-1
169,3.516664,1514,-1
170,3.516751,1514,-1
171,3.516752,231,-1
172,3.51996,491,1
173,3.521703,1514,-1
174,3.52181,1514,-1
175,3.522011,1267,-1
176,3.522012,224,-1
177,3.539479,54,1
178,3.539557,54,1
179,3.541052,54,1
180,3.542455,54,1
181,3.550345,1514,-1
182,3.556395,1514,-1
183,3.556523,1514,-1
184,3.556641,1514,-1
185,3.556835,1514,-1
186,3.557189,491,1
187,3.557971,1514,-1
188,3.558164,1514,-1
189,3.558566,54,1
190,3.55934,54,1
191,3.559407,1514,-1
192,3.559572,54,1
193,3.559601,1514,-1
194,3.561191,54,1
195,3.57551,1514,-1
196,3.575704,1514,-1
197,3.576267,1514,-1
198,3.576344,1514,-1
199,3.576522,793,-1
200,3.627813,491,1
201,3.656194,491,1
202,3.673056,60,-1
203,3.673669,91,1
204,3.673753,91,1
205,3.690496,60,-1
206,3.700162,470,1
207,3.72787,793,-1
208,3.750303,470,1
209,3.766455,60,-1
210,3.874974,160,-1
211,3.896253,154,-1
212,3.938101,1514,-1
213,3.984269,1439,1
214,4.000653,60,-1
215,4.019262,66,1
216,4.01938,66,1
217,4.019461,66,1
218,4.019537,66,1
219,4.036387,1514,-1
220,4.443985,140,1
221,4.460313,60,-1
222,5.138028,1514,-1
223,5.363612,140,1
224,5.379759,60,-1
225,5.542354,66,1
226,5.559294,1514,-1
227,5.5593,160,-1
228,5.724735,74,1
