Serial number,time,size,direction
1,0.0,289,1
2,0.010233,941,1
3,0.023704,1514,1
4,0.025002,231,1
5,0.027209,60,-1
6,0.04185,60,-1
7,0.049105,491,1
8,0.050804,1514,1
9,0.050836,1431,1
10,0.058044,491,1
11,0.060006,1514,1
12,0.067739,60,-1
13,0.074916,60,-1
14,0.122465,60,-1
15,0.141612,1514,1
16,0.142639,1514,1
17,0.142671,1514,1
18,0.142695,1514,1
19,0.142719,1514,1
20,0.142742,938,1
21,0.14815,213,-1
22,0.158709,60,-1
23,0.159577,60,-1
24,0.159579,60,-1
25,0.159854,60,-1
26,0.159996,60,-1
27,0.159998,60,-1
28,0.163131,54,1
29,0.172594,491,1
30,0.189392,60,-1
31,0.224048,491,1
32,0.240941,60,-1
33,0.263017,491,1
34,0.279938,60,-1
35,0.326794,491,1
36,0.343723,60,-1
37,0.3581,491,1
38,0.375013,60,-1
39,0.375018,99,-1
40,0.418545,54,1
41,0.41893,491,1
42,0.454136,491,1
43,0.471056,60,-1
44,0.524664,491,1
45,0.567642,491,1
46,0.582453,60,-1
47,0.584543,60,-1
48,0.613843,491,1
49,0.630891,60,-1
50,0.661354,491,1
51,0.678239,60,-1
52,0.731353,491,1
53,0.751463,60,-1
54,0.760709,491,1
55,0.777599,60,-1
56,0.826309,491,1
57,0.843159,60,-1
58,0.856503,491,1
59,0.873388,60,-1
60,0.926776,491,1
61,0.943672,60,-1
62,0.965146,491,1
63,0.982028,60,-1
64,1.0134,491,1
65,1.037151,60,-1
66,1.061469,491,1
67,1.078374,60,-1
68,1.1275,491,1
69,1.14501,60,-1
70,1.159432,491,1
71,1.176305,60,-1
72,1.230766,491,1
73,1.247651,60,-1
74,1.253974,491,1
75,1.270847,60,-1
76,1.319885,491,1
77,1.33672,60,-1
78,1.363405,491,1
79,1.38024,60,-1
80,1.411973,491,1
81,1.428886,60,-1
82,1.458332,491,1
83,1.475255,60,-1
84,1.529346,491,1
85,1.546275,60,-1
86,1.553371,491,1
87,1.570288,60,-1
88,1.627588,491,1
89,1.644508,60,-1
90,1.654442,491,1
91,1.671414,60,-1
92,1.721401,491,1
93,1.738305,60,-1
94,1.762308,491,1
95,1.77924,60,-1
96,1.924072,491,1
97,1.92461,491,1
98,1.924692,491,1
99,1.941094,60,-1
100,1.941557,60,-1
101,1.941559,60,-1
102,2.017727,491,1
103,2.034762,60,-1
104,2.055769,491,1
105,2.05722,491,1
106,2.072708,60,-1
107,2.074147,60,-1
108,2.123354,491,1
109,2.140261,60,-1
110,2.187518,491,1
111,2.204422,60,-1
112,2.213536,491,1
113,2.23047,60,-1
114,2.266666,491,1
115,2.283551,60,-1
116,2.339917,491,1
117,2.356777,60,-1
118,2.370539,491,1
119,2.387449,60,-1
120,2.452137,491,1
121,2.469104,60,-1
122,2.469106,99,-1
123,2.512022,491,1
124,2.516926,54,1
125,2.51773,491,1
126,2.534606,60,-1
127,2.562846,491,1
128,2.577902,149,-1
129,2.615577,54,1
130,2.618294,491,1
131,2.622461,60,-1
132,2.635206,60,-1
133,2.664088,491,1
134,2.68097,60,-1
135,2.729354,491,1
136,2.746256,60,-1
137,2.758624,491,1
138,2.775506,60,-1
139,2.822921,491,1
140,2.839804,60,-1
141,2.857387,173,-1
142,2.858309,491,1
143,2.858951,54,1
144,2.922299,491,1
145,2.922447,60,-1
146,2.939166,60,-1
147,2.967335,491,1
148,2.984323,60,-1
149,3.02827,491,1
150,3.045145,60,-1
151,3.059057,491,1
152,3.075939,60,-1
153,3.124655,491,1
154,3.141551,60,-1
155,3.174446,491,1
156,3.18715,206,-1
157,3.187589,1514,-1
158,3.187676,1514,-1
159,3.18786,1072,-1
160,3.195762,60,-1
161,3.201479,54,1
162,3.20293,54,1
163,3.203009,54,1
164,3.203882,54,1
165,3.209988,1514,-1
166,3.210096,1514,-1
167,3.210284,1267,-1
168,3.210321,212,-1
169,3.21201,54,1
170,3.212179,54,1
171,3.212343,54,1
172,3.213071,54,1
173,3.24335,1514,-1
174,3.243455,1514,-1
175,3.243572,1267,-1
176,3.243719,1514,-1
177,3.243794,1514,-1
178,3.243796,328,-1
179,3.243922,1030,-1
180,3.244061,1514,-1
181,3.244164,1514,-1
182,3.24435,1267,-1
183,3.244935,54,1
184,3.254095,54,1
185,3.254179,54,1
186,3.25435,54,1
187,3.254516,54,1
188,3.254672,54,1
189,3.254747,54,1
190,3.254822,54,1
191,3.254897,54,1
192,3.258932,491,1
193,3.260298,536,1
194,3.261854,1514,-1
195,3.270965,984,-1
196,3.27718,60,-1
197,3.293028,54,1
198,3.323665,491,1
199,3.372128,491,1
200,3.381227,91,1
201,3.381665,91,1
202,3.382428,60,-1
203,3.38896,60,-1
204,3.397964,60,-1
205,3.398426,60,-1
206,3.466388,303,1
207,3.483271,60,-1
208,3.899488,161,-1
209,3.951979,155,-1
210,4.03251,155,-1
211,4.08606,66,1
