Serial number,time,size,direction
1,0.0,285,1
2,0.017609,60,-1
3,0.021572,1514,1
4,0.022892,341,1
5,0.030985,1514,1
6,0.032209,231,1
7,0.032619,1291,1
8,0.03489,491,1
9,0.035943,491,1
10,0.039196,60,-1
11,0.040449,60,-1
12,0.048654,60,-1
13,0.049677,60,-1
14,0.05028,60,-1
15,0.050284,99,-1
16,0.053411,60,-1
17,0.065816,1514,1
18,0.066188,631,1
19,0.066218,54,1
20,0.084194,60,-1
21,0.098613,1514,1
22,0.099434,1514,1
23,0.099465,1514,1
24,0.099488,1514,1
25,0.099511,1514,1
26,0.099535,1339,1
27,0.099559,491,1
28,0.099584,491,1
29,0.100888,491,1
30,0.100917,491,1
31,0.112104,1291,1
32,0.113446,491,1
33,0.117002,60,-1
34,0.117247,60,-1
35,0.11747,60,-1
36,0.117473,60,-1
37,0.118378,60,-1
38,0.130965,60,-1
39,0.142092,211,-1
40,0.16724,491,1
41,0.202272,54,1
42,0.222325,491,1
43,0.228414,60,-1
44,0.23996,60,-1
45,0.257959,491,1
46,0.276082,60,-1
47,0.320196,491,1
48,0.337703,60,-1
49,0.349438,491,1
50,0.366904,60,-1
51,0.421259,491,1
52,0.439183,60,-1
53,0.46517,491,1
54,0.482803,60,-1
55,0.510808,491,1
56,0.528351,60,-1
57,0.553984,491,1
58,0.571777,60,-1
59,0.625204,491,1
60,0.642779,60,-1
61,0.656447,491,1
62,0.673923,60,-1
63,0.717197,491,1
64,0.734824,60,-1
65,0.749075,491,1
66,0.766626,60,-1
67,0.820215,491,1
68,0.837823,60,-1
69,0.866801,491,1
70,0.884488,60,-1
71,0.906418,491,1
72,0.924225,60,-1
73,0.974933,491,1
74,0.992474,60,-1
75,1.022719,491,1
76,1.040204,60,-1
77,1.056991,491,1
78,1.074529,60,-1
79,1.121587,491,1
80,1.139113,60,-1
81,1.146715,491,1
82,1.164245,60,-1
83,1.215229,491,1
84,1.232772,60,-1
85,1.25775,491,1
86,1.275295,60,-1
87,1.305554,491,1
88,1.323043,60,-1
89,1.352595,491,1
90,1.370072,60,-1
91,1.423286,491,1
92,1.44085,60,-1
93,1.454321,491,1
94,1.471784,60,-1
95,1.518913,491,1
96,1.536432,60,-1
97,1.567322,491,1
98,1.585644,60,-1
99,1.61114,491,1
100,1.629315,60,-1
101,1.657563,491,1
102,1.67521,60,-1
103,1.714681,491,1
104,1.733153,60,-1
105,1.757109,491,1
106,1.775078,60,-1
107,1.827507,491,1
108,1.84517,60,-1
109,1.856877,491,1
110,1.874477,60,-1
111,1.916359,491,1
112,1.933876,60,-1
113,1.952337,491,1
114,1.969868,60,-1
115,2.017463,491,1
116,2.034985,60,-1
117,2.062506,491,1
118,2.080028,60,-1
119,2.080029,99,-1
120,2.097296,54,1
121,2.109672,491,1
122,2.161566,491,1
123,2.177958,60,-1
124,2.179024,60,-1
125,2.224559,491,1
126,2.242103,60,-1
127,2.267496,491,1
128,2.284985,60,-1
129,2.31769,491,1
130,2.335192,60,-1
131,2.346018,491,1
132,2.363614,149,-1
133,2.40223,54,1
134,2.414949,491,1
135,2.432452,99,-1
136,2.433617,54,1
137,2.449433,176,-1
138,2.450615,54,1
139,2.476896,491,1
140,2.519459,491,1
141,2.536918,60,-1
142,2.574332,491,1
143,2.627877,491,1
144,2.638026,60,-1
145,2.645405,60,-1
146,2.659538,491,1
147,2.677036,60,-1
148,2.687471,357,-1
149,2.687859,1514,-1
150,2.687992,1514,-1
151,2.687994,291,-1
152,2.690021,54,1
153,2.690307,54,1
154,2.731945,1514,-1
155,2.732045,1514,-1
156,2.732152,1267,-1
157,2.732285,1514,-1
158,2.732366,1514,-1
159,2.732512,328,-1
160,2.732514,1030,-1
161,2.732641,1514,-1
162,2.732744,1514,-1
163,2.732943,1267,-1
164,2.737562,54,1
165,2.738813,54,1
166,2.740371,54,1
167,2.741229,54,1
168,2.74197,54,1
169,2.755202,1514,-1
170,2.755433,1514,-1
171,2.756553,1514,-1
172,2.756767,1514,-1
173,2.757933,1514,-1
174,2.757967,54,1
175,2.758138,1514,-1
176,2.758878,1514,-1
177,2.759105,1514,-1
178,2.759623,1514,-1
179,2.75974,1514,-1
180,2.75998,1514,-1
181,2.760646,54,1
182,2.762447,54,1
183,2.763552,54,1
184,2.763706,54,1
185,2.775889,1514,-1
186,2.776368,1514,-1
187,2.778368,1514,-1
188,2.778704,1514,-1
189,2.78037,1514,-1
190,2.78058,1514,-1
191,2.781449,1514,-1
192,2.781453,1514,-1
193,2.781456,88,-1
194,2.783437,54,1
195,2.783785,54,1
196,2.783939,99,1
197,2.784081,99,1
198,2.784389,491,1
199,2.784424,54,1
200,2.785703,491,1
201,2.786125,54,1
202,2.801647,60,-1
203,2.803277,60,-1
204,2.819262,54,1
205,2.83902,491,1
206,2.865017,491,1
207,2.882615,60,-1
208,2.907178,491,1
209,2.92773,91,1
210,2.929566,91,1
211,2.945162,60,-1
212,2.988057,60,-1
213,3.038366,394,1
214,3.055854,60,-1
215,3.072336,156,-1
216,3.115198,153,-1
217,3.164486,54,1
218,3.164573,54,1
219,3.178916,153,-1
220,3.189395,66,1
