Serial number,time,size,direction
1,0.0,287,1
2,0.016807,60,-1
3,0.018065,941,1
4,0.026433,1514,1
5,0.028007,631,1
6,0.028035,491,1
7,0.028056,491,1
8,0.029251,491,1
9,0.029926,491,1
10,0.031201,491,1
11,0.03492,60,-1
12,0.04351,60,-1
13,0.044848,60,-1
14,0.044852,60,-1
15,0.044853,60,-1
16,0.046049,60,-1
17,0.046788,60,-1
18,0.047999,60,-1
19,0.0567,928,1
20,0.07215,491,1
21,0.073782,60,-1
22,0.077034,491,1
23,0.078627,1514,1
24,0.078657,342,1
25,0.080034,491,1
26,0.080326,491,1
27,0.0809,491,1
28,0.086792,491,1
29,0.088958,60,-1
30,0.092963,1514,1
31,0.093807,60,-1
32,0.095569,60,-1
33,0.096809,60,-1
34,0.097081,60,-1
35,0.097623,60,-1
36,0.097973,1216,1
37,0.101377,491,1
38,0.103558,60,-1
39,0.107588,1514,1
40,0.109048,1031,1
41,0.10991,60,-1
42,0.114873,60,-1
43,0.118155,60,-1
44,0.124484,60,-1
45,0.125871,60,-1
46,0.128395,491,1
47,0.140358,215,-1
48,0.141726,54,1
49,0.185263,60,-1
50,0.190611,491,1
51,0.207425,60,-1
52,0.237413,491,1
53,0.254202,60,-1
54,0.287905,491,1
55,0.308781,60,-1
56,0.308943,99,-1
57,0.312475,54,1
58,0.339024,491,1
59,0.402321,491,1
60,0.405483,60,-1
61,0.41928,60,-1
62,0.434943,491,1
63,0.451842,60,-1
64,0.524276,491,1
65,0.526341,491,1
66,0.541074,60,-1
67,0.543145,60,-1
68,0.598045,491,1
69,0.6148,60,-1
70,0.641645,491,1
71,0.658475,60,-1
72,0.68916,491,1
73,0.705924,60,-1
74,0.751058,491,1
75,0.767889,60,-1
76,0.797135,491,1
77,0.813942,60,-1
78,0.831461,491,1
79,0.848434,60,-1
80,0.90272,491,1
81,0.919584,60,-1
82,0.931569,491,1
83,0.948576,60,-1
84,0.995696,491,1
85,1.012552,60,-1
86,1.044903,491,1
87,1.061679,60,-1
88,1.088509,491,1
89,1.105379,60,-1
90,1.141761,491,1
91,1.158725,60,-1
92,1.223367,491,1
93,1.234775,491,1
94,1.240238,60,-1
95,1.251837,60,-1
96,1.300821,491,1
97,1.320122,60,-1
98,1.333378,491,1
99,1.382581,60,-1
100,1.389089,491,1
101,1.441683,491,1
102,1.455383,60,-1
103,1.473143,60,-1
104,1.494488,491,1
105,1.514689,60,-1
106,1.536003,491,1
107,1.553011,60,-1
108,1.602335,491,1
109,1.619178,60,-1
110,1.63358,491,1
111,1.650419,60,-1
112,1.7003,491,1
113,1.717085,60,-1
114,1.727804,491,1
115,1.744579,60,-1
116,1.813675,491,1
117,1.830977,60,-1
118,1.841827,491,1
119,1.858641,60,-1
120,1.889015,491,1
121,1.906082,60,-1
122,1.937268,149,-1
123,1.939089,491,1
124,1.982734,54,1
125,2.001468,491,1
126,2.005332,60,-1
127,2.018439,60,-1
128,2.051603,491,1
129,2.060331,174,-1
130,2.061624,54,1
131,2.068439,60,-1
132,2.104558,491,1
133,2.121515,60,-1
134,2.135795,491,1
135,2.152683,60,-1
136,2.211771,491,1
137,2.228567,60,-1
138,2.24631,491,1
139,2.263165,60,-1
140,2.287788,491,1
141,2.304614,60,-1
142,2.33509,491,1
143,2.337829,220,-1
144,2.33827,1514,-1
145,2.338476,789,-1
146,2.339561,54,1
147,2.340878,54,1
148,2.341136,54,1
149,2.343909,1514,-1
150,2.344012,1514,-1
151,2.344254,1267,-1
152,2.344256,219,-1
153,2.345769,54,1
154,2.346622,54,1
155,2.346882,54,1
156,2.347596,54,1
157,2.385793,1514,-1
158,2.385921,1514,-1
159,2.386009,1267,-1
160,2.386137,1514,-1
161,2.386217,1514,-1
162,2.386374,328,-1
163,2.386375,1030,-1
164,2.386495,1514,-1
165,2.386596,1514,-1
166,2.386712,1267,-1
167,2.386789,1514,-1
168,2.386898,847,-1
169,2.386977,1514,-1
170,2.387144,511,-1
171,2.395732,54,1
172,2.395996,54,1
173,2.396122,54,1
174,2.396245,54,1
175,2.396368,54,1
176,2.396489,54,1
177,2.39661,54,1
178,2.396734,54,1
179,2.409632,99,1
180,2.409883,54,1
181,2.410043,54,1
182,2.41021,491,1
183,2.412696,1514,-1
184,2.412814,1514,-1
185,2.412929,1514,-1
186,2.413046,1514,-1
187,2.413172,1514,-1
188,2.413302,1514,-1
189,2.413419,1514,-1
190,2.413532,1514,-1
191,2.413667,1514,-1
192,2.41378,1514,-1
193,2.413911,1514,-1
194,2.414035,1514,-1
195,2.414158,1514,-1
196,2.414355,1514,-1
197,2.416303,54,1
198,2.420587,54,1
199,2.420871,54,1
200,2.421007,54,1
201,2.42114,54,1
202,2.421985,99,1
203,2.422168,54,1
204,2.426966,1514,-1
205,2.426971,1514,-1
206,2.42717,447,-1
207,2.427171,91,-1
208,2.438813,60,-1
209,2.454287,54,1
210,2.454484,54,1
211,2.455938,491,1
212,2.472911,99,-1
213,2.48689,91,1
214,2.487098,91,1
215,2.503839,60,-1
216,2.544762,304,1
217,2.605337,60,-1
218,2.78054,160,-1
219,2.805798,151,-1
220,2.857688,54,1
221,2.897149,54,1
