Serial number,time,size,direction
1,0.0,1514,1
2,0.000213,211,1
3,0.012004,1514,1
4,0.012825,231,1
5,0.016996,60,-1
6,0.024719,891,1
7,0.028967,60,-1
8,0.029549,60,-1
9,0.035144,260,1
10,0.039727,1291,1
11,0.041613,60,-1
12,0.04699,491,1
13,0.052101,60,-1
14,0.056646,60,-1
15,0.063777,60,-1
16,0.080245,1514,1
17,0.081634,1468,1
18,0.084812,1514,1
19,0.086784,1514,1
20,0.086815,1514,1
21,0.086838,548,1
22,0.08997,891,1
23,0.092101,491,1
24,0.097187,60,-1
25,0.098571,60,-1
26,0.099685,491,1
27,0.101773,60,-1
28,0.103836,60,-1
29,0.103838,60,-1
30,0.104071,60,-1
31,0.106793,60,-1
32,0.108945,60,-1
33,0.116886,60,-1
34,0.141778,491,1
35,0.146897,217,-1
36,0.160285,54,1
37,0.184556,491,1
38,0.201395,60,-1
39,0.259184,491,1
40,0.281769,491,1
41,0.298917,60,-1
42,0.346092,491,1
43,0.380283,491,1
44,0.397145,60,-1
45,0.443666,491,1
46,0.491287,491,1
47,0.504243,60,-1
48,0.508091,60,-1
49,0.539904,491,1
50,0.556828,60,-1
51,0.591549,491,1
52,0.608508,60,-1
53,0.651838,491,1
54,0.668761,60,-1
55,0.683633,491,1
56,0.70049,60,-1
57,0.749529,491,1
58,0.766506,60,-1
59,0.779685,491,1
60,0.79653,60,-1
61,0.844323,491,1
62,0.861244,60,-1
63,0.888085,491,1
64,0.904836,60,-1
65,0.937647,491,1
66,0.954519,60,-1
67,0.984596,491,1
68,1.001418,60,-1
69,1.046585,491,1
70,1.063473,60,-1
71,1.080067,491,1
72,1.096979,60,-1
73,1.15096,491,1
74,1.167996,60,-1
75,1.174694,491,1
76,1.191717,60,-1
77,1.244935,491,1
78,1.261883,60,-1
79,1.29092,491,1
80,1.307704,60,-1
81,1.345324,491,1
82,1.362156,60,-1
83,1.389199,491,1
84,1.406045,60,-1
85,1.460359,491,1
86,1.477175,60,-1
87,1.482041,491,1
88,1.498893,60,-1
89,1.547644,491,1
90,1.564561,60,-1
91,1.59581,491,1
92,1.612712,60,-1
93,1.642102,491,1
94,1.658981,60,-1
95,1.695581,491,1
96,1.712444,60,-1
97,1.739802,491,1
98,1.756624,60,-1
99,1.781583,491,1
100,1.798407,60,-1
101,1.854506,491,1
102,1.871309,60,-1
103,1.878478,491,1
104,1.895266,60,-1
105,1.954957,491,1
106,1.971745,60,-1
107,1.991336,491,1
108,2.008093,60,-1
109,2.044267,491,1
110,2.061095,60,-1
111,2.061103,99,-1
112,2.086142,491,1
113,2.137893,491,1
114,2.144264,60,-1
115,2.154826,60,-1
116,2.182768,491,1
117,2.19984,60,-1
118,2.250003,491,1
119,2.26706,60,-1
120,2.281375,491,1
121,2.298151,60,-1
122,2.347772,491,1
123,2.364676,60,-1
124,2.379663,491,1
125,2.396572,60,-1
126,2.445518,491,1
127,2.462328,60,-1
128,2.49193,491,1
129,2.508688,60,-1
130,2.539587,491,1
131,2.556356,60,-1
132,2.556357,99,-1
133,2.587948,491,1
134,2.653776,491,1
135,2.654225,60,-1
136,2.670656,60,-1
137,2.691622,491,1
138,2.708533,60,-1
139,2.74601,491,1
140,2.762875,60,-1
141,2.777109,491,1
142,2.793884,60,-1
143,2.843229,491,1
144,2.860351,60,-1
145,2.888948,491,1
146,2.905719,60,-1
147,2.965793,491,1
148,2.982656,60,-1
149,2.985808,491,1
150,3.002595,60,-1
151,3.049377,491,1
152,3.066305,60,-1
153,3.08796,491,1
154,3.104805,60,-1
155,3.151009,491,1
156,3.168044,60,-1
157,3.175713,491,1
158,3.192907,60,-1
159,3.249851,491,1
160,3.266769,60,-1
161,3.286601,491,1
162,3.303485,60,-1
163,3.338083,151,-1
164,3.442275,491,1
165,3.442487,491,1
166,3.442503,491,1
167,3.454189,491,1
168,3.459253,60,-1
169,3.459255,66,-1
170,3.470966,60,-1
171,3.526715,174,-1
172,3.603603,491,1
173,3.603802,491,1
174,3.603817,491,1
175,3.603828,491,1
176,3.62037,60,-1
177,3.620626,66,-1
178,3.620628,60,-1
179,3.620629,60,-1
180,3.648043,491,1
181,3.664886,60,-1
182,3.710655,491,1
183,3.727514,60,-1
184,3.744117,491,1
185,3.759078,221,-1
186,3.75942,1514,-1
187,3.759518,1514,-1
188,3.759519,218,-1
189,3.765303,1514,-1
190,3.765306,1514,-1
191,3.765524,1267,-1
192,3.765525,125,-1
193,3.813881,1514,-1
194,3.84567,491,1
195,3.897269,491,1
196,3.897437,491,1
197,3.897453,54,1
198,3.897537,54,1
199,3.897608,54,1
200,3.897679,54,1
201,3.914053,60,-1
202,3.91437,1514,-1
203,3.914489,1514,-1
204,3.914608,1514,-1
205,3.914738,1514,-1
206,3.914856,1514,-1
207,3.914989,1514,-1
208,3.915109,1514,-1
209,3.91523,1514,-1
210,3.915349,1514,-1
211,3.915553,1514,-1
212,3.928238,54,1
213,3.945106,1514,-1
