Serial number,time,size,direction
1,0.0,292,1
2,0.016546,60,-1
3,0.065411,1125,1
4,0.075761,1514,1
5,0.082063,60,-1
6,0.084411,1514,1
7,0.085771,519,1
8,0.092406,60,-1
9,0.101102,60,-1
10,0.102298,60,-1
11,0.111858,99,-1
12,0.118667,1514,1
13,0.11996,1514,1
14,0.119993,1514,1
15,0.120015,1514,1
16,0.120054,1514,1
17,0.120075,54,1
18,0.136637,60,-1
19,0.136862,60,-1
20,0.181345,60,-1
21,0.181917,1514,1
22,0.182293,1514,1
23,0.182323,1514,1
24,0.182347,1514,1
25,0.184808,1514,1
26,0.198628,60,-1
27,0.198953,60,-1
28,0.199148,60,-1
29,0.19915,60,-1
30,0.200335,1514,1
31,0.201341,600,1
32,0.201462,60,-1
33,0.217044,60,-1
34,0.217863,60,-1
35,0.219851,217,-1
36,0.221278,54,1
37,0.22986,491,1
38,0.290056,491,1
39,0.30138,60,-1
40,0.306757,60,-1
41,0.351822,491,1
42,0.368456,60,-1
43,0.37056,491,1
44,0.387137,60,-1
45,0.458305,491,1
46,0.474871,60,-1
47,0.534703,491,1
48,0.535774,491,1
49,0.551281,60,-1
50,0.552321,60,-1
51,0.639669,491,1
52,0.656385,60,-1
53,0.673711,491,1
54,0.675061,491,1
55,0.690393,60,-1
56,0.691778,60,-1
57,0.757533,491,1
58,0.774288,60,-1
59,0.78131,491,1
60,0.797848,60,-1
61,0.840366,491,1
62,0.856961,60,-1
63,0.878324,491,1
64,0.894867,60,-1
65,0.948606,491,1
66,0.965203,60,-1
67,0.983291,491,1
68,0.999928,60,-1
69,1.121315,491,1
70,1.121356,491,1
71,1.137924,60,-1
72,1.137927,60,-1
73,1.140377,491,1
74,1.157048,60,-1
75,1.174551,491,1
76,1.191127,60,-1
77,1.239623,491,1
78,1.256243,60,-1
79,1.269661,491,1
80,1.28616,60,-1
81,1.334978,491,1
82,1.351495,60,-1
83,1.377687,491,1
84,1.394291,60,-1
85,1.437044,491,1
86,1.453596,60,-1
87,1.473885,491,1
88,1.490469,60,-1
89,1.546601,491,1
90,1.563186,60,-1
91,1.569942,491,1
92,1.586484,60,-1
93,1.638288,491,1
94,1.654861,60,-1
95,1.671183,491,1
96,1.687987,60,-1
97,1.734955,491,1
98,1.751615,60,-1
99,1.780311,491,1
100,1.797007,60,-1
101,1.826579,491,1
102,1.84324,60,-1
103,1.874869,491,1
104,1.891475,60,-1
105,1.943388,491,1
106,1.977279,491,1
107,1.993812,60,-1
108,2.03766,491,1
109,2.076827,491,1
110,2.093312,60,-1
111,2.130855,491,1
112,2.132362,99,-1
113,2.179763,54,1
114,2.181107,491,1
115,2.191374,60,-1
116,2.202584,60,-1
117,2.228037,491,1
118,2.244684,60,-1
119,2.276365,491,1
120,2.292924,60,-1
121,2.342362,491,1
122,2.358914,60,-1
123,2.358915,99,-1
124,2.366571,54,1
125,2.373041,491,1
126,2.431445,60,-1
127,2.434983,491,1
128,2.451502,60,-1
129,2.468606,491,1
130,2.485159,60,-1
131,2.538702,491,1
132,2.555297,60,-1
133,2.583038,491,1
134,2.599634,60,-1
135,2.630955,491,1
136,2.647504,60,-1
137,2.677108,491,1
138,2.693684,60,-1
139,2.742913,491,1
140,2.759686,60,-1
141,2.774458,491,1
142,2.791482,60,-1
143,2.839475,491,1
144,2.856109,60,-1
145,2.869676,491,1
146,2.886238,60,-1
147,2.938952,491,1
148,2.955488,60,-1
149,2.978055,491,1
150,2.994642,60,-1
151,3.026753,491,1
152,3.043758,60,-1
153,3.074731,491,1
154,3.091308,60,-1
155,3.14539,491,1
156,3.161902,60,-1
157,3.180311,491,1
158,3.196864,60,-1
159,3.242726,491,1
160,3.259368,60,-1
161,3.27204,491,1
162,3.288677,60,-1
163,3.337175,491,1
164,3.353718,60,-1
165,3.381261,491,1
166,3.397823,60,-1
167,3.428488,491,1
168,3.444999,60,-1
169,3.476571,491,1
170,3.493112,60,-1
171,3.547382,491,1
172,3.563921,60,-1
173,3.572348,491,1
174,3.588981,60,-1
175,3.622154,152,-1
176,3.638406,491,1
177,3.667043,491,1
178,3.683608,60,-1
179,3.736407,491,1
180,3.783069,491,1
181,3.799687,60,-1
182,3.828732,491,1
183,3.879178,491,1
184,3.891539,60,-1
185,3.895986,60,-1
186,3.941383,491,1
187,3.958261,60,-1
188,3.972876,491,1
189,3.989391,60,-1
190,4.038707,491,1
191,4.055475,60,-1
192,4.069644,491,1
193,4.086213,60,-1
194,4.133307,491,1
195,4.152643,60,-1
196,4.186968,491,1
197,4.203659,60,-1
198,4.207206,174,-1
199,4.231421,491,1
200,4.282528,491,1
201,4.291379,60,-1
202,4.299149,60,-1
203,4.353163,491,1
204,4.369746,60,-1
205,4.376568,491,1
206,4.393123,60,-1
207,4.446852,491,1
208,4.463383,60,-1
209,4.469803,491,1
210,4.486513,60,-1
211,4.522441,214,-1
212,4.522761,1514,-1
213,4.522969,716,-1
214,4.526086,54,1
215,4.52968,1514,-1
216,4.529786,1514,-1
217,4.529976,1267,-1
218,4.532851,54,1
219,4.533267,54,1
220,4.538344,491,1
221,4.542657,1083,-1
222,4.554866,60,-1
223,4.576495,1514,-1
224,4.5766,1514,-1
225,4.576713,1267,-1
226,4.576861,1514,-1
227,4.576934,1514,-1
228,4.576935,328,-1
229,4.577064,1030,-1
230,4.577205,1514,-1
231,4.57741,1514,-1
232,4.580067,54,1
233,4.58023,54,1
234,4.580307,54,1
235,4.580384,54,1
236,4.581539,491,1
237,4.581699,54,1
238,4.583704,54,1
239,4.596792,1514,-1
240,4.596916,1514,-1
241,4.597132,1514,-1
242,4.598355,1514,-1
243,4.598478,54,1
244,4.598497,1514,-1
245,4.598499,304,-1
246,4.602177,54,1
247,4.602448,54,1
248,4.628407,491,1
249,4.640029,91,1
250,4.640306,91,1
251,4.656486,60,-1
252,4.701387,60,-1
253,4.787594,302,1
254,4.804193,60,-1
255,4.86682,159,-1
256,4.891155,155,-1
257,4.903243,54,1
