Serial number,time,size,direction
1,0.0,290,1
2,0.016162,60,-1
3,0.018062,962,1
4,0.034318,60,-1
5,0.036472,1291,1
6,0.03784,1291,1
7,0.049747,1514,1
8,0.05147,1514,1
9,0.051501,771,1
10,0.052768,60,-1
11,0.054118,60,-1
12,0.056537,1514,1
13,0.058235,1431,1
14,0.058265,491,1
15,0.058289,491,1
16,0.058946,491,1
17,0.066093,60,-1
18,0.067783,60,-1
19,0.067785,60,-1
20,0.072899,60,-1
21,0.074578,60,-1
22,0.074581,60,-1
23,0.074583,60,-1
24,0.075149,60,-1
25,0.157387,219,-1
26,0.177348,1514,1
27,0.178287,1514,1
28,0.178869,1514,1
29,0.178901,1514,1
30,0.180178,332,1
31,0.193669,60,-1
32,0.193835,99,-1
33,0.195238,60,-1
34,0.196407,60,-1
35,0.259319,99,-1
36,0.309918,491,1
37,0.310205,491,1
38,0.310344,66,1
39,0.314643,491,1
40,0.326418,60,-1
41,0.362323,491,1
42,0.378622,60,-1
43,0.446004,491,1
44,0.447458,491,1
45,0.463739,60,-1
46,0.512319,491,1
47,0.569257,60,-1
48,0.572837,491,1
49,0.589143,60,-1
50,0.609125,491,1
51,0.625385,60,-1
52,0.651141,491,1
53,0.667423,60,-1
54,0.72507,491,1
55,0.74122,60,-1
56,0.767051,491,1
57,0.783298,60,-1
58,0.808557,491,1
59,0.824746,60,-1
60,0.844932,491,1
61,0.861114,60,-1
62,0.91363,77,1
63,0.913842,491,1
64,0.930057,60,-1
65,0.93099,77,-1
66,0.934131,66,1
67,0.953806,491,1
68,0.970069,60,-1
69,1.000725,491,1
70,1.017089,60,-1
71,1.049681,491,1
72,1.066014,60,-1
73,1.118448,491,1
74,1.134673,60,-1
75,1.149233,491,1
76,1.212751,491,1
77,1.219188,60,-1
78,1.243669,491,1
79,1.259938,60,-1
80,1.307384,491,1
81,1.332946,60,-1
82,1.358467,491,1
83,1.374709,60,-1
84,1.40522,491,1
85,1.422251,60,-1
86,1.452472,491,1
87,1.468798,60,-1
88,1.515719,491,1
89,1.532016,60,-1
90,1.554679,491,1
91,1.570909,60,-1
92,1.6136,491,1
93,1.629825,60,-1
94,1.642442,491,1
95,1.658793,60,-1
96,1.707693,491,1
97,1.723897,60,-1
98,1.752851,491,1
99,1.769005,60,-1
100,1.806997,491,1
101,1.823185,60,-1
102,1.854614,491,1
103,1.87082,60,-1
104,1.924226,491,1
105,1.940485,60,-1
106,1.948203,491,1
107,1.964419,60,-1
108,2.012099,491,1
109,2.028359,60,-1
110,2.042259,491,1
111,2.058597,60,-1
112,2.113042,491,1
113,2.129251,60,-1
114,2.1582,491,1
115,2.174379,60,-1
116,2.21106,491,1
117,2.227236,60,-1
118,2.249532,491,1
119,2.265766,60,-1
120,2.322183,491,1
121,2.338366,60,-1
122,2.338368,99,-1
123,2.346736,491,1
124,2.417257,491,1
125,2.419209,60,-1
126,2.433571,60,-1
127,2.442664,491,1
128,2.458878,60,-1
129,2.510938,491,1
130,2.527342,60,-1
131,2.554447,491,1
132,2.570738,60,-1
133,2.602398,491,1
134,2.618831,60,-1
135,2.651266,491,1
136,2.667445,60,-1
137,2.721344,491,1
138,2.737514,60,-1
139,2.746337,491,1
140,2.76253,60,-1
141,2.8165,491,1
142,2.832679,60,-1
143,2.841756,491,1
144,2.857959,60,-1
145,2.91343,491,1
146,2.929633,60,-1
147,2.957241,491,1
148,2.973486,60,-1
149,3.01366,491,1
150,3.02995,60,-1
151,3.053454,491,1
152,3.069716,60,-1
153,3.117563,491,1
154,3.133821,60,-1
155,3.148317,491,1
156,3.164639,60,-1
157,3.213629,491,1
158,3.229871,60,-1
159,3.247866,491,1
160,3.264046,60,-1
161,3.312134,491,1
162,3.328372,60,-1
163,3.356793,491,1
164,3.372979,60,-1
165,3.404941,491,1
166,3.416383,151,-1
