Serial number,time,size,direction
1,0.0,278,1
2,0.043374,1100,1
3,0.045715,1291,1
4,0.046112,1291,1
5,0.047491,491,1
6,0.059723,60,-1
7,0.062437,60,-1
8,0.067189,891,1
9,0.083505,60,-1
10,0.084716,491,1
11,0.085058,1514,1
12,0.094082,1031,1
13,0.096294,1514,1
14,0.096328,1514,1
15,0.102537,60,-1
16,0.110478,99,-1
17,0.112771,60,-1
18,0.115892,1514,1
19,0.116256,1514,1
20,0.128016,1514,1
21,0.129397,1376,1
22,0.132628,60,-1
23,0.145837,60,-1
24,0.157739,491,1
25,0.159917,211,-1
26,0.197709,491,1
27,0.213963,60,-1
28,0.242267,491,1
29,0.297027,491,1
30,0.304678,60,-1
31,0.313284,60,-1
32,0.365532,491,1
33,0.381678,60,-1
34,0.386318,491,1
35,0.402595,60,-1
36,0.456267,491,1
37,0.472547,60,-1
38,0.488662,491,1
39,0.504937,60,-1
40,0.551341,491,1
41,0.567582,60,-1
42,0.595255,491,1
43,0.61163,60,-1
44,0.624525,60,-1
45,0.642033,491,1
46,0.658232,60,-1
47,0.686849,54,1
48,0.696399,491,1
49,0.712612,60,-1
50,0.759426,491,1
51,0.775625,60,-1
52,0.795863,491,1
53,0.81205,60,-1
54,0.855435,491,1
55,0.871647,60,-1
56,0.887808,491,1
57,0.904016,60,-1
58,0.95914,491,1
59,0.975518,60,-1
60,1.000756,491,1
61,1.017097,60,-1
62,1.04186,491,1
63,1.05816,60,-1
64,1.091018,491,1
65,1.107317,60,-1
66,1.156491,491,1
67,1.172721,60,-1
68,1.187831,491,1
69,1.204065,60,-1
70,1.252777,491,1
71,1.269001,60,-1
72,1.283077,491,1
73,1.299348,60,-1
74,1.349446,491,1
75,1.36569,60,-1
76,1.39545,491,1
77,1.411661,60,-1
78,1.447906,491,1
79,1.46425,60,-1
80,1.491992,491,1
81,1.508366,60,-1
82,1.558392,491,1
83,1.574692,60,-1
84,1.589358,491,1
85,1.605619,60,-1
86,1.655252,491,1
87,1.671475,60,-1
88,1.688117,491,1
89,1.704301,60,-1
90,1.753751,491,1
91,1.769927,60,-1
92,1.802786,491,1
93,1.803981,150,-1
94,1.837261,54,1
95,1.841483,491,1
96,1.857774,60,-1
97,1.890349,491,1
98,1.954753,60,-1
99,1.959222,491,1
100,1.97563,60,-1
101,1.987092,491,1
102,2.003348,60,-1
103,2.052955,491,1
104,2.069265,60,-1
105,2.085964,491,1
106,2.102257,60,-1
107,2.124204,167,-1
108,2.161256,491,1
109,2.162438,54,1
110,2.20649,491,1
111,2.222688,60,-1
112,2.288608,491,1
113,2.293725,491,1
114,2.310087,60,-1
115,2.385204,491,1
116,2.401616,99,-1
117,2.440512,491,1
118,2.440651,54,1
119,2.458081,491,1
120,2.474382,60,-1
121,2.516246,491,1
122,2.551576,491,1
123,2.567842,60,-1
124,2.601718,491,1
125,2.66471,60,-1
126,2.675029,491,1
127,2.691293,60,-1
128,2.698885,491,1
129,2.715145,60,-1
130,2.78609,491,1
131,2.802362,60,-1
132,2.868273,491,1
133,2.869571,491,1
134,2.876128,207,-1
135,2.876505,1514,-1
136,2.876694,857,-1
137,2.877753,54,1
138,2.878211,54,1
139,2.879339,54,1
140,2.883003,1514,-1
141,2.883094,1514,-1
142,2.883264,1267,-1
143,2.884657,60,-1
144,2.884875,54,1
145,2.885809,60,-1
146,2.888153,54,1
147,2.888303,54,1
148,2.893947,429,-1
149,2.894701,491,1
150,2.90164,1514,-1
151,2.901744,1514,-1
152,2.901898,1267,-1
153,2.90449,1514,-1
154,2.904599,1514,-1
155,2.904796,1514,-1
156,2.915956,54,1
157,2.917165,54,1
158,2.918198,54,1
159,2.932341,1514,-1
160,2.932525,1514,-1
161,2.933372,711,-1
162,2.934687,54,1
163,2.940148,54,1
164,2.962305,99,1
165,2.963566,491,1
166,2.979794,60,-1
167,3.019477,491,1
168,3.04875,491,1
169,3.065017,60,-1
170,3.076709,91,1
171,3.090131,91,1
172,3.106411,60,-1
173,3.154209,303,1
174,3.214741,60,-1
175,3.524834,157,-1
176,3.566131,152,-1
177,3.567456,54,1
178,3.567603,54,1
