Serial number,time,size,direction
1,0.0,291,1
2,0.015255,960,1
3,0.016213,60,-1
4,0.031496,60,-1
5,0.042977,1514,1
6,0.048899,1514,1
7,0.049397,1514,1
8,0.049431,148,1
9,0.05328,1291,1
10,0.059296,60,-1
11,0.060778,1514,1
12,0.065181,60,-1
13,0.065737,60,-1
14,0.067006,1514,1
15,0.067422,1514,1
16,0.067723,481,1
17,0.069578,60,-1
18,0.077115,60,-1
19,0.08331,60,-1
20,0.083707,60,-1
21,0.083875,60,-1
22,0.096523,891,1
23,0.104558,491,1
24,0.110668,1291,1
25,0.112736,60,-1
26,0.114031,1291,1
27,0.116818,491,1
28,0.120755,60,-1
29,0.122887,491,1
30,0.124269,491,1
31,0.126984,60,-1
32,0.130337,60,-1
33,0.130339,99,-1
34,0.131776,54,1
35,0.137104,218,-1
36,0.140468,60,-1
37,0.158792,491,1
38,0.168728,491,1
39,0.184959,60,-1
40,0.23326,491,1
41,0.264614,491,1
42,0.280798,60,-1
43,0.330494,491,1
44,0.359668,491,1
45,0.375868,60,-1
46,0.423412,491,1
47,0.470239,491,1
48,0.486578,60,-1
49,0.516183,491,1
50,0.567089,491,1
51,0.58345,60,-1
52,0.633063,491,1
53,0.658933,491,1
54,0.675189,60,-1
55,0.730136,491,1
56,0.755869,491,1
57,0.772112,60,-1
58,0.830189,491,1
59,0.883622,491,1
60,0.899794,60,-1
61,0.921745,491,1
62,0.967425,491,1
63,0.983629,60,-1
64,1.030084,491,1
65,1.068803,491,1
66,1.08507,60,-1
67,1.131059,491,1
68,1.157936,491,1
69,1.17424,60,-1
70,1.223366,491,1
71,1.275155,491,1
72,1.291358,60,-1
73,1.322978,491,1
74,1.369622,491,1
75,1.385785,60,-1
76,1.43792,491,1
77,1.463213,491,1
78,1.479456,60,-1
79,1.53116,491,1
80,1.559003,491,1
81,1.575344,60,-1
82,1.624811,491,1
83,1.677257,491,1
84,1.693516,60,-1
85,1.718788,491,1
86,1.770604,491,1
87,1.785139,60,-1
88,1.786782,60,-1
89,1.831527,491,1
90,1.847717,60,-1
91,1.861745,491,1
92,1.877912,60,-1
93,1.925306,491,1
94,1.941455,60,-1
95,1.963877,491,1
96,1.98011,60,-1
97,2.0192,491,1
98,2.03553,60,-1
99,2.065954,491,1
100,2.082247,60,-1
101,2.12025,491,1
102,2.136534,60,-1
103,2.167065,491,1
104,2.18337,60,-1
105,2.243078,491,1
106,2.259225,60,-1
107,2.269888,491,1
108,2.286076,60,-1
109,2.379901,491,1
110,2.396101,60,-1
111,2.396248,99,-1
112,2.415337,491,1
113,2.424532,491,1
114,2.440759,60,-1
115,2.477222,491,1
116,2.524595,491,1
117,2.540793,60,-1
118,2.566487,491,1
119,2.635246,60,-1
120,2.699488,491,1
121,2.715864,60,-1
122,2.741477,491,1
123,2.742763,491,1
124,2.757881,60,-1
125,2.758229,491,1
126,2.758935,60,-1
127,2.77445,60,-1
128,2.897014,491,1
129,2.89749,491,1
130,2.913255,60,-1
131,2.913642,60,-1
132,2.920035,491,1
133,2.936277,60,-1
134,2.96622,152,-1
135,2.973411,491,1
136,3.034179,491,1
137,3.035186,60,-1
138,3.050358,60,-1
139,3.065181,491,1
140,3.081435,60,-1
141,3.130662,491,1
142,3.146991,60,-1
143,3.161072,491,1
144,3.177422,60,-1
145,3.223678,491,1
146,3.239981,60,-1
147,3.268459,491,1
148,3.268885,174,-1
149,3.308495,54,1
150,3.314598,491,1
151,3.325121,60,-1
152,3.330757,60,-1
153,3.373937,491,1
154,3.390182,60,-1
155,3.42882,491,1
156,3.445029,60,-1
157,3.467092,491,1
158,3.483378,60,-1
159,3.53002,491,1
160,3.546238,60,-1
161,3.568057,491,1
162,3.584311,60,-1
163,3.624828,491,1
164,3.641307,60,-1
165,3.671513,491,1
166,3.687852,60,-1
167,3.718219,491,1
168,3.734451,60,-1
169,3.758401,214,-1
170,3.758745,1514,-1
171,3.758929,833,-1
172,3.760081,54,1
173,3.762777,54,1
174,3.762867,54,1
175,3.76924,1514,-1
176,3.769388,1514,-1
177,3.769432,1267,-1
178,3.769433,305,-1
179,3.771506,491,1
180,3.773045,54,1
181,3.77332,54,1
182,3.782304,1514,-1
183,3.78241,1514,-1
184,3.782523,1267,-1
185,3.782669,1514,-1
186,3.782745,1514,-1
187,3.782746,328,-1
188,3.782825,1030,-1
189,3.783017,785,-1
190,3.783019,91,-1
191,3.78494,54,1
192,3.786025,54,1
193,3.787004,54,1
194,3.787647,99,1
195,3.787866,54,1
196,3.803822,60,-1
197,3.818531,54,1
198,3.830998,491,1
199,3.880167,491,1
200,3.895158,60,-1
201,3.896336,60,-1
202,3.914836,91,1
203,3.91492,91,1
204,3.93094,60,-1
205,3.930941,60,-1
206,3.949313,301,1
207,3.965489,60,-1
208,4.38578,162,-1
209,4.390855,54,1
210,4.436475,149,-1
211,4.441271,54,1
