Serial number,time,size,direction
1,0.0,289,1
2,0.024982,1078,1
3,0.025396,823,1
4,0.041632,60,-1
5,0.091362,60,-1
6,0.112722,1078,1
7,0.114382,1078,1
8,0.114414,1078,1
9,0.114441,619,1
10,0.121098,491,1
11,0.122571,491,1
12,0.123342,491,1
13,0.125828,491,1
14,0.127469,491,1
15,0.129336,60,-1
16,0.130315,491,1
17,0.13098,60,-1
18,0.130982,60,-1
19,0.130984,60,-1
20,0.132496,491,1
21,0.135957,491,1
22,0.137344,491,1
23,0.1376,60,-1
24,0.138661,491,1
25,0.139036,60,-1
26,0.139874,491,1
27,0.139872,60,-1
28,0.14172,491,1
29,0.1424,60,-1
30,0.142663,491,1
31,0.143976,60,-1
32,0.143977,99,-1
33,0.144147,491,1
34,0.145864,491,1
35,0.146153,54,1
36,0.149148,60,-1
37,0.150115,218,-1
38,0.153828,60,-1
39,0.156392,60,-1
40,0.159175,60,-1
41,0.162398,60,-1
42,0.173647,1078,1
43,0.175076,1078,1
44,0.175107,1078,1
45,0.176575,1078,1
46,0.176605,328,1
47,0.178062,491,1
48,0.179428,491,1
49,0.182673,491,1
50,0.184133,491,1
51,0.184161,491,1
52,0.191675,60,-1
53,0.193171,60,-1
54,0.195997,60,-1
55,0.196539,1078,1
56,0.19843,1078,1
57,0.198462,191,1
58,0.198485,491,1
59,0.20067,60,-1
60,0.209358,491,1
61,0.213173,60,-1
62,0.215044,60,-1
63,0.225983,60,-1
64,0.275731,491,1
65,0.325474,491,1
66,0.341436,60,-1
67,0.342128,60,-1
68,0.370604,491,1
69,0.387161,60,-1
70,0.422863,491,1
71,0.439468,60,-1
72,0.485913,491,1
73,0.502624,60,-1
74,0.517414,491,1
75,0.534049,60,-1
76,0.585518,491,1
77,0.602089,60,-1
78,0.60868,491,1
79,0.625382,60,-1
80,0.681381,491,1
81,0.698029,60,-1
82,0.720075,491,1
83,0.736712,60,-1
84,0.768309,491,1
85,0.784826,60,-1
86,0.825557,491,1
87,0.842091,60,-1
88,0.888307,491,1
89,0.904831,60,-1
90,0.921347,491,1
91,0.937841,60,-1
92,0.985495,491,1
93,1.002071,60,-1
94,1.012901,491,1
95,1.029576,60,-1
96,1.076445,491,1
97,1.095103,60,-1
98,1.120428,491,1
99,1.137034,60,-1
100,1.16889,491,1
101,1.18547,60,-1
102,1.22548,491,1
103,1.242092,60,-1
104,1.286202,491,1
105,1.302769,60,-1
106,1.316046,491,1
107,1.332582,60,-1
108,1.3858,491,1
109,1.402333,60,-1
110,1.411219,491,1
111,1.427746,60,-1
112,1.474871,491,1
113,1.491509,60,-1
114,1.545704,491,1
115,1.562501,60,-1
116,1.5779,491,1
117,1.59456,60,-1
118,1.622711,491,1
119,1.639358,60,-1
120,1.687341,491,1
121,1.703955,60,-1
122,1.712543,491,1
123,1.729101,60,-1
124,1.785541,491,1
125,1.802074,60,-1
126,1.809242,491,1
127,1.825821,60,-1
128,1.882519,491,1
129,1.899049,60,-1
130,1.922835,491,1
131,1.939391,60,-1
132,1.97356,491,1
133,1.990218,60,-1
134,2.022886,491,1
135,2.039536,60,-1
136,2.039688,99,-1
137,2.084388,491,1
138,2.114727,491,1
139,2.131423,60,-1
140,2.186354,491,1
141,2.210646,491,1
142,2.227136,60,-1
143,2.276242,491,1
144,2.324608,491,1
145,2.341094,60,-1
146,2.368598,491,1
147,2.425696,491,1
148,2.431377,60,-1
149,2.442271,60,-1
150,2.487043,491,1
151,2.503767,60,-1
152,2.518337,491,1
153,2.535033,60,-1
154,2.586214,491,1
155,2.602881,60,-1
156,2.607889,491,1
157,2.624618,60,-1
158,2.681587,491,1
159,2.698192,60,-1
160,2.750939,491,1
161,2.767592,60,-1
162,2.767596,99,-1
163,2.803448,491,1
164,2.822407,491,1
165,2.839195,60,-1
166,2.907171,491,1
167,2.937347,491,1
168,2.954119,60,-1
169,2.990474,491,1
170,3.047971,491,1
