Serial number,time,size,direction
1,0.0,285,1
2,0.016766,60,-1
3,0.027926,1065,1
4,0.044552,60,-1
5,0.054818,1291,1
6,0.056314,1291,1
7,0.062987,491,1
8,0.071431,60,-1
9,0.072953,60,-1
10,0.079994,60,-1
11,0.083097,1514,1
12,0.083386,231,1
13,0.099788,60,-1
14,0.099791,60,-1
15,0.100238,491,1
16,0.10066,1514,1
17,0.102524,1514,1
18,0.102556,1267,1
19,0.107788,1514,1
20,0.109355,1514,1
21,0.109386,1267,1
22,0.112293,1514,1
23,0.113646,439,1
24,0.11678,60,-1
25,0.117308,60,-1
26,0.119245,60,-1
27,0.119247,60,-1
28,0.124599,60,-1
29,0.126338,60,-1
30,0.12652,60,-1
31,0.129571,60,-1
32,0.130716,60,-1
33,0.16013,218,-1
34,0.170131,54,1
35,0.171549,491,1
36,0.18329,491,1
37,0.199813,60,-1
38,0.248788,491,1
39,0.273909,491,1
40,0.290531,60,-1
41,0.347204,491,1
42,0.40039,491,1
43,0.405523,60,-1
44,0.417064,60,-1
45,0.435066,491,1
46,0.451778,60,-1
47,0.509551,491,1
48,0.526181,60,-1
49,0.556265,491,1
50,0.572958,60,-1
51,0.581157,491,1
52,0.597861,60,-1
53,0.643846,491,1
54,0.660472,60,-1
55,0.679003,491,1
56,0.695603,60,-1
57,0.750537,491,1
58,0.767061,60,-1
59,0.796073,491,1
60,0.812593,60,-1
61,0.838982,491,1
62,0.855541,60,-1
63,0.889693,491,1
64,0.906238,60,-1
65,0.961639,491,1
66,0.97826,60,-1
67,0.983362,491,1
68,1.000012,60,-1
69,1.049289,491,1
70,1.06593,60,-1
71,1.07385,491,1
72,1.090439,60,-1
73,1.145673,491,1
74,1.162188,60,-1
75,1.208931,491,1
76,1.225508,60,-1
77,1.239302,491,1
78,1.260281,60,-1
79,1.28309,491,1
80,1.299636,60,-1
81,1.359384,491,1
82,1.375938,60,-1
83,1.378101,491,1
84,1.394923,60,-1
85,1.452707,491,1
86,1.469467,60,-1
87,1.47836,491,1
88,1.495039,60,-1
89,1.495045,99,-1
90,1.536222,54,1
91,1.539183,491,1
92,1.59163,491,1
93,1.605499,60,-1
94,1.60823,60,-1
95,1.637543,491,1
96,1.654129,60,-1
97,1.68616,491,1
98,1.716312,60,-1
99,1.744837,148,-1
100,1.761395,491,1
101,1.761501,54,1
102,1.77796,60,-1
103,1.78423,491,1
104,1.800742,60,-1
105,1.818799,173,-1
106,1.846575,491,1
107,1.874355,491,1
108,1.890863,60,-1
109,1.946678,491,1
110,1.994153,222,-1
111,1.994474,1514,-1
112,1.994639,713,-1
113,1.997834,491,1
114,2.000112,54,1
115,2.001798,1514,-1
116,2.001922,1514,-1
117,2.001975,1267,-1
118,2.00216,1162,-1
119,2.004268,54,1
120,2.004487,54,1
121,2.00936,99,1
122,2.01661,1514,-1
123,2.016819,1514,-1
124,2.016821,1267,-1
125,2.016929,1514,-1
126,2.016996,1514,-1
127,2.017201,328,-1
128,2.017202,1030,-1
129,2.019561,54,1
130,2.02122,1489,-1
131,2.024153,54,1
132,2.024384,54,1
133,2.024465,54,1
134,2.035586,491,1
135,2.052193,60,-1
136,2.060797,91,1
137,2.076056,91,1
138,2.082594,351,1
139,2.092569,60,-1
140,2.145502,60,-1
141,2.322381,158,-1
142,2.358685,155,-1
143,2.364924,54,1
144,2.677113,77,1
145,2.694642,77,-1
146,2.696057,66,1
