Serial number,time,size,direction
1,1540285881.4146338,107,1
2,1540285885.4067392,60,-1
3,1540285885.448442,54,1
4,1540285888.8319523,285,1
5,1540285888.887147,1067,1
6,1540285888.8902237,60,-1
7,1540285888.8991764,1514,1
8,1540285888.9038877,60,-1
9,1540285888.904974,231,1
10,1540285888.9159868,60,-1
11,1540285888.918747,1291,1
12,1540285888.9214604,60,-1
13,1540285888.9250264,491,1
14,1540285888.935446,60,-1
15,1540285888.9357295,891,1
16,1540285888.9415727,60,-1
17,1540285888.9426808,491,1
18,1540285888.943769,491,1
19,1540285888.9484372,491,1
20,1540285888.9499753,491,1
21,1540285888.952315,60,-1
22,1540285888.9592702,60,-1
23,1540285888.960282,60,-1
24,1540285888.9653058,60,-1
25,1540285888.9665067,60,-1
26,1540285888.9696321,491,1
27,1540285888.9702723,491,1
28,1540285888.9703014,491,1
29,1540285888.97037,491,1
30,1540285888.9704235,491,1
31,1540285888.9714057,1514,1
32,1540285888.9714365,231,1
33,1540285888.9735882,491,1
34,1540285888.9743958,491,1
35,1540285888.9754047,491,1
36,1540285888.9862,60,-1
37,1540285888.986872,60,-1
38,1540285888.9868772,60,-1
39,1540285888.9868805,60,-1
40,1540285888.986882,60,-1
41,1540285888.9881132,60,-1
42,1540285888.9881766,1514,1
43,1540285888.989024,1514,1
44,1540285888.9901206,60,-1
45,1540285888.9902468,1514,1
46,1540285888.990279,1096,1
47,1540285888.990929,60,-1
48,1540285888.9919186,60,-1
49,1540285889.0057137,60,-1
50,1540285889.0070515,60,-1
51,1540285889.0223944,218,-1
52,1540285889.0238924,54,1
53,1540285889.0462754,491,1
54,1540285889.0985703,491,1
55,1540285889.1101027,60,-1
56,1540285889.115132,60,-1
57,1540285889.1449504,491,1
58,1540285889.1615338,60,-1
59,1540285889.1805308,491,1
60,1540285889.1971223,60,-1
61,1540285889.246098,491,1
62,1540285889.2628727,60,-1
63,1540285889.2837806,491,1
64,1540285889.3005183,60,-1
65,1540285889.3412013,491,1
66,1540285889.3578196,60,-1
67,1540285889.3866682,491,1
68,1540285889.4032955,60,-1
69,1540285889.4545612,491,1
70,1540285889.4711697,60,-1
71,1540285889.4797802,491,1
72,1540285889.4964237,60,-1
73,1540285889.5279083,160,-1
74,1540285889.5287278,491,1
75,1540285889.5715537,54,1
76,1540285889.6001759,60,-1
77,1540285889.7003355,491,1
78,1540285889.7007096,491,1
79,1540285889.7007377,491,1
80,1540285889.7007523,491,1
81,1540285889.7169275,60,-1
82,1540285889.7172575,66,-1
83,1540285889.7172592,60,-1
84,1540285889.7172601,60,-1
85,1540285889.7721612,491,1
86,1540285889.7767074,491,1
