Serial number,time,size,direction
1,1540272411.6991642,60,1
2,1540272416.0081325,98,-1
3,1540272416.0088422,98,-1
4,1540272416.037712,98,-1
5,1540272416.0382752,98,-1
6,1540272416.040541,98,-1
7,1540272416.0410564,98,-1
8,1540272416.0495923,98,-1
9,1540272416.0502744,98,-1
10,1540272416.0554347,98,-1
11,1540272416.0561097,98,-1
12,1540272416.0646741,98,-1
13,1540272416.0654216,98,-1
14,1540272416.0671158,98,-1
15,1540272416.0678203,98,-1
16,1540272416.0706787,98,-1
17,1540272416.071103,98,-1
18,1540272416.077159,283,-1
19,1540272416.0782373,98,-1
20,1540272416.0788937,98,-1
21,1540272416.0820508,98,-1
22,1540272416.0828242,98,-1
23,1540272416.08724,98,-1
24,1540272416.08771,98,-1
25,1540272416.0936413,60,-1
26,1540272416.1108358,1514,-1
27,1540272416.1115472,350,-1
28,1540272416.1115758,98,-1
29,1540272416.1121309,98,-1
30,1540272416.1164937,1514,-1
31,1540272416.1170886,1031,-1
32,1540272416.1171181,491,-1
33,1540272416.1171396,98,-1
34,1540272416.1175294,491,-1
35,1540272416.1176507,98,-1
36,1540272416.1216204,98,-1
37,1540272416.1220016,98,-1
38,1540272416.1246593,98,-1
39,1540272416.125289,98,-1
40,1540272416.1275017,60,-1
41,1540272416.128149,60,-1
42,1540272416.1332798,60,-1
43,1540272416.133712,60,-1
44,1540272416.133738,491,-1
45,1540272416.1337152,60,-1
46,1540272416.1337168,99,-1
47,1540272416.135385,54,-1
48,1540272416.1370077,491,-1
49,1540272416.1370366,491,-1
50,1540272416.1497693,491,-1
51,1540272416.1502733,60,-1
52,1540272416.153604,60,-1
53,1540272416.1589613,1514,-1
54,1540272416.160537,1431,-1
55,1540272416.166389,1291,-1
56,1540272416.168292,1514,-1
57,1540272416.1683233,1031,-1
58,1540272416.1702113,491,-1
59,1540272416.1756842,60,-1
60,1540272416.183096,60,-1
61,1540272416.1850014,60,-1
62,1540272416.1895337,1514,-1
63,1540272416.1907167,1505,-1
64,1540272416.2062936,60,-1
65,1540272416.2181463,491,-1
66,1540272416.2183955,89,-1
67,1540272416.2190506,153,-1
68,1540272416.22726,74,-1
69,1540272416.2291114,215,-1
70,1540272416.2372894,74,-1
71,1540272416.238634,66,-1
72,1540272416.2420614,150,-1
73,1540272416.2438095,491,-1
74,1540272416.252857,66,-1
75,1540272416.2539961,540,-1
76,1540272416.2603896,60,-1
77,1540272416.272527,66,-1
78,1540272416.2727857,66,-1
79,1540272416.277248,54,-1
80,1540272416.2779882,85,-1
81,1540272416.2786582,153,-1
82,1540272416.281334,74,-1
83,1540272416.2827156,66,-1
84,1540272416.2842293,66,-1
85,1540272416.2987976,66,-1
86,1540272416.300369,54,-1
87,1540272416.3008492,200,-1
88,1540272416.3032851,491,-1
89,1540272416.318287,60,-1
90,1540272416.3210733,410,-1
91,1540272416.321077,473,-1
92,1540272416.323163,54,-1
93,1540272416.323485,54,-1
94,1540272416.3269284,78,-1
95,1540272416.3274777,110,-1
96,1540272416.3497095,491,-1
97,1540272416.3498995,78,-1
98,1540272416.350445,110,-1
99,1540272416.3540092,90,-1
100,1540272416.3604643,90,-1
101,1540272416.3662646,60,-1
102,1540272416.3989058,491,-1
103,1540272416.4126081,90,-1
