Serial number,time,size,direction
1,1540274547.590175,54,1
2,1540274559.0904667,77,1
3,1540274559.108022,77,-1
4,1540274559.109657,66,1
5,1540274559.4795532,287,1
6,1540274559.4799953,1078,1
7,1540274559.4800317,783,1
8,1540274559.4971142,60,-1
9,1540274559.4976115,60,-1
10,1540274559.4976134,60,-1
11,1540274559.5142121,1078,1
12,1540274559.5156765,1067,1
13,1540274559.53179,60,-1
14,1540274559.533289,60,-1
15,1540274559.5564284,491,1
16,1540274559.5583925,491,1
17,1540274559.5741916,60,-1
18,1540274559.5748947,491,1
19,1540274559.5759401,60,-1
20,1540274559.5843031,1078,1
21,1540274559.5848339,1078,1
22,1540274559.5848794,1078,1
23,1540274559.5849044,1078,1
24,1540274559.5849943,91,1
25,1540274559.5864348,1078,1
26,1540274559.5865004,1078,1
27,1540274559.5924542,60,-1
28,1540274559.5951958,1078,1
29,1540274559.6020045,60,-1
30,1540274559.6024208,212,-1
31,1540274559.6025624,60,-1
32,1540274559.6025646,60,-1
33,1540274559.6041608,60,-1
34,1540274559.613798,1078,1
35,1540274559.6173813,54,1
36,1540274559.6185486,1078,1
37,1540274559.618573,1078,1
38,1540274559.6185849,1078,1
39,1540274559.6185956,1078,1
40,1540274559.6186283,1078,1
41,1540274559.6186411,1078,1
42,1540274559.636254,60,-1
43,1540274559.6364627,60,-1
44,1540274559.6366315,60,-1
45,1540274559.6379168,1078,1
46,1540274559.6393678,560,1
47,1540274559.657065,60,-1
48,1540274559.687976,491,1
49,1540274559.7118802,491,1
50,1540274559.729445,60,-1
51,1540274559.7839677,491,1
52,1540274559.8253279,491,1
53,1540274559.8428237,60,-1
54,1540274559.8765213,491,1
55,1540274559.9203522,491,1
56,1540274559.9392095,60,-1
57,1540274559.9928226,491,1
58,1540274560.014956,491,1
59,1540274560.0334086,60,-1
60,1540274560.0916622,491,1
61,1540274560.115973,491,1
62,1540274560.133569,60,-1
63,1540274560.1803246,491,1
64,1540274560.250986,491,1
65,1540274560.2558756,60,-1
66,1540274560.2685394,60,-1
67,1540274560.2709875,491,1
68,1540274560.2887034,60,-1
69,1540274560.332358,491,1
70,1540274560.3500323,60,-1
71,1540274560.3899484,491,1
72,1540274560.4076486,60,-1
73,1540274560.4195592,491,1
74,1540274560.4371793,60,-1
75,1540274560.4915645,491,1
76,1540274560.50924,60,-1
77,1540274560.5128741,491,1
78,1540274560.53053,60,-1
79,1540274560.579151,491,1
80,1540274560.5982447,60,-1
81,1540274560.625014,491,1
82,1540274560.642951,60,-1
83,1540274560.6720982,491,1
84,1540274560.6898303,60,-1
85,1540274560.7320178,491,1
86,1540274560.7496474,60,-1
87,1540274560.7897437,491,1
88,1540274560.8075168,60,-1
89,1540274560.80752,99,-1
90,1540274560.8203237,491,1
91,1540274560.8918483,491,1
92,1540274560.895993,60,-1
93,1540274560.909463,60,-1
94,1540274560.9142892,491,1
95,1540274560.931909,60,-1
96,1540274560.9789417,491,1
97,1540274560.9972587,60,-1
98,1540274561.0249386,491,1
99,1540274561.0440693,60,-1
100,1540274561.0730338,491,1
101,1540274561.091505,60,-1
102,1540274561.120207,491,1
103,1540274561.1378155,60,-1
104,1540274561.1934724,491,1
105,1540274561.2111487,60,-1
106,1540274561.2143893,491,1
107,1540274561.2320414,60,-1
108,1540274561.291813,491,1
109,1540274561.309429,60,-1
110,1540274561.3155844,491,1
111,1540274561.333203,60,-1
112,1540274561.3863063,491,1
113,1540274561.4039617,60,-1
114,1540274561.4230418,491,1
115,1540274561.440691,60,-1
116,1540274561.4406939,99,-1
117,1540274561.4706054,491,1
118,1540274561.5313287,491,1
119,1540274561.536032,60,-1
120,1540274561.5488827,60,-1
121,1540274561.5928414,491,1
122,1540274561.6103492,60,-1
123,1540274561.6178758,491,1
124,1540274561.635432,60,-1
125,1540274561.6918182,491,1
126,1540274561.7095315,60,-1
127,1540274561.7163312,491,1
128,1540274561.7340744,60,-1
129,1540274561.781079,491,1
130,1540274561.799075,60,-1
131,1540274561.8246465,491,1
132,1540274561.8424988,60,-1
133,1540274561.878625,491,1
134,1540274561.8965476,60,-1
135,1540274561.928042,491,1
136,1540274561.9454987,60,-1
137,1540274561.9874692,491,1
138,1540274562.0049403,60,-1
139,1540274562.0173368,491,1
140,1540274562.0348926,60,-1
141,1540274562.093442,491,1
142,1540274562.1116204,60,-1
143,1540274562.1124601,491,1
144,1540274562.1299634,60,-1
145,1540274562.1836061,491,1
146,1540274562.2015364,60,-1
147,1540274562.2268054,491,1
148,1540274562.2370894,152,-1
149,1540274562.2443688,60,-1
150,1540274562.2734432,491,1
151,1540274562.2910862,60,-1
152,1540274562.3338103,491,1
153,1540274562.351629,60,-1
154,1540274562.3861244,491,1
155,1540274562.4036508,60,-1
156,1540274562.41717,491,1
157,1540274562.4350019,60,-1
158,1540274562.4695437,173,-1
159,1540274562.4882042,491,1
160,1540274562.5277386,491,1
161,1540274562.5453,60,-1
162,1540274562.5969887,491,1
163,1540274562.6306574,491,1
164,1540274562.648168,60,-1
165,1540274562.6725821,491,1
166,1540274562.7149086,291,-1
167,1540274562.7152576,1514,-1
168,1540274562.7154374,804,-1
169,1540274562.724011,1514,-1
170,1540274562.724015,1514,-1
171,1540274562.7241828,1267,-1
172,1540274562.7243443,1514,-1
173,1540274562.7400806,491,1
174,1540274562.764613,54,1
175,1540274562.7647617,54,1
176,1540274562.7648406,54,1
177,1540274562.7831004,1514,-1
178,1540274562.7831974,1514,-1
179,1540274562.7832913,1514,-1
180,1540274562.783402,1514,-1
181,1540274562.783527,1514,-1
182,1540274562.7837145,1514,-1
183,1540274562.7910008,491,1
184,1540274562.8087773,1514,-1
185,1540274562.8198874,491,1
186,1540274562.8914955,491,1
187,1540274562.9020197,91,1
188,1540274562.9021077,91,1
189,1540274562.9090471,60,-1
190,1540274562.919519,60,-1
191,1540274562.9216988,395,1
192,1540274562.9780076,395,1
193,1540274562.9954362,66,-1
194,1540274563.1162925,1514,-1
195,1540274563.215948,928,1
196,1540274563.2330172,60,-1
197,1540274563.456403,1514,-1
198,1540274563.7030067,928,1
199,1540274563.7194324,60,-1
200,1540274563.937369,66,1
201,1540274564.8744214,60,-1
202,1540274565.006132,1514,-1
203,1540274565.5737283,66,1
204,1540274565.5913734,1514,-1
205,1540274565.591551,1514,-1
206,1540274565.5999832,66,1
207,1540274565.6137695,66,1
208,1540274565.6177404,1514,-1
209,1540274565.6202018,66,1
210,1540274565.6315434,1514,-1
211,1540274565.632929,66,1
212,1540274565.6379287,1514,-1
213,1540274565.6381245,1514,-1
214,1540274565.6406314,66,1
215,1540274565.6473277,111,1
216,1540274565.6474042,66,1
217,1540274565.6504755,1514,-1
218,1540274565.650666,1514,-1
219,1540274565.6523573,66,1
220,1540274565.6524372,54,1
221,1540274565.6583207,1514,-1
222,1540274565.6647136,60,-1
223,1540274565.6650467,1514,-1
224,1540274565.6688263,54,1
225,1540274565.6699514,1514,-1
226,1540274565.6701424,1514,-1
227,1540274565.6706364,54,1
228,1540274565.671563,54,1
229,1540274565.6732922,54,1
230,1540274565.6864805,1514,-1
231,1540274565.6882052,1514,-1
232,1540274565.6892285,1514,-1
233,1540274565.6908765,1514,-1
234,1540274565.6980205,54,1
235,1540274565.7031493,54,1
236,1540274565.7032344,54,1
237,1540274565.703396,54,1
238,1540274565.7159665,1514,-1
239,1540274565.716167,1514,-1
240,1540274565.719456,54,1
241,1540274565.7211828,1514,-1
242,1540274565.7213087,1514,-1
243,1540274565.7214994,1514,-1
244,1540274565.7240183,99,1
245,1540274565.7241867,54,1
246,1540274565.7370384,1351,-1
247,1540274565.7795687,54,1
248,1540274565.7860522,60,-1
249,1540274569.8485696,177,1
250,1540274569.8660805,60,-1
251,1540274577.0701537,54,1
252,1540274585.4041154,285,1
253,1540274585.421584,60,-1
254,1540274585.4589918,1078,1
255,1540274585.4602144,780,1
256,1540274585.4766862,60,-1
257,1540274585.4779587,60,-1
258,1540274585.4894166,1078,1
259,1540274585.4964473,667,1
260,1540274585.4970567,1078,1
261,1540274585.4970868,1078,1
262,1540274585.5033214,880,1
263,1540274585.5069623,60,-1
264,1540274585.5139782,60,-1
265,1540274585.5148182,60,-1
266,1540274585.51482,60,-1
267,1540274585.5208778,60,-1
268,1540274585.5339212,491,1
269,1540274585.5359628,491,1
270,1540274585.5359912,491,1
271,1540274585.5360405,491,1
272,1540274585.5361156,491,1
273,1540274585.5361438,891,1
274,1540274585.539791,491,1
275,1540274585.541169,491,1
276,1540274585.5514257,60,-1
277,1540274585.553524,60,-1
278,1540274585.5535276,60,-1
279,1540274585.5535297,60,-1
280,1540274585.5535312,60,-1
281,1540274585.5537133,60,-1
282,1540274585.5573025,60,-1
283,1540274585.5587852,60,-1
284,1540274585.5664322,491,1
285,1540274585.5671935,1078,1
286,1540274585.5672226,1078,1
287,1540274585.5691705,1078,1
288,1540274585.569201,1078,1
289,1540274585.569223,1078,1
290,1540274585.5692773,1078,1
291,1540274585.5693266,1078,1
292,1540274585.5693762,315,1
293,1540274585.5839853,60,-1
294,1540274585.5850074,60,-1
295,1540274585.5868542,218,-1
296,1540274585.5875995,60,-1
297,1540274585.587797,60,-1
298,1540274585.5877988,60,-1
299,1540274585.5884454,54,1
300,1540274585.5893924,491,1
301,1540274585.6417687,491,1
302,1540274585.6560965,60,-1
303,1540274585.6593919,60,-1
304,1540274585.6595836,99,-1
305,1540274585.6998422,54,1
306,1540274585.700153,491,1
307,1540274585.7371936,491,1
308,1540274585.7547603,60,-1
309,1540274585.798302,491,1
310,1540274585.8229995,491,1
311,1540274585.8407156,60,-1
312,1540274585.8940535,491,1
313,1540274585.94235,491,1
314,1540274585.9604707,60,-1
315,1540274586.0554547,491,1
316,1540274586.0557795,491,1
