Serial number,time,size,direction
1,1540180588.7791138,285,1
2,1540180588.8032112,1036,1
3,1540180588.805393,1291,1
4,1540180588.8061638,491,1
5,1540180588.8065376,491,1
6,1540180588.807403,491,1
7,1540180588.807967,491,1
8,1540180588.8196223,60,-1
9,1540180588.8224092,60,-1
10,1540180588.8226318,928,1
11,1540180588.8237166,60,-1
12,1540180588.8399336,60,-1
13,1540180588.8467247,491,1
14,1540180588.8512468,491,1
15,1540180588.8526611,491,1
16,1540180588.8543277,491,1
17,1540180588.8557467,491,1
18,1540180588.855779,491,1
19,1540180588.8564336,491,1
20,1540180588.8679972,60,-1
21,1540180588.8696113,491,1
22,1540180588.8706837,60,-1
23,1540180588.8721163,60,-1
24,1540180588.883055,491,1
25,1540180588.8841934,491,1
26,1540180588.8842227,491,1
27,1540180588.8859384,60,-1
28,1540180588.9027755,60,-1
29,1540180588.9238706,1291,1
30,1540180588.9242134,1291,1
31,1540180588.9267342,1291,1
32,1540180588.9298027,491,1
33,1540180588.932892,891,1
34,1540180588.9369228,491,1
35,1540180588.940581,60,-1
36,1540180588.9460776,60,-1
37,1540180588.9532075,60,-1
38,1540180588.9667456,491,1
39,1540180588.9799013,219,-1
40,1540180588.9811933,54,1
41,1540180588.997504,491,1
42,1540180589.0137742,60,-1
43,1540180589.0385695,491,1
44,1540180589.090004,491,1
45,1540180589.1003053,60,-1
46,1540180589.1062741,60,-1
47,1540180589.1584187,491,1
48,1540180589.1747518,60,-1
49,1540180589.1826158,491,1
50,1540180589.1988814,60,-1
51,1540180589.252549,491,1
52,1540180589.268957,60,-1
53,1540180589.2832797,491,1
54,1540180589.299654,60,-1
55,1540180589.3466265,491,1
56,1540180589.3630033,60,-1
57,1540180589.391728,491,1
58,1540180589.4081154,60,-1
59,1540180589.4407077,491,1
60,1540180589.4570556,60,-1
61,1540180589.4890387,491,1
62,1540180589.5053918,60,-1
63,1540180589.5529077,491,1
64,1540180589.5692143,60,-1
65,1540180589.584251,491,1
66,1540180589.5925488,154,-1
67,1540180589.6502721,60,-1
68,1540180589.6533697,491,1
69,1540180589.6696312,60,-1
70,1540180589.6907077,491,1
71,1540180589.70697,60,-1
72,1540180589.7555366,491,1
73,1540180589.7717721,60,-1
74,1540180589.7956898,491,1
75,1540180589.8120837,60,-1
76,1540180589.8462853,491,1
77,1540180589.8627348,60,-1
78,1540180589.8907852,491,1
79,1540180589.9072006,60,-1
80,1540180589.9560533,491,1
81,1540180589.9725268,60,-1
82,1540180589.999917,491,1
83,1540180590.0162811,60,-1
84,1540180590.0479958,491,1
85,1540180590.0643246,60,-1
86,1540180590.081949,491,1
87,1540180590.0984144,60,-1
88,1540180590.1448376,491,1
89,1540180590.161166,60,-1
90,1540180590.189794,491,1
91,1540180590.2061024,60,-1
92,1540180590.2460227,491,1
93,1540180590.2623398,60,-1
94,1540180590.2904918,491,1
95,1540180590.3068733,60,-1
96,1540180590.3540924,491,1
97,1540180590.3704414,60,-1
98,1540180590.3872967,491,1
99,1540180590.403771,60,-1
100,1540180590.4496164,491,1
101,1540180590.4663613,60,-1
102,1540180590.479791,491,1
103,1540180590.4960465,60,-1
104,1540180590.5455272,491,1
105,1540180590.5618112,60,-1
106,1540180590.6009376,491,1
107,1540180590.617233,60,-1
108,1540180590.638596,491,1
109,1540180590.6549373,60,-1
110,1540180590.6912465,491,1
111,1540180590.7183845,60,-1
112,1540180590.7557156,491,1
113,1540180590.773179,60,-1
114,1540180590.7860825,491,1
115,1540180590.8024092,60,-1
116,1540180590.852238,491,1
117,1540180590.8686738,60,-1
118,1540180590.8819523,491,1
119,1540180590.8985329,60,-1
120,1540180590.9513001,491,1
121,1540180590.9676204,60,-1
122,1540180591.0215964,491,1
123,1540180591.0379446,60,-1
124,1540180591.0438352,491,1
125,1540180591.0606487,60,-1
126,1540180591.092119,491,1
127,1540180591.1084554,60,-1
128,1540180591.122046,176,-1
129,1540180591.1588519,491,1
130,1540180591.1828609,491,1
131,1540180591.184969,205,1
132,1540180591.1992097,60,-1
133,1540180591.2547057,491,1
134,1540180591.2603374,60,-1
135,1540180591.271061,60,-1
136,1540180591.2710629,99,-1
137,1540180591.2839768,491,1
138,1540180591.336657,438,-1
139,1540180591.338028,1514,-1
140,1540180591.338201,779,-1
141,1540180591.344075,54,1
