Serial number,time,size,direction
1,1540180949.3084466,95,1
2,1540180949.3247502,60,-1
3,1540180949.324756,95,-1
4,1540180949.3784475,54,1
5,1540180952.5950892,292,1
6,1540180952.6139266,968,1
7,1540180952.621245,1514,1
8,1540180952.622769,1431,1
9,1540180952.6302798,60,-1
10,1540180952.6390998,60,-1
11,1540180952.6577334,491,1
12,1540180952.6585963,491,1
13,1540180952.659552,491,1
14,1540180952.662332,491,1
15,1540180952.663323,491,1
16,1540180952.6652098,491,1
17,1540180952.6687648,491,1
18,1540180952.674793,60,-1
19,1540180952.6761582,928,1
20,1540180952.67855,60,-1
21,1540180952.6813629,491,1
22,1540180952.681454,60,-1
23,1540180952.6926193,60,-1
24,1540180952.6982684,491,1
25,1540180952.7019596,1514,1
26,1540180952.7036982,1514,1
27,1540180952.7037594,1267,1
28,1540180952.7174692,60,-1
29,1540180952.7203271,60,-1
30,1540180952.7270916,795,1
31,1540180952.7276628,1514,1
32,1540180952.7277007,1431,1
33,1540180952.736519,215,-1
34,1540180952.74424,54,1
35,1540180952.7445467,60,-1
36,1540180952.7739058,491,1
37,1540180952.790314,60,-1
38,1540180952.8217905,491,1
39,1540180952.8861706,491,1
40,1540180952.8930163,60,-1
41,1540180952.9024286,60,-1
42,1540180952.9316254,491,1
43,1540180952.9477699,60,-1
44,1540180952.977992,491,1
45,1540180952.9941416,60,-1
46,1540180953.0122144,491,1
47,1540180953.0283995,60,-1
48,1540180953.0770075,491,1
49,1540180953.0932987,60,-1
50,1540180953.1257496,491,1
51,1540180953.1420724,60,-1
52,1540180953.172808,491,1
53,1540180953.1894321,60,-1
54,1540180953.2174678,491,1
55,1540180953.2337315,60,-1
56,1540180953.2903264,491,1
57,1540180953.3067062,60,-1
58,1540180953.3188088,491,1
59,1540180953.3352227,60,-1
60,1540180953.3828385,491,1
61,1540180953.3992476,60,-1
62,1540180953.4194078,491,1
63,1540180953.43594,60,-1
64,1540180953.4848294,491,1
65,1540180953.5010848,60,-1
66,1540180953.540748,491,1
67,1540180953.5569544,60,-1
68,1540180953.57135,491,1
69,1540180953.5875235,60,-1
70,1540180953.6295872,491,1
71,1540180953.6458473,60,-1
72,1540180953.6805809,491,1
73,1540180953.6969404,60,-1
74,1540180953.7195673,491,1
75,1540180953.7361257,60,-1
76,1540180953.7770836,491,1
77,1540180953.7934484,60,-1
78,1540180953.8140993,491,1
79,1540180953.8305697,60,-1
80,1540180953.8810537,491,1
81,1540180953.8973036,60,-1
82,1540180953.9266953,491,1
83,1540180953.9428957,60,-1
84,1540180953.9750588,491,1
85,1540180953.9913604,60,-1
86,1540180953.991363,99,-1
87,1540180954.0222664,491,1
88,1540180954.0859194,491,1
89,1540180954.102096,60,-1
90,1540180954.1161048,491,1
91,1540180954.1857338,491,1
92,1540180954.2020154,60,-1
93,1540180954.2121792,491,1
94,1540180954.2820528,491,1
95,1540180954.2982354,60,-1
96,1540180954.331786,491,1
97,1540180954.376282,491,1
98,1540180954.3925161,60,-1
99,1540180954.419468,491,1
100,1540180954.493454,491,1
101,1540180954.5096638,60,-1
102,1540180954.5143244,491,1
103,1540180954.5866392,491,1
104,1540180954.6028724,60,-1
105,1540180954.6144025,491,1
106,1540180954.6835544,491,1
107,1540180954.6931138,60,-1
108,1540180954.6998668,60,-1
109,1540180954.7214952,491,1
110,1540180954.7281365,150,-1
111,1540180954.7682686,54,1
112,1540180954.774902,491,1
113,1540180954.7831647,60,-1
114,1540180954.7912278,60,-1
115,1540180954.8218553,491,1
116,1540180954.838111,60,-1
117,1540180954.8831472,491,1
118,1540180954.899407,60,-1
119,1540180954.9174411,491,1
120,1540180954.9339404,60,-1
121,1540180954.9862733,491,1
122,1540180955.0003464,174,-1
123,1540180955.002445,60,-1
124,1540180955.002446,99,-1
125,1540180955.0317671,491,1
126,1540180955.0318577,54,1
127,1540180955.033115,54,1
128,1540180955.0853555,491,1
129,1540180955.101536,60,-1
130,1540180955.126438,491,1
131,1540180955.1795425,491,1
132,1540180955.1930585,60,-1
133,1540180955.1958392,60,-1
134,1540180955.225531,491,1
135,1540180955.2418172,60,-1
136,1540180955.2961724,491,1
137,1540180955.3124373,60,-1
138,1540180955.328542,491,1
139,1540180955.3447623,60,-1
140,1540180955.3930397,491,1
141,1540180955.409222,60,-1
142,1540180955.4269226,491,1
143,1540180955.443084,60,-1
144,1540180955.4893413,491,1
145,1540180955.5055454,60,-1
146,1540180955.5240686,491,1
147,1540180955.5747008,491,1
148,1540180955.5909412,60,-1
149,1540180955.6181464,491,1
150,1540180955.671581,60,-1
151,1540180955.6866062,491,1
152,1540180955.702919,60,-1
153,1540180955.7320404,491,1
154,1540180955.7470996,214,-1
155,1540180955.7475352,1514,-1
156,1540180955.7476702,1514,-1
157,1540180955.7478209,1169,-1
158,1540180955.748317,60,-1
159,1540180955.7490358,54,1
160,1540180955.7506282,54,1
161,1540180955.7508848,54,1
162,1540180955.7510111,54,1
163,1540180955.7875822,491,1
164,1540180955.8038628,60,-1
165,1540180955.8075562,1514,-1
166,1540180955.807672,1514,-1
167,1540180955.807735,1267,-1
168,1540180955.8078594,1514,-1
169,1540180955.8079329,1514,-1
170,1540180955.807948,328,-1
171,1540180955.808081,1030,-1
172,1540180955.8082156,1514,-1
173,1540180955.8083205,1514,-1
174,1540180955.80852,1267,-1
175,1540180955.8112485,491,1
176,1540180955.811408,54,1
177,1540180955.8114803,54,1
178,1540180955.8146253,54,1
179,1540180955.814705,54,1
180,1540180955.8148558,54,1
181,1540180955.8157656,99,1
182,1540180955.8278174,1514,-1
183,1540180955.8279486,1514,-1
184,1540180955.828067,1514,-1
185,1540180955.8281877,1514,-1
186,1540180955.8282802,1514,-1
187,1540180955.8284576,966,-1
188,1540180955.8326821,54,1
189,1540180955.8336573,54,1
190,1540180955.83485,54,1
191,1540180955.8731651,60,-1
192,1540180955.8861609,491,1
193,1540180955.9025412,60,-1
194,1540180955.9308894,491,1
195,1540180955.9471636,60,-1
196,1540180955.96272,91,1
197,1540180955.9628766,91,1
198,1540180955.9788961,60,-1
199,1540180955.9791977,60,-1
200,1540180956.0073936,303,1
201,1540180956.0235772,60,-1
202,1540180956.3849692,162,-1
203,1540180956.4273114,155,-1
204,1540180956.4293256,54,1
205,1540180956.4305344,54,1
206,1540180959.9310784,177,1
207,1540180959.9472544,60,-1
208,1540180960.2818453,60,-1
209,1540180963.1499097,60,-1
210,1540180963.1976426,77,1
211,1540180963.214956,77,-1
212,1540180963.216663,66,1
213,1540180966.5189323,102,1
214,1540180984.9893405,290,1
215,1540180985.0055952,60,-1
216,1540180985.0523334,961,1
217,1540180985.0534832,1514,1
218,1540180985.0545244,231,1
219,1540180985.0551567,491,1
220,1540180985.0567503,491,1
221,1540180985.058088,491,1
222,1540180985.0593345,491,1
223,1540180985.0687861,60,-1
224,1540180985.0697968,60,-1
225,1540180985.0703847,1514,1
226,1540180985.0706468,60,-1
227,1540180985.0712357,1216,1
228,1540180985.071363,60,-1
229,1540180985.0719059,491,1
230,1540180985.07302,60,-1
231,1540180985.0742478,60,-1
232,1540180985.0751352,491,1
233,1540180985.0755486,60,-1
234,1540180985.07558,928,1
235,1540180985.086707,60,-1
236,1540180985.0874996,60,-1
237,1540180985.0880919,60,-1
238,1540180985.091282,60,-1
239,1540180985.0918007,60,-1
240,1540180985.1301765,491,1
241,1540180985.1306329,491,1
242,1540180985.1306615,491,1
243,1540180985.130728,491,1
244,1540180985.1307628,491,1
245,1540180985.1308098,491,1
246,1540180985.1308582,491,1
247,1540180985.1464036,60,-1
248,1540180985.1468103,60,-1
249,1540180985.146813,60,-1
250,1540180985.1468146,60,-1
251,1540180985.1470037,60,-1
252,1540180985.1470056,60,-1
253,1540180985.1471782,60,-1
254,1540180985.1481426,1514,1
255,1540180985.1485841,1514,1
256,1540180985.1505837,1514,1
257,1540180985.1506164,659,1
258,1540180985.1651602,60,-1
259,1540180985.167046,60,-1
260,1540180985.1802034,491,1
261,1540180985.196427,60,-1
262,1540180985.2006705,217,-1
263,1540180985.2020986,54,1
264,1540180985.2213862,491,1
265,1540180985.2832685,60,-1
266,1540180985.2867692,491,1
267,1540180985.3029969,60,-1
268,1540180985.3171802,491,1
269,1540180985.3334346,60,-1
270,1540180985.3811421,491,1
271,1540180985.3974204,60,-1
272,1540180985.4121215,491,1
273,1540180985.4283993,60,-1
274,1540180985.428546,99,-1
275,1540180985.4690475,54,1
276,1540180985.473193,491,1
277,1540180985.5302703,491,1
278,1540180985.5332818,60,-1
279,1540180985.5464828,60,-1
280,1540180985.5738397,491,1
281,1540180985.590025,60,-1
282,1540180985.6212897,491,1
283,1540180985.6374736,60,-1
284,1540180985.6877303,491,1
285,1540180985.7039242,60,-1
286,1540180985.7181652,491,1
287,1540180985.7343278,60,-1
288,1540180985.7835236,491,1
289,1540180985.7997684,60,-1
290,1540180985.8270028,491,1
291,1540180985.8431957,60,-1
292,1540180985.8788457,491,1
293,1540180985.895124,60,-1
294,1540180985.9286697,491,1
295,1540180985.9450881,60,-1
296,1540180985.969405,491,1
297,1540180985.9856322,60,-1
298,1540180986.0185401,491,1
299,1540180986.0347593,60,-1
300,1540180986.1397965,491,1
301,1540180986.1458766,491,1
302,1540180986.156009,60,-1
303,1540180986.1620855,60,-1
304,1540180986.236385,491,1
305,1540180986.252704,60,-1
306,1540180986.2700186,491,1
307,1540180986.2764819,491,1
308,1540180986.2862458,60,-1
309,1540180986.2927234,60,-1
310,1540180986.3312495,491,1
311,1540180986.3474483,60,-1
312,1540180986.3962772,491,1
313,1540180986.4132578,60,-1
314,1540180986.4237592,491,1
315,1540180986.4400992,60,-1
316,1540180986.4856718,491,1
317,1540180986.501943,60,-1
318,1540180986.55119,491,1
319,1540180986.5674238,60,-1
320,1540180986.5964742,491,1
321,1540180986.612699,60,-1
322,1540180986.6151438,491,1
323,1540180986.6313615,60,-1
324,1540180986.733807,491,1
325,1540180986.7347791,491,1
326,1540180986.7500656,60,-1
327,1540180986.7510197,60,-1
328,1540180986.7707067,491,1
329,1540180986.7869935,60,-1
330,1540180986.8172932,491,1
331,1540180986.833524,60,-1
332,1540180986.8955553,491,1
333,1540180986.9119232,60,-1
334,1540180986.9150093,491,1
335,1540180986.9313664,60,-1
336,1540180986.9847827,491,1
337,1540180987.00629,60,-1
338,1540180987.009511,491,1
339,1540180987.0257323,60,-1
340,1540180987.0794065,491,1
341,1540180987.0956733,60,-1
342,1540180987.1236005,491,1
343,1540180987.124589,150,-1
344,1540180987.1259174,54,1
345,1540180987.1727436,491,1
346,1540180987.1832728,60,-1
347,1540180987.1892817,60,-1
348,1540180987.2302153,491,1
349,1540180987.246421,60,-1
350,1540180987.2836084,491,1
351,1540180987.3000484,60,-1
352,1540180987.3162732,491,1
353,1540180987.3327067,60,-1
354,1540180987.386748,491,1
355,1540180987.4032476,60,-1
356,1540180987.403253,99,-1
357,1540180987.4050083,54,1
358,1540180987.409746,491,1
359,1540180987.4239593,176,-1
360,1540180987.4685216,54,1
361,1540180987.480311,491,1
362,1540180987.4833393,60,-1
363,1540180987.4965863,60,-1
364,1540180987.5222504,491,1
365,1540180987.5385633,60,-1
366,1540180987.57674,491,1
367,1540180987.5929732,60,-1
368,1540180987.6226737,491,1
369,1540180987.6388812,60,-1
370,1540180987.6863203,491,1
371,1540180987.7026384,60,-1
372,1540180987.7172017,491,1
373,1540180987.7334332,60,-1
374,1540180987.780935,491,1
375,1540180987.7971728,60,-1
376,1540180987.8115969,491,1
377,1540180987.82783,60,-1
378,1540180987.848853,206,-1
379,1540180987.8492768,1514,-1
380,1540180987.849367,1514,-1
381,1540180987.8495598,1169,-1
382,1540180987.8501701,54,1
383,1540180987.852867,54,1
384,1540180987.8529441,54,1
385,1540180987.8531172,54,1
386,1540180987.874963,491,1
387,1540180987.9152548,1514,-1
388,1540180987.9153845,1514,-1
389,1540180987.9154487,1267,-1
390,1540180987.915574,1514,-1
391,1540180987.915646,1514,-1
392,1540180987.915662,328,-1
393,1540180987.9157941,1030,-1
394,1540180987.9159346,1514,-1
395,1540180987.9160364,1514,-1
396,1540180987.9162247,1267,-1
397,1540180987.932693,491,1
398,1540180987.9337797,54,1
399,1540180987.9347491,54,1
400,1540180987.9357634,54,1
