Serial number,time,size,direction
1,1540460877.697313,95,1
2,1540460877.7146893,95,-1
3,1540460877.716355,54,1
4,1540460886.6248627,290,1
5,1540460886.688945,60,-1
6,1540460886.7949002,1514,1
7,1540460886.7951074,394,1
8,1540460886.7955496,1514,1
9,1540460886.7959948,231,1
10,1540460886.7960236,1514,1
11,1540460886.797306,1514,1
12,1540460886.7973416,1267,1
13,1540460886.7973647,1514,1
14,1540460886.7973888,1514,1
15,1540460886.797413,675,1
16,1540460886.8123944,60,-1
17,1540460886.812398,60,-1
18,1540460886.8130298,60,-1
19,1540460886.8132665,60,-1
20,1540460886.8134296,60,-1
21,1540460886.8144875,1514,1
22,1540460886.8147776,60,-1
23,1540460886.8147795,60,-1
24,1540460886.8149817,60,-1
25,1540460886.8149977,1505,1
26,1540460886.8149836,60,-1
27,1540460886.8151565,60,-1
28,1540460886.8319592,60,-1
29,1540460886.8324687,60,-1
30,1540460886.843726,1514,1
31,1540460886.845513,1514,1
32,1540460886.8455477,1267,1
33,1540460886.8612027,60,-1
34,1540460886.8631153,60,-1
35,1540460886.8632822,60,-1
36,1540460886.897737,795,1
37,1540460886.9166653,60,-1
38,1540460886.9417346,491,1
39,1540460886.9590845,60,-1
40,1540460886.9820223,491,1
41,1540460886.9847012,222,-1
42,1540460886.9884522,54,1
43,1540460887.045651,491,1
44,1540460887.0589225,60,-1
45,1540460887.0630028,60,-1
46,1540460887.078104,491,1
47,1540460887.0954409,60,-1
48,1540460887.1472363,491,1
49,1540460887.1645951,60,-1
50,1540460887.1870685,491,1
51,1540460887.2045953,60,-1
52,1540460887.241586,491,1
53,1540460887.2590845,60,-1
54,1540460887.2904856,491,1
55,1540460887.307909,60,-1
56,1540460887.3423638,491,1
57,1540460887.3598514,60,-1
58,1540460887.390561,491,1
59,1540460887.407953,60,-1
60,1540460887.449745,491,1
61,1540460887.4670632,60,-1
62,1540460887.5024235,491,1
63,1540460887.5198092,60,-1
64,1540460887.5536914,491,1
65,1540460887.571051,60,-1
66,1540460887.5868022,491,1
67,1540460887.6040661,60,-1
68,1540460887.6423054,491,1
69,1540460887.6596408,60,-1
70,1540460887.6861663,491,1
71,1540460887.703526,60,-1
72,1540460887.744955,491,1
73,1540460887.7623365,60,-1
74,1540460887.8018055,491,1
75,1540460887.819305,60,-1
76,1540460887.8679585,491,1
77,1540460887.87502,491,1
78,1540460887.885274,60,-1
79,1540460887.8923476,60,-1
80,1540460887.9448545,491,1
81,1540460887.9621403,60,-1
82,1540460887.9816704,491,1
83,1540460887.9989302,60,-1
84,1540460888.039735,491,1
85,1540460888.0574288,60,-1
86,1540460888.0831757,491,1
87,1540460888.1004956,60,-1
88,1540460888.1338162,491,1
89,1540460888.1510959,60,-1
90,1540460888.1781611,491,1
91,1540460888.1955223,60,-1
92,1540460888.2554505,491,1
93,1540460888.2729514,60,-1
94,1540460888.3050761,491,1
95,1540460888.3224359,60,-1
96,1540460888.3444655,491,1
97,1540460888.361838,60,-1
98,1540460888.389422,491,1
99,1540460888.406857,60,-1
100,1540460888.4752607,491,1
101,1540460888.4900954,491,1
102,1540460888.4925916,60,-1
103,1540460888.5074053,60,-1
104,1540460888.5414982,491,1
105,1540460888.559332,60,-1
106,1540460888.5847864,491,1
107,1540460888.6020863,60,-1
108,1540460888.6460326,491,1
109,1540460888.663361,60,-1
110,1540460888.7057176,491,1
111,1540460888.7231357,60,-1
112,1540460888.7231402,99,-1
113,1540460888.7302341,54,1
114,1540460888.758774,491,1
115,1540460888.7840588,491,1
116,1540460888.801426,60,-1
117,1540460888.8348136,491,1
118,1540460888.8861842,491,1
119,1540460888.898928,60,-1
120,1540460888.9035776,60,-1
121,1540460888.9035788,99,-1
122,1540460888.9365256,185,-1
123,1540460888.9511125,491,1
124,1540460888.9835584,54,1
125,1540460888.9911437,491,1
126,1540460889.0084367,60,-1
127,1540460889.054503,491,1
128,1540460889.0753,491,1
129,1540460889.0925624,60,-1
130,1540460889.145999,491,1
131,1540460889.1765065,491,1
132,1540460889.1937413,60,-1
133,1540460889.2411926,491,1
134,1540460889.2524867,175,-1
135,1540460889.2682033,54,1
136,1540460889.2843435,491,1
137,1540460889.2989707,60,-1
138,1540460889.3017192,60,-1
139,1540460889.329698,203,1
140,1540460889.3423545,491,1
141,1540460889.347004,60,-1
142,1540460889.3597145,60,-1
143,1540460889.3799875,491,1
144,1540460889.3974252,60,-1
145,1540460889.450297,491,1
146,1540460889.467613,60,-1
147,1540460889.475307,491,1
148,1540460889.4925885,60,-1
149,1540460889.549975,491,1
150,1540460889.5672631,60,-1
151,1540460889.5886266,491,1
152,1540460889.6037216,273,-1
153,1540460889.604085,1514,-1
154,1540460889.604283,895,-1
155,1540460889.6066823,54,1
156,1540460889.609545,1514,-1
157,1540460889.6097078,1514,-1
158,1540460889.6097112,1267,-1
159,1540460889.6098855,516,-1
160,1540460889.6128964,54,1
161,1540460889.613166,54,1
162,1540460889.6440082,54,1
163,1540460889.6448402,1514,-1
164,1540460889.6449451,1514,-1
165,1540460889.6450565,1267,-1
166,1540460889.645189,1514,-1
167,1540460889.645278,1514,-1
168,1540460889.6454673,328,-1
169,1540460889.6454692,1030,-1
170,1540460889.6468935,54,1
171,1540460889.6479826,54,1
172,1540460889.6482217,54,1
173,1540460889.6507783,1514,-1
174,1540460889.6547575,54,1
175,1540460889.654883,54,1
176,1540460889.6614892,1514,-1
177,1540460889.6654043,1514,-1
178,1540460889.6656203,1514,-1
179,1540460889.667623,491,1
180,1540460889.6694782,54,1
181,1540460889.67215,1514,-1
182,1540460889.6721978,54,1
183,1540460889.6723535,1514,-1
184,1540460889.6763072,54,1
185,1540460889.6868715,1514,-1
186,1540460889.6869967,1514,-1
187,1540460889.6871338,1514,-1
188,1540460889.6873372,1514,-1
189,1540460889.6879063,91,1
190,1540460889.688033,91,1
191,1540460889.6896248,1514,-1
192,1540460889.689852,1514,-1
193,1540460889.6937335,1514,-1
194,1540460889.6938715,1514,-1
195,1540460889.6984036,54,1
196,1540460889.6986477,54,1
197,1540460889.698772,54,1
198,1540460889.6988938,54,1
199,1540460889.7053976,1514,-1
200,1540460889.7055864,1026,-1
201,1540460889.7181067,54,1
202,1540460889.7249384,99,1
203,1540460889.7420065,420,1
204,1540460889.742207,60,-1
205,1540460889.8090148,60,-1
206,1540460890.1089451,161,-1
207,1540460890.1387324,154,-1
208,1540460890.1502676,54,1
209,1540460895.5849028,175,1
210,1540460895.602223,60,-1
211,1540460898.5540075,77,-1
212,1540460898.5588253,66,1
213,1540460901.0796797,54,1
214,1540460905.624343,77,1
215,1540460905.6519542,77,-1
216,1540460905.667494,66,1
217,1540460920.1480322,287,1
218,1540460920.1517792,1514,1
219,1540460920.1530995,395,1
220,1540460920.165313,60,-1
221,1540460920.1691802,60,-1
222,1540460920.170337,60,-1
223,1540460920.1906083,1291,1
224,1540460920.1955953,928,1
225,1540460920.2079885,60,-1
226,1540460920.21293,60,-1
227,1540460920.2140439,1514,1
228,1540460920.2154326,1431,1
229,1540460920.2277286,491,1
230,1540460920.2281199,491,1
231,1540460920.2281508,491,1
232,1540460920.2314694,60,-1
233,1540460920.2328558,60,-1
234,1540460920.2391782,491,1
235,1540460920.2450106,60,-1
236,1540460920.2454116,60,-1
237,1540460920.2454145,60,-1
238,1540460920.2564592,60,-1
239,1540460920.2746794,1514,1
240,1540460920.274975,231,1
241,1540460920.2769377,1514,1
242,1540460920.2769701,1514,1
243,1540460920.2769938,1267,1
244,1540460920.286744,1514,1
245,1540460920.2884386,1514,1
246,1540460920.2884693,1075,1
247,1540460920.292128,60,-1
248,1540460920.2921302,60,-1
249,1540460920.2943943,60,-1
250,1540460920.2943962,60,-1
251,1540460920.2945786,60,-1
252,1540460920.3058708,60,-1
253,1540460920.3111002,60,-1
254,1540460920.3136961,218,-1
255,1540460920.3228917,491,1
256,1540460920.3863852,491,1
257,1540460920.3891742,60,-1
258,1540460920.4036849,60,-1
259,1540460920.4324794,491,1
260,1540460920.449864,60,-1
261,1540460920.4958627,491,1
262,1540460920.5132713,60,-1
263,1540460920.514957,491,1
264,1540460920.532331,60,-1
265,1540460920.585426,491,1
266,1540460920.6028898,60,-1
267,1540460920.6231282,491,1
268,1540460920.6404433,60,-1
269,1540460920.6814165,491,1
270,1540460920.6987214,60,-1
271,1540460920.7246377,491,1
272,1540460920.74192,60,-1
273,1540460920.7860124,491,1
274,1540460920.8032908,60,-1
275,1540460920.8178768,491,1
276,1540460920.8351746,60,-1
277,1540460920.8896372,491,1
278,1540460920.90694,60,-1
279,1540460920.9203992,491,1
280,1540460920.9376874,60,-1
281,1540460920.9855912,491,1
282,1540460921.002955,60,-1
283,1540460921.0232642,491,1
284,1540460921.040884,60,-1
285,1540460921.087811,491,1
286,1540460921.1053054,60,-1
287,1540460921.1302948,491,1
288,1540460921.1476274,60,-1
289,1540460921.1822932,491,1
290,1540460921.1996412,60,-1
291,1540460921.2213893,491,1
292,1540460921.2386541,60,-1
293,1540460921.2897441,491,1
294,1540460921.3071535,60,-1
295,1540460921.3142114,491,1
296,1540460921.331582,60,-1
297,1540460921.3847857,491,1
298,1540460921.4021595,60,-1
299,1540460921.4226964,491,1
300,1540460921.4401364,60,-1
301,1540460921.4401424,99,-1
302,1540460921.474262,54,1
303,1540460921.4756775,491,1
304,1540460921.526218,491,1
305,1540460921.5391963,60,-1
306,1540460921.543596,60,-1
307,1540460921.585817,491,1
308,1540460921.603305,60,-1
309,1540460921.6214461,491,1
310,1540460921.6387918,60,-1
311,1540460921.6954231,491,1
312,1540460921.7126923,60,-1
313,1540460921.7149875,491,1
314,1540460921.7322361,60,-1
315,1540460921.7854254,491,1
316,1540460921.8027813,60,-1
317,1540460921.8261406,491,1
318,1540460921.8433902,60,-1
319,1540460921.8801894,491,1
320,1540460921.8975177,60,-1
321,1540460921.9243488,491,1
322,1540460921.9416406,60,-1
323,1540460921.9867642,491,1
324,1540460922.004162,60,-1
325,1540460922.0199938,491,1
326,1540460922.0374067,60,-1
327,1540460922.0858784,491,1
328,1540460922.1032808,60,-1
329,1540460922.1161575,491,1
330,1540460922.1338482,60,-1
331,1540460922.1837466,491,1
332,1540460922.2010593,60,-1
333,1540460922.2224116,491,1
334,1540460922.2397702,60,-1
335,1540460922.2862005,491,1
336,1540460922.3036077,60,-1
337,1540460922.3287888,491,1
338,1540460922.3460987,60,-1
339,1540460922.3834476,491,1
340,1540460922.400804,60,-1
341,1540460922.400807,99,-1
342,1540460922.4030252,54,1
343,1540460922.4229465,491,1
344,1540460922.4864955,491,1
345,1540460922.4892066,60,-1
346,1540460922.503892,60,-1
347,1540460922.5198455,491,1
348,1540460922.5373945,60,-1
349,1540460922.5877943,491,1
350,1540460922.6051636,60,-1
351,1540460922.6120875,491,1
352,1540460922.629557,60,-1
353,1540460922.68343,491,1
354,1540460922.700728,60,-1
355,1540460922.7286737,491,1
356,1540460922.7459452,60,-1
357,1540460922.777011,491,1
358,1540460922.7942967,60,-1
359,1540460922.8289263,491,1
360,1540460922.8461902,60,-1
361,1540460922.8887281,491,1
362,1540460922.9060247,60,-1
363,1540460922.9229877,491,1
364,1540460922.9402938,60,-1
365,1540460922.9835026,491,1
366,1540460923.0007927,60,-1
367,1540460923.0243645,491,1
368,1540460923.0418148,60,-1
369,1540460923.084205,491,1
370,1540460923.101631,60,-1
371,1540460923.1284137,491,1
372,1540460923.1457438,60,-1
373,1540460923.1827195,491,1
374,1540460923.2000985,60,-1
375,1540460923.2244024,491,1
376,1540460923.241712,60,-1
377,1540460923.2894163,491,1
378,1540460923.3067088,60,-1
379,1540460923.4132628,491,1
380,1540460923.4134731,491,1
381,1540460923.4174337,491,1
382,1540460923.4306166,60,-1
383,1540460923.4308026,60,-1
384,1540460923.4347486,60,-1
385,1540460923.5382683,491,1
386,1540460923.5419266,491,1
387,1540460923.555661,60,-1
388,1540460923.5594776,60,-1
389,1540460923.5921755,491,1
390,1540460923.6096277,60,-1
391,1540460923.6502216,150,-1
392,1540460923.6686337,491,1
393,1540460923.6842787,491,1
394,1540460923.686102,60,-1
395,1540460923.7016656,60,-1
396,1540460923.7263663,491,1
397,1540460923.7437024,60,-1
398,1540460923.798673,491,1
399,1540460923.815961,60,-1
400,1540460923.8281875,491,1
401,1540460923.8454947,60,-1
402,1540460923.8798919,491,1
403,1540460923.8971822,60,-1
404,1540460923.9811592,172,-1
405,1540460924.0021734,491,1
406,1540460924.0027256,491,1
407,1540460924.019481,60,-1
408,1540460924.0201368,60,-1
409,1540460924.026073,491,1
410,1540460924.0433655,60,-1
411,1540460924.09872,491,1
412,1540460924.1160586,60,-1
413,1540460924.1233697,491,1
414,1540460924.1407776,60,-1
415,1540460924.1884434,491,1
416,1540460924.2058775,60,-1
417,1540460924.2232268,491,1
418,1540460924.2405715,60,-1
419,1540460924.289429,491,1
420,1540460924.3067222,60,-1
421,1540460924.3275554,217,-1
422,1540460924.328014,1514,-1
423,1540460924.3281982,895,-1
424,1540460924.3287203,491,1
425,1540460924.332299,54,1
426,1540460924.3371394,1514,-1
427,1540460924.337237,1514,-1
428,1540460924.337302,1267,-1
429,1540460924.337459,516,-1
430,1540460924.33894,54,1
431,1540460924.3402002,54,1
432,1540460924.3806124,54,1
433,1540460924.3807435,1514,-1
434,1540460924.380834,1514,-1
435,1540460924.3809526,1267,-1
436,1540460924.3810976,1514,-1
437,1540460924.3811927,1514,-1
438,1540460924.3813143,328,-1
439,1540460924.3813162,1030,-1
440,1540460924.3814404,1514,-1
441,1540460924.3816411,1514,-1
442,1540460924.3829205,54,1
443,1540460924.386916,54,1
444,1540460924.3871849,54,1
445,1540460924.3873146,54,1
446,1540460924.387445,54,1
447,1540460924.3881633,54,1
448,1540460924.3885562,54,1
449,1540460924.3894756,54,1
450,1540460924.38973,54,1
451,1540460924.39093,491,1
452,1540460924.398102,1514,-1
453,1540460924.4004037,1514,-1
454,1540460924.402399,54,1
455,1540460924.4046109,1514,-1
456,1540460924.404848,1514,-1
457,1540460924.4048514,1514,-1
458,1540460924.4050753,1514,-1
459,1540460924.4060376,1514,-1
460,1540460924.4062402,1514,-1
461,1540460924.4069152,1514,-1
462,1540460924.4070742,1514,-1
463,1540460924.4072666,1514,-1
464,1540460924.4083014,54,1
465,1540460924.4090068,54,1
466,1540460924.410156,54,1
467,1540460924.4122934,54,1
468,1540460924.41355,99,1
469,1540460924.4199595,1514,-1
470,1540460924.420379,1514,-1
471,1540460924.4259217,1026,-1
472,1540460924.471745,491,1
473,1540460924.4719367,54,1
474,1540460924.4890232,60,-1
475,1540460924.4925413,491,1
476,1540460924.5192263,491,1
477,1540460924.5365813,60,-1
478,1540460924.5906706,491,1
479,1540460924.6013033,91,1
480,1540460924.6016872,91,1
481,1540460924.6185803,60,-1
482,1540460924.659222,60,-1
483,1540460924.7070148,396,1
