Serial number,time,size,direction
1,1540184327.3711448,77,1
2,1540184327.3882465,77,-1
3,1540184327.3897035,66,1
4,1540184333.0486028,98,1
5,1540184333.0492268,98,-1
6,1540184333.0507774,98,1
7,1540184333.0512817,98,-1
8,1540184333.0584712,98,1
9,1540184333.0589378,98,-1
10,1540184333.0603595,98,1
11,1540184333.0608325,98,-1
12,1540184333.0620296,98,1
13,1540184333.0625067,98,-1
14,1540184333.0638452,98,1
15,1540184333.0643134,98,-1
16,1540184333.066219,98,1
17,1540184333.066679,98,-1
18,1540184333.067859,98,1
19,1540184333.0685585,98,-1
20,1540184333.0697608,98,1
21,1540184333.0702105,98,-1
22,1540184333.07147,98,1
23,1540184333.0719292,98,-1
24,1540184333.078633,98,1
25,1540184333.079104,98,-1
26,1540184333.0806196,98,1
27,1540184333.0812683,98,-1
28,1540184333.0825663,98,1
29,1540184333.0830886,98,-1
30,1540184333.092807,98,1
31,1540184333.0935285,98,-1
32,1540184333.0972135,98,1
33,1540184333.0976584,98,-1
34,1540184333.1105876,89,1
35,1540184333.1258698,153,-1
36,1540184333.1276913,74,1
37,1540184333.135329,74,-1
38,1540184333.1366951,66,1
39,1540184333.139433,150,1
40,1540184333.1475883,66,-1
41,1540184333.148904,504,-1
42,1540184333.1489062,99,-1
43,1540184333.1504977,66,1
44,1540184333.1507502,66,1
45,1540184333.1772816,66,1
46,1540184333.1825676,85,1
47,1540184333.1833491,54,1
48,1540184333.1834192,153,-1
49,1540184333.1845934,66,-1
50,1540184333.1869016,66,1
51,1540184333.1877682,74,1
52,1540184333.204304,66,-1
53,1540184333.2055876,54,1
54,1540184333.2061758,200,1
55,1540184333.2234707,60,-1
56,1540184333.227498,410,-1
57,1540184333.2275,473,-1
58,1540184333.229529,54,1
59,1540184333.2305226,54,1
60,1540184333.2449744,90,1
61,1540184333.245218,90,1
62,1540184333.2975912,90,-1
63,1540184333.3002303,90,-1
64,1540184333.4002457,54,1
65,1540184333.6216612,54,1
66,1540184333.7258217,780,1
67,1540184333.7341356,1514,1
68,1540184333.7356608,631,1
69,1540184333.7363977,491,1
70,1540184333.7384987,491,1
71,1540184333.7428598,60,-1
72,1540184333.7473288,491,1
73,1540184333.7479043,491,1
74,1540184333.74908,491,1
75,1540184333.7509477,491,1
76,1540184333.7511654,60,-1
77,1540184333.7525964,60,-1
78,1540184333.753261,60,-1
79,1540184333.7554052,60,-1
80,1540184333.7643433,60,-1
81,1540184333.764452,491,1
82,1540184333.7647254,60,-1
83,1540184333.765366,491,1
84,1540184333.7659364,60,-1
85,1540184333.7678943,60,-1
86,1540184333.772683,491,1
87,1540184333.7741256,260,1
88,1540184333.7813647,60,-1
89,1540184333.7822165,60,-1
90,1540184333.7840927,491,1
91,1540184333.784737,491,1
92,1540184333.7896702,60,-1
93,1540184333.7909381,60,-1
94,1540184333.8009844,60,-1
95,1540184333.801712,60,-1
96,1540184333.8087847,891,1
97,1540184333.8090653,891,1
98,1540184333.8160138,491,1
99,1540184333.817017,491,1
100,1540184333.817805,491,1
101,1540184333.8189087,491,1
102,1540184333.8198678,491,1
103,1540184333.8208747,491,1
104,1540184333.825746,60,-1
105,1540184333.8259594,60,-1
106,1540184333.830042,491,1
107,1540184333.8309371,491,1
108,1540184333.8329427,60,-1
109,1540184333.8338974,60,-1
110,1540184333.8346891,60,-1
111,1540184333.8358521,60,-1
112,1540184333.8377585,60,-1
113,1540184333.8453848,491,1
114,1540184333.847092,60,-1
115,1540184333.847247,491,1
116,1540184333.8472707,491,1
117,1540184333.8472838,1514,1
118,1540184333.8473039,231,1
119,1540184333.8473158,491,1
120,1540184333.8473334,491,1
121,1540184333.8478,60,-1
122,1540184333.8634326,60,-1
123,1540184333.8641567,60,-1
124,1540184333.8641586,60,-1
125,1540184333.868304,99,-1
126,1540184333.8696678,54,1
127,1540184333.8844404,216,-1
128,1540184333.887085,54,1
129,1540184333.8923538,491,1
130,1540184333.943927,491,1
131,1540184333.954071,60,-1
132,1540184333.9608898,60,-1
133,1540184334.0082555,491,1
134,1540184334.0306454,60,-1
135,1540184334.0383635,491,1
136,1540184334.0552216,60,-1
137,1540184334.0568397,54,1
138,1540184334.1093564,491,1
139,1540184334.1263041,60,-1
140,1540184334.1317708,491,1
141,1540184334.1487916,60,-1
142,1540184334.2023578,491,1
143,1540184334.2193143,60,-1
144,1540184334.2437327,491,1
145,1540184334.2606075,60,-1
146,1540184334.2907486,491,1
147,1540184334.3076415,60,-1
148,1540184334.3427386,491,1
149,1540184334.3595886,60,-1
150,1540184334.408451,491,1
151,1540184334.4253662,60,-1
152,1540184334.4369411,491,1
153,1540184334.4538007,60,-1
154,1540184334.504665,491,1
155,1540184334.5215697,60,-1
156,1540184334.5391848,491,1
157,1540184334.5560567,60,-1
158,1540184334.5994518,491,1
159,1540184334.6163626,60,-1
160,1540184334.6589558,491,1
161,1540184334.6759083,60,-1
162,1540184334.695491,491,1
163,1540184334.7124102,60,-1
164,1540184334.7413821,491,1
165,1540184334.7583127,60,-1
166,1540184334.8277564,491,1
167,1540184334.8448832,491,1
168,1540184334.8554895,60,-1
169,1540184334.861849,60,-1
170,1540184334.9547365,491,1
171,1540184334.9717665,60,-1
172,1540184334.9800975,491,1
173,1540184334.9802544,54,1
174,1540184334.9988363,60,-1
175,1540184335.0026453,491,1
176,1540184335.01952,60,-1
177,1540184335.068323,491,1
178,1540184335.0851638,60,-1
179,1540184335.1002438,491,1
180,1540184335.1171238,60,-1
181,1540184335.1392708,491,1
182,1540184335.1562746,60,-1
183,1540184335.2179794,491,1
184,1540184335.2349424,60,-1
185,1540184335.246368,491,1
186,1540184335.2633767,60,-1
187,1540184335.3030472,491,1
188,1540184335.3199875,60,-1
189,1540184335.3341475,491,1
190,1540184335.350975,60,-1
191,1540184335.4481556,491,1
192,1540184335.4485564,491,1
193,1540184335.4650633,60,-1
194,1540184335.4653904,60,-1
195,1540184335.4978905,491,1
196,1540184335.5147681,60,-1
197,1540184335.5403519,491,1
198,1540184335.5572205,60,-1
199,1540184335.6044316,491,1
200,1540184335.6212926,60,-1
201,1540184335.6343699,491,1
202,1540184335.6513073,60,-1
203,1540184335.7054536,491,1
204,1540184335.7224276,60,-1
205,1540184335.7353337,491,1
206,1540184335.75228,60,-1
207,1540184335.8071935,491,1
208,1540184335.824128,60,-1
209,1540184335.8446941,491,1
210,1540184335.8616993,60,-1
211,1540184335.8915932,491,1
212,1540184335.9084647,60,-1
213,1540184335.9381583,491,1
