Serial number,time,size,direction
1,1540183412.0627873,77,1
2,1540183412.0806537,77,-1
3,1540183412.0843594,66,1
4,1540183417.6684854,284,1
5,1540183417.7117927,938,1
6,1540183417.7278163,1514,1
7,1540183417.7286742,1031,1
8,1540183417.7291403,60,-1
9,1540183417.730079,491,1
10,1540183417.7396574,491,1
11,1540183417.7401414,491,1
12,1540183417.7410583,491,1
13,1540183417.7453482,60,-1
14,1540183417.7561638,60,-1
15,1540183417.7576065,60,-1
16,1540183417.7881262,1514,1
17,1540183417.7893238,1514,1
18,1540183417.789375,1514,1
19,1540183417.789432,1514,1
20,1540183417.7894816,1514,1
21,1540183417.790814,1020,1
22,1540183417.7908487,1099,1
23,1540183417.801244,491,1
24,1540183417.8060062,60,-1
25,1540183417.8062196,99,-1
26,1540183417.8063912,60,-1
27,1540183417.807747,60,-1
28,1540183417.8079057,54,1
29,1540183417.825508,491,1
30,1540183417.8337202,216,-1
31,1540183417.8777697,54,1
32,1540183417.8835154,491,1
33,1540183417.8891442,60,-1
34,1540183417.9009893,60,-1
35,1540183417.9142003,491,1
36,1540183417.9307847,60,-1
37,1540183417.9802313,491,1
38,1540183417.9970078,60,-1
39,1540183418.0240862,491,1
40,1540183418.0407243,60,-1
41,1540183418.0754402,491,1
42,1540183418.0934205,60,-1
43,1540183418.1221395,491,1
44,1540183418.1387289,60,-1
45,1540183418.1869926,491,1
46,1540183418.1973972,151,-1
47,1540183418.2027922,54,1
48,1540183418.2035232,60,-1
49,1540183418.2187207,491,1
50,1540183418.242693,60,-1
51,1540183418.285375,491,1
52,1540183418.3028202,60,-1
53,1540183418.3231466,491,1
54,1540183418.339893,60,-1
55,1540183418.3881588,491,1
56,1540183418.4054947,60,-1
57,1540183418.4221618,491,1
58,1540183418.4386876,60,-1
59,1540183418.4702349,491,1
60,1540183418.4880912,60,-1
61,1540183418.5189242,491,1
62,1540183418.5362103,60,-1
63,1540183418.5852401,491,1
64,1540183418.6019106,60,-1
65,1540183418.617033,491,1
66,1540183418.6353588,60,-1
67,1540183418.6817691,491,1
68,1540183418.69838,60,-1
69,1540183418.7131524,491,1
70,1540183418.7298067,60,-1
71,1540183418.787866,491,1
72,1540183418.8046434,60,-1
73,1540183418.830775,491,1
74,1540183418.8473666,60,-1
75,1540183418.8741145,491,1
76,1540183418.890612,60,-1
77,1540183418.9229453,491,1
78,1540183418.9399288,60,-1
79,1540183418.989315,491,1
80,1540183419.0060036,60,-1
81,1540183419.0167553,491,1
82,1540183419.0332367,60,-1
83,1540183419.0866745,491,1
84,1540183419.1033804,60,-1
85,1540183419.1125364,491,1
86,1540183419.129856,60,-1
87,1540183419.1780632,491,1
88,1540183419.1950593,60,-1
89,1540183419.2236474,491,1
90,1540183419.2402458,60,-1
91,1540183419.2823858,491,1
92,1540183419.2989874,60,-1
93,1540183419.321085,491,1
94,1540183419.3379884,60,-1
95,1540183419.3870723,491,1
96,1540183419.405102,60,-1
97,1540183419.4198444,491,1
98,1540183419.436429,60,-1
99,1540183419.486975,491,1
100,1540183419.5035992,60,-1
101,1540183419.5096953,491,1
102,1540183419.5261955,60,-1
103,1540183419.575663,491,1
104,1540183419.593328,60,-1
105,1540183419.6249893,491,1
106,1540183419.6418629,60,-1
107,1540183419.68557,491,1
108,1540183419.7027938,60,-1
109,1540183419.7208345,491,1
110,1540183419.7374854,60,-1
111,1540183419.7914581,491,1
112,1540183419.8085618,60,-1
113,1540183419.8232648,491,1
114,1540183419.840072,60,-1
115,1540183419.8820503,491,1
116,1540183419.8985863,60,-1
117,1540183419.917327,491,1
118,1540183419.9338632,60,-1
119,1540183419.978541,491,1
120,1540183419.9950845,60,-1
121,1540183420.0222602,491,1
122,1540183420.038764,60,-1
123,1540183420.0712683,491,1
124,1540183420.087862,60,-1
125,1540183420.1342852,491,1
126,1540183420.1511307,60,-1
127,1540183420.1920376,491,1
128,1540183420.209066,60,-1
129,1540183420.2090707,99,-1
130,1540183420.2242017,491,1
131,1540183420.286021,491,1
132,1540183420.2893965,60,-1
133,1540183420.302951,60,-1
134,1540183420.3194304,491,1
135,1540183420.33624,60,-1
136,1540183420.3821146,491,1
137,1540183420.3992944,60,-1
138,1540183420.4229572,491,1
139,1540183420.4395297,60,-1
140,1540183420.4723938,491,1
141,1540183420.4899201,60,-1
