Serial number,time,size,direction
1,1540194593.106537,77,1
2,1540194593.1235762,77,-1
3,1540194593.1251726,66,1
4,1540194600.700656,54,1
5,1540194601.150908,285,1
6,1540194601.182573,1514,1
7,1540194601.1839159,394,1
8,1540194601.1995585,60,-1
9,1540194601.2294884,1514,1
10,1540194601.2316973,1514,1
11,1540194601.2317295,1267,1
12,1540194601.2317555,1514,1
13,1540194601.2317839,1514,1
14,1540194601.2318082,275,1
15,1540194601.2426372,891,1
16,1540194601.244419,60,-1
17,1540194601.2465076,60,-1
18,1540194601.2487361,60,-1
19,1540194601.2487383,60,-1
20,1540194601.248959,60,-1
21,1540194601.248961,60,-1
22,1540194601.2522573,1514,1
23,1540194601.2525947,631,1
24,1540194601.2595384,60,-1
25,1540194601.269273,60,-1
26,1540194601.2694643,60,-1
27,1540194601.2886586,1291,1
28,1540194601.2913244,491,1
29,1540194601.2921255,491,1
30,1540194601.3057153,60,-1
31,1540194601.30679,1514,1
32,1540194601.30825,60,-1
33,1540194601.3084831,631,1
34,1540194601.3085258,491,1
35,1540194601.3085518,491,1
36,1540194601.308938,60,-1
37,1540194601.3170419,218,-1
38,1540194601.3253934,60,-1
39,1540194601.3253977,60,-1
40,1540194601.3652124,54,1
41,1540194601.3654237,491,1
42,1540194601.4021869,491,1
43,1540194601.419094,60,-1
44,1540194601.4703176,491,1
45,1540194601.4893446,491,1
46,1540194601.5062559,60,-1
47,1540194601.550485,491,1
48,1540194601.6042256,491,1
49,1540194601.6144235,60,-1
50,1540194601.621085,60,-1
51,1540194601.641504,491,1
52,1540194601.6583385,60,-1
53,1540194601.7104185,491,1
54,1540194601.7272696,60,-1
55,1540194601.732971,491,1
56,1540194601.7498786,60,-1
57,1540194601.7978878,491,1
58,1540194601.8148398,60,-1
59,1540194601.8419416,491,1
60,1540194601.858979,60,-1
61,1540194601.89047,491,1
62,1540194601.907348,60,-1
63,1540194601.949479,491,1
64,1540194601.9663947,60,-1
65,1540194602.0045455,491,1
66,1540194602.0213833,60,-1
67,1540194602.06596,491,1
68,1540194602.0828314,60,-1
