Serial number,time,size,direction
1,1540289293.2446482,95,1
2,1540289293.2611983,60,-1
3,1540289293.2612045,95,-1
4,1540289293.2632072,54,1
5,1540289296.4689894,289,1
6,1540289296.5139403,1126,1
7,1540289296.515452,1291,1
8,1540289296.5154858,891,1
9,1540289296.524927,491,1
10,1540289296.5265725,60,-1
11,1540289296.5301745,491,1
12,1540289296.53056,60,-1
13,1540289296.5320873,60,-1
14,1540289296.5320892,60,-1
15,1540289296.5327015,491,1
16,1540289296.5349054,491,1
17,1540289296.541458,60,-1
18,1540289296.5435603,1514,1
19,1540289296.5448759,231,1
20,1540289296.5467865,60,-1
21,1540289296.5492938,60,-1
22,1540289296.5514293,60,-1
23,1540289296.5551155,891,1
24,1540289296.5602565,60,-1
25,1540289296.5613487,60,-1
26,1540289296.5716748,60,-1
27,1540289296.5917172,491,1
28,1540289296.593257,491,1
29,1540289296.5932863,891,1
30,1540289296.595215,491,1
31,1540289296.5957716,491,1
32,1540289296.5966012,491,1
33,1540289296.603984,491,1
34,1540289296.608283,60,-1
35,1540289296.6097717,60,-1
36,1540289296.6097739,60,-1
37,1540289296.6100214,1514,1
38,1540289296.6115785,1514,1
39,1540289296.6117675,60,-1
40,1540289296.6122718,60,-1
41,1540289296.6127868,1514,1
42,1540289296.613205,60,-1
43,1540289296.613255,1514,1
44,1540289296.6139443,584,1
45,1540289296.6205533,60,-1
46,1540289296.6282878,60,-1
47,1540289296.6299758,60,-1
48,1540289296.6305234,60,-1
49,1540289296.6391556,491,1
50,1540289296.643276,211,-1
51,1540289296.6453185,54,1
52,1540289296.6965184,60,-1
53,1540289296.7006629,491,1
54,1540289296.7172048,60,-1
55,1540289296.733583,491,1
56,1540289296.750146,60,-1
57,1540289296.799887,491,1
58,1540289296.8165843,60,-1
59,1540289296.8165886,99,-1
60,1540289296.8367827,54,1
61,1540289296.8427005,491,1
62,1540289296.892634,491,1
63,1540289296.9092898,60,-1
64,1540289296.943082,491,1
65,1540289297.006538,491,1
66,1540289297.0065987,60,-1
67,1540289297.0230663,60,-1
68,1540289297.0375948,491,1
69,1540289297.0541472,60,-1
70,1540289297.1005929,491,1
71,1540289297.1171138,60,-1
72,1540289297.1452308,491,1
73,1540289297.1620023,60,-1
74,1540289297.1923115,491,1
75,1540289297.2088208,60,-1
76,1540289297.2493472,491,1
77,1540289297.265933,60,-1
78,1540289297.2936296,491,1
79,1540289297.3103569,60,-1
80,1540289297.3416634,491,1
81,1540289297.35823,60,-1
82,1540289297.4086394,491,1
83,1540289297.4252362,60,-1
84,1540289297.432882,491,1
85,1540289297.4495804,60,-1
86,1540289297.5060987,491,1
87,1540289297.5130754,77,1
88,1540289297.52265,60,-1
89,1540289297.5312753,491,1
90,1540289297.5318477,77,-1
91,1540289297.5332286,66,1
92,1540289297.547803,60,-1
93,1540289297.6007648,491,1
94,1540289297.6173055,60,-1
95,1540289297.6426563,491,1
96,1540289297.6592228,60,-1
97,1540289297.695341,491,1
98,1540289297.711964,60,-1
99,1540289297.7405891,491,1
100,1540289297.7571871,60,-1
101,1540289297.807112,491,1
102,1540289297.8265293,60,-1
103,1540289297.846291,491,1
104,1540289297.863057,60,-1
105,1540289297.9038568,491,1
106,1540289297.9204435,60,-1
107,1540289297.928745,491,1
108,1540289297.9453163,60,-1
109,1540289298.007189,491,1
110,1540289298.0237281,60,-1
111,1540289298.0404913,491,1
112,1540289298.057032,60,-1
113,1540289298.0938613,491,1
114,1540289298.110396,60,-1
115,1540289298.1388195,491,1
116,1540289298.155339,60,-1
117,1540289298.201903,491,1
118,1540289298.2184434,60,-1
119,1540289298.2368379,491,1
120,1540289298.253356,60,-1
121,1540289298.3575969,491,1
122,1540289298.3579001,491,1
123,1540289298.3742604,60,-1
124,1540289298.374427,60,-1
125,1540289298.451167,491,1
126,1540289298.4677079,60,-1
127,1540289298.4974012,491,1
128,1540289298.49889,491,1
129,1540289298.5139554,60,-1
130,1540289298.5154116,60,-1
131,1540289298.554783,491,1
132,1540289298.5712726,60,-1
133,1540289298.6123385,491,1
134,1540289298.6288993,60,-1
135,1540289298.6367733,491,1
136,1540289298.6533494,60,-1
137,1540289298.7020214,491,1
138,1540289298.7185466,60,-1
139,1540289298.7476826,148,-1
140,1540289298.764912,491,1
141,1540289298.8142796,491,1
142,1540289298.8308392,60,-1
143,1540289298.831023,99,-1
144,1540289298.8385558,54,1
145,1540289298.950097,491,1
146,1540289298.9526145,491,1
147,1540289298.9539623,491,1
148,1540289298.9692366,60,-1
149,1540289298.9849834,174,-1
150,1540289299.0075033,491,1
151,1540289299.0468962,491,1
152,1540289299.0633636,60,-1
153,1540289299.106754,491,1
154,1540289299.154689,491,1
155,1540289299.166554,60,-1
156,1540289299.1713078,60,-1
157,1540289299.2022722,491,1
158,1540289299.218774,60,-1
159,1540289299.245283,491,1
160,1540289299.2618022,60,-1
161,1540289299.292268,491,1
162,1540289299.3088126,60,-1
163,1540289299.335563,211,-1
164,1540289299.3360012,1514,-1
165,1540289299.336089,1514,-1
166,1540289299.3362863,1098,-1
167,1540289299.3398283,54,1
168,1540289299.3399045,54,1
169,1540289299.3491592,491,1
170,1540289299.4066372,60,-1
171,1540289299.4129736,491,1
172,1540289299.4203248,1514,-1
173,1540289299.420436,1514,-1
174,1540289299.4205148,1267,-1
175,1540289299.4206362,1514,-1
176,1540289299.4207115,1514,-1
177,1540289299.420864,328,-1
178,1540289299.420865,1030,-1
179,1540289299.4209907,1514,-1
180,1540289299.4210918,1514,-1
181,1540289299.4213018,1267,-1
182,1540289299.4244711,54,1
183,1540289299.424604,54,1
184,1540289299.4255779,54,1
185,1540289299.4257398,54,1
186,1540289299.4266374,54,1
187,1540289299.4297016,60,-1
188,1540289299.4411294,1514,-1
189,1540289299.441153,491,1
190,1540289299.44124,1514,-1
191,1540289299.4413416,1514,-1
192,1540289299.441462,1514,-1
193,1540289299.4415843,1514,-1
194,1540289299.441774,1514,-1
195,1540289299.4422028,1514,-1
196,1540289299.4423351,1514,-1
197,1540289299.4424543,1514,-1
198,1540289299.4425735,1514,-1
199,1540289299.4426975,1514,-1
200,1540289299.4428916,1514,-1
201,1540289299.443265,54,1
202,1540289299.4433446,1514,-1
203,1540289299.4434748,1514,-1
204,1540289299.4436784,1514,-1
205,1540289299.444479,54,1
206,1540289299.4453423,54,1
207,1540289299.4472368,54,1
208,1540289299.4481246,54,1
209,1540289299.4483297,54,1
210,1540289299.4491313,99,1
211,1540289299.4492128,54,1
212,1540289299.4496133,99,1
213,1540289299.4598498,1040,-1
214,1540289299.466053,60,-1
215,1540289299.4710274,54,1
216,1540289299.4951317,91,1
217,1540289299.4952164,91,1
218,1540289299.5117378,60,-1
219,1540289299.6056566,304,1
220,1540289299.6766224,60,-1
221,1540289299.8907351,160,-1
222,1540289299.9165635,154,-1
223,1540289299.9401994,54,1
224,1540289299.947448,54,1
225,1540289305.913438,177,1
226,1540289305.9300494,60,-1
227,1540289312.6850123,60,-1
228,1540289328.4749706,77,1
229,1540289328.497799,77,-1
230,1540289328.516158,66,1
231,1540289335.9364529,95,1
232,1540289335.952943,60,-1
233,1540289335.9529452,95,-1
234,1540289335.954725,54,1
235,1540289336.693901,285,1
236,1540289336.7568245,60,-1
237,1540289336.7732081,1129,1
238,1540289336.7897987,60,-1
239,1540289336.796333,1514,1
240,1540289336.7978725,1514,1
241,1540289336.7978892,371,1
242,1540289336.799734,491,1
243,1540289336.8010726,491,1
244,1540289336.8046734,491,1
245,1540289336.8080096,491,1
246,1540289336.8130267,60,-1
247,1540289336.814493,60,-1
248,1540289336.8162115,60,-1
249,1540289336.8175614,60,-1
250,1540289336.8212461,60,-1
251,1540289336.8244839,60,-1
252,1540289336.8325078,1514,1
253,1540289336.832736,779,1
254,1540289336.8342361,1514,1
255,1540289336.8342545,1031,1
256,1540289336.835674,491,1
257,1540289336.8446853,1514,1
258,1540289336.8459847,231,1
259,1540289336.8491502,60,-1
260,1540289336.8491514,60,-1
261,1540289336.850812,1514,1
262,1540289336.8509085,60,-1
263,1540289336.8509095,60,-1
264,1540289336.8510487,779,1
265,1540289336.8521526,60,-1
266,1540289336.856547,491,1
267,1540289336.8573456,491,1
268,1540289336.8579557,491,1
269,1540289336.8612993,60,-1
270,1540289336.8624701,60,-1
271,1540289336.8635037,491,1
272,1540289336.8649204,491,1
273,1540289336.8674653,60,-1
274,1540289336.8676264,99,-1
275,1540289336.8687286,1514,1
276,1540289336.8696415,1514,1
277,1540289336.8738706,60,-1
278,1540289336.8751483,193,1
279,1540289336.8793623,491,1
280,1540289336.8800213,60,-1
281,1540289336.885425,60,-1
282,1540289336.8927007,60,-1
283,1540289336.9310625,218,-1
284,1540289336.9419918,491,1
285,1540289336.9690638,491,1
286,1540289336.9855638,60,-1
287,1540289337.0439196,491,1
288,1540289337.0899827,491,1
289,1540289337.1064699,60,-1
290,1540289337.154068,491,1
291,1540289337.182622,491,1
292,1540289337.1992733,60,-1
293,1540289337.2484524,491,1
294,1540289337.2767298,491,1
295,1540289337.2932947,60,-1
296,1540289337.340835,491,1
297,1540289337.3721132,491,1
298,1540289337.3887608,60,-1
299,1540289337.446997,491,1
300,1540289337.4946828,491,1
301,1540289337.5113988,60,-1
302,1540289337.5334637,491,1
303,1540289337.5844676,491,1
304,1540289337.5968573,60,-1
305,1540289337.6009748,60,-1
306,1540289337.6468759,491,1
307,1540289337.6634173,60,-1
308,1540289337.6781194,491,1
309,1540289337.6946926,60,-1
310,1540289337.7439275,491,1
311,1540289337.760487,60,-1
312,1540289337.7718303,491,1
313,1540289337.7883573,60,-1
314,1540289337.8386168,491,1
315,1540289337.8551862,60,-1
316,1540289337.8898022,491,1
317,1540289337.906443,60,-1
318,1540289337.9340813,491,1
319,1540289337.9506445,60,-1
