Serial number,time,size,direction
1,1540199980.4888394,286,1
2,1540199980.530126,943,1
3,1540199980.545035,1291,1
4,1540199980.5469716,60,-1
5,1540199980.5530047,891,1
6,1540199980.5691304,491,1
7,1540199980.5694869,491,1
8,1540199980.5695152,491,1
9,1540199980.5698555,60,-1
10,1540199980.5862668,60,-1
11,1540199980.5992634,1514,1
12,1540199980.6010008,1514,1
13,1540199980.601031,1171,1
14,1540199980.6087031,491,1
15,1540199980.6091213,1514,1
16,1540199980.6114278,1514,1
17,1540199980.611457,1171,1
18,1540199980.6114793,491,1
19,1540199980.6114993,491,1
20,1540199980.6161582,60,-1
21,1540199980.6179523,1365,1
22,1540199980.6180367,60,-1
23,1540199980.6260328,60,-1
24,1540199980.6284184,60,-1
25,1540199980.6284208,60,-1
26,1540199980.6490288,215,-1
27,1540199980.6508853,491,1
28,1540199980.652373,491,1
29,1540199980.6539044,54,1
30,1540199980.6624756,491,1
31,1540199980.6691473,60,-1
32,1540199980.7198071,60,-1
33,1540199980.7344506,491,1
34,1540199980.7511954,60,-1
35,1540199980.772784,491,1
36,1540199980.7895722,60,-1
37,1540199980.835681,491,1
38,1540199980.8524187,60,-1
39,1540199980.868656,491,1
40,1540199980.88552,60,-1
41,1540199980.9459941,491,1
42,1540199980.9628272,60,-1
43,1540199980.9744546,491,1
44,1540199980.9912877,60,-1
45,1540199981.0272596,491,1
46,1540199981.0442069,60,-1
47,1540199981.062488,491,1
48,1540199981.0793226,60,-1
49,1540199981.128098,491,1
50,1540199981.144866,60,-1
51,1540199981.177902,491,1
52,1540199981.194714,60,-1
53,1540199981.2250676,491,1
54,1540199981.241919,60,-1
55,1540199981.2759063,491,1
56,1540199981.292809,60,-1
57,1540199981.3382444,491,1
58,1540199981.3551607,60,-1
59,1540199981.374385,491,1
60,1540199981.3912942,60,-1
61,1540199981.4489377,491,1
62,1540199981.4647434,491,1
63,1540199981.4656951,60,-1
64,1540199981.4815676,60,-1
65,1540199981.5330906,491,1
66,1540199981.5498745,60,-1
67,1540199981.5819314,491,1
68,1540199981.598674,60,-1
69,1540199981.6221395,491,1
70,1540199981.6389,60,-1
71,1540199981.6695983,491,1
72,1540199981.6863894,60,-1
73,1540199981.738655,491,1
74,1540199981.7554095,60,-1
75,1540199981.7701757,491,1
76,1540199981.7870166,60,-1
77,1540199981.8312767,491,1
78,1540199981.8482175,60,-1
79,1540199981.8615909,491,1
80,1540199981.8784237,60,-1
81,1540199981.9266508,491,1
82,1540199981.9435215,60,-1
83,1540199981.9734824,491,1
84,1540199981.9903274,60,-1
85,1540199982.0228813,491,1
86,1540199982.0397768,60,-1
87,1540199982.07006,491,1
88,1540199982.087023,60,-1
89,1540199982.1351655,491,1
90,1540199982.1520882,60,-1
91,1540199982.1698632,491,1
92,1540199982.1866846,60,-1
93,1540199982.2470665,491,1
94,1540199982.2638543,60,-1
95,1540199982.2641747,491,1
96,1540199982.281266,60,-1
97,1540199982.3312142,491,1
98,1540199982.34808,60,-1
99,1540199982.3742428,491,1
100,1540199982.3911703,60,-1
101,1540199982.4236755,491,1
102,1540199982.4405267,60,-1
103,1540199982.4703126,151,-1
104,1540199982.4857652,491,1
105,1540199982.5389132,491,1
106,1540199982.5498338,60,-1
107,1540199982.5557747,60,-1
108,1540199982.5712063,491,1
109,1540199982.5881238,60,-1
110,1540199982.6477149,491,1
111,1540199982.6644893,60,-1
112,1540199982.6644907,99,-1
113,1540199982.668339,491,1
114,1540199982.726762,54,1
115,1540199982.7298486,60,-1
116,1540199982.7308981,491,1
117,1540199982.7477257,60,-1
118,1540199982.77856,491,1
119,1540199982.7869763,173,-1
120,1540199982.7883136,54,1
121,1540199982.7954047,60,-1
122,1540199982.8287663,491,1
123,1540199982.8456967,60,-1
124,1540199982.8869348,491,1
125,1540199982.9038467,60,-1
126,1540199982.936145,491,1
127,1540199982.9531555,60,-1
128,1540199982.9531624,99,-1
129,1540199982.9751086,491,1
130,1540199982.9752371,54,1
131,1540199983.037213,214,-1
132,1540199983.0376518,1514,-1
133,1540199983.03774,1514,-1
134,1540199983.0379314,1104,-1
135,1540199983.0454078,491,1
136,1540199983.0558367,1514,-1
137,1540199983.0559387,1514,-1
138,1540199983.0561392,1267,-1
139,1540199983.0666707,491,1
140,1540199983.0834982,60,-1
141,1540199983.0864058,54,1
142,1540199983.100989,54,1
143,1540199983.1011834,54,1
144,1540199983.1012561,54,1
145,1540199983.1032534,1514,-1
146,1540199983.1034608,1514,-1
147,1540199983.1179087,1514,-1
148,1540199983.1180465,1514,-1
149,1540199983.1181371,1514,-1
150,1540199983.1182733,1514,-1
151,1540199983.1183848,1514,-1
152,1540199983.1183872,153,-1
153,1540199983.1243327,99,1
154,1540199983.127973,491,1
155,1540199983.1317096,54,1
156,1540199983.1319904,54,1
157,1540199983.1321192,54,1
158,1540199983.1447916,60,-1
159,1540199983.173444,54,1
160,1540199983.1799595,491,1
161,1540199983.2150025,91,1
162,1540199983.2151787,91,1
163,1540199983.2317061,60,-1
164,1540199983.2584865,302,1
165,1540199983.2752419,60,-1
166,1540199983.5142024,161,-1
167,1540199983.5300148,54,1
168,1540199983.53609,156,-1
169,1540199983.5376964,54,1
