Serial number,time,size,direction
1,1540189453.7004125,54,1
2,1540189460.220703,287,1
3,1540189460.2375808,60,-1
4,1540189460.249329,1514,1
5,1540189460.2506351,363,1
6,1540189460.2648952,1514,1
7,1540189460.2663343,60,-1
8,1540189460.2666998,1514,1
9,1540189460.26673,771,1
10,1540189460.267451,60,-1
11,1540189460.2818828,60,-1
12,1540189460.2836862,60,-1
13,1540189460.2836883,60,-1
14,1540189460.2838504,99,-1
15,1540189460.288254,54,1
16,1540189460.2916048,491,1
17,1540189460.2923381,491,1
18,1540189460.3052123,491,1
19,1540189460.3065991,491,1
20,1540189460.319641,60,-1
21,1540189460.327645,60,-1
22,1540189460.3313305,491,1
23,1540189460.3322322,1514,1
24,1540189460.3322628,631,1
25,1540189460.332816,1514,1
26,1540189460.3343499,1468,1
27,1540189460.3492205,60,-1
28,1540189460.3498032,60,-1
29,1540189460.3695953,491,1
30,1540189460.3743637,1514,1
31,1540189460.3748815,1514,1
32,1540189460.3749106,408,1
33,1540189460.3864057,60,-1
34,1540189460.3918922,60,-1
35,1540189460.4326732,491,1
36,1540189460.439184,216,-1
37,1540189460.4581397,491,1
38,1540189460.4749873,60,-1
39,1540189460.5305088,491,1
40,1540189460.5664783,491,1
41,1540189460.583326,60,-1
42,1540189460.6264212,491,1
43,1540189460.6514583,491,1
44,1540189460.6683218,60,-1
45,1540189460.727282,491,1
46,1540189460.776197,491,1
47,1540189460.7930915,60,-1
48,1540189460.8142176,491,1
49,1540189460.874075,60,-1
50,1540189460.8865874,491,1
51,1540189460.9036276,60,-1
52,1540189460.9289145,491,1
53,1540189460.9458437,60,-1
54,1540189460.9630625,491,1
55,1540189460.9799976,60,-1
56,1540189461.059793,491,1
57,1540189461.060347,491,1
58,1540189461.076683,60,-1
59,1540189461.0771964,60,-1
60,1540189461.1295369,491,1
61,1540189461.1464086,60,-1
62,1540189461.170393,491,1
63,1540189461.18722,60,-1
64,1540189461.2183049,491,1
65,1540189461.235209,60,-1
66,1540189461.2661607,491,1
67,1540189461.283059,60,-1
68,1540189461.382851,491,1
69,1540189461.384147,491,1
70,1540189461.4222817,491,1
71,1540189461.4391277,60,-1
72,1540189461.4502432,491,1
73,1540189461.50317,60,-1
74,1540189461.5209117,491,1
75,1540189461.537768,60,-1
76,1540189461.5661025,491,1
77,1540189461.5829537,60,-1
78,1540189461.610998,491,1
79,1540189461.6278827,60,-1
80,1540189461.6633623,491,1
81,1540189461.6812303,60,-1
82,1540189461.7262652,491,1
83,1540189461.7432382,60,-1
84,1540189461.7610524,491,1
85,1540189461.778023,60,-1
86,1540189461.831813,491,1
87,1540189461.8488123,60,-1
88,1540189461.8492403,491,1
89,1540189461.8661232,60,-1
90,1540189461.9256544,491,1
91,1540189461.9425135,60,-1
92,1540189461.9624386,491,1
93,1540189461.9793153,60,-1
94,1540189462.0111868,491,1
95,1540189462.0322933,60,-1
96,1540189462.0573282,491,1
97,1540189462.0741677,60,-1
98,1540189462.131794,491,1
99,1540189462.1487107,60,-1
100,1540189462.1661282,491,1
101,1540189462.1829278,60,-1
102,1540189462.2181246,491,1
103,1540189462.2351139,60,-1
104,1540189462.253591,491,1
105,1540189462.2705197,60,-1
106,1540189462.3245208,491,1
107,1540189462.3415017,60,-1
108,1540189462.3681722,491,1
109,1540189462.3850305,60,-1
110,1540189462.4143932,491,1
111,1540189462.4345682,60,-1
112,1540189462.4632528,491,1
113,1540189462.4800787,60,-1
114,1540189462.5334296,491,1
115,1540189462.550399,60,-1
116,1540189462.5672238,491,1
117,1540189462.5842013,60,-1
118,1540189462.6234682,491,1
119,1540189462.640355,60,-1
120,1540189462.6542153,491,1
121,1540189462.6711562,60,-1
122,1540189462.6937675,60,-1
123,1540189462.7209377,491,1
124,1540189462.7267852,54,1
125,1540189462.7378185,60,-1
126,1540189462.7378201,99,-1
127,1540189462.7681284,491,1
128,1540189462.8176734,491,1
129,1540189462.8340569,60,-1
130,1540189462.8345642,60,-1
131,1540189462.8630598,491,1
132,1540189462.8800309,60,-1
133,1540189462.9265244,491,1
134,1540189462.9434414,60,-1
135,1540189462.9626777,491,1
136,1540189462.9795363,60,-1
137,1540189463.017772,491,1
138,1540189463.0346417,60,-1
139,1540189463.051552,491,1
140,1540189463.0689888,60,-1
141,1540189463.0778537,157,-1
142,1540189463.1239326,54,1
143,1540189463.1240613,491,1
144,1540189463.16572,491,1
145,1540189463.1825724,60,-1
146,1540189463.182575,99,-1
147,1540189463.1840284,54,1
148,1540189463.232674,491,1
149,1540189463.233581,175,-1
150,1540189463.2609696,491,1
151,1540189463.277841,60,-1
152,1540189463.3351426,491,1
153,1540189463.3621635,491,1
154,1540189463.3791654,60,-1
155,1540189463.4292996,491,1
156,1540189463.4601781,491,1
157,1540189463.4770575,60,-1
158,1540189463.5242603,491,1
159,1540189463.5666735,491,1
160,1540189463.583554,60,-1
161,1540189463.600482,226,-1
162,1540189463.600849,1514,-1
163,1540189463.601027,763,-1
164,1540189463.6095011,1514,-1
165,1540189463.6096113,1514,-1
166,1540189463.609723,1267,-1
167,1540189463.6097884,1514,-1
168,1540189463.6099482,537,-1
169,1540189463.6102812,54,1
170,1540189463.6132812,54,1
171,1540189463.6134322,54,1
172,1540189463.615001,54,1
173,1540189463.6221085,491,1
174,1540189463.6478498,1514,-1
175,1540189463.6479502,1514,-1
176,1540189463.6480649,1267,-1
177,1540189463.6481824,1514,-1
178,1540189463.6482532,1514,-1
179,1540189463.6482713,328,-1
180,1540189463.648396,1030,-1
181,1540189463.6485384,1514,-1
182,1540189463.6486332,1514,-1
183,1540189463.6488347,1267,-1
184,1540189463.650296,54,1
185,1540189463.6641326,54,1
186,1540189463.6643248,54,1
187,1540189463.6644897,54,1
188,1540189463.6645625,54,1
189,1540189463.6668844,491,1
190,1540189463.6670914,99,1
191,1540189463.6672516,1514,-1
192,1540189463.667448,1514,-1
193,1540189463.6811204,1514,-1
194,1540189463.6812344,1514,-1
195,1540189463.681361,1514,-1
196,1540189463.6814835,1514,-1
197,1540189463.681601,1514,-1
198,1540189463.6817229,1514,-1
199,1540189463.6818507,1514,-1
200,1540189463.681966,1514,-1
201,1540189463.6821601,1514,-1
202,1540189463.6838384,60,-1
203,1540189463.6914854,54,1
204,1540189463.691654,54,1
205,1540189463.6918175,54,1
206,1540189463.6918929,54,1
207,1540189463.6919675,54,1
208,1540189463.7084482,1514,-1
209,1540189463.7085624,1514,-1
210,1540189463.708661,1514,-1
211,1540189463.708839,1139,-1
212,1540189463.7100904,54,1
213,1540189463.711074,54,1
214,1540189463.7419264,491,1
215,1540189463.7608316,91,1
216,1540189463.7609692,91,1
217,1540189463.7776637,60,-1
218,1540189463.8147404,431,1
219,1540189463.8240695,60,-1
220,1540189463.8316712,60,-1
221,1540189464.090126,155,-1
222,1540189464.1262767,153,-1
223,1540189464.167966,54,1
224,1540189467.8215392,54,1
225,1540189470.5256784,176,1
226,1540189470.5425189,60,-1
227,1540189479.568335,77,1
228,1540189479.5854733,77,-1
229,1540189479.6083806,66,1
230,1540189489.5086267,286,1
231,1540189489.525467,60,-1
232,1540189489.5658686,1514,1
233,1540189489.5661702,361,1
234,1540189489.5761707,491,1
235,1540189489.5782135,1514,1
236,1540189489.578649,1431,1
237,1540189489.5829105,60,-1
238,1540189489.5829127,60,-1
239,1540189489.5930316,60,-1
240,1540189489.5952106,60,-1
241,1540189489.5955892,60,-1
242,1540189489.6159244,891,1
243,1540189489.6269255,1514,1
244,1540189489.6285908,1031,1
245,1540189489.6286216,891,1
246,1540189489.6328466,60,-1
247,1540189489.6436641,491,1
248,1540189489.6438923,60,-1
249,1540189489.6455286,60,-1
250,1540189489.6455312,60,-1
251,1540189489.650782,491,1
252,1540189489.652178,491,1
253,1540189489.6574893,491,1
254,1540189489.6605275,60,-1
255,1540189489.6605814,891,1
256,1540189489.6620827,491,1
257,1540189489.6676052,60,-1
258,1540189489.669057,60,-1
259,1540189489.6743197,60,-1
260,1540189489.6751173,1514,1
261,1540189489.677498,60,-1
262,1540189489.6788833,60,-1
263,1540189489.7109833,218,-1
264,1540189489.7331934,1514,1
265,1540189489.735061,1514,1
266,1540189489.7363453,918,1
267,1540189489.7423644,491,1
268,1540189489.7520485,60,-1
269,1540189489.7592313,60,-1
270,1540189489.7819338,491,1
271,1540189489.84226,491,1
272,1540189489.844273,60,-1
273,1540189489.8592272,60,-1
274,1540189489.889304,491,1
275,1540189489.906272,60,-1
276,1540189489.9318814,491,1
277,1540189489.9488847,60,-1
278,1540189489.9840155,491,1
279,1540189490.0011098,60,-1
280,1540189490.047082,491,1
281,1540189490.0639389,60,-1
282,1540189490.083041,491,1
283,1540189490.0999105,60,-1
284,1540189490.1382105,491,1
285,1540189490.155034,60,-1
286,1540189490.1761403,491,1
287,1540189490.1929882,60,-1
288,1540189490.2445676,491,1
289,1540189490.261427,60,-1
290,1540189490.2814898,491,1
291,1540189490.2983317,60,-1
292,1540189490.3305845,491,1
293,1540189490.3475196,60,-1
294,1540189490.3826344,491,1
295,1540189490.3996592,60,-1
296,1540189490.445932,491,1
297,1540189490.4628496,60,-1
298,1540189490.481902,491,1
299,1540189490.4988463,60,-1
300,1540189490.5436904,491,1
301,1540189490.5605943,60,-1
302,1540189490.5754964,491,1
303,1540189490.592373,60,-1
304,1540189490.6449022,491,1
305,1540189490.6618392,60,-1
306,1540189490.6839077,491,1
307,1540189490.7007804,60,-1
308,1540189490.7313242,491,1
309,1540189490.7481904,60,-1
310,1540189490.777977,491,1
311,1540189490.794896,60,-1
312,1540189490.849207,491,1
313,1540189490.8662128,60,-1
314,1540189490.881952,491,1
315,1540189490.898959,60,-1
316,1540189490.943254,491,1
317,1540189490.9602344,60,-1
318,1540189490.9739199,491,1
319,1540189490.9908545,60,-1
320,1540189491.0458972,491,1
321,1540189491.0627668,60,-1
322,1540189491.0845547,491,1
323,1540189491.1014585,60,-1
324,1540189491.1305387,491,1
325,1540189491.1475008,60,-1
326,1540189491.1820374,491,1
327,1540189491.198971,60,-1
