Serial number,time,size,direction
1,1540483340.804625,77,1
2,1540483340.840973,66,-1
3,1540483344.388764,95,-1
4,1540483344.4048886,95,-1
5,1540483344.4060745,54,-1
6,1540483347.7705464,279,-1
7,1540483347.7940245,1048,-1
8,1540483347.8101983,60,-1
9,1540483347.8416817,1291,-1
10,1540483347.8420234,891,-1
11,1540483347.842041,891,-1
12,1540483347.8420525,491,-1
13,1540483347.8440695,491,-1
14,1540483347.8494356,491,-1
15,1540483347.852879,491,-1
16,1540483347.8549669,491,-1
17,1540483347.8580687,60,-1
18,1540483347.85807,60,-1
19,1540483347.8596094,491,-1
20,1540483347.86542,60,-1
21,1540483347.8656006,491,-1
22,1540483347.8709073,60,-1
23,1540483347.878274,1291,-1
24,1540483347.881596,60,-1
25,1540483347.905236,491,-1
26,1540483347.9074597,1514,-1
27,1540483347.9074762,631,-1
28,1540483347.907489,1514,-1
29,1540483347.9075003,231,-1
30,1540483347.90751,491,-1
31,1540483347.9075198,491,-1
32,1540483347.913702,220,-1
33,1540483347.9177825,1514,-1
34,1540483347.923614,60,-1
35,1540483347.9236152,60,-1
36,1540483347.9238124,60,-1
37,1540483347.9254353,1514,-1
38,1540483347.926778,1504,-1
39,1540483347.9415243,60,-1
40,1540483347.9499817,491,-1
41,1540483347.9659038,60,-1
42,1540483347.9894698,491,-1
43,1540483348.0398133,491,-1
44,1540483348.0529668,60,-1
45,1540483348.0557368,60,-1
46,1540483348.085549,491,-1
47,1540483348.1015093,60,-1
48,1540483348.1518068,491,-1
49,1540483348.1677577,60,-1
50,1540483348.183329,491,-1
51,1540483348.199354,60,-1
52,1540483348.2486982,491,-1
53,1540483348.2646592,60,-1
54,1540483348.2798848,491,-1
55,1540483348.295884,60,-1
56,1540483348.3448915,491,-1
57,1540483348.3608825,60,-1
58,1540483348.3904955,491,-1
59,1540483348.4064572,60,-1
60,1540483348.4066384,99,-1
61,1540483348.437821,491,-1
62,1540483348.4897902,491,-1
63,1540483348.5029943,60,-1
64,1540483348.50582,60,-1
65,1540483348.5530553,491,-1
66,1540483348.5691605,60,-1
67,1540483348.5846355,491,-1
68,1540483348.600681,60,-1
69,1540483348.650688,491,-1
70,1540483348.6667275,60,-1
71,1540483348.6741617,491,-1
72,1540483348.6901078,60,-1
73,1540483348.744968,491,-1
74,1540483348.7609243,60,-1
75,1540483348.7894373,491,-1
76,1540483348.8054447,60,-1
77,1540483348.8361435,491,-1
