Serial number,time,size,direction
1,1540289788.904953,60,1
2,1540289788.961978,54,-1
3,1540289791.8428807,95,-1
4,1540289791.8594515,95,-1
5,1540289791.8608632,54,-1
6,1540289794.0455225,54,-1
7,1540289795.5861983,294,-1
8,1540289795.5916016,1514,-1
9,1540289795.591635,381,-1
10,1540289795.6083193,60,-1
11,1540289795.6693046,1291,-1
12,1540289795.7340524,491,-1
13,1540289795.7345579,491,-1
14,1540289795.734587,891,-1
15,1540289795.7346106,491,-1
16,1540289795.7359521,1514,-1
17,1540289795.7404308,60,-1
18,1540289795.7413592,1514,-1
19,1540289795.742927,1514,-1
20,1540289795.7452934,1514,-1
21,1540289795.7507355,60,-1
22,1540289795.7510982,60,-1
23,1540289795.7511022,60,-1
24,1540289795.7511039,60,-1
25,1540289795.751322,99,-1
26,1540289795.7522242,1514,-1
27,1540289795.7531064,1514,-1
28,1540289795.7540333,1514,-1
29,1540289795.7545233,1514,-1
30,1540289795.7545543,54,-1
31,1540289795.7580373,60,-1
32,1540289795.759918,1514,-1
33,1540289795.7612593,461,-1
34,1540289795.7621093,60,-1
35,1540289795.763389,491,-1
36,1540289795.7697663,60,-1
37,1540289795.7711692,60,-1
38,1540289795.7783074,60,-1
39,1540289795.8116837,211,-1
40,1540289795.839905,491,-1
41,1540289795.8627033,491,-1
42,1540289795.8792946,60,-1
43,1540289795.9197073,491,-1
44,1540289795.980527,60,-1
45,1540289796.0475786,491,-1
46,1540289796.047977,491,-1
47,1540289796.0641737,60,-1
48,1540289796.0646207,60,-1
49,1540289796.0647688,491,-1
50,1540289796.081302,60,-1
51,1540289796.1312056,491,-1
52,1540289796.1478572,60,-1
53,1540289796.1623635,491,-1
54,1540289796.1790707,60,-1
55,1540289796.2283046,491,-1
56,1540289796.245056,60,-1
57,1540289796.2588432,491,-1
58,1540289796.2756608,60,-1
59,1540289796.3233192,491,-1
60,1540289796.339945,60,-1
61,1540289796.3680453,491,-1
62,1540289796.3846304,60,-1
63,1540289796.416926,491,-1
64,1540289796.4334857,60,-1
65,1540289796.4688997,491,-1
66,1540289796.4855804,60,-1
67,1540289796.5296438,491,-1
68,1540289796.5463088,60,-1
69,1540289796.5695128,491,-1
70,1540289796.5861912,60,-1
71,1540289796.6250668,491,-1
72,1540289796.6416624,60,-1
73,1540289796.6592855,491,-1
74,1540289796.6758409,60,-1
75,1540289796.727191,491,-1
76,1540289796.7437537,60,-1
77,1540289796.7698226,491,-1
78,1540289796.7866147,60,-1
79,1540289796.8164628,491,-1
80,1540289796.83309,60,-1
81,1540289796.8637824,491,-1
82,1540289796.8804154,60,-1
83,1540289796.9555788,491,-1
84,1540289796.959634,491,-1
85,1540289796.9723523,60,-1
86,1540289796.9762936,60,-1
87,1540289797.0113714,167,-1
88,1540289797.0316083,491,-1
89,1540289797.05644,491,-1
90,1540289797.0731356,60,-1
91,1540289797.128972,491,-1
92,1540289797.1757908,491,-1
93,1540289797.184132,177,-1
94,1540289797.2183788,54,-1
95,1540289797.2202919,491,-1
96,1540289797.236849,60,-1
97,1540289797.2745035,491,-1
98,1540289797.3115523,612,-1
99,1540289797.3291674,54,-1
100,1540289797.3413408,491,-1
101,1540289797.3613677,772,-1
102,1540289797.363535,491,-1
103,1540289797.3728597,541,-1
104,1540289797.3728616,97,-1
105,1540289797.3730452,66,-1
106,1540289797.374642,66,-1
107,1540289797.3747911,66,-1
108,1540289797.3748846,97,-1
109,1540289797.375033,66,-1
110,1540289797.3800497,60,-1
111,1540289797.3819509,60,-1
112,1540289797.4023252,91,-1
113,1540289797.4024134,91,-1
114,1540289797.418956,60,-1
115,1540289797.4274433,1234,-1
116,1540289797.4330778,88,-1
117,1540289797.4550774,152,-1
118,1540289797.4826057,74,-1
119,1540289797.4900875,74,-1
120,1540289797.4914858,66,-1
121,1540289797.4939036,583,-1
122,1540289797.5005913,60,-1
123,1540289797.5019288,66,-1
124,1540289797.502589,218,-1
125,1540289797.5038052,66,-1
126,1540289797.5042472,117,-1
127,1540289797.552233,66,-1
128,1540289797.5690248,776,-1
129,1540289797.5793343,66,-1
130,1540289797.5890465,1514,-1
131,1540289797.5891817,1514,-1
132,1540289797.589297,1514,-1
133,1540289797.5894217,1514,-1
134,1540289797.5895505,1514,-1
135,1540289797.5896568,1514,-1
136,1540289797.5897787,1514,-1
137,1540289797.5899029,1514,-1
138,1540289797.590028,1514,-1
139,1540289797.5901592,1514,-1
140,1540289797.5902822,1514,-1
141,1540289797.590396,1514,-1
142,1540289797.5905247,1514,-1
143,1540289797.590641,1514,-1
144,1540289797.5907652,1514,-1
145,1540289797.5908842,1514,-1
146,1540289797.5910115,1514,-1
147,1540289797.5911357,1514,-1
148,1540289797.5912583,1514,-1
149,1540289797.5913768,1514,-1
150,1540289797.5915039,1514,-1
151,1540289797.5916255,1514,-1
152,1540289797.5917518,1514,-1
153,1540289797.5918772,1514,-1
154,1540289797.5920792,1514,-1
155,1540289797.5957716,66,-1
156,1540289797.597562,66,-1
157,1540289797.5984628,66,-1
158,1540289797.599311,66,-1
159,1540289797.599978,161,-1
160,1540289797.6001873,66,-1
161,1540289797.6010127,66,-1
162,1540289797.6027517,66,-1
163,1540289797.6040127,1514,-1
164,1540289797.6041443,1514,-1
165,1540289797.6042616,1514,-1
166,1540289797.6044564,1514,-1
167,1540289797.6047788,66,-1
168,1540289797.604855,66,-1
169,1540289797.6049366,66,-1
170,1540289797.6062121,66,-1
171,1540289797.6072109,66,-1
172,1540289797.608192,66,-1
173,1540289797.609501,66,-1
174,1540289797.6098955,1514,-1
175,1540289797.6100247,1514,-1
176,1540289797.6101434,1514,-1
177,1540289797.6102664,1514,-1
178,1540289797.6103947,1514,-1
179,1540289797.6105173,1514,-1
180,1540289797.6106372,1514,-1
181,1540289797.6107569,1514,-1
182,1540289797.610885,1514,-1
183,1540289797.6110022,1514,-1
184,1540289797.61113,1514,-1
185,1540289797.6112509,1514,-1
186,1540289797.6113763,1514,-1
187,1540289797.6115031,1514,-1
188,1540289797.6116226,1514,-1
189,1540289797.6117387,1514,-1
190,1540289797.6118627,1514,-1
191,1540289797.6119971,1514,-1
192,1540289797.612085,66,-1
193,1540289797.6121135,1514,-1
194,1540289797.612232,1514,-1
195,1540289797.612354,1514,-1
196,1540289797.612478,1514,-1
197,1540289797.6126056,1514,-1
198,1540289797.612796,1514,-1
199,1540289797.6131165,66,-1
200,1540289797.6133258,66,-1
201,1540289797.6152074,66,-1
202,1540289797.6155043,66,-1
203,1540289797.6167266,66,-1
204,1540289797.6180446,1514,-1
205,1540289797.618172,1514,-1
206,1540289797.6182954,1514,-1
207,1540289797.6184187,1514,-1
208,1540289797.6186109,1514,-1
209,1540289797.619416,1514,-1
210,1540289797.6195474,1514,-1
211,1540289797.6197405,1514,-1
212,1540289797.6207685,1514,-1
213,1540289797.6209602,1514,-1
214,1540289797.6216779,1514,-1
215,1540289797.6218717,1514,-1
216,1540289797.6223917,1514,-1
217,1540289797.6225832,1514,-1
218,1540289797.6233194,1514,-1
219,1540289797.623515,1514,-1
220,1540289797.6241128,1514,-1
221,1540289797.624315,1514,-1
222,1540289797.62492,1514,-1
223,1540289797.6249924,1514,-1
224,1540289797.6249933,150,-1
225,1540289797.6257517,1514,-1
226,1540289797.6259515,1514,-1
