Serial number,time,size,direction
1,1540274240.8602717,60,1
2,1540274240.917487,54,-1
3,1540274246.027789,54,-1
4,1540274250.0032043,286,-1
5,1540274250.0035903,566,-1
6,1540274250.0036194,566,-1
7,1540274250.003658,566,-1
8,1540274250.003684,354,-1
9,1540274250.018689,566,-1
10,1540274250.0207882,60,-1
11,1540274250.0211332,60,-1
12,1540274250.0211363,60,-1
13,1540274250.021138,60,-1
14,1540274250.0232527,566,-1
15,1540274250.0248768,267,-1
16,1540274250.0249052,566,-1
17,1540274250.02494,379,-1
18,1540274250.0361948,60,-1
19,1540274250.036708,566,-1
20,1540274250.0376096,566,-1
21,1540274250.0407946,60,-1
22,1540274250.042142,566,-1
23,1540274250.0423632,60,-1
24,1540274250.0423663,60,-1
25,1540274250.0423677,60,-1
26,1540274250.0424824,155,-1
27,1540274250.042583,99,-1
28,1540274250.0456386,54,-1
29,1540274250.0467255,566,-1
30,1540274250.0481513,379,-1
31,1540274250.0496862,491,-1
32,1540274250.0551643,60,-1
33,1540274250.0569303,566,-1
34,1540274250.0582268,416,-1
35,1540274250.0601268,60,-1
36,1540274250.062363,566,-1
37,1540274250.0637221,566,-1
38,1540274250.065657,60,-1
39,1540274250.0748649,60,-1
40,1540274250.0798757,60,-1
41,1540274250.1233847,60,-1
42,1540274250.1236298,214,-1
43,1540274250.1401923,566,-1
44,1540274250.1408324,566,-1
45,1540274250.1429038,566,-1
46,1540274250.1446784,566,-1
47,1540274250.14472,566,-1
48,1540274250.1447477,566,-1
49,1540274250.144775,566,-1
50,1540274250.144799,566,-1
51,1540274250.1639154,60,-1
52,1540274250.167506,566,-1
53,1540274250.1680384,566,-1
54,1540274250.1680675,566,-1
55,1540274250.1680908,566,-1
56,1540274250.168112,566,-1
57,1540274250.1681352,566,-1
58,1540274250.1695137,566,-1
59,1540274250.1695426,566,-1
60,1540274250.1857007,60,-1
61,1540274250.185704,60,-1
62,1540274250.1871467,60,-1
63,1540274250.187289,566,-1
64,1540274250.1879158,566,-1
65,1540274250.187945,228,-1
66,1540274250.1914573,491,-1
67,1540274250.204911,60,-1
68,1540274250.205553,60,-1
69,1540274250.2090406,60,-1
70,1540274250.253153,491,-1
71,1540274250.270745,60,-1
72,1540274250.288944,491,-1
