Serial number,time,size,direction
1,1540268822.1105976,82,1
2,1540268822.1113327,98,-1
3,1540268822.1177669,74,1
4,1540268822.1183105,74,1
5,1540268822.135273,66,-1
6,1540268822.1358907,66,-1
7,1540268822.1377003,54,1
8,1540268822.1385696,189,1
9,1540268822.1391997,54,1
10,1540268822.1398146,211,1
11,1540268822.1578174,60,-1
12,1540268822.1583023,292,-1
13,1540268822.1591055,60,-1
14,1540268822.1600854,425,-1
15,1540268822.1667657,54,1
16,1540268822.1831632,60,-1
17,1540268822.1988316,54,1
18,1540268822.2153244,60,-1
19,1540268827.1051638,182,1
20,1540268828.8996723,286,1
21,1540268828.9570456,60,-1
22,1540268829.0208352,1101,1
23,1540268829.025205,1514,1
24,1540268829.0269713,231,1
25,1540268829.0270555,1291,1
26,1540268829.0271113,491,1
27,1540268829.027138,491,1
28,1540268829.0376542,60,-1
29,1540268829.0420208,60,-1
30,1540268829.0437593,60,-1
31,1540268829.0440242,60,-1
32,1540268829.0440273,60,-1
33,1540268829.044029,60,-1
34,1540268829.0892022,491,1
35,1540268829.0896971,491,1
36,1540268829.08974,491,1
37,1540268829.0897653,491,1
38,1540268829.0898027,491,1
39,1540268829.0898442,491,1
40,1540268829.0898685,491,1
41,1540268829.0898929,491,1
42,1540268829.0902052,928,1
43,1540268829.0934305,491,1
44,1540268829.1059713,60,-1
45,1540268829.1062906,60,-1
46,1540268829.1062927,60,-1
47,1540268829.1064656,60,-1
48,1540268829.1064687,60,-1
49,1540268829.1064708,60,-1
50,1540268829.1064744,60,-1
51,1540268829.1064758,60,-1
52,1540268829.1069477,60,-1
53,1540268829.1104007,60,-1
54,1540268829.1394386,1514,1
55,1540268829.140343,1514,1
56,1540268829.1403775,1514,1
57,1540268829.1404037,1514,1
58,1540268829.1404278,1514,1
59,1540268829.1419036,1514,1
60,1540268829.1419349,1514,1
61,1540268829.1419573,345,1
62,1540268829.1431928,214,-1
63,1540268829.1540773,491,1
64,1540268829.1572363,60,-1
65,1540268829.1574616,60,-1
66,1540268829.1587787,60,-1
67,1540268829.1587803,60,-1
68,1540268829.1745536,54,1
69,1540268829.1883988,491,1
70,1540268829.206222,60,-1
71,1540268829.2543697,491,1
72,1540268829.3029997,491,1
73,1540268829.3198087,60,-1
74,1540268829.3483536,491,1
75,1540268829.399575,491,1
76,1540268829.4169352,60,-1
77,1540268829.4630573,491,1
78,1540268829.491307,491,1
79,1540268829.5080898,60,-1
80,1540268829.5612369,491,1
81,1540268829.5914207,491,1
82,1540268829.6081495,60,-1
83,1540268829.6640885,491,1
84,1540268829.7170396,491,1
85,1540268829.734713,60,-1
86,1540268829.7493196,491,1
87,1540268829.8011985,491,1
88,1540268829.816642,60,-1
89,1540268829.8179631,60,-1
90,1540268829.8617022,491,1
91,1540268829.8784668,60,-1
92,1540268829.9000964,491,1
93,1540268829.9168046,60,-1
94,1540268829.9573834,491,1
95,1540268829.9742732,60,-1
96,1540268829.9888704,491,1
97,1540268830.005792,60,-1
98,1540268830.0587354,491,1
99,1540268830.0754828,60,-1
100,1540268830.0989404,491,1
101,1540268830.1160223,60,-1
102,1540268830.1507542,491,1
103,1540268830.1675656,60,-1
104,1540268830.1675715,99,-1
105,1540268830.198721,491,1
106,1540268830.2668319,60,-1
107,1540268830.2935748,491,1
108,1540268830.2948222,491,1
109,1540268830.3102682,60,-1
110,1540268830.3114505,60,-1
111,1540268830.3565395,491,1
112,1540268830.3732147,60,-1
113,1540268830.3876088,491,1
114,1540268830.4043674,60,-1
115,1540268830.4579911,491,1
116,1540268830.47545,60,-1
117,1540268830.501956,491,1
118,1540268830.518674,60,-1
119,1540268830.5491211,491,1
120,1540268830.5668893,60,-1
121,1540268830.5960584,491,1
122,1540268830.6127846,60,-1
123,1540268830.661599,491,1
124,1540268830.6782603,60,-1
125,1540268830.6931837,491,1
126,1540268830.710082,60,-1
127,1540268830.7586913,491,1
128,1540268830.7753727,60,-1
129,1540268830.7898905,491,1
130,1540268830.806525,60,-1
131,1540268830.8672845,491,1
132,1540268830.8839266,60,-1
133,1540268830.9078233,491,1
134,1540268830.9245749,60,-1
135,1540268830.9245772,99,-1
136,1540268830.9510984,491,1
137,1540268830.9964902,491,1
138,1540268831.0130916,60,-1
139,1540268831.067392,491,1
140,1540268831.0912237,491,1
141,1540268831.107986,60,-1
142,1540268831.1680536,491,1
143,1540268831.1852825,491,1
144,1540268831.201989,60,-1
145,1540268831.2131255,152,-1
146,1540268831.267921,491,1
147,1540268831.2821681,174,-1
148,1540268831.3247573,491,1
149,1540268831.3365936,60,-1
150,1540268831.341376,60,-1
151,1540268831.354843,491,1
152,1540268831.3724148,60,-1
153,1540268831.4062443,491,1
154,1540268831.4229403,60,-1
155,1540268831.4529638,278,-1
156,1540268831.4534082,1514,-1
157,1540268831.453493,1514,-1
158,1540268831.4534945,232,-1
159,1540268831.4594357,1514,-1
160,1540268831.459546,1514,-1
161,1540268831.4597287,1267,-1
162,1540268831.45973,207,-1
163,1540268831.4693768,491,1
164,1540268831.4976985,1514,-1
165,1540268831.4979217,1514,-1
166,1540268831.5607996,54,1
167,1540268831.561082,491,1
168,1540268831.5610995,54,1
169,1540268831.5611765,54,1
170,1540268831.5612528,54,1
171,1540268831.5625505,491,1
172,1540268831.5775769,1514,-1
173,1540268831.577769,1514,-1
174,1540268831.5778937,1514,-1
175,1540268831.5780106,1514,-1
176,1540268831.578134,1514,-1
177,1540268831.578261,1514,-1
178,1540268831.5783865,1514,-1
179,1540268831.5785053,1514,-1
180,1540268831.5786269,1514,-1
181,1540268831.5788343,1514,-1
182,1540268831.5932162,54,1
183,1540268831.593287,54,1
184,1540268831.5944376,491,1
185,1540268831.5945842,54,1
186,1540268831.5946922,54,1
187,1540268831.5955358,99,1
188,1540268831.5961845,54,1
189,1540268831.6105013,1514,-1
190,1540268831.6106343,1514,-1
191,1540268831.610751,1514,-1
192,1540268831.610872,1514,-1
193,1540268831.6110797,1514,-1
194,1540268831.6120548,448,-1
195,1540268831.655345,54,1
196,1540268831.6565495,60,-1
197,1540268831.6659567,162,-1
198,1540268831.6991222,91,1
199,1540268831.6992857,91,1
200,1540268831.6994152,54,1
201,1540268831.700122,54,1
202,1540268831.7013323,54,1
203,1540268831.7016227,54,1
204,1540268831.7017424,54,1
205,1540268831.7022047,54,1
206,1540268831.7165298,60,-1
207,1540268831.716532,60,-1
208,1540268831.7273402,349,1
209,1540268831.7440236,60,-1
210,1540268831.851575,155,-1
211,1540268831.8874862,349,1
212,1540268831.904003,60,-1
213,1540268831.9769797,155,-1
214,1540268832.1797254,423,1
215,1540268832.1958065,60,-1
216,1540268832.287419,162,-1
217,1540268832.725134,423,1
218,1540268832.7412853,60,-1
219,1540268832.896712,162,-1
220,1540268833.845225,423,1
221,1540268833.861237,60,-1
222,1540268834.12665,162,-1
223,1540268834.2706444,66,1
224,1540268834.270778,66,1
225,1540268834.2871437,155,-1
226,1540268834.2915306,54,1
227,1540268835.0442665,60,-1
228,1540268835.1047428,54,1
229,1540268836.9030137,179,1
230,1540268836.9208357,60,-1
231,1540268841.9547572,77,1
232,1540268841.9720962,77,-1
233,1540268841.9734123,66,1
234,1540268842.5052297,118,1
235,1540268855.7122319,288,1
236,1540268855.7301679,60,-1
237,1540268855.7565184,1101,1
238,1540268855.7731724,60,-1
239,1540268855.7855542,1514,1
240,1540268855.787202,1514,1
241,1540268855.7872348,1514,1
242,1540268855.8023498,60,-1
243,1540268855.8041058,60,-1
244,1540268855.8041084,60,-1
245,1540268855.817024,1514,1
246,1540268855.8185382,1514,1
247,1540268855.820687,1514,1
248,1540268855.8207185,1514,1
249,1540268855.8207414,1514,1
250,1540268855.8207679,1514,1
