Serial number,time,size,direction
1,1540184526.8223085,95,1
2,1540184526.8392692,95,-1
3,1540184526.8407335,54,1
4,1540184532.747121,284,1
5,1540184532.8056245,60,-1
6,1540184532.8173895,935,1
7,1540184532.8182998,1291,1
8,1540184532.8219283,491,1
9,1540184532.8343012,60,-1
10,1540184532.8352816,60,-1
11,1540184532.838768,60,-1
12,1540184532.8629768,1514,1
13,1540184532.8647287,1514,1
14,1540184532.8647616,1267,1
15,1540184532.869088,1514,1
16,1540184532.8705022,1514,1
17,1540184532.8705342,1267,1
18,1540184532.8705575,1514,1
19,1540184532.872049,1514,1
20,1540184532.8720806,1267,1
21,1540184532.8721023,603,1
22,1540184532.8799522,60,-1
23,1540184532.8817341,60,-1
24,1540184532.881736,60,-1
25,1540184532.8860772,60,-1
26,1540184532.8874803,60,-1
27,1540184532.8874822,60,-1
28,1540184532.8877008,60,-1
29,1540184532.8890598,60,-1
30,1540184532.8890626,60,-1
31,1540184532.8890643,60,-1
32,1540184532.9102466,491,1
33,1540184532.927071,60,-1
34,1540184532.946857,491,1
35,1540184532.963701,60,-1
36,1540184532.996935,214,-1
37,1540184532.9999576,54,1
38,1540184533.008582,491,1
39,1540184533.0532556,491,1
40,1540184533.0656188,60,-1
41,1540184533.070106,60,-1
42,1540184533.0966003,491,1
43,1540184533.1134415,60,-1
44,1540184533.16233,491,1
45,1540184533.1791277,60,-1
46,1540184533.190865,491,1
47,1540184533.2077672,60,-1
48,1540184533.2564828,491,1
49,1540184533.2733948,60,-1
50,1540184533.2906303,491,1
51,1540184533.3074648,60,-1
52,1540184533.349892,491,1
53,1540184533.3667302,60,-1
54,1540184533.4034195,491,1
55,1540184533.4203084,60,-1
56,1540184533.4505415,491,1
57,1540184533.4675264,60,-1
58,1540184533.4955618,491,1
59,1540184533.5125751,60,-1
60,1540184533.5597405,491,1
61,1540184533.5766964,60,-1
62,1540184533.5909247,491,1
63,1540184533.6078227,60,-1
64,1540184533.6567423,491,1
65,1540184533.673673,60,-1
