Serial number,time,size,direction
1,1540483869.546643,95,1
2,1540483869.5626848,95,-1
3,1540483869.5641105,54,1
4,1540483871.9450798,77,1
5,1540483871.9622562,77,-1
6,1540483871.9642842,66,1
7,1540483874.9807017,1514,1
8,1540483874.981005,340,1
9,1540483874.9969382,60,-1
10,1540483875.0075624,264,1
11,1540483875.015199,1291,1
12,1540483875.0155509,891,1
13,1540483875.0313911,60,-1
14,1540483875.0708132,491,1
15,1540483875.0723214,491,1
16,1540483875.0738268,491,1
17,1540483875.0768287,491,1
18,1540483875.0770516,60,-1
19,1540483875.0802913,491,1
20,1540483875.084452,491,1
21,1540483875.0849488,491,1
22,1540483875.0867808,60,-1
23,1540483875.0871413,491,1
24,1540483875.088295,60,-1
25,1540483875.0898025,60,-1
26,1540483875.0906072,491,1
27,1540483875.0927866,60,-1
28,1540483875.0950122,491,1
29,1540483875.0962758,60,-1
30,1540483875.0978656,491,1
31,1540483875.1004238,60,-1
32,1540483875.1009371,60,-1
33,1540483875.1030962,60,-1
34,1540483875.1052651,222,-1
35,1540483875.1067984,491,1
36,1540483875.1070607,54,1
37,1540483875.1110072,60,-1
38,1540483875.1122003,491,1
39,1540483875.1155372,491,1
40,1540483875.1177673,491,1
41,1540483875.119802,491,1
42,1540483875.1220706,491,1
43,1540483875.1227925,60,-1
44,1540483875.1230538,491,1
45,1540483875.1315503,60,-1
46,1540483875.135989,60,-1
47,1540483875.1390312,60,-1
48,1540483875.143776,491,1
49,1540483875.1448345,491,1
50,1540483875.1448646,491,1
51,1540483875.1449292,1514,1
52,1540483875.1449633,1216,1
53,1540483875.145429,1514,1
54,1540483875.145774,1216,1
55,1540483875.1608489,60,-1
56,1540483875.1611547,60,-1
57,1540483875.1618319,60,-1
58,1540483875.161988,491,1
59,1540483875.2270858,60,-1
60,1540483875.2407053,491,1
61,1540483875.256717,60,-1
62,1540483875.2753954,491,1
63,1540483875.2914,60,-1
64,1540483875.328215,491,1
65,1540483875.3442242,60,-1
66,1540483875.4201822,491,1
67,1540483875.4362993,60,-1
68,1540483875.4369397,491,1
69,1540483875.4530518,60,-1
70,1540483875.4737086,491,1
71,1540483875.48975,60,-1
72,1540483875.5551903,491,1
73,1540483875.5601518,491,1
