Serial number,time,size,direction
1,1540197065.8140945,77,1
2,1540197065.8187902,66,-1
3,1540197066.0485053,77,-1
4,1540197066.0654697,77,1
5,1540197066.0771236,66,-1
6,1540197067.7753134,288,-1
7,1540197067.7921548,60,-1
8,1540197067.796531,1514,-1
9,1540197067.797865,439,-1
10,1540197067.8068964,1291,-1
11,1540197067.8095696,891,-1
12,1540197067.8134744,60,-1
13,1540197067.8146741,60,-1
14,1540197067.8238292,60,-1
15,1540197067.8246555,99,-1
16,1540197067.8315635,1514,-1
17,1540197067.8456583,1514,-1
18,1540197067.848166,1514,-1
19,1540197067.848526,60,-1
20,1540197067.8485866,1514,-1
21,1540197067.8486161,54,-1
22,1540197067.8547328,1514,-1
23,1540197067.8561082,1514,-1
24,1540197067.8651323,60,-1
25,1540197067.8673246,1514,-1
26,1540197067.8688908,1514,-1
27,1540197067.8717167,60,-1
28,1540197067.873405,1077,-1
29,1540197067.8819048,491,-1
30,1540197067.8842988,60,-1
31,1540197067.8902996,60,-1
32,1540197067.9143877,491,-1
33,1540197067.9305024,219,-1
34,1540197067.9661942,54,-1
35,1540197067.9736068,491,-1
36,1540197067.9737146,60,-1
37,1540197067.990453,60,-1
38,1540197068.0222833,491,-1
39,1540197068.0390987,60,-1
40,1540197068.0755503,491,-1
41,1540197068.0923474,60,-1
42,1540197068.1198902,491,-1
43,1540197068.1367552,60,-1
44,1540197068.1839774,491,-1
45,1540197068.2010396,60,-1
46,1540197068.2213736,491,-1
47,1540197068.2383182,60,-1
48,1540197068.2838693,491,-1
49,1540197068.3007917,60,-1
50,1540197068.3115962,491,-1
51,1540197068.328486,60,-1
52,1540197068.3937566,491,-1
53,1540197068.4105792,60,-1
54,1540197068.4249763,491,-1
55,1540197068.4417999,60,-1
56,1540197068.4706008,491,-1
57,1540197068.4874432,60,-1
58,1540197068.517228,491,-1
59,1540197068.5340908,60,-1
60,1540197068.589388,491,-1
61,1540197068.6062834,60,-1
62,1540197068.613865,491,-1
63,1540197068.6306753,60,-1
64,1540197068.6830351,491,-1
65,1540197068.6998494,60,-1
66,1540197068.7166536,491,-1
67,1540197068.773741,60,-1
68,1540197068.7772086,491,-1
69,1540197068.8266044,491,-1
70,1540197068.843443,60,-1
71,1540197068.8706982,491,-1
72,1540197068.9237406,491,-1
73,1540197068.9336963,60,-1
74,1540197068.9517088,60,-1
75,1540197068.984041,491,-1
76,1540197069.0053058,60,-1
77,1540197069.0176804,491,-1
78,1540197069.0344796,60,-1
79,1540197069.0856419,491,-1
80,1540197069.1029885,60,-1
81,1540197069.1160784,491,-1
82,1540197069.1398203,60,-1
83,1540197069.1732302,491,-1
84,1540197069.190082,60,-1
85,1540197069.222376,491,-1
86,1540197069.2392182,60,-1
