Serial number,time,size,direction
1,1540290523.931966,95,1
2,1540290523.948584,95,-1
3,1540290523.9502506,54,1
4,1540290525.0377178,97,1
5,1540290525.03783,66,1
6,1540290525.3829381,60,-1
7,1540290526.9640512,284,1
8,1540290526.9790905,1514,1
9,1540290526.9958584,60,-1
10,1540290527.071614,1514,1
11,1540290527.0729146,1040,1
12,1540290527.0895703,60,-1
13,1540290527.1071954,491,1
14,1540290527.1088097,491,1
15,1540290527.1088593,1514,1
16,1540290527.1088765,779,1
17,1540290527.125431,60,-1
18,1540290527.125753,60,-1
19,1540290527.1277778,1514,1
20,1540290527.1296399,1514,1
21,1540290527.129808,771,1
22,1540290527.1334043,491,1
23,1540290527.1465833,60,-1
24,1540290527.149756,1514,1
25,1540290527.1501093,60,-1
26,1540290527.1511645,1514,1
27,1540290527.152265,1514,1
28,1540290527.152796,1514,1
29,1540290527.1681185,60,-1
30,1540290527.1695802,60,-1
31,1540290527.1972065,220,-1
32,1540290527.241846,1514,1
33,1540290527.2803,761,1
34,1540290527.2803798,54,1
35,1540290527.2886558,491,1
36,1540290527.2968197,60,-1
37,1540290527.3462453,60,-1
38,1540290527.3943448,491,1
39,1540290527.4109447,60,-1
40,1540290527.4443972,928,1
41,1540290527.4609842,60,-1
42,1540290527.7078228,1514,1
43,1540290527.723909,60,-1
44,1540290528.2280736,1514,1
45,1540290528.2441223,60,-1
46,1540290529.2649586,1514,1
47,1540290529.2809973,60,-1
48,1540290529.4313836,1514,1
49,1540290529.431808,1514,1
50,1540290529.431843,1514,1
51,1540290529.4318588,1514,1
52,1540290529.4482517,60,-1
53,1540290529.4485006,60,-1
54,1540290529.4485018,60,-1
55,1540290529.4487083,60,-1
56,1540290530.0651078,1514,1
57,1540290530.0818186,60,-1
58,1540290530.085905,1514,1
59,1540290530.0879364,1514,1
60,1540290530.0879538,1514,1
61,1540290530.0879664,1514,1
62,1540290530.0879776,1514,1
63,1540290530.1026285,60,-1
64,1540290530.102631,99,-1
65,1540290530.1045933,1514,1
66,1540290530.1047027,60,-1
67,1540290530.105111,60,-1
68,1540290530.1063712,1514,1
69,1540290530.1068885,1514,1
70,1540290530.1085217,1514,1
71,1540290530.1090047,1514,1
72,1540290530.110359,1315,1
73,1540290530.1230767,60,-1
74,1540290530.1230793,99,-1
75,1540290530.1251829,60,-1
76,1540290530.1270258,60,-1
77,1540290530.142233,491,1
78,1540290530.1850963,491,1
79,1540290530.201512,165,-1
80,1540290530.234844,491,1
81,1540290530.2514327,60,-1
82,1540290530.3057399,491,1
83,1540290530.3277702,491,1
84,1540290530.3303087,173,-1
85,1540290530.3643,54,1
86,1540290530.3862364,60,-1
87,1540290530.3918521,491,1
88,1540290530.4084697,60,-1
89,1540290530.4448497,491,1
90,1540290530.4614015,60,-1
91,1540290530.4897897,491,1
92,1540290530.4948375,204,1
93,1540290530.5063376,60,-1
94,1540290530.511348,60,-1
95,1540290530.5417383,491,1
96,1540290530.5583477,60,-1
97,1540290530.603654,491,1
98,1540290530.6060688,1033,-1
99,1540290530.6063628,1514,-1
100,1540290530.6065676,1514,-1
101,1540290530.6204066,60,-1
102,1540290530.6323793,54,1
103,1540290530.6326084,54,1
104,1540290530.6327796,491,1
105,1540290530.649264,1514,-1
106,1540290530.6492684,1514,-1
107,1540290530.6495123,1514,-1
108,1540290530.6523654,99,1
109,1540290530.6526544,54,1
110,1540290530.6691458,1514,-1
111,1540290530.6693232,1514,-1
112,1540290530.6695168,1514,-1
113,1540290530.6742363,54,1
114,1540290530.6911418,1514,-1
115,1540290530.6913571,1514,-1
116,1540290530.7067337,91,1
117,1540290530.707136,91,1
118,1540290530.707516,419,1
119,1540290530.7099404,54,1
120,1540290530.7234814,1514,-1
121,1540290530.7241375,60,-1
122,1540290530.7267528,1514,-1
123,1540290530.7268429,1514,-1
124,1540290530.7269938,1514,-1
125,1540290530.7307198,54,1
126,1540290530.7320664,54,1
127,1540290530.7475514,1514,-1
128,1540290530.7477293,1514,-1
129,1540290530.7488427,1514,-1
130,1540290530.7490268,1514,-1
131,1540290530.753045,54,1
132,1540290530.7532172,54,1
133,1540290530.7698052,1514,-1
134,1540290530.7699192,1514,-1
135,1540290530.7700136,1514,-1
136,1540290530.7702122,1514,-1
137,1540290530.7889967,54,1
138,1540290530.789847,54,1
139,1540290530.8057613,1514,-1
140,1540290530.8059504,1514,-1
141,1540290530.8065557,1514,-1
142,1540290530.806656,1514,-1
143,1540290530.8068578,1514,-1
144,1540290530.8089542,54,1
145,1540290530.8092341,54,1
146,1540290530.809478,99,1
147,1540290530.8098626,99,1
148,1540290530.826001,1514,-1
149,1540290530.8260064,1514,-1
150,1540290530.8261461,1514,-1
151,1540290530.826272,1514,-1
152,1540290530.826378,60,-1
153,1540290530.8286018,54,1
154,1540290530.837408,54,1
155,1540290530.8453426,1514,-1
156,1540290530.8455338,1514,-1
157,1540290530.8476791,54,1
158,1540290530.8541129,1514,-1
159,1540290530.8543136,1514,-1
160,1540290530.8643599,1514,-1
161,1540290530.8645604,1514,-1
162,1540290530.8668332,54,1
163,1540290530.868907,54,1
164,1540290530.8835242,1514,-1
165,1540290530.8837292,1514,-1
166,1540290530.885478,54,1
167,1540290530.8855703,1514,-1
168,1540290530.8857503,1514,-1
169,1540290530.8878348,54,1
170,1540290530.9021482,1514,-1
171,1540290530.902241,1514,-1
172,1540290530.902349,1514,-1
173,1540290530.9025455,1514,-1
174,1540290530.9044073,54,1
175,1540290530.9045317,1514,-1
176,1540290530.9047155,1514,-1
177,1540290530.9047253,54,1
178,1540290530.9066756,54,1
179,1540290530.9211087,1514,-1
180,1540290530.921259,1514,-1
181,1540290530.9213586,1514,-1
182,1540290530.921561,1514,-1
183,1540290530.9233751,1514,-1
184,1540290530.9235325,54,1
185,1540290530.9235852,1514,-1
186,1540290530.92401,54,1
187,1540290530.924174,99,1
188,1540290530.9242563,99,1
189,1540290530.9262307,54,1
190,1540290530.940276,1514,-1
191,1540290530.9404705,1514,-1
192,1540290530.940648,1514,-1
193,1540290530.9407468,1514,-1
194,1540290530.94075,60,-1
195,1540290530.9428856,1514,-1
196,1540290530.9430642,1514,-1
197,1540290530.9520838,54,1
198,1540290530.9536698,54,1
199,1540290530.9555848,54,1
200,1540290530.9687572,1514,-1
201,1540290530.9689467,1514,-1
202,1540290530.970561,1514,-1
203,1540290530.9707644,1514,-1
204,1540290530.9711564,54,1
205,1540290530.9722567,1514,-1
206,1540290530.9723551,54,1
207,1540290530.9724534,1514,-1
208,1540290530.9745703,54,1
209,1540290530.9878883,1514,-1
210,1540290530.9880743,1514,-1
211,1540290530.989129,1514,-1
212,1540290530.9893324,1514,-1
213,1540290530.990827,54,1
214,1540290530.9913177,1514,-1
215,1540290530.9915643,1514,-1
216,1540290530.991956,54,1
217,1540290530.9936194,54,1
218,1540290531.0076478,1514,-1
219,1540290531.0079265,1514,-1
220,1540290531.008764,1514,-1
221,1540290531.0090117,1514,-1
222,1540290531.0108945,1514,-1
223,1540290531.0108988,1514,-1
224,1540290531.0212643,54,1
225,1540290531.029401,54,1
226,1540290531.029604,54,1
227,1540290531.0297344,99,1
228,1540290531.0298314,99,1
229,1540290531.0379918,1514,-1
230,1540290531.0380998,1514,-1
231,1540290531.0381937,1514,-1
232,1540290531.0383835,1514,-1
233,1540290531.0405858,54,1
234,1540290531.0417116,54,1
235,1540290531.046139,1514,-1
236,1540290531.046244,1514,-1
237,1540290531.0463324,1514,-1
238,1540290531.0463347,348,-1
239,1540290531.0463357,60,-1
240,1540290531.0508487,54,1
241,1540290531.0519702,54,1
242,1540290531.2222328,158,-1
243,1540290531.2458065,154,-1
244,1540290531.2770195,54,1
245,1540290531.2771647,54,1
246,1540290540.0220532,77,1
247,1540290540.039357,77,-1
248,1540290540.0409505,66,1
249,1540290550.1031246,178,1
250,1540290550.166386,60,-1
251,1540290559.667338,288,1
252,1540290559.6838615,60,-1
253,1540290559.7290523,1514,1
254,1540290559.72921,383,1
255,1540290559.7294297,1514,1
256,1540290559.7427056,231,1
257,1540290559.7442896,1291,1
258,1540290559.7443197,491,1
259,1540290559.7443414,491,1
260,1540290559.745734,60,-1
261,1540290559.7457373,60,-1
262,1540290559.746113,60,-1
263,1540290559.755857,1514,1
264,1540290559.7571971,342,1
265,1540290559.7592125,60,-1
266,1540290559.7609193,60,-1
267,1540290559.7609224,60,-1
268,1540290559.760924,60,-1
269,1540290559.7725036,60,-1
270,1540290559.7737377,60,-1
271,1540290559.7903218,491,1
272,1540290559.7909653,491,1
273,1540290559.791798,491,1
274,1540290559.798463,491,1
275,1540290559.7989135,891,1
276,1540290559.8068557,60,-1
277,1540290559.8074968,60,-1
278,1540290559.8083115,60,-1
279,1540290559.8149755,60,-1
280,1540290559.815486,60,-1
281,1540290559.8273199,491,1
282,1540290559.82855,1514,1
283,1540290559.8285816,1514,1
284,1540290559.8293226,1514,1
285,1540290559.8298433,1514,1
