Serial number,time,size,direction
1,1540485418.1019528,60,1
2,1540485420.4238365,342,-1
3,1540485420.430057,64,-1
4,1540485420.5301375,64,-1
5,1540485420.7304046,92,-1
6,1540485421.2434955,216,-1
7,1540485421.4801955,92,-1
8,1540485421.4921823,216,-1
9,1540485422.230202,92,-1
10,1540485422.2443242,216,-1
11,1540485422.4922397,216,-1
12,1540485423.2444377,216,-1
13,1540485423.422822,280,-1
14,1540485423.4331346,1514,-1
15,1540485423.4345267,468,-1
16,1540485423.4494684,60,-1
17,1540485423.4522934,1514,-1
18,1540485423.4533892,231,-1
19,1540485423.4547968,1291,-1
20,1540485423.46869,60,-1
21,1540485423.4701679,1514,-1
22,1540485423.4703078,779,-1
23,1540485423.4711037,60,-1
24,1540485423.4725597,928,-1
25,1540485423.472997,491,-1
26,1540485423.4865851,60,-1
27,1540485423.4880478,1514,-1
28,1540485423.4883888,1514,-1
29,1540485423.489202,60,-1
30,1540485423.4907699,1514,-1
31,1540485423.4911134,1514,-1
32,1540485423.492284,216,-1
33,1540485423.5047472,60,-1
34,1540485423.507451,60,-1
35,1540485423.5184174,1514,-1
36,1540485423.5193872,1514,-1
37,1540485423.5194044,101,-1
38,1540485423.5358229,60,-1
39,1540485423.5358253,99,-1
40,1540485423.538518,54,-1
41,1540485423.55846,491,-1
42,1540485423.5617115,220,-1
43,1540485423.5988662,54,-1
44,1540485423.61101,491,-1
45,1540485423.623127,60,-1
46,1540485423.6272352,60,-1
47,1540485423.677191,491,-1
48,1540485423.693443,60,-1
49,1540485423.6979191,491,-1
50,1540485423.7141788,60,-1
51,1540485423.7749314,491,-1
52,1540485423.7911868,60,-1
53,1540485423.7958446,491,-1
54,1540485423.8120413,60,-1
55,1540485423.8675895,491,-1
56,1540485423.8838313,60,-1
57,1540485423.8916593,491,-1
58,1540485423.9079006,60,-1
59,1540485423.9639697,491,-1
60,1540485423.9802122,60,-1
61,1540485424.0024667,491,-1
62,1540485424.018695,60,-1
63,1540485424.0506523,491,-1
64,1540485424.0668898,60,-1
65,1540485424.0993464,491,-1
66,1540485424.1156416,60,-1
