Serial number,time,size,direction
1,1540179037.2663105,77,1
2,1540179037.2837212,77,-1
3,1540179037.2856803,66,1
4,1540179037.8036733,131,1
5,1540179039.0897565,287,1
6,1540179039.1059437,60,-1
7,1540179039.1124158,1070,1
8,1540179039.1237032,1514,1
9,1540179039.1252227,1431,1
10,1540179039.128686,60,-1
11,1540179039.1400347,60,-1
12,1540179039.141554,60,-1
13,1540179039.1443903,1514,1
14,1540179039.145988,1514,1
15,1540179039.1460226,371,1
16,1540179039.1460445,491,1
17,1540179039.1574814,1514,1
18,1540179039.1588633,631,1
19,1540179039.16069,60,-1
20,1540179039.162291,60,-1
21,1540179039.162294,60,-1
22,1540179039.1622956,60,-1
23,1540179039.1703916,1291,1
24,1540179039.172268,491,1
25,1540179039.173801,60,-1
26,1540179039.1747515,491,1
27,1540179039.1750453,60,-1
28,1540179039.177381,491,1
29,1540179039.180552,491,1
30,1540179039.1819115,491,1
31,1540179039.186739,60,-1
32,1540179039.1884468,60,-1
33,1540179039.191021,60,-1
34,1540179039.193572,60,-1
35,1540179039.1949518,491,1
36,1540179039.1951647,891,1
37,1540179039.1967094,60,-1
38,1540179039.198078,60,-1
39,1540179039.2111592,60,-1
40,1540179039.2114706,60,-1
41,1540179039.2191224,491,1
42,1540179039.2353528,60,-1
43,1540179039.25861,218,-1
44,1540179039.2859886,491,1
45,1540179039.337718,491,1
46,1540179039.3481903,60,-1
47,1540179039.353919,60,-1
48,1540179039.3854213,491,1
49,1540179039.4016469,60,-1
50,1540179039.4360502,491,1
51,1540179039.4522717,60,-1
52,1540179039.481026,491,1
53,1540179039.497279,60,-1
54,1540179039.521939,491,1
55,1540179039.538151,60,-1
56,1540179039.5982378,491,1
57,1540179039.614453,60,-1
58,1540179039.6194925,491,1
59,1540179039.6357677,60,-1
60,1540179039.6857147,491,1
61,1540179039.7019045,60,-1
62,1540179039.7115195,153,-1
63,1540179039.7183664,491,1
64,1540179039.7782004,60,-1
65,1540179039.7936225,491,1
66,1540179039.8100548,60,-1
67,1540179039.8295228,491,1
68,1540179039.8458688,60,-1
69,1540179039.8790562,491,1
70,1540179039.8953853,60,-1
71,1540179039.926577,491,1
72,1540179039.9429014,60,-1
73,1540179039.9926317,491,1
74,1540179040.0089264,60,-1
75,1540179040.0233493,491,1
76,1540179040.0395396,60,-1
77,1540179040.0892353,491,1
78,1540179040.1054149,60,-1
79,1540179040.1150467,491,1
80,1540179040.1312315,60,-1
81,1540179040.1808858,491,1
82,1540179040.199258,60,-1
83,1540179040.2302186,491,1
84,1540179040.2463925,60,-1
85,1540179040.275812,491,1
86,1540179040.2952461,60,-1
87,1540179040.3234782,491,1
88,1540179040.339794,60,-1
89,1540179040.3897748,491,1
90,1540179040.4060814,60,-1
91,1540179040.4265473,491,1
92,1540179040.442858,60,-1
93,1540179040.4895067,491,1
94,1540179040.5056808,60,-1
95,1540179040.5193708,491,1
96,1540179040.5356264,60,-1
97,1540179040.5841477,491,1
98,1540179040.6003237,60,-1
99,1540179040.6304317,491,1
100,1540179040.6466558,60,-1
101,1540179040.6800609,491,1
102,1540179040.6962986,60,-1
103,1540179040.7281291,491,1
104,1540179040.7443829,60,-1
105,1540179040.7952642,491,1
106,1540179040.81146,60,-1
107,1540179040.8201714,491,1
108,1540179040.8365035,60,-1
109,1540179040.8915243,491,1
110,1540179040.9080017,60,-1
111,1540179040.9167001,491,1
112,1540179040.933013,60,-1
113,1540179040.9826987,491,1
114,1540179040.9989345,60,-1
115,1540179041.0276618,491,1
116,1540179041.0438304,60,-1
117,1540179041.0985198,491,1
118,1540179041.1146908,60,-1
119,1540179041.1261165,491,1
120,1540179041.1423295,60,-1
121,1540179041.1919482,491,1
122,1540179041.2081301,60,-1
123,1540179041.2232678,491,1
124,1540179041.2394233,60,-1
125,1540179041.289959,491,1
126,1540179041.3061757,60,-1
127,1540179041.3314567,491,1
128,1540179041.34781,60,-1
129,1540179041.4087875,491,1
130,1540179041.425099,60,-1
131,1540179041.4400344,491,1
132,1540179041.456394,60,-1
133,1540179041.456397,99,-1
134,1540179041.476677,491,1
135,1540179041.5265498,491,1
136,1540179041.5381944,60,-1
137,1540179041.542778,60,-1
138,1540179041.5941594,491,1
139,1540179041.6103075,60,-1
140,1540179041.6248116,491,1
141,1540179041.6410453,60,-1
142,1540179041.6886015,491,1
143,1540179041.7050047,60,-1
144,1540179041.7050066,99,-1
145,1540179041.7253149,491,1
146,1540179041.7881672,60,-1
147,1540179041.8092878,491,1
148,1540179041.8254883,60,-1
149,1540179041.83105,491,1
150,1540179041.847247,60,-1
151,1540179041.8899658,491,1
152,1540179041.906323,60,-1
153,1540179041.9279819,491,1
154,1540179041.9442267,60,-1
155,1540179041.996849,491,1
156,1540179042.013015,60,-1
157,1540179042.0345964,491,1
158,1540179042.0507708,60,-1
159,1540179042.0922883,491,1
160,1540179042.1085086,60,-1
161,1540179042.1194675,491,1
162,1540179042.1357188,60,-1
163,1540179042.1834657,491,1
164,1540179042.1997077,60,-1
165,1540179042.2286515,491,1
166,1540179042.2448876,60,-1
167,1540179042.275179,491,1
168,1540179042.2913764,60,-1
169,1540179042.3265584,491,1
170,1540179042.342713,60,-1
171,1540179042.3871062,491,1
172,1540179042.4033942,60,-1
173,1540179042.4209268,491,1
174,1540179042.4371865,60,-1
175,1540179042.4864566,491,1
176,1540179042.5027134,60,-1
177,1540179042.5174935,491,1
178,1540179042.533803,60,-1
179,1540179042.5896325,491,1
180,1540179042.605781,60,-1
181,1540179042.6424165,491,1
182,1540179042.6586025,60,-1
183,1540179042.6746671,491,1
184,1540179042.72617,491,1
185,1540179042.7423384,60,-1
186,1540179042.7937555,491,1
187,1540179042.8264716,491,1
188,1540179042.8426452,60,-1
189,1540179042.8885314,491,1
190,1540179042.9047842,60,-1
191,1540179042.91877,491,1
192,1540179042.9374955,60,-1
193,1540179042.9815977,491,1
194,1540179043.0009632,60,-1
195,1540179043.0325212,491,1
196,1540179043.0488398,60,-1
197,1540179043.0801487,491,1
198,1540179043.0964122,60,-1
199,1540179043.1318219,491,1
200,1540179043.1480746,60,-1
201,1540179043.1949024,491,1
202,1540179043.2110658,60,-1
203,1540179043.2209868,491,1
204,1540179043.2371604,60,-1
205,1540179043.3571863,491,1
206,1540179043.3573046,491,1
207,1540179043.3734612,60,-1
208,1540179043.3734622,60,-1
209,1540179043.3808937,491,1
210,1540179043.3972456,60,-1
211,1540179043.4636135,491,1
212,1540179043.4798784,60,-1
213,1540179043.4921412,491,1
214,1540179043.508365,60,-1
215,1540179043.5289295,491,1
216,1540179043.5453308,60,-1
217,1540179043.5953197,491,1
218,1540179043.611506,60,-1
219,1540179043.6237404,491,1
220,1540179043.6399224,60,-1
221,1540179043.6871662,491,1
222,1540179043.7034016,60,-1
223,1540179043.7244294,491,1
224,1540179043.7406273,60,-1
225,1540179043.8115935,491,1
226,1540179043.8278394,60,-1
227,1540179043.8322034,491,1
228,1540179043.8486497,60,-1
229,1540179043.8978055,491,1
230,1540179043.9140837,60,-1
231,1540179043.947273,491,1
232,1540179043.9636252,60,-1
233,1540179043.990085,491,1
234,1540179044.006513,60,-1
235,1540179044.024508,491,1
236,1540179044.040874,60,-1
237,1540179044.091151,491,1
238,1540179044.1075864,60,-1
239,1540179044.1190321,491,1
240,1540179044.1352844,60,-1
241,1540179044.182739,491,1
242,1540179044.1988807,60,-1
243,1540179044.2279844,491,1
244,1540179044.2441516,60,-1
245,1540179044.2756152,491,1
246,1540179044.2917619,60,-1
247,1540179044.3260522,491,1
248,1540179044.342232,60,-1
249,1540179044.3974974,491,1
250,1540179044.4136372,60,-1
251,1540179044.4243393,491,1
252,1540179044.4405057,60,-1
253,1540179044.4872522,491,1
254,1540179044.503523,60,-1
255,1540179044.5183556,491,1
256,1540179044.5345535,60,-1
257,1540179044.5831792,491,1
258,1540179044.5993772,60,-1
259,1540179044.6294858,491,1
260,1540179044.6456666,60,-1
261,1540179044.6895409,491,1
262,1540179044.7057407,60,-1
263,1540179044.7236025,491,1
264,1540179044.739771,60,-1
265,1540179044.7844965,172,-1
266,1540179044.7928252,491,1
267,1540179044.8090389,60,-1
268,1540179044.8256767,491,1
269,1540179044.8418207,60,-1
270,1540179044.8920283,491,1
271,1540179044.9085271,60,-1
272,1540179044.924751,491,1
273,1540179044.941017,60,-1
274,1540179044.9852412,491,1
275,1540179045.001508,60,-1
276,1540179045.0311213,491,1
277,1540179045.0473895,60,-1
278,1540179045.0788972,491,1
279,1540179045.0951648,60,-1
280,1540179045.126589,491,1
281,1540179045.142843,60,-1
282,1540179045.190538,491,1
283,1540179045.2067075,60,-1
284,1540179045.223019,491,1
285,1540179045.2391653,60,-1
286,1540179045.2461133,495,-1
287,1540179045.246484,1514,-1
288,1540179045.2466738,795,-1
289,1540179045.2485108,54,1
290,1540179045.253362,1514,-1
291,1540179045.2534602,1514,-1
292,1540179045.2535388,1267,-1
293,1540179045.253714,982,-1
294,1540179045.2550037,54,1
295,1540179045.2564778,54,1
296,1540179045.285687,491,1
297,1540179045.3144011,91,1
298,1540179045.3146474,91,1
299,1540179045.3305018,60,-1
300,1540179045.3341022,315,1
301,1540179045.350284,60,-1
302,1540179045.3645737,1514,-1
303,1540179045.3646688,1514,-1
304,1540179045.3647935,1267,-1
305,1540179045.3649116,1514,-1
306,1540179045.3649967,1514,-1
307,1540179045.3649986,328,-1
308,1540179045.365143,1030,-1
309,1540179045.365277,1514,-1
310,1540179045.365371,1514,-1
311,1540179045.365563,1267,-1
312,1540179045.3933723,54,1
313,1540179045.3943202,54,1
314,1540179045.395109,54,1
315,1540179045.395946,54,1
316,1540179045.39694,54,1
317,1540179045.4071221,99,1
318,1540179045.4096396,1514,-1
319,1540179045.4098308,1514,-1
320,1540179045.4104817,1514,-1
321,1540179045.410526,391,-1
322,1540179045.4117668,54,1
323,1540179045.4127784,54,1
324,1540179045.4190607,1514,-1
325,1540179045.419168,1514,-1
326,1540179045.4192824,1267,-1
327,1540179045.4194221,1514,-1
328,1540179045.4194949,1514,-1
329,1540179045.4195988,334,-1
330,1540179045.4196,514,-1
331,1540179045.419737,1514,-1
332,1540179045.4199405,1514,-1
333,1540179045.4212825,54,1
334,1540179045.4222174,54,1
335,1540179045.422859,54,1
336,1540179045.4236894,54,1
337,1540179045.4280877,1514,-1
338,1540179045.4282806,1514,-1
339,1540179045.4290457,1514,-1
340,1540179045.4292393,1514,-1
341,1540179045.4299011,54,1
342,1540179045.4308734,99,1
343,1540179045.4322615,54,1
344,1540179045.437534,697,-1
345,1540179045.4702916,54,1
346,1540179045.485086,1514,-1
347,1540179045.4851913,1514,-1
348,1540179045.485304,1267,-1
349,1540179045.485454,1514,-1
350,1540179045.4855251,1514,-1
351,1540179045.4855268,241,-1
352,1540179045.4855278,176,-1
353,1540179045.4857175,1514,-1
354,1540179045.4858255,1514,-1
355,1540179045.4859374,1267,-1
356,1540179045.4860735,1514,-1
357,1540179045.486262,1514,-1
358,1540179045.4865882,1514,-1
359,1540179045.487415,54,1
360,1540179045.4876187,54,1
361,1540179045.4878309,54,1
362,1540179045.4889047,54,1
363,1540179045.488982,54,1
364,1540179045.489878,54,1
365,1540179045.4899635,54,1
366,1540179045.4910476,54,1
367,1540179045.491118,54,1
368,1540179045.492712,99,1
369,1540179045.494324,54,1
370,1540179045.494555,54,1
371,1540179045.5041144,1514,-1
372,1540179045.5041194,1514,-1
373,1540179045.5044582,1514,-1
374,1540179045.505392,1514,-1
375,1540179045.5056179,1514,-1
376,1540179045.506189,1514,-1
377,1540179045.5064118,1514,-1
378,1540179045.5074487,1514,-1
379,1540179045.50745,101,-1
380,1540179045.507558,54,1
381,1540179045.50838,54,1
382,1540179045.509344,54,1
383,1540179045.510283,54,1
384,1540179045.553525,54,1
385,1540179045.5682602,60,-1
386,1540179045.8796442,158,-1
387,1540179045.8961782,54,1
388,1540179045.904553,155,-1
389,1540179045.908235,54,1
390,1540179056.2601967,175,1
391,1540179056.276353,60,-1
392,1540179067.274818,77,1
393,1540179067.2922459,77,-1
394,1540179067.2936893,66,1
395,1540179069.834869,131,1
396,1540179077.4182084,288,1
397,1540179077.4332197,969,1
398,1540179077.434359,60,-1
399,1540179077.444936,1291,1
400,1540179077.4462683,491,1
401,1540179077.4494855,60,-1
402,1540179077.4612346,60,-1
403,1540179077.462583,60,-1
404,1540179077.4764833,1291,1
405,1540179077.4928787,60,-1
406,1540179077.4928815,99,-1
407,1540179077.4999402,54,1
408,1540179077.5074134,891,1
409,1540179077.5147264,1514,1
410,1540179077.5158613,631,1
411,1540179077.5158908,491,1
412,1540179077.5283835,491,1
413,1540179077.5290084,491,1
414,1540179077.5311112,60,-1
415,1540179077.5312247,491,1
416,1540179077.5321221,60,-1
417,1540179077.5344305,491,1
418,1540179077.544705,1514,1
419,1540179077.54519,60,-1
420,1540179077.545688,631,1
421,1540179077.5506673,60,-1
422,1540179077.5618634,60,-1
423,1540179077.5697737,212,-1
424,1540179077.5874298,1514,1
425,1540179077.5890362,1514,1
426,1540179077.5890663,771,1
427,1540179077.591087,491,1
428,1540179077.6053612,60,-1
429,1540179077.6072936,60,-1
430,1540179077.6306136,54,1
431,1540179077.644343,491,1
432,1540179077.7032013,491,1
433,1540179077.708449,60,-1
434,1540179077.7194238,60,-1
435,1540179077.7476325,491,1
436,1540179077.7638216,60,-1
437,1540179077.797143,491,1
438,1540179077.813303,60,-1
439,1540179077.8315003,491,1
440,1540179077.8476932,60,-1
441,1540179077.9007332,491,1
442,1540179077.916916,60,-1
443,1540179077.9439604,491,1
444,1540179077.9601474,60,-1
445,1540179077.9862258,491,1
446,1540179078.0024338,60,-1
447,1540179078.0412598,491,1
448,1540179078.0575976,60,-1
449,1540179078.0963254,151,-1
450,1540179078.1017573,491,1
451,1540179078.1019976,54,1
452,1540179078.139874,491,1
453,1540179078.1562014,60,-1
454,1540179078.199079,491,1
455,1540179078.2298853,491,1
456,1540179078.246062,60,-1
457,1540179078.294353,491,1
458,1540179078.3535056,491,1
459,1540179078.3585715,60,-1
460,1540179078.3697557,60,-1
461,1540179078.390767,491,1
462,1540179078.4069293,60,-1
463,1540179078.446427,491,1
464,1540179078.4625854,60,-1
465,1540179078.500113,491,1
466,1540179078.5162735,60,-1
467,1540179078.533673,491,1
468,1540179078.5499399,60,-1
469,1540179078.5978756,491,1
470,1540179078.6141808,60,-1
471,1540179078.628759,491,1
472,1540179078.6450057,60,-1
473,1540179078.7029104,491,1
474,1540179078.7190833,60,-1
475,1540179078.7442813,491,1
476,1540179078.7604644,60,-1
477,1540179078.7958412,491,1
478,1540179078.8120036,60,-1
479,1540179078.8479264,491,1
480,1540179078.8641236,60,-1
481,1540179078.90119,491,1
482,1540179078.9173756,60,-1
483,1540179078.936066,491,1
484,1540179078.9523225,60,-1
485,1540179078.9982984,491,1
486,1540179079.0146127,60,-1
487,1540179079.0296729,491,1
488,1540179079.045935,60,-1
489,1540179079.0951066,491,1
490,1540179079.111386,60,-1
491,1540179079.1401165,491,1
492,1540179079.1564631,60,-1
493,1540179079.1888876,491,1
494,1540179079.2051556,60,-1
495,1540179079.2372406,491,1
496,1540179079.253463,60,-1
497,1540179079.3127635,491,1
498,1540179079.3289766,60,-1
499,1540179079.331369,491,1
500,1540179079.347535,60,-1
501,1540179079.401962,491,1
502,1540179079.4181647,60,-1
503,1540179079.4380276,491,1
504,1540179079.4542146,60,-1
505,1540179079.4924781,491,1
506,1540179079.5086148,60,-1
507,1540179079.5406451,491,1
508,1540179079.5567944,60,-1
509,1540179079.5882428,491,1
510,1540179079.604449,60,-1
511,1540179079.63462,491,1
512,1540179079.6507769,60,-1
513,1540179079.7066457,491,1
514,1540179079.722993,60,-1
515,1540179079.736444,491,1
516,1540179079.75269,60,-1
517,1540179079.80232,491,1
518,1540179079.8184655,60,-1
519,1540179079.8273878,491,1
520,1540179079.8435645,60,-1
521,1540179079.896383,491,1
522,1540179079.9127157,60,-1
523,1540179079.9441779,491,1
524,1540179079.9603207,60,-1
525,1540179079.9959135,491,1
526,1540179080.0121028,60,-1
527,1540179080.012105,99,-1
528,1540179080.041271,491,1
529,1540179080.0985222,60,-1
530,1540179080.1049063,491,1
531,1540179080.12129,60,-1
532,1540179080.13119,491,1
533,1540179080.1474648,60,-1
534,1540179080.2020817,491,1
535,1540179080.2183297,60,-1
536,1540179080.2354846,491,1
537,1540179080.2517157,60,-1
538,1540179080.2984622,491,1
539,1540179080.3146632,60,-1
540,1540179080.3461792,491,1
541,1540179080.362403,60,-1
542,1540179080.362404,99,-1
543,1540179080.3964276,491,1
544,1540179080.4430993,491,1
545,1540179080.4592519,60,-1
546,1540179080.5079434,491,1
547,1540179080.5785177,60,-1
548,1540179080.627544,491,1
549,1540179080.6277661,491,1
550,1540179080.6294217,491,1
551,1540179080.6438622,60,-1
552,1540179080.6440074,60,-1
553,1540179080.645648,60,-1
554,1540179080.7030416,491,1
555,1540179080.7194052,60,-1
556,1540179080.7675076,491,1
557,1540179080.7838197,60,-1
558,1540179080.7883043,491,1
559,1540179080.8045497,60,-1
560,1540179080.8415587,491,1
561,1540179080.8577645,60,-1
562,1540179080.903394,491,1
563,1540179080.9195669,60,-1
564,1540179080.9316027,491,1
565,1540179080.947802,60,-1
566,1540179081.015494,491,1
567,1540179081.0316625,60,-1
568,1540179081.0340652,491,1
569,1540179081.0502121,60,-1
570,1540179081.095317,491,1
571,1540179081.1115024,60,-1
572,1540179081.216227,491,1
573,1540179081.216692,491,1
574,1540179081.2326002,60,-1
575,1540179081.2329254,60,-1
576,1540179081.241465,491,1
577,1540179081.2578747,60,-1
578,1540179081.3049123,491,1
