Serial number,time,size,direction
1,1540270401.3605547,95,1
2,1540270401.3770568,60,-1
3,1540270401.377059,95,-1
4,1540270401.3789713,54,1
5,1540270403.684159,60,-1
6,1540270405.5411055,286,1
7,1540270405.58347,1514,1
8,1540270405.5837402,349,1
9,1540270405.5910616,1514,1
10,1540270405.60122,60,-1
11,1540270405.6067371,1514,1
12,1540270405.6072245,1319,1
13,1540270405.608612,60,-1
14,1540270405.6247973,60,-1
15,1540270405.6273065,1514,1
16,1540270405.6287665,268,1
17,1540270405.6465578,60,-1
18,1540270405.6550167,1514,1
19,1540270405.6568692,1514,1
20,1540270405.6569004,1514,1
21,1540270405.6569235,1348,1
22,1540270405.6736133,60,-1
23,1540270405.6738005,60,-1
24,1540270405.6761277,1514,1
25,1540270405.6772444,1514,1
26,1540270405.6772776,1514,1
27,1540270405.6773007,1514,1
28,1540270405.6947527,60,-1
29,1540270405.6949534,60,-1
30,1540270405.6966,762,1
31,1540270405.7102563,491,1
32,1540270405.7613008,491,1
33,1540270405.7695544,60,-1
34,1540270405.778039,60,-1
35,1540270405.829619,491,1
36,1540270405.8468647,60,-1
37,1540270405.8644645,491,1
38,1540270405.8811858,60,-1
39,1540270405.925823,491,1
40,1540270405.942397,60,-1
41,1540270405.9493897,212,-1
42,1540270405.9557765,491,1
43,1540270405.9683096,54,1
44,1540270406.0211995,60,-1
45,1540270406.1303477,491,1
46,1540270406.1305423,491,1
47,1540270406.130676,491,1
48,1540270406.1472192,60,-1
49,1540270406.1474583,60,-1
50,1540270406.147635,60,-1
51,1540270406.2436814,491,1
52,1540270406.2495005,491,1
53,1540270406.2596982,491,1
54,1540270406.260289,60,-1
55,1540270406.2660487,60,-1
56,1540270406.2762504,60,-1
57,1540270406.3379664,491,1
58,1540270406.3545973,60,-1
59,1540270406.3987694,491,1
60,1540270406.4159706,60,-1
61,1540270406.418108,491,1
62,1540270406.4347527,60,-1
63,1540270406.4758666,491,1
64,1540270406.4925935,60,-1
65,1540270406.539897,491,1
66,1540270406.5571644,60,-1
67,1540270406.5820355,491,1
68,1540270406.5995185,60,-1
69,1540270406.69914,491,1
70,1540270406.715756,60,-1
71,1540270406.7397387,491,1
72,1540270406.7400048,491,1
73,1540270406.7574184,60,-1
74,1540270406.7577333,60,-1
75,1540270406.7700622,491,1
76,1540270406.7871869,60,-1
77,1540270406.8275585,491,1
78,1540270406.8443577,60,-1
79,1540270406.8446712,99,-1
80,1540270406.8475916,54,1
81,1540270406.862681,491,1
82,1540270406.9134347,491,1
83,1540270406.9292347,60,-1
84,1540270406.9300764,60,-1
85,1540270406.958019,491,1
86,1540270406.9756641,60,-1
87,1540270407.027779,491,1
88,1540270407.0444443,60,-1
89,1540270407.067059,491,1
90,1540270407.0843835,60,-1
91,1540270407.120298,491,1
92,1540270407.137112,60,-1
93,1540270407.1632106,491,1
94,1540270407.1799042,60,-1
95,1540270407.2165556,491,1
96,1540270407.2341642,60,-1
97,1540270407.2625248,491,1
98,1540270407.2791064,60,-1
99,1540270407.326505,491,1
100,1540270407.3431246,60,-1
101,1540270407.3583167,491,1
102,1540270407.3750236,60,-1
103,1540270407.4371269,491,1
104,1540270407.4538054,60,-1
105,1540270407.4560938,491,1
106,1540270407.4726534,60,-1
107,1540270407.5264413,491,1
108,1540270407.5431674,60,-1
109,1540270407.550592,491,1
110,1540270407.5677407,60,-1
111,1540270407.5677435,99,-1
112,1540270407.6224594,491,1
113,1540270407.6549609,54,1
114,1540270407.67967,60,-1
115,1540270407.6818526,491,1
116,1540270407.6987069,60,-1
117,1540270407.723435,491,1
118,1540270407.7400272,60,-1
119,1540270407.7648573,491,1
120,1540270407.781709,60,-1
121,1540270407.831728,491,1
122,1540270407.8491163,60,-1
123,1540270407.8603113,491,1
124,1540270407.8773642,60,-1
125,1540270407.9209177,491,1
126,1540270407.9377556,60,-1
127,1540270407.963612,491,1
128,1540270407.9810722,60,-1
129,1540270408.0254452,491,1
130,1540270408.0421438,60,-1
131,1540270408.065671,491,1
132,1540270408.0827775,60,-1
133,1540270408.1383343,491,1
134,1540270408.1553154,60,-1
135,1540270408.1597676,491,1
136,1540270408.1767032,60,-1
137,1540270408.2335043,491,1
138,1540270408.2501497,60,-1
139,1540270408.2569075,491,1
