Serial number,time,size,direction
1,1540179507.7302196,88,1
2,1540179507.7752674,104,-1
3,1540179507.7808924,74,1
4,1540179507.7969167,66,-1
5,1540179507.7983131,54,1
6,1540179507.8000307,571,1
7,1540179507.8145664,60,-1
8,1540179507.8168266,60,-1
9,1540179507.8181562,1514,-1
10,1540179507.8182533,1514,-1
11,1540179507.8183851,1230,-1
12,1540179507.8183873,429,-1
13,1540179507.820459,54,1
14,1540179507.8206022,54,1
15,1540179507.8208761,54,1
16,1540179507.821352,54,1
17,1540179507.8662243,204,1
18,1540179507.8828611,129,-1
19,1540179507.8843822,54,1
20,1540179507.8859336,1514,1
21,1540179507.8873918,695,1
22,1540179507.8874214,1514,1
23,1540179507.8874445,1514,1
24,1540179507.8874662,1514,1
25,1540179507.888349,1514,1
26,1540179507.888379,1514,1
27,1540179507.8884017,1514,1
28,1540179507.8884256,1514,1
29,1540179507.8899019,1514,1
30,1540179507.904474,60,-1
31,1540179507.9044776,60,-1
32,1540179507.9048584,60,-1
33,1540179507.9059887,60,-1
34,1540179507.90653,1514,1
35,1540179507.9073567,1514,1
36,1540179507.9073975,1514,1
37,1540179507.9074206,1514,1
38,1540179507.907443,584,1
39,1540179507.9234555,60,-1
40,1540179507.9237373,60,-1
41,1540179507.94622,251,-1
42,1540179507.9462218,123,-1
43,1540179507.9484951,54,1
44,1540179509.7943108,284,1
45,1540179509.8104975,60,-1
46,1540179509.82507,978,1
47,1540179509.8278577,491,1
48,1540179509.8352547,891,1
49,1540179509.8360038,491,1
50,1540179509.838166,491,1
51,1540179509.840507,491,1
52,1540179509.8414156,60,-1
53,1540179509.844048,60,-1
54,1540179509.8514845,60,-1
55,1540179509.8522708,60,-1
56,1540179509.8546078,60,-1
57,1540179509.8567243,60,-1
58,1540179509.8569295,491,1
59,1540179509.870686,491,1
60,1540179509.8711264,1514,1
61,1540179509.8725162,631,1
62,1540179509.8731637,60,-1
63,1540179509.8858447,491,1
64,1540179509.886268,1514,1
65,1540179509.8868694,60,-1
66,1540179509.887391,631,1
67,1540179509.8874705,60,-1
68,1540179509.887944,491,1
69,1540179509.8887146,60,-1
70,1540179509.900452,491,1
71,1540179509.901697,491,1
72,1540179509.902054,60,-1
73,1540179509.902581,60,-1
74,1540179509.903222,491,1
75,1540179509.9035785,60,-1
76,1540179509.904158,60,-1
77,1540179509.9114826,491,1
78,1540179509.914088,491,1
79,1540179509.9158885,491,1
80,1540179509.915918,491,1
81,1540179509.9160993,491,1
82,1540179509.9165668,491,1
83,1540179509.916667,60,-1
84,1540179509.91793,60,-1
85,1540179509.9180374,491,1
86,1540179509.9189541,491,1
87,1540179509.9194424,60,-1
88,1540179509.9204614,491,1
89,1540179509.9238555,491,1
90,1540179509.927805,60,-1
91,1540179509.930114,928,1
92,1540179509.9303083,60,-1
93,1540179509.9320977,60,-1
94,1540179509.9320998,60,-1
95,1540179509.9323,60,-1
96,1540179509.932777,60,-1
97,1540179509.934288,60,-1
98,1540179509.9351437,60,-1
99,1540179509.9366975,60,-1
100,1540179509.9401324,60,-1
101,1540179509.946416,60,-1
102,1540179509.947758,491,1
103,1540179509.9639866,60,-1
104,1540179509.9799368,212,-1
105,1540179509.9814734,491,1
106,1540179509.9816236,54,1
107,1540179510.0449014,491,1
108,1540179510.051954,60,-1
109,1540179510.061134,60,-1
110,1540179510.0770528,491,1
111,1540179510.0932553,60,-1
112,1540179510.0932574,99,-1
113,1540179510.0949073,54,1
114,1540179510.1418903,491,1
115,1540179510.1982155,491,1
116,1540179510.201937,60,-1
117,1540179510.2144215,60,-1
118,1540179510.2327669,491,1
119,1540179510.248968,60,-1
120,1540179510.2954397,491,1
121,1540179510.311897,60,-1
122,1540179510.3508894,491,1
123,1540179510.367206,60,-1
124,1540179510.375246,491,1
125,1540179510.391582,60,-1
126,1540179510.441267,491,1
127,1540179510.4576275,60,-1
128,1540179510.472057,491,1
129,1540179510.4894032,60,-1
130,1540179510.542306,491,1
131,1540179510.5586348,60,-1
132,1540179510.5902627,491,1
133,1540179510.610745,60,-1
134,1540179510.6348822,491,1
135,1540179510.6511316,60,-1
136,1540179510.6805818,491,1
137,1540179510.696754,60,-1
138,1540179510.7459598,491,1
139,1540179510.7621796,60,-1
140,1540179510.7756584,491,1
141,1540179510.7918591,60,-1
142,1540179510.8460114,491,1
143,1540179510.8623462,60,-1
144,1540179510.895241,491,1
145,1540179510.9115248,60,-1
146,1540179510.93707,491,1
147,1540179510.953499,60,-1
148,1540179510.984911,491,1
149,1540179511.0011528,60,-1
150,1540179511.0313454,491,1
151,1540179511.0475097,60,-1
152,1540179511.0792162,491,1
153,1540179511.0953634,60,-1
154,1540179511.1488664,491,1
155,1540179511.1650953,60,-1
156,1540179511.180512,491,1
157,1540179511.1969116,60,-1
158,1540179511.2454243,491,1
159,1540179511.261862,60,-1
160,1540179511.2702112,491,1
161,1540179511.2865076,60,-1
162,1540179511.3434498,491,1
163,1540179511.359776,60,-1
164,1540179511.381639,491,1
165,1540179511.3979642,60,-1
166,1540179511.4396248,491,1
167,1540179511.456011,60,-1
168,1540179511.4840953,491,1
169,1540179511.5004137,60,-1
170,1540179511.5494654,491,1
171,1540179511.565761,60,-1
172,1540179511.5951304,491,1
173,1540179511.6114154,60,-1
174,1540179511.640985,491,1
175,1540179511.6572156,60,-1
176,1540179511.6767187,491,1
177,1540179511.6929905,60,-1
178,1540179511.7405741,491,1
179,1540179511.756811,60,-1
180,1540179511.7869573,491,1
181,1540179511.8031511,60,-1
182,1540179511.8372545,491,1
183,1540179511.8534536,60,-1
184,1540179511.883584,491,1
185,1540179511.8998365,60,-1
186,1540179512.0034504,491,1
187,1540179512.00367,491,1
188,1540179512.01427,491,1
189,1540179512.0198178,60,-1
190,1540179512.0199842,60,-1
191,1540179512.0299861,60,-1
192,1540179512.1116679,491,1
193,1540179512.1280015,60,-1
194,1540179512.1409447,491,1
195,1540179512.1423705,491,1
196,1540179512.1424186,491,1
197,1540179512.1573002,60,-1
198,1540179512.1581197,60,-1
199,1540179512.1586814,60,-1
200,1540179512.1641269,151,-1
201,1540179512.1657465,54,1
202,1540179512.199449,491,1
203,1540179512.2554064,491,1
204,1540179512.2620845,60,-1
205,1540179512.2718189,60,-1
206,1540179512.2718236,99,-1
207,1540179512.2954094,491,1
208,1540179512.3377507,54,1
209,1540179512.350764,491,1
210,1540179512.3620484,60,-1
211,1540179512.3670602,60,-1
212,1540179512.3885183,491,1
213,1540179512.40495,60,-1
214,1540179512.4514077,491,1
215,1540179512.467768,60,-1
216,1540179512.4750998,491,1
217,1540179512.4914758,60,-1
218,1540179512.5244682,174,-1
219,1540179512.5418167,491,1
220,1540179512.5581408,60,-1
221,1540179512.6038852,491,1
222,1540179512.6040618,54,1
223,1540179512.620201,60,-1
224,1540179512.6357656,491,1
225,1540179512.652071,60,-1
226,1540179512.6881597,491,1
227,1540179512.704456,60,-1
228,1540179512.7526772,491,1
229,1540179512.7690208,60,-1
230,1540179512.774857,491,1
231,1540179512.791166,60,-1
232,1540179512.8456824,491,1
233,1540179512.8620217,60,-1
234,1540179512.8705351,491,1
235,1540179512.883686,225,-1
236,1540179512.8840778,1514,-1
237,1540179512.8841555,1514,-1
238,1540179512.8841567,280,-1
239,1540179512.8856475,54,1
240,1540179512.8890576,54,1
241,1540179512.8892622,54,1
242,1540179512.8893397,54,1
243,1540179512.9264026,1514,-1
244,1540179512.9265814,1514,-1
245,1540179512.9265828,1267,-1
246,1540179512.9266953,1514,-1
247,1540179512.9267726,1514,-1
248,1540179512.9267738,328,-1
249,1540179512.9269176,1030,-1
250,1540179512.927054,1514,-1
251,1540179512.927155,1514,-1
252,1540179512.9273708,1267,-1
253,1540179512.9307344,99,1
254,1540179512.9315434,54,1
