Serial number,time,size,direction
1,1540194266.7308795,60,1
2,1540194266.9375043,54,-1
3,1540194266.9424098,60,1
4,1540194267.0022614,66,-1
5,1540194270.312581,288,-1
6,1540194270.3226585,1514,-1
7,1540194270.3230906,350,-1
8,1540194270.3396676,60,-1
9,1540194270.3409078,1514,-1
10,1540194270.3412502,1514,-1
11,1540194270.3426008,371,-1
12,1540194270.3573592,491,-1
13,1540194270.3579028,60,-1
14,1540194270.3594258,60,-1
15,1540194270.359979,491,-1
16,1540194270.3606768,491,-1
17,1540194270.3754144,491,-1
18,1540194270.3768435,60,-1
19,1540194270.3846152,491,-1
20,1540194270.387182,1514,-1
21,1540194270.3885617,1031,-1
22,1540194270.3922968,60,-1
23,1540194270.3976846,491,-1
24,1540194270.4041524,60,-1
25,1540194270.4145637,60,-1
26,1540194270.423693,491,-1
27,1540194270.4244714,1514,-1
28,1540194270.4245017,1514,-1
29,1540194270.4245238,445,-1
30,1540194270.425896,491,-1
31,1540194270.4262657,491,-1
32,1540194270.4414957,60,-1
33,1540194270.4416308,60,-1
34,1540194270.441633,99,-1
35,1540194270.4431055,60,-1
36,1540194270.443255,1514,-1
37,1540194270.4441369,342,-1
38,1540194270.444165,54,-1
39,1540194270.4609277,60,-1
40,1540194270.467155,217,-1
41,1540194270.4684367,54,-1
42,1540194270.4808187,491,-1
43,1540194270.5145833,491,-1
44,1540194270.531461,60,-1
45,1540194270.583254,491,-1
46,1540194270.612054,491,-1
47,1540194270.6289306,60,-1
48,1540194270.6756597,491,-1
49,1540194270.7233264,491,-1
50,1540194270.740382,60,-1
51,1540194270.7671597,491,-1
52,1540194270.8241823,491,-1
53,1540194270.831893,60,-1
54,1540194270.8411398,60,-1
55,1540194270.8815951,491,-1
56,1540194270.8984952,60,-1
57,1540194270.9156787,491,-1
58,1540194270.9325068,60,-1
59,1540194270.9814188,491,-1
60,1540194270.9983342,60,-1
61,1540194271.0088212,491,-1
62,1540194271.0257435,60,-1
63,1540194271.0734396,491,-1
64,1540194271.090285,60,-1
65,1540194271.1245642,491,-1
66,1540194271.141416,60,-1
67,1540194271.1715014,491,-1
68,1540194271.188322,60,-1
69,1540194271.2240398,491,-1
70,1540194271.2409256,60,-1
71,1540194271.2853694,491,-1
72,1540194271.3023508,60,-1
73,1540194271.3178885,491,-1
74,1540194271.3347301,60,-1
75,1540194271.3814497,491,-1
76,1540194271.3982844,60,-1
77,1540194271.4126246,491,-1
78,1540194271.4295115,60,-1
79,1540194271.4772334,491,-1
80,1540194271.4940917,60,-1
81,1540194271.5214906,491,-1
82,1540194271.53836,60,-1
83,1540194271.5765126,491,-1
84,1540194271.5933638,60,-1
85,1540194271.619365,491,-1
86,1540194271.6362183,60,-1
87,1540194271.687067,491,-1
88,1540194271.704153,60,-1
89,1540194271.7104807,491,-1
90,1540194271.7273402,60,-1
91,1540194271.7786465,491,-1
92,1540194271.7956116,60,-1
93,1540194271.8118956,491,-1
94,1540194271.8289661,60,-1
95,1540194271.8584793,54,-1
96,1540194271.8753402,491,-1
97,1540194271.8923059,60,-1
98,1540194271.9260654,491,-1
99,1540194271.942987,60,-1
100,1540194271.9785805,491,-1
101,1540194271.9954169,60,-1
102,1540194272.0183303,491,-1
103,1540194272.0351794,60,-1
104,1540194272.0658162,167,-1
105,1540194272.0837677,491,-1
106,1540194272.1160874,491,-1
107,1540194272.1328769,60,-1
108,1540194272.1854496,491,-1
109,1540194272.2358954,177,-1
110,1540194272.263391,491,-1
111,1540194272.2764082,491,-1
112,1540194272.2934642,60,-1
113,1540194272.3182008,203,-1
114,1540194272.3823657,491,-1
115,1540194272.3837612,491,-1
116,1540194272.3918633,60,-1
117,1540194272.3991833,60,-1
118,1540194272.400571,60,-1
119,1540194272.420467,491,-1
120,1540194272.437329,60,-1
121,1540194272.517208,491,-1
122,1540194272.5197015,491,-1
123,1540194272.5340385,60,-1
124,1540194272.5365775,60,-1
125,1540194272.5781815,259,-1
126,1540194272.5785422,1514,-1
127,1540194272.5786207,1514,-1
128,1540194272.5786219,226,-1
129,1540194272.582266,491,-1
130,1540194272.5844667,54,-1
131,1540194272.5845447,54,-1
132,1540194272.5859358,1514,-1
133,1540194272.5860415,1514,-1
