Serial number,time,size,direction
1,1540269735.9538293,60,1
2,1540269736.0046172,54,-1
3,1540269739.0726006,54,-1
4,1540269740.749255,77,-1
5,1540269740.766495,77,-1
6,1540269740.768289,66,-1
7,1540269746.5332584,285,-1
8,1540269746.549292,940,-1
9,1540269746.5498178,60,-1
10,1540269746.5520074,1291,-1
11,1540269746.5595515,1514,-1
12,1540269746.5599718,1031,-1
13,1540269746.565976,60,-1
14,1540269746.568705,60,-1
15,1540269746.576254,60,-1
16,1540269746.5766425,60,-1
17,1540269746.5901637,891,-1
18,1540269746.5936131,491,-1
19,1540269746.5936444,491,-1
20,1540269746.5936823,491,-1
21,1540269746.6068187,60,-1
22,1540269746.6101964,60,-1
23,1540269746.6101983,60,-1
24,1540269746.6103609,60,-1
25,1540269746.671605,215,-1
26,1540269746.704238,1514,-1
27,1540269746.7057784,1514,-1
28,1540269746.705812,1514,-1
29,1540269746.706064,1514,-1
30,1540269746.707869,1514,-1
31,1540269746.7079177,1514,-1
32,1540269746.7079697,1486,-1
33,1540269746.7153482,491,-1
34,1540269746.722333,60,-1
35,1540269746.7237947,60,-1
36,1540269746.7237976,60,-1
37,1540269746.7240982,60,-1
38,1540269746.725493,60,-1
39,1540269746.7254949,60,-1
40,1540269746.7257645,60,-1
41,1540269746.7327466,60,-1
42,1540269746.7590086,54,-1
43,1540269746.763737,491,-1
44,1540269746.7804132,60,-1
45,1540269746.7981598,491,-1
46,1540269746.8147926,60,-1
47,1540269746.8635752,491,-1
48,1540269746.8802686,60,-1
49,1540269746.9151547,491,-1
50,1540269746.9319892,60,-1
51,1540269746.9570556,491,-1
52,1540269746.9736829,60,-1
53,1540269747.0070152,491,-1
54,1540269747.0236793,60,-1
55,1540269747.0732393,491,-1
56,1540269747.089892,60,-1
57,1540269747.0973392,491,-1
58,1540269747.1140869,60,-1
59,1540269747.1702936,491,-1
60,1540269747.1875005,60,-1
61,1540269747.1951709,491,-1
62,1540269747.2127116,60,-1
63,1540269747.2669747,491,-1
64,1540269747.283682,60,-1
65,1540269747.3247643,491,-1
66,1540269747.341389,60,-1
67,1540269747.3673003,491,-1
68,1540269747.383901,60,-1
69,1540269747.401841,491,-1
70,1540269747.418416,60,-1
71,1540269747.4776103,491,-1
72,1540269747.4777925,491,-1
73,1540269747.493605,60,-1
74,1540269747.4943657,60,-1
75,1540269747.4983497,491,-1
76,1540269747.5148966,60,-1
77,1540269747.5693545,491,-1
78,1540269747.5860682,60,-1
79,1540269747.7240362,1365,-1
80,1540269747.7408504,60,-1
81,1540269747.792643,491,-1
82,1540269747.8060176,491,-1
83,1540269747.8092215,60,-1
84,1540269747.8225825,60,-1
85,1540269747.8722527,491,-1
86,1540269747.8889182,60,-1
87,1540269747.9019413,491,-1
88,1540269747.9185576,60,-1
89,1540269747.9641979,491,-1
90,1540269747.980917,60,-1
91,1540269748.0248296,491,-1
92,1540269748.0414279,60,-1
93,1540269748.0584884,491,-1
94,1540269748.075734,60,-1
95,1540269748.11662,491,-1
96,1540269748.133386,60,-1
97,1540269748.4294937,1514,-1
98,1540269748.4308455,1216,-1
99,1540269748.4464412,60,-1
100,1540269748.4477084,60,-1
101,1540269748.4570334,491,-1
102,1540269748.4738967,60,-1
103,1540269748.5104747,491,-1
104,1540269748.5271156,60,-1
105,1540269748.555762,491,-1
106,1540269748.6075554,491,-1
107,1540269748.6241794,60,-1
108,1540269748.670469,491,-1
109,1540269748.6873999,60,-1
110,1540269748.7156398,491,-1
111,1540269748.7330487,60,-1
112,1540269748.7330534,99,-1
113,1540269748.7637894,491,-1
114,1540269748.8060153,491,-1
115,1540269748.8227828,60,-1
116,1540269748.8683846,491,-1
117,1540269748.8851357,99,-1
118,1540269748.9841115,99,-1
119,1540269749.244098,99,-1
120,1540269749.3287191,1514,-1
121,1540269749.3290708,1514,-1
122,1540269749.3290882,1067,-1
123,1540269749.3290997,66,-1
124,1540269749.3459308,60,-1
125,1540269749.3565276,503,-1
126,1540269749.3730934,60,-1
127,1540269749.415908,503,-1
128,1540269749.4688234,503,-1
129,1540269749.474454,60,-1
130,1540269749.485402,60,-1
131,1540269749.500555,503,-1
132,1540269749.5172102,60,-1
133,1540269749.5660515,503,-1
134,1540269749.582597,60,-1
135,1540269749.5965538,503,-1
136,1540269749.613175,60,-1
137,1540269749.6603026,503,-1
138,1540269749.6770432,60,-1
139,1540269749.714945,503,-1
140,1540269749.7316458,60,-1
141,1540269749.7531495,503,-1
142,1540269749.754015,99,-1
143,1540269749.7560074,54,-1
144,1540269749.772593,150,-1
145,1540269749.7927268,54,-1
146,1540269749.8016403,491,-1
147,1540269749.8742192,60,-1
148,1540269749.8888488,491,-1
149,1540269749.8983803,491,-1
150,1540269749.9055731,60,-1
151,1540269749.9149508,60,-1
152,1540269749.9652705,491,-1
153,1540269749.979254,174,-1
154,1540269749.9819162,60,-1
155,1540269750.028154,491,-1
156,1540269750.0447419,60,-1
157,1540269750.0674856,491,-1
158,1540269750.0841208,60,-1
159,1540269750.1315448,491,-1
160,1540269750.148164,60,-1
161,1540269750.1597857,491,-1
162,1540269750.1767669,60,-1
163,1540269750.201562,491,-1
164,1540269750.2184882,60,-1
165,1540269750.273354,491,-1
166,1540269750.2900727,60,-1
167,1540269750.2995677,491,-1
168,1540269750.3164103,60,-1
169,1540269750.3363805,304,-1
170,1540269750.3368878,1514,-1
171,1540269750.3499694,54,-1
172,1540269750.3663583,491,-1
173,1540269750.3670154,1514,-1
174,1540269750.3671453,1514,-1
175,1540269750.3672655,1514,-1
176,1540269750.3674572,1514,-1
177,1540269750.3699214,54,-1
178,1540269750.3712504,54,-1
179,1540269750.3866534,106,-1
180,1540269750.3942978,491,-1
181,1540269750.4422758,1514,-1
182,1540269750.4423783,1514,-1
183,1540269750.4424896,1267,-1
184,1540269750.4426918,1514,-1
185,1540269750.4477546,54,-1
186,1540269750.448935,54,-1
187,1540269750.4644291,1514,-1
188,1540269750.4646373,1514,-1
189,1540269750.4652226,491,-1
190,1540269750.465552,1514,-1
191,1540269750.465747,1514,-1
192,1540269750.4674428,54,-1
193,1540269750.4689615,54,-1
194,1540269750.484168,1514,-1
195,1540269750.484364,1514,-1
196,1540269750.4856315,1514,-1
197,1540269750.4858277,1514,-1
198,1540269750.4870768,54,-1
199,1540269750.488547,54,-1
200,1540269750.4890163,99,-1
201,1540269750.5044434,1514,-1
202,1540269750.5046434,1514,-1
203,1540269750.5059905,1514,-1
204,1540269750.5061123,1514,-1
205,1540269750.5062332,1514,-1
206,1540269750.506426,1514,-1
207,1540269750.5159874,491,-1
208,1540269750.5175817,91,-1
209,1540269750.518284,91,-1
210,1540269750.5245798,54,-1
211,1540269750.5339894,60,-1
212,1540269750.5356119,1514,-1
213,1540269750.5363607,1514,-1
214,1540269750.5365682,1514,-1
215,1540269750.5374038,54,-1
216,1540269750.541603,54,-1
217,1540269750.5420098,99,-1
218,1540269750.5424225,1514,-1
219,1540269750.545323,66,-1
220,1540269750.554796,1514,-1
221,1540269750.5549924,1514,-1
222,1540269750.5566518,66,-1
223,1540269750.556979,66,-1
224,1540269750.5582619,1514,-1
225,1540269750.5584598,1514,-1
226,1540269750.5620098,66,-1
227,1540269750.562338,66,-1
228,1540269750.57327,1514,-1
229,1540269750.573468,1514,-1
230,1540269750.573764,1514,-1
231,1540269750.5789928,1514,-1
232,1540269750.5911806,66,-1
233,1540269750.592764,66,-1
234,1540269750.5930948,54,-1
235,1540269750.594184,54,-1
236,1540269750.6079533,1483,-1
237,1540269750.610405,54,-1
238,1540269750.6313794,302,-1
239,1540269750.7042458,60,-1
240,1540269750.917174,160,-1
241,1540269750.9401104,155,-1
242,1540269750.9948087,54,-1
243,1540269751.0042028,155,-1
244,1540269751.0082452,66,-1
245,1540269759.0699224,177,-1
246,1540269759.0865853,60,-1
247,1540269765.355211,54,-1
248,1540269770.7916954,77,-1
249,1540269770.810142,77,-1
250,1540269770.9149036,66,-1
251,1540269780.6172807,288,-1
252,1540269780.6340356,60,-1
253,1540269780.653945,940,-1
254,1540269780.6702893,1514,-1
255,1540269780.670826,60,-1
256,1540269780.6713932,231,-1
257,1540269780.6714091,491,-1
258,1540269780.671421,491,-1
259,1540269780.6714346,491,-1
260,1540269780.6780357,491,-1
261,1540269780.6869557,60,-1
262,1540269780.6879067,60,-1
263,1540269780.6879084,60,-1
264,1540269780.6879091,60,-1
265,1540269780.6880784,60,-1
266,1540269780.68983,491,-1
267,1540269780.6902754,491,-1
268,1540269780.6946635,60,-1
269,1540269780.706588,60,-1
270,1540269780.7068393,60,-1
271,1540269780.7721887,214,-1
272,1540269780.7963996,1514,-1
273,1540269780.797074,1031,-1
274,1540269780.7987518,491,-1
275,1540269780.798768,491,-1
276,1540269780.7987797,491,-1
277,1540269780.7987902,1514,-1
278,1540269780.8009026,1514,-1
279,1540269780.8014193,1514,-1
280,1540269780.8014982,54,-1
281,1540269780.8132904,60,-1
282,1540269780.8138025,60,-1
283,1540269780.8154078,60,-1
284,1540269780.8154094,60,-1
285,1540269780.8154109,60,-1
286,1540269780.8175972,60,-1
287,1540269780.8314044,1514,-1
288,1540269780.8328166,1514,-1
289,1540269780.8333282,1514,-1
290,1540269780.8334565,908,-1
291,1540269780.8480792,60,-1
292,1540269780.8501928,60,-1
293,1540269780.8501945,60,-1
294,1540269780.8581617,491,-1
295,1540269780.8747506,60,-1
296,1540269780.9214165,491,-1
297,1540269780.9381716,60,-1
298,1540269780.9671285,491,-1
299,1540269780.9839177,60,-1
300,1540269781.0373843,491,-1
301,1540269781.054056,60,-1
302,1540269781.0764098,491,-1
303,1540269781.0929875,60,-1
304,1540269781.0929897,99,-1
305,1540269781.1178882,491,-1
306,1540269781.1677852,491,-1
307,1540269781.1842473,60,-1
308,1540269781.1844623,60,-1
309,1540269781.2295222,491,-1
310,1540269781.2462065,60,-1
311,1540269781.2648005,491,-1
312,1540269781.2814672,60,-1
313,1540269781.3233464,491,-1
314,1540269781.3399553,60,-1
315,1540269781.357562,491,-1
316,1540269781.3745391,60,-1
317,1540269781.421657,491,-1
318,1540269781.438392,60,-1
319,1540269781.4654922,491,-1
320,1540269781.482197,60,-1
321,1540269781.519479,491,-1
322,1540269781.5362031,60,-1
323,1540269781.5658426,491,-1
324,1540269781.5825934,60,-1
325,1540269781.631605,491,-1
326,1540269781.6481893,60,-1
327,1540269781.6566827,491,-1
328,1540269781.6733344,60,-1
329,1540269781.7274895,491,-1
330,1540269781.7441688,60,-1
331,1540269781.7578466,491,-1
332,1540269781.7744884,60,-1
333,1540269781.8237805,491,-1
334,1540269781.8403363,60,-1
335,1540269781.8681688,491,-1
336,1540269781.884792,60,-1
337,1540269781.9171805,491,-1
338,1540269781.9343362,60,-1
339,1540269781.9647152,491,-1
340,1540269781.9814157,60,-1
341,1540269782.0298417,491,-1
342,1540269782.046914,60,-1
343,1540269782.0608096,491,-1
344,1540269782.0776987,60,-1
345,1540269782.1264968,491,-1
346,1540269782.1431122,60,-1
347,1540269782.1603181,491,-1
348,1540269782.1771066,60,-1
349,1540269782.2300284,491,-1
350,1540269782.2475054,60,-1
351,1540269782.2705486,491,-1
352,1540269782.2871623,60,-1
353,1540269782.3215232,491,-1
354,1540269782.3381388,60,-1
355,1540269782.3672795,491,-1
356,1540269782.3840482,60,-1
357,1540269782.4263256,491,-1
358,1540269782.4436152,60,-1
359,1540269782.460096,491,-1
360,1540269782.4769683,60,-1
361,1540269782.5260985,491,-1
362,1540269782.5429497,60,-1
363,1540269782.557738,491,-1
364,1540269782.5743852,60,-1
365,1540269782.6236594,491,-1
366,1540269782.640424,60,-1
367,1540269782.6679707,491,-1
368,1540269782.684592,60,-1
369,1540269782.7172747,491,-1
370,1540269782.7345593,60,-1
371,1540269782.7657192,491,-1
372,1540269782.7825587,60,-1
373,1540269782.8448565,491,-1
374,1540269782.8616824,60,-1
375,1540269782.8630426,491,-1
376,1540269782.8799417,60,-1
377,1540269782.8801053,99,-1
378,1540269782.922625,54,-1
379,1540269782.9250991,491,-1
380,1540269782.9600606,491,-1
381,1540269782.9767184,60,-1
382,1540269783.0262237,491,-1
383,1540269783.0732408,491,-1
384,1540269783.0842688,60,-1
385,1540269783.0899475,60,-1
386,1540269783.1179059,491,-1
387,1540269783.1346045,60,-1
388,1540269783.1665764,491,-1
389,1540269783.1831543,60,-1
390,1540269783.2321644,491,-1
391,1540269783.248815,60,-1
392,1540269783.2570446,491,-1
393,1540269783.2737124,60,-1
394,1540269783.3291655,491,-1
395,1540269783.345871,60,-1
396,1540269783.357969,491,-1
397,1540269783.374589,60,-1
398,1540269783.4304364,491,-1
399,1540269783.4472744,60,-1
400,1540269783.4871113,491,-1
401,1540269783.5040503,60,-1
402,1540269783.5223126,491,-1
403,1540269783.5390742,60,-1
404,1540269783.5650027,491,-1
405,1540269783.581782,60,-1
406,1540269783.6308048,491,-1
407,1540269783.6477332,60,-1
408,1540269783.6666079,491,-1
409,1540269783.6832752,60,-1
410,1540269783.7372336,491,-1
411,1540269783.7539346,60,-1
412,1540269783.7638032,491,-1
413,1540269783.7804368,60,-1
414,1540269783.8267448,491,-1
415,1540269783.8433077,60,-1
416,1540269783.8672593,491,-1
417,1540269783.8843517,60,-1
418,1540269783.9139996,491,-1
419,1540269783.9305484,60,-1
420,1540269783.9750285,491,-1
421,1540269783.9919035,60,-1
422,1540269784.0284567,491,-1
423,1540269784.0451927,60,-1
424,1540269784.0627897,491,-1
425,1540269784.0794666,60,-1
426,1540269784.1265163,491,-1
427,1540269784.143415,60,-1
428,1540269784.158664,491,-1
429,1540269784.1752524,60,-1
430,1540269784.2292662,491,-1
431,1540269784.2458417,60,-1
432,1540269784.2674172,491,-1
433,1540269784.284205,60,-1
434,1540269784.3148282,491,-1
435,1540269784.3322928,60,-1
436,1540269784.3629882,491,-1
437,1540269784.379536,60,-1
438,1540269784.4301689,491,-1
439,1540269784.4467754,60,-1
440,1540269784.4573238,491,-1
441,1540269784.4738564,60,-1
442,1540269784.5277839,491,-1
443,1540269784.5444636,60,-1
444,1540269784.5585935,491,-1
445,1540269784.5753627,60,-1
446,1540269784.62359,491,-1
447,1540269784.64037,60,-1
448,1540269784.668826,491,-1
449,1540269784.685813,60,-1
450,1540269784.7171695,491,-1
451,1540269784.7339203,60,-1
452,1540269784.763645,491,-1
453,1540269784.7801933,60,-1
454,1540269784.8342555,491,-1
455,1540269784.8510935,60,-1
456,1540269784.858319,491,-1
457,1540269784.8748689,60,-1
458,1540269784.9307666,491,-1
459,1540269784.947366,60,-1
460,1540269784.955522,491,-1
461,1540269784.9721627,60,-1
462,1540269785.0264404,491,-1
463,1540269785.0431406,60,-1
464,1540269785.070006,491,-1
465,1540269785.0866966,60,-1
466,1540269785.1176546,491,-1
467,1540269785.134303,60,-1
468,1540269785.1716652,491,-1
469,1540269785.1903205,60,-1
470,1540269785.190322,99,-1
471,1540269785.206804,54,-1
472,1540269785.2207155,151,-1
473,1540269785.2330015,491,-1
474,1540269785.2629578,491,-1
475,1540269785.2794929,60,-1
476,1540269785.3262792,491,-1
477,1540269785.3567324,491,-1
478,1540269785.373315,60,-1
479,1540269785.418878,491,-1
480,1540269785.4762342,491,-1
481,1540269785.4844904,60,-1
482,1540269785.492879,60,-1
483,1540269785.5098896,172,-1
484,1540269785.520638,491,-1
485,1540269785.5741088,491,-1
486,1540269785.5843651,60,-1
487,1540269785.5908544,60,-1
488,1540269785.6379077,491,-1
489,1540269785.6546028,60,-1
490,1540269785.6640863,491,-1
491,1540269785.6813185,60,-1
492,1540269785.7275994,491,-1
493,1540269785.7443452,60,-1
494,1540269785.7625468,491,-1
495,1540269785.7792296,60,-1
496,1540269785.8995373,491,-1
497,1540269785.9002676,491,-1
498,1540269785.9132168,491,-1
499,1540269785.9157615,212,-1
500,1540269785.9161186,1514,-1
501,1540269785.9162123,1514,-1
502,1540269785.91643,1141,-1
503,1540269785.9164312,60,-1
504,1540269785.9168384,60,-1
505,1540269785.919565,54,-1
506,1540269785.9199069,54,-1
507,1540269785.9199815,1514,-1
508,1540269785.920172,1514,-1
509,1540269785.9232793,54,-1
510,1540269785.9282398,99,-1
511,1540269785.9361253,952,-1
512,1540269785.9943306,60,-1
513,1540269785.9976108,491,-1
514,1540269786.0142577,60,-1
515,1540269786.042618,91,-1
516,1540269786.0426977,91,-1
517,1540269786.0440784,302,-1
518,1540269786.0590954,60,-1
519,1540269786.0590963,60,-1
520,1540269786.060648,60,-1
521,1540269786.0798821,54,-1
522,1540269786.4708056,161,-1
523,1540269786.4853148,54,-1
524,1540269786.5080545,154,-1
525,1540269786.5228052,54,-1
526,1540269787.4858046,177,-1
527,1540269787.5023813,60,-1
528,1540269801.7897677,77,-1
529,1540269801.8071303,77,-1
530,1540269801.808597,66,-1
531,1540269815.3482537,286,-1
532,1540269815.3648937,60,-1
533,1540269815.3866756,943,-1
534,1540269815.4034743,60,-1
535,1540269815.4040797,1291,-1
536,1540269815.4065356,491,-1
537,1540269815.412075,491,-1
538,1540269815.4152737,491,-1
539,1540269815.4208648,60,-1
540,1540269815.4225442,1514,-1
541,1540269815.4229608,631,-1
542,1540269815.4230843,60,-1
543,1540269815.4263208,491,-1
544,1540269815.4287312,60,-1
545,1540269815.4324372,60,-1
546,1540269815.4367235,491,-1
547,1540269815.4371164,491,-1
548,1540269815.4400897,60,-1
549,1540269815.4404552,60,-1
550,1540269815.4436648,60,-1
551,1540269815.4532938,60,-1
552,1540269815.4536645,60,-1
553,1540269815.4760528,491,-1
554,1540269815.4768202,1514,-1
555,1540269815.4773808,1514,-1
556,1540269815.477412,1514,-1
557,1540269815.4792562,1514,-1
558,1540269815.4792879,1514,-1
559,1540269815.479313,1514,-1
560,1540269815.4793642,471,-1
561,1540269815.493386,60,-1
562,1540269815.4943268,60,-1
563,1540269815.4949799,60,-1
564,1540269815.495143,60,-1
565,1540269815.4967418,60,-1
566,1540269815.4969263,60,-1
567,1540269815.499458,491,-1
568,1540269815.5021777,219,-1
569,1540269815.5195012,54,-1
570,1540269815.5486994,491,-1
571,1540269815.5645552,60,-1
572,1540269815.5654142,60,-1
573,1540269815.5883033,491,-1
574,1540269815.6051016,60,-1
575,1540269815.6508968,491,-1
576,1540269815.6676693,60,-1
577,1540269815.6791184,491,-1
578,1540269815.7411082,491,-1
579,1540269815.75814,60,-1
580,1540269815.7873595,491,-1
