Serial number,time,size,direction
1,1540273502.8601213,77,1
2,1540273502.8777132,77,-1
3,1540273502.879173,66,1
4,1540273509.0385592,288,1
5,1540273509.0524209,1514,1
6,1540273509.0527527,345,1
7,1540273509.0550866,1291,1
8,1540273509.0589764,1514,1
9,1540273509.0603023,231,1
10,1540273509.0606506,491,1
11,1540273509.0700684,60,-1
12,1540273509.0726411,60,-1
13,1540273509.0740507,928,1
14,1540273509.0775695,491,1
15,1540273509.0780482,60,-1
16,1540273509.083982,491,1
17,1540273509.0917175,60,-1
18,1540273509.1014562,60,-1
19,1540273509.1034036,491,1
20,1540273509.1039455,491,1
21,1540273509.1039739,491,1
22,1540273509.1040387,1514,1
23,1540273509.1040733,1216,1
24,1540273509.1051137,1514,1
25,1540273509.1054335,779,1
26,1540273509.1214151,60,-1
27,1540273509.1216748,60,-1
28,1540273509.1227038,60,-1
29,1540273509.1230395,1514,1
30,1540273509.1237767,1514,1
31,1540273509.1238098,1067,1
32,1540273509.1313057,491,1
33,1540273509.1406999,60,-1
34,1540273509.1414115,60,-1
35,1540273509.1808853,491,1
36,1540273509.1813328,214,-1
37,1540273509.1828232,54,1
38,1540273509.2317317,491,1
39,1540273509.2475672,60,-1
40,1540273509.249882,60,-1
41,1540273509.2700956,491,1
42,1540273509.2875648,60,-1
43,1540273509.3420043,491,1
44,1540273509.3594518,60,-1
45,1540273509.366278,491,1
46,1540273509.384537,60,-1
47,1540273509.4393272,491,1
48,1540273509.4567852,60,-1
49,1540273509.4642932,491,1
50,1540273509.481876,60,-1
51,1540273509.5346875,491,1
52,1540273509.5521607,60,-1
53,1540273509.5763855,491,1
54,1540273509.5940561,60,-1
55,1540273509.6244788,491,1
56,1540273509.6420195,60,-1
57,1540273509.6420214,99,-1
58,1540273509.6441433,54,1
59,1540273509.6735954,491,1
60,1540273509.7374566,60,-1
61,1540273509.7409523,491,1
62,1540273509.7584298,60,-1
63,1540273509.768352,491,1
64,1540273509.7859247,60,-1
65,1540273509.838754,491,1
66,1540273509.856554,60,-1
67,1540273509.8650491,491,1
68,1540273509.8825963,60,-1
69,1540273509.9366698,491,1
70,1540273509.9543228,60,-1
71,1540273509.9769862,491,1
72,1540273509.9945881,60,-1
73,1540273510.0222309,491,1
74,1540273510.040174,60,-1
75,1540273510.072589,491,1
76,1540273510.090398,60,-1
77,1540273510.1365755,491,1
78,1540273510.1541831,60,-1
79,1540273510.1698766,491,1
80,1540273510.1875763,60,-1
81,1540273510.2327695,491,1
