Serial number,time,size,direction
1,1540000889.1981208,60,1
2,1540000889.201578,342,1
3,1540000889.2015789,342,1
4,1540000889.2709632,42,1
5,1540000889.2709842,42,1
6,1540000889.2718148,60,1
7,1540000889.271816,60,1
8,1540000889.3371663,164,-1
9,1540000889.9425404,60,1
10,1540000890.0687969,216,-1
11,1540000890.3110163,42,1
12,1540000890.311128,42,1
13,1540000890.3119175,60,1
14,1540000890.311921,60,1
15,1540000890.783263,168,1
16,1540000891.0691292,216,-1
17,1540000891.2045193,60,1
18,1540000891.3784606,342,-1
19,1540000891.7860334,168,1
20,1540000892.0424614,60,1
21,1540000892.0692358,216,-1
22,1540000893.069248,216,-1
23,1540000893.2056465,60,1
24,1540000893.4747543,60,1
25,1540000893.7982824,168,1
26,1540000895.2062454,60,1
27,1540000895.2553542,175,-1
28,1540000895.5628743,216,-1
29,1540000896.322324,60,-1
30,1540000896.5632446,216,-1
31,1540000896.6291559,95,-1
32,1540000896.6453435,95,-1
33,1540000896.6620865,54,-1
34,1540000897.2066944,60,1
35,1540000897.5643528,216,-1
36,1540000897.8075747,168,1
37,1540000897.9899719,60,1
38,1540000898.4098437,216,-1
39,1540000898.5654807,216,-1
40,1540000899.2073193,60,1
41,1540000899.3558948,216,-1
42,1540000899.4221864,216,-1
43,1540000900.356332,216,-1
44,1540000900.4295328,216,-1
45,1540000900.6301212,60,-1
46,1540000900.6301227,60,-1
47,1540000900.6301243,60,-1
48,1540000900.6302912,60,-1
49,1540000900.8449788,77,-1
50,1540000900.8621063,77,-1
51,1540000900.8634675,66,-1
52,1540000901.1405578,60,-1
53,1540000901.211432,60,1
54,1540000901.2708676,286,-1
55,1540000901.2758512,412,1
56,1540000901.2969337,964,-1
57,1540000901.3134677,60,-1
58,1540000901.3217914,1514,-1
59,1540000901.3230498,631,-1
60,1540000901.3341222,491,-1
61,1540000901.3391736,60,-1
62,1540000901.3555753,491,-1
63,1540000901.3564014,216,-1
64,1540000901.3615775,491,-1
65,1540000901.3751056,60,-1
66,1540000901.3762305,1514,-1
67,1540000901.3782382,1514,-1
68,1540000901.3782542,1514,-1
69,1540000901.37827,1514,-1
70,1540000901.3924832,60,-1
71,1540000901.3955228,1514,-1
72,1540000901.3968868,1514,-1
73,1540000901.3992531,60,-1
74,1540000901.399254,99,-1
75,1540000901.4008605,1042,-1
76,1540000901.401029,54,-1
77,1540000901.4127285,491,-1
78,1540000901.4408388,216,-1
79,1540000901.4640675,60,-1
80,1540000901.4696074,491,-1
81,1540000901.4857252,60,-1
82,1540000901.5291295,491,-1
83,1540000901.545251,60,-1
84,1540000901.5702224,491,-1
85,1540000901.586363,60,-1
86,1540000901.615966,491,-1
87,1540000901.619124,215,-1
88,1540000901.6564212,54,-1
89,1540000901.6659062,491,-1
90,1540000901.673498,60,-1
91,1540000901.6739767,60,-1
92,1540000901.682097,60,-1
93,1540000901.7152016,491,-1
94,1540000901.7314823,60,-1
95,1540000901.75644,491,-1
96,1540000901.7726135,60,-1
97,1540000901.805772,491,-1
98,1540000901.82194,60,-1
99,1540000901.8716047,491,-1
100,1540000901.887926,60,-1
101,1540000901.9188483,491,-1
102,1540000901.9295897,60,1
103,1540000901.9350505,60,-1
104,1540000901.9400241,150,-1
105,1540000901.9476104,54,-1
106,1540000901.9900851,491,-1
107,1540000902.0016313,491,-1
108,1540000902.0177853,60,-1
109,1540000902.0427191,60,1
110,1540000902.0513136,168,1
111,1540000902.062474,491,-1
112,1540000902.1152942,491,-1
113,1540000902.1239839,60,-1
114,1540000902.1314507,60,-1
115,1540000902.2336526,491,-1
116,1540000902.2338405,491,-1
117,1540000902.2498372,60,-1
118,1540000902.2499795,60,-1
119,1540000902.3564565,216,-1
120,1540000902.3603487,491,-1
121,1540000902.3666923,491,-1
122,1540000902.3684037,491,-1
123,1540000902.376472,60,-1
124,1540000902.382798,60,-1
125,1540000902.3845155,60,-1
126,1540000902.424799,491,-1
127,1540000902.44092,60,-1
128,1540000902.5061128,491,-1
129,1540000902.5113773,491,-1
130,1540000902.522252,60,-1
131,1540000902.527512,60,-1
132,1540000902.5589693,491,-1
133,1540000902.5750856,60,-1
134,1540000902.6200624,491,-1
135,1540000902.6361842,60,-1
136,1540000902.6773593,491,-1
137,1540000902.69357,60,-1
138,1540000902.7020109,491,-1
139,1540000902.7249587,60,-1
140,1540000902.8217716,491,-1
141,1540000902.822159,491,-1
142,1540000902.8379774,60,-1
143,1540000902.8383205,60,-1
144,1540000902.8657734,491,-1
145,1540000902.8819287,60,-1
146,1540000902.927075,491,-1
147,1540000902.9433408,60,-1
148,1540000902.9599469,491,-1
149,1540000902.9761283,60,-1
150,1540000903.0064645,491,-1
151,1540000903.0227242,60,-1
152,1540000903.0508628,168,1
153,1540000903.074326,491,-1
154,1540000903.0905883,60,-1
155,1540000903.1025093,491,-1
156,1540000903.1187057,60,-1
157,1540000903.1730494,491,-1
158,1540000903.18929,60,-1
159,1540000903.2036774,491,-1
160,1540000903.2121365,60,1
161,1540000903.2199576,60,-1
162,1540000903.2665126,491,-1
163,1540000903.2827878,60,-1
164,1540000903.310054,491,-1
165,1540000903.326322,60,-1
166,1540000903.35797,491,-1
167,1540000903.3741982,60,-1
168,1540000903.4045737,491,-1
169,1540000903.4207952,60,-1
170,1540000903.477626,491,-1
171,1540000903.4937723,60,-1
172,1540000903.5019207,491,-1
173,1540000903.5180416,60,-1
174,1540000903.5737946,491,-1
175,1540000903.5899127,60,-1
176,1540000903.5983973,491,-1
177,1540000903.6145546,60,-1
178,1540000903.6679103,491,-1
179,1540000903.6841192,60,-1
180,1540000903.7143693,491,-1
181,1540000903.7306347,60,-1
182,1540000903.7647421,491,-1
183,1540000903.781019,60,-1
184,1540000903.8103364,491,-1
185,1540000903.8265321,60,-1
186,1540000903.8734438,491,-1
187,1540000903.8897147,60,-1
188,1540000903.8897185,99,-1
189,1540000903.891483,54,-1
190,1540000903.9045293,491,-1
191,1540000903.9639838,60,-1
192,1540000903.967352,491,-1
193,1540000903.983469,60,-1
194,1540000904.0007536,491,-1
195,1540000904.0168805,60,-1
196,1540000904.0658185,491,-1
197,1540000904.0819643,60,-1
198,1540000904.1099854,491,-1
199,1540000904.1261508,60,-1
200,1540000904.1573977,491,-1
201,1540000904.1735785,60,-1
202,1540000904.21113,491,-1
203,1540000904.2272735,60,-1
204,1540000904.275317,491,-1
205,1540000904.2916083,60,-1
206,1540000904.326276,491,-1
207,1540000904.342575,60,-1
208,1540000904.3671181,491,-1
209,1540000904.383293,60,-1
210,1540000904.4018354,491,-1
211,1540000904.4180694,60,-1
212,1540000904.4667635,491,-1
213,1540000904.4829335,60,-1
214,1540000904.5121613,491,-1
215,1540000904.5282898,60,-1
216,1540000904.5604837,491,-1
217,1540000904.576589,60,-1
218,1540000904.609014,491,-1
219,1540000904.62513,60,-1
220,1540000904.6251323,99,-1
221,1540000904.6662748,54,-1
222,1540000904.6718042,491,-1
223,1540000904.705734,491,-1
224,1540000904.7218037,60,-1
225,1540000904.7694297,491,-1
226,1540000904.8006513,491,-1
227,1540000904.816855,60,-1
228,1540000904.8289332,173,-1
229,1540000904.8303475,54,-1
230,1540000904.8668656,491,-1
231,1540000904.8960764,204,-1
232,1540000904.9119573,491,-1
233,1540000904.9121625,60,-1
234,1540000904.9422047,60,1
235,1540000904.9582217,491,-1
236,1540000904.9739923,60,-1
237,1540000904.9743695,60,-1
238,1540000905.0290139,491,-1
239,1540000905.0451665,60,-1
240,1540000905.0508661,168,1
241,1540000905.0735345,491,-1
242,1540000905.0896807,60,-1
243,1540000905.1015608,491,-1
244,1540000905.1177213,60,-1
245,1540000905.1734493,491,-1
246,1540000905.1896212,60,-1
247,1540000905.2120402,60,1
248,1540000905.2168067,491,-1
249,1540000905.2329705,60,-1
250,1540000905.2659228,491,-1
251,1540000905.2821116,60,-1
252,1540000905.336378,491,-1
253,1540000905.352645,60,-1
254,1540000905.3619192,491,-1
255,1540000905.3781898,60,-1
256,1540000905.4100244,491,-1
257,1540000905.4262018,60,-1
258,1540000905.473826,491,-1
259,1540000905.489957,60,-1
260,1540000905.5044339,491,-1
261,1540000905.5205994,60,-1
262,1540000905.5713716,491,-1
263,1540000905.5773177,309,-1
264,1540000905.5776713,1514,-1
265,1540000905.5778513,845,-1
266,1540000905.578691,54,-1
267,1540000905.581151,54,-1
268,1540000905.5812278,54,-1
269,1540000905.5932107,1514,-1
270,1540000905.5933187,1514,-1
271,1540000905.5933697,1267,-1
