Serial number,time,size,direction
1,1540286786.3598003,60,1
2,1540286786.4085872,54,-1
3,1540286787.064675,77,-1
4,1540286787.082043,77,-1
5,1540286787.0939677,66,-1
6,1540286788.5296059,1033,-1
7,1540286788.573386,267,-1
8,1540286788.5877187,1514,-1
9,1540286788.589889,60,-1
10,1540286788.590289,231,-1
11,1540286788.5959842,891,-1
12,1540286788.606791,60,-1
13,1540286788.6085386,491,-1
14,1540286788.6098533,491,-1
15,1540286788.609885,491,-1
16,1540286788.6099486,1514,-1
17,1540286788.6099837,631,-1
18,1540286788.6250794,60,-1
19,1540286788.6264246,60,-1
20,1540286788.6266747,60,-1
21,1540286788.6356416,491,-1
22,1540286788.637891,1291,-1
23,1540286788.6392288,491,-1
24,1540286788.6427977,1514,-1
25,1540286788.6441703,631,-1
26,1540286788.6508958,491,-1
27,1540286788.6522725,1291,-1
28,1540286788.6545546,60,-1
29,1540286788.6594648,60,-1
30,1540286788.6674252,60,-1
31,1540286788.6884573,491,-1
32,1540286788.6903484,1514,-1
33,1540286788.6903818,1514,-1
34,1540286788.6904047,1514,-1
35,1540286788.6904564,1514,-1
36,1540286788.6904988,288,-1
37,1540286788.704979,60,-1
38,1540286788.705506,211,-1
39,1540286788.7068367,54,-1
40,1540286788.707135,60,-1
41,1540286788.7074208,60,-1
42,1540286788.7117605,491,-1
43,1540286788.7442884,491,-1
44,1540286788.7608852,60,-1
45,1540286788.815094,491,-1
46,1540286788.8317952,99,-1
47,1540286788.8638444,491,-1
48,1540286788.9096277,491,-1
49,1540286788.9262002,60,-1
50,1540286788.9775772,491,-1
51,1540286789.0173018,491,-1
52,1540286789.0338035,60,-1
53,1540286789.0495658,491,-1
54,1540286789.1149468,491,-1
55,1540286789.1170542,60,-1
56,1540286789.1316104,60,-1
57,1540286789.1456375,491,-1
58,1540286789.1622655,60,-1
59,1540286789.2101343,491,-1
60,1540286789.2268353,60,-1
61,1540286789.2532394,491,-1
62,1540286789.2698147,60,-1
63,1540286789.3096704,491,-1
64,1540286789.326215,60,-1
65,1540286789.350016,491,-1
66,1540286789.3665235,60,-1
67,1540286789.4222748,491,-1
68,1540286789.4388497,60,-1
69,1540286789.4475245,491,-1
70,1540286789.4640424,60,-1
71,1540286789.5135703,491,-1
72,1540286789.5301008,60,-1
73,1540286789.5452058,491,-1
74,1540286789.5618234,60,-1
75,1540286789.6862676,491,-1
76,1540286789.6868286,491,-1
77,1540286789.702822,60,-1
78,1540286789.7033327,60,-1
79,1540286789.7070918,491,-1
80,1540286789.72365,60,-1
81,1540286789.785328,491,-1
82,1540286789.8018515,60,-1
83,1540286789.820651,491,-1
84,1540286789.8371968,60,-1
85,1540286789.8457649,491,-1
86,1540286789.8622928,60,-1
87,1540286789.9246116,491,-1
88,1540286789.9411829,60,-1
89,1540286789.967433,491,-1
90,1540286789.983958,60,-1
91,1540286790.008029,491,-1
92,1540286790.0245845,60,-1
93,1540286790.068057,491,-1
94,1540286790.084636,60,-1
95,1540286790.1078796,491,-1
96,1540286790.1245563,60,-1
97,1540286790.1497803,491,-1
98,1540286790.1664283,60,-1
99,1540286790.2874954,491,-1
100,1540286790.2903936,491,-1
101,1540286790.3041148,60,-1
102,1540286790.3069496,60,-1
103,1540286790.313978,491,-1
104,1540286790.3305695,60,-1
105,1540286790.341778,491,-1
106,1540286790.3582783,60,-1
107,1540286790.4171488,491,-1
108,1540286790.433651,60,-1
109,1540286790.4562469,491,-1
110,1540286790.4663067,152,-1
111,1540286790.5072317,491,-1
112,1540286790.5238435,60,-1
113,1540286790.5522768,491,-1
114,1540286790.621346,491,-1
115,1540286790.627022,60,-1
116,1540286790.646452,491,-1
