Serial number,time,size,direction
1,1540287999.9703064,66,1
2,1540288000.0159929,66,-1
3,1540288001.7084057,54,-1
4,1540288005.768015,77,-1
5,1540288005.785632,77,-1
6,1540288005.7870507,66,-1
7,1540288012.4468167,290,-1
8,1540288012.459224,1252,-1
9,1540288012.463447,60,-1
10,1540288012.4721932,1514,-1
11,1540288012.4735172,231,-1
12,1540288012.475804,491,-1
13,1540288012.4759133,60,-1
14,1540288012.478064,491,-1
15,1540288012.4794352,491,-1
16,1540288012.488954,60,-1
17,1540288012.490046,60,-1
18,1540288012.4923718,60,-1
19,1540288012.4946673,60,-1
20,1540288012.4960353,60,-1
21,1540288012.5516295,1514,-1
22,1540288012.568347,60,-1
23,1540288012.578065,217,-1
24,1540288012.6237984,1514,-1
25,1540288012.6242816,1514,-1
26,1540288012.6243157,1514,-1
27,1540288012.6247013,1514,-1
28,1540288012.624731,1514,-1
29,1540288012.624755,1514,-1
30,1540288012.6248071,54,-1
31,1540288012.6410096,60,-1
32,1540288012.641439,60,-1
33,1540288012.6417422,60,-1
34,1540288012.7180727,1514,-1
35,1540288012.719468,1514,-1
36,1540288012.7194986,1514,-1
37,1540288012.7209234,1514,-1
38,1540288012.7209542,401,-1
39,1540288012.735654,491,-1
40,1540288012.7362382,60,-1
41,1540288012.7377818,60,-1
42,1540288012.737784,99,-1
43,1540288012.7391732,54,-1
44,1540288012.7965624,60,-1
45,1540288012.8111398,491,-1
46,1540288012.827761,60,-1
47,1540288012.865659,491,-1
48,1540288012.8823612,60,-1
49,1540288012.8994663,491,-1
50,1540288012.916081,60,-1
51,1540288012.97199,491,-1
52,1540288012.9886928,60,-1
53,1540288013.0294762,491,-1
54,1540288013.0455773,491,-1
55,1540288013.0461638,60,-1
56,1540288013.0622783,60,-1
57,1540288013.1073096,491,-1
58,1540288013.1240277,60,-1
59,1540288013.1347368,491,-1
60,1540288013.1513321,60,-1
61,1540288013.2079244,491,-1
62,1540288013.2245023,60,-1
63,1540288013.2328534,491,-1
64,1540288013.249475,60,-1
65,1540288013.3124592,491,-1
66,1540288013.3290346,60,-1
67,1540288013.347023,491,-1
68,1540288013.3635955,60,-1
69,1540288013.4078898,491,-1
70,1540288013.4245284,60,-1
71,1540288013.4419274,491,-1
72,1540288013.4586015,60,-1
73,1540288013.5056067,491,-1
74,1540288013.5223048,60,-1
75,1540288013.5363512,491,-1
76,1540288013.5530367,60,-1
77,1540288013.6068804,491,-1
78,1540288013.6235583,60,-1
