Serial number,time,size,direction
1,1540269148.2079244,95,1
2,1540269148.224686,60,-1
3,1540269148.2246935,95,-1
4,1540269148.2719676,54,1
5,1540269168.6279209,54,1
6,1540269169.4089217,283,1
7,1540269169.4094527,936,1
8,1540269169.4099927,1514,1
9,1540269169.4100258,231,1
10,1540269169.4107196,1514,1
11,1540269169.410752,231,1
12,1540269169.4107733,491,1
13,1540269169.4115946,491,1
14,1540269169.4261825,60,-1
15,1540269169.4267166,60,-1
16,1540269169.4274826,60,-1
17,1540269169.4280066,1514,1
18,1540269169.4282365,60,-1
19,1540269169.428817,1514,1
20,1540269169.4288495,1067,1
21,1540269169.431583,1514,1
22,1540269169.4318888,631,1
23,1540269169.4380589,1514,1
24,1540269169.4394267,1031,1
25,1540269169.4455924,60,-1
26,1540269169.4483678,60,-1
27,1540269169.4508195,491,1
28,1540269169.452172,491,1
29,1540269169.4525743,491,1
30,1540269169.45274,491,1
31,1540269169.4539793,491,1
32,1540269169.4557688,60,-1
33,1540269169.4674513,60,-1
34,1540269169.4692059,60,-1
35,1540269169.4706018,60,-1
36,1540269169.4791038,1365,1
37,1540269169.480711,491,1
38,1540269169.4972663,60,-1
39,1540269169.509191,491,1
40,1540269169.5327125,222,-1
41,1540269169.534034,54,1
42,1540269169.5817313,491,1
43,1540269169.61101,491,1
44,1540269169.6276631,60,-1
45,1540269169.682301,491,1
46,1540269169.7100317,491,1
47,1540269169.7265599,60,-1
48,1540269169.76906,491,1
49,1540269169.8171625,491,1
50,1540269169.8295405,60,-1
51,1540269169.8337438,60,-1
52,1540269169.864295,491,1
53,1540269169.8808503,60,-1
54,1540269169.928453,491,1
55,1540269169.945039,60,-1
56,1540269169.9766126,491,1
57,1540269169.9934845,60,-1
58,1540269170.0109022,491,1
59,1540269170.0274427,60,-1
60,1540269170.0741751,491,1
61,1540269170.0908382,60,-1
62,1540269170.1111474,491,1
63,1540269170.1279461,60,-1
64,1540269170.1689742,491,1
65,1540269170.1856415,60,-1
66,1540269170.2210429,491,1
67,1540269170.2376502,60,-1
68,1540269170.2706463,491,1
69,1540269170.2873106,60,-1
70,1540269170.3144274,491,1
71,1540269170.3313003,60,-1
72,1540269170.378221,491,1
73,1540269170.3949687,60,-1
74,1540269170.4086318,491,1
75,1540269170.4252708,60,-1
76,1540269170.5014668,491,1
77,1540269170.5036573,491,1
78,1540269170.5180697,60,-1
79,1540269170.5204842,60,-1
80,1540269170.567424,491,1
81,1540269170.5839689,60,-1
82,1540269170.6118035,491,1
83,1540269170.6284583,60,-1
84,1540269170.6741767,491,1
85,1540269170.6908545,60,-1
86,1540269170.7088661,491,1
87,1540269170.7254913,60,-1
88,1540269170.779657,491,1
89,1540269170.796281,60,-1
90,1540269170.7962842,99,-1
91,1540269170.7977302,54,1
92,1540269170.8144617,491,1
93,1540269170.8748374,491,1
94,1540269170.8793578,60,-1
95,1540269170.8915462,60,-1
96,1540269170.903831,491,1
97,1540269170.9204612,60,-1
98,1540269170.9245603,77,1
99,1540269170.9418025,77,-1
100,1540269170.9433084,66,1
101,1540269170.9671395,491,1
102,1540269170.9837637,60,-1
103,1540269171.015119,491,1
104,1540269171.0317943,60,-1
105,1540269171.0702178,491,1
106,1540269171.0867872,60,-1
107,1540269171.1121454,491,1
108,1540269171.1288507,60,-1
109,1540269171.2017896,491,1
110,1540269171.207449,491,1
111,1540269171.2184951,60,-1
112,1540269171.2241576,60,-1
113,1540269171.2707515,491,1
114,1540269171.287496,60,-1
115,1540269171.312603,491,1
116,1540269171.3292055,60,-1
117,1540269171.3676572,491,1
118,1540269171.384273,60,-1
119,1540269171.4203534,491,1
120,1540269171.4380345,60,-1
121,1540269171.4750378,491,1
122,1540269171.4918199,60,-1
123,1540269171.5135393,491,1
124,1540269171.5303106,60,-1
125,1540269171.5789015,491,1
