Serial number,time,size,direction
1,1540287490.5144122,95,1
2,1540287490.5309408,60,-1
3,1540287490.530943,95,-1
4,1540287490.552351,54,1
5,1540287499.3791125,286,1
6,1540287499.3825564,1028,1
7,1540287499.3985386,1514,1
8,1540287499.3992558,60,-1
9,1540287499.3997054,1031,1
10,1540287499.4163811,60,-1
11,1540287499.4289005,491,1
12,1540287499.430763,491,1
13,1540287499.4307783,491,1
14,1540287499.4307892,491,1
15,1540287499.4308164,491,1
16,1540287499.430842,928,1
17,1540287499.430867,491,1
18,1540287499.4474142,60,-1
19,1540287499.4474165,60,-1
20,1540287499.4475756,60,-1
21,1540287499.450859,1514,1
22,1540287499.4531121,1514,1
23,1540287499.453159,1514,1
24,1540287499.453172,1514,1
25,1540287499.4531837,873,1
26,1540287499.453225,891,1
27,1540287499.4677153,60,-1
28,1540287499.470034,99,-1
29,1540287499.4700372,60,-1
30,1540287499.4702635,60,-1
31,1540287499.499105,1514,1
32,1540287499.500801,1514,1
33,1540287499.5051982,1514,1
34,1540287499.505424,844,1
35,1540287499.507282,216,-1
36,1540287499.5175726,60,-1
37,1540287499.5221734,60,-1
38,1540287499.5407233,54,1
39,1540287499.569734,491,1
40,1540287499.5959847,491,1
41,1540287499.6125906,60,-1
42,1540287499.6668541,491,1
43,1540287499.712753,491,1
44,1540287499.7293353,60,-1
45,1540287499.758549,491,1
46,1540287499.8094895,491,1
47,1540287499.8225899,60,-1
48,1540287499.8261325,60,-1
49,1540287499.8761442,491,1
50,1540287499.8929,60,-1
51,1540287499.9086065,491,1
52,1540287499.9253395,60,-1
53,1540287499.9697628,491,1
54,1540287499.9701154,77,1
55,1540287499.9865112,60,-1
56,1540287499.9874897,77,-1
57,1540287499.9889781,66,1
58,1540287500.0008566,491,1
59,1540287500.0176003,60,-1
60,1540287500.067241,491,1
61,1540287500.084016,60,-1
62,1540287500.1102357,491,1
63,1540287500.1269333,60,-1
64,1540287500.1592715,491,1
65,1540287500.1760676,60,-1
66,1540287500.2062893,491,1
67,1540287500.2229643,60,-1
68,1540287500.2840436,491,1
69,1540287500.3007276,60,-1
70,1540287500.3125725,491,1
71,1540287500.3293545,60,-1
72,1540287500.3667805,491,1
73,1540287500.3834445,60,-1
74,1540287500.4106686,491,1
75,1540287500.4272547,60,-1
76,1540287500.4663374,491,1
77,1540287500.482905,60,-1
78,1540287500.5125732,491,1
79,1540287500.5292356,60,-1
80,1540287500.5589838,491,1
81,1540287500.575791,60,-1
82,1540287500.6066442,491,1
83,1540287500.6233356,60,-1
84,1540287500.6672697,491,1
85,1540287500.6840098,60,-1
86,1540287500.702827,491,1
87,1540287500.7195177,60,-1
88,1540287500.7717335,491,1
89,1540287500.7886932,60,-1
90,1540287500.7967832,491,1
91,1540287500.8134468,60,-1
92,1540287500.8658102,491,1
93,1540287500.8826072,60,-1
94,1540287500.9199195,491,1
95,1540287500.9367168,60,-1
96,1540287500.9604106,491,1
97,1540287500.977168,60,-1
98,1540287501.007986,491,1
99,1540287501.0248265,60,-1
100,1540287501.070898,491,1
101,1540287501.0876348,60,-1
102,1540287501.1027071,491,1
103,1540287501.119329,60,-1
104,1540287501.171523,491,1
105,1540287501.1881728,60,-1
106,1540287501.1976821,491,1
107,1540287501.214309,60,-1
108,1540287501.264168,491,1
109,1540287501.280866,60,-1
110,1540287501.3096225,491,1
111,1540287501.326323,60,-1
112,1540287501.3590348,491,1
113,1540287501.3757007,60,-1
114,1540287501.4029944,150,-1
115,1540287501.403763,491,1
116,1540287501.4044895,54,1
117,1540287501.4205337,99,-1
118,1540287501.424171,54,1
119,1540287501.4582572,175,-1
120,1540287501.4637206,54,1
121,1540287501.4718757,491,1
122,1540287501.502784,491,1
123,1540287501.5193796,60,-1
124,1540287501.588756,219,-1
125,1540287501.5891721,1514,-1
126,1540287501.5892603,1514,-1
127,1540287501.5894456,1194,-1
128,1540287501.5932963,491,1
129,1540287501.5942385,1514,-1
130,1540287501.5943143,1514,-1
131,1540287501.5944726,1267,-1
132,1540287501.5976357,54,1
133,1540287501.597784,54,1
134,1540287501.598562,54,1
135,1540287501.614382,1514,-1
136,1540287501.6144903,1514,-1
137,1540287501.6146142,582,-1
138,1540287501.6233158,54,1
139,1540287501.6259763,54,1
140,1540287501.6352222,491,1
141,1540287501.6353545,99,1
142,1540287501.652064,60,-1
143,1540287501.685053,491,1
144,1540287501.7403393,158,-1
145,1540287501.7439237,491,1
146,1540287501.7463713,91,1
147,1540287501.746516,91,1
148,1540287501.7630079,60,-1
149,1540287501.8125782,60,-1
150,1540287501.8243942,302,1
151,1540287501.8409586,60,-1
152,1540287501.9172814,155,-1
153,1540287501.9638963,54,1
154,1540287503.7200494,177,1
155,1540287503.7366219,60,-1
156,1540287529.9934247,77,1
157,1540287530.0108006,77,-1
158,1540287530.0123332,66,1
159,1540287533.7315793,290,1
160,1540287533.74819,60,-1
161,1540287533.7968152,1027,1
162,1540287533.7971866,1291,1
163,1540287533.797219,491,1
164,1540287533.7975194,1514,1
165,1540287533.7975483,1031,1
166,1540287533.8134615,60,-1
167,1540287533.8139262,60,-1
168,1540287533.8139281,60,-1
169,1540287533.814233,60,-1
170,1540287533.814235,60,-1
171,1540287533.8293114,1514,1
172,1540287533.8313148,1431,1
173,1540287533.8313465,491,1
174,1540287533.8357005,1514,1
175,1540287533.8362486,1514,1
176,1540287533.8362784,808,1
177,1540287533.8410397,1514,1
178,1540287533.846036,60,-1
179,1540287533.8480206,60,-1
180,1540287533.8480225,60,-1
181,1540287533.8483253,99,-1
182,1540287533.850499,1514,1
183,1540287533.850913,956,1
184,1540287533.8509412,54,1
185,1540287533.8530378,60,-1
186,1540287533.8564496,491,1
187,1540287533.8577647,60,-1
188,1540287533.8675828,60,-1
189,1540287533.8725297,491,1
190,1540287533.8891451,60,-1
191,1540287533.921343,218,-1
192,1540287533.924734,491,1
193,1540287533.9640646,54,1
194,1540287533.98285,60,-1
195,1540287533.994525,491,1
196,1540287534.011166,60,-1
197,1540287534.0178816,491,1
198,1540287534.034499,60,-1
199,1540287534.083176,491,1
200,1540287534.1000714,60,-1
201,1540287534.1075454,491,1
202,1540287534.124266,60,-1
203,1540287534.1811998,491,1
204,1540287534.1979125,60,-1
205,1540287534.2236366,491,1
206,1540287534.2402782,60,-1
207,1540287534.271517,491,1
208,1540287534.2881327,60,-1
209,1540287534.3189812,491,1
210,1540287534.335593,60,-1
211,1540287534.383551,491,1
212,1540287534.4001496,60,-1
213,1540287534.415757,491,1
214,1540287534.4323645,60,-1
215,1540287534.497462,491,1
216,1540287534.5113308,491,1
217,1540287534.5142288,60,-1
218,1540287534.5280282,60,-1
219,1540287534.577216,491,1
220,1540287534.5938387,60,-1
221,1540287534.6248827,491,1
222,1540287534.6416144,60,-1
223,1540287534.6692073,491,1
224,1540287534.6858733,60,-1
225,1540287534.731502,491,1
226,1540287534.7481036,60,-1
227,1540287534.7882836,491,1
228,1540287534.804861,60,-1
229,1540287534.8153217,491,1
230,1540287534.831866,60,-1
231,1540287534.8807328,491,1
232,1540287534.8973684,60,-1
233,1540287534.9110935,491,1
234,1540287534.9276884,60,-1
235,1540287534.9587715,150,-1
236,1540287534.9601765,54,1
237,1540287534.973656,491,1
238,1540287535.0147371,173,-1
239,1540287535.029503,491,1
240,1540287535.0640411,54,1
241,1540287535.0847085,491,1
242,1540287535.101388,60,-1
243,1540287535.1202745,491,1
244,1540287535.174654,223,-1
245,1540287535.175062,1514,-1
246,1540287535.1751657,1514,-1
247,1540287535.1753433,1077,-1
248,1540287535.180079,1514,-1
249,1540287535.1800826,1514,-1
250,1540287535.1803246,1267,-1
251,1540287535.1803272,115,-1
252,1540287535.200366,491,1
253,1540287535.2005813,54,1
254,1540287535.201489,54,1
255,1540287535.201742,54,1
256,1540287535.202461,54,1
257,1540287535.2027345,54,1
258,1540287535.204357,54,1
259,1540287535.2046132,54,1
260,1540287535.2047553,54,1
261,1540287535.2155704,491,1
262,1540287535.217386,1514,-1
263,1540287535.218083,396,-1
264,1540287535.2195842,54,1
265,1540287535.2677622,91,1
266,1540287535.267877,91,1
267,1540287535.282865,60,-1
268,1540287535.2843301,60,-1
269,1540287535.2843313,60,-1
270,1540287535.285212,302,1
271,1540287535.3020537,60,-1
272,1540287535.3110745,160,-1
273,1540287535.3539846,54,1
274,1540287535.4171717,152,-1
275,1540287535.4380429,54,1
276,1540287537.1485877,175,1
277,1540287537.2128503,60,-1
278,1540287561.0139704,77,1
279,1540287561.0312567,77,-1
280,1540287561.0325973,66,1
281,1540287561.7985706,286,1
282,1540287561.8107748,1022,1
283,1540287561.8151066,60,-1
284,1540287561.827492,60,-1
285,1540287561.8299944,1514,1
286,1540287561.8308105,231,1
287,1540287561.8308256,891,1
288,1540287561.8308504,491,1
289,1540287561.8308637,1291,1
290,1540287561.8422287,491,1
291,1540287561.846786,60,-1
292,1540287561.8473337,60,-1
293,1540287561.8473346,60,-1
294,1540287561.8475106,60,-1
295,1540287561.8475115,60,-1
296,1540287561.8526013,491,1
297,1540287561.8581848,1514,1
298,1540287561.8590217,60,-1
299,1540287561.8593423,231,1
300,1540287561.865294,1514,1
301,1540287561.865629,1514,1
302,1540287561.8669252,371,1
303,1540287561.8681562,491,1
304,1540287561.8692048,60,-1
305,1540287561.8748991,60,-1
306,1540287561.875472,491,1
307,1540287561.8758981,60,-1
308,1540287561.8790486,1514,1
309,1540287561.8804417,1105,1
310,1540287561.8820693,60,-1
311,1540287561.882301,60,-1
312,1540287561.8834374,60,-1
313,1540287561.883459,491,1
314,1540287561.8847225,60,-1
315,1540287561.892033,60,-1
316,1540287561.8970895,60,-1
317,1540287561.9002893,60,-1
318,1540287561.9148216,1514,1
319,1540287561.9151616,1514,1
320,1540287561.915496,1514,1
321,1540287561.9155152,148,1
322,1540287561.9318717,60,-1
323,1540287561.9322364,60,-1
324,1540287561.9322374,99,-1
325,1540287561.9337263,54,1
326,1540287561.9511342,217,-1
327,1540287561.9544034,54,1
328,1540287561.9848406,491,1
329,1540287561.9998574,491,1
330,1540287562.0208538,60,-1
331,1540287562.068547,491,1
332,1540287562.112338,491,1
333,1540287562.1289096,60,-1
334,1540287562.1580937,491,1
335,1540287562.2098958,491,1
336,1540287562.226481,60,-1
337,1540287562.2771356,491,1
338,1540287562.3071373,491,1
339,1540287562.3237295,60,-1
340,1540287562.3671227,491,1
341,1540287562.3983023,491,1
342,1540287562.4148953,60,-1
343,1540287562.4677346,491,1
344,1540287562.5175712,491,1
345,1540287562.5330777,60,-1
346,1540287562.5342143,60,-1
347,1540287562.5607023,491,1
348,1540287562.5773466,60,-1
349,1540287562.6088262,491,1
350,1540287562.6254957,60,-1
351,1540287562.672676,491,1
352,1540287562.6892722,60,-1
353,1540287562.7052946,491,1
354,1540287562.7218673,60,-1
355,1540287562.7700984,491,1
356,1540287562.786699,60,-1
357,1540287562.7959554,491,1
358,1540287562.8125885,60,-1
359,1540287562.8688376,491,1
360,1540287562.8854015,60,-1
361,1540287562.907351,491,1
362,1540287562.9239306,60,-1
363,1540287562.9564447,491,1
364,1540287562.9743497,60,-1
365,1540287563.0088823,491,1
366,1540287563.0255313,60,-1
367,1540287563.0711715,491,1
368,1540287563.0878663,60,-1
369,1540287563.1068351,491,1
370,1540287563.123482,60,-1
371,1540287563.168755,491,1
372,1540287563.185321,60,-1
373,1540287563.2009878,491,1
374,1540287563.2176318,60,-1
375,1540287563.268571,491,1
376,1540287563.2851348,60,-1
377,1540287563.308193,491,1
378,1540287563.3248167,60,-1
379,1540287563.3558452,491,1
380,1540287563.3752105,60,-1
381,1540287563.4041295,491,1
382,1540287563.420791,60,-1
383,1540287563.4768465,491,1
384,1540287563.4935648,60,-1
385,1540287563.510609,491,1
386,1540287563.5273736,60,-1
387,1540287563.5726614,491,1
388,1540287563.58947,60,-1
389,1540287563.5975816,491,1
390,1540287563.6142442,60,-1
391,1540287563.6680892,491,1
392,1540287563.684676,60,-1
393,1540287563.7165384,491,1
394,1540287563.7331476,60,-1
395,1540287563.7577558,491,1
396,1540287563.7743964,60,-1
397,1540287563.8052611,491,1
398,1540287563.821832,60,-1
399,1540287563.8218331,99,-1
400,1540287563.849862,150,-1
401,1540287563.8511696,54,1
402,1540287563.8944433,491,1
403,1540287563.9033108,491,1
404,1540287563.9046943,174,-1
405,1540287563.9199584,60,-1
406,1540287563.9541607,54,1
407,1540287564.019796,491,1
408,1540287564.020042,491,1
409,1540287564.0368226,60,-1
410,1540287564.03711,222,-1
411,1540287564.0376287,1514,-1
412,1540287564.0377033,1514,-1
413,1540287564.0378945,1194,-1
414,1540287564.0394812,54,1
415,1540287564.040524,54,1
416,1540287564.0407171,54,1
417,1540287564.0408,54,1
418,1540287564.0419905,1514,-1
419,1540287564.0420954,1514,-1
420,1540287564.042294,1267,-1
421,1540287564.0422952,116,-1
422,1540287564.0438435,54,1
423,1540287564.0446565,54,1
424,1540287564.0450592,54,1
425,1540287564.0475903,1514,-1
426,1540287564.0482004,54,1
427,1540287564.0493937,54,1
428,1540287564.056275,1514,-1
429,1540287564.057146,520,-1
430,1540287564.1087997,491,1
431,1540287564.1722734,491,1
432,1540287564.1736019,491,1
433,1540287564.180529,159,-1
434,1540287564.1815255,54,1
435,1540287564.18998,54,1
436,1540287564.190196,60,-1
437,1540287564.2296634,491,1
438,1540287564.2930763,60,-1
439,1540287564.309362,91,1
440,1540287564.3094554,91,1
441,1540287564.310802,304,1
442,1540287564.325867,60,-1
443,1540287564.3258681,60,-1
444,1540287564.3273506,60,-1
445,1540287564.4737973,155,-1
446,1540287564.6653879,54,1
447,1540287566.3434787,175,1
448,1540287566.36002,60,-1
449,1540287575.1467085,60,-1
450,1540287587.2030358,832,1
451,1540287587.2196949,60,-1
452,1540287587.2473936,1514,1
453,1540287587.2486367,1514,1
454,1540287587.2486718,771,1
455,1540287587.2486944,891,1
456,1540287587.2503712,266,1
457,1540287587.264079,60,-1
458,1540287587.265386,60,-1
459,1540287587.265389,60,-1
460,1540287587.2653906,60,-1
461,1540287587.266944,60,-1
462,1540287587.2758133,1514,1
463,1540287587.2763982,631,1
464,1540287587.2764277,1514,1
465,1540287587.2773135,1514,1
466,1540287587.2786918,408,1
467,1540287587.2925396,60,-1
468,1540287587.2930577,60,-1
469,1540287587.29329,60,-1
470,1540287587.2940257,60,-1
471,1540287587.2952385,60,-1
472,1540287587.3018148,1514,1
473,1540287587.318542,60,-1
474,1540287587.3233976,215,-1
475,1540287587.3891182,1514,1
476,1540287587.390365,1514,1
477,1540287587.3908904,1514,1
478,1540287587.390926,362,1
479,1540287587.3909488,54,1
480,1540287587.407184,60,-1
481,1540287587.4076877,60,-1
482,1540287587.4076943,491,1
483,1540287587.4076898,99,-1
484,1540287587.441495,54,1
485,1540287587.4422019,491,1
486,1540287587.4587808,60,-1
487,1540287587.511836,491,1
488,1540287587.5552022,491,1
489,1540287587.5718133,60,-1
490,1540287587.5996752,491,1
491,1540287587.6499448,491,1
492,1540287587.666539,60,-1
493,1540287587.7176235,491,1
494,1540287587.7460663,491,1
495,1540287587.7626684,60,-1
496,1540287587.8083627,491,1
497,1540287587.8382316,491,1
498,1540287587.8548486,60,-1
499,1540287587.907523,491,1
500,1540287587.9514678,491,1
501,1540287587.968159,60,-1
502,1540287587.997622,491,1
503,1540287588.0518885,491,1
504,1540287588.0684848,60,-1
505,1540287588.1238344,491,1
506,1540287588.1460116,491,1
507,1540287588.1627848,60,-1
508,1540287588.2124355,491,1
509,1540287588.2363214,491,1
510,1540287588.252899,60,-1
511,1540287588.3095508,491,1
512,1540287588.3548315,491,1
513,1540287588.371477,60,-1
514,1540287588.401058,491,1
515,1540287588.408276,149,-1
516,1540287588.4094722,54,1
517,1540287588.4516637,491,1
518,1540287588.4638872,173,-1
519,1540287588.4654288,54,1
520,1540287588.512843,491,1
521,1540287588.529533,60,-1
522,1540287588.5459323,491,1
523,1540287588.5807536,217,-1
524,1540287588.581252,1514,-1
525,1540287588.5813382,1514,-1
526,1540287588.5815268,1077,-1
527,1540287588.585026,54,1
528,1540287588.5860758,1514,-1
529,1540287588.586184,1514,-1
530,1540287588.5863895,1267,-1
531,1540287588.5863907,116,-1
532,1540287588.5894904,1514,-1
533,1540287588.5944715,54,1
534,1540287588.5945528,54,1
535,1540287588.5948133,54,1
536,1540287588.5949736,54,1
537,1540287588.5951319,54,1
538,1540287588.5952072,54,1
539,1540287588.5952833,54,1
540,1540287588.5953586,54,1
541,1540287588.6016335,540,-1
542,1540287588.6043081,54,1
543,1540287588.6068084,491,1
544,1540287588.6488898,491,1
545,1540287588.6525557,91,1
546,1540287588.6526403,91,1
547,1540287588.6654565,60,-1
548,1540287588.6691465,60,-1
549,1540287588.6742563,361,1
550,1540287588.7332253,60,-1
551,1540287588.9399335,161,-1
552,1540287588.964138,151,-1
553,1540287588.9684272,54,1
554,1540287590.361705,175,1
555,1540287590.3782988,60,-1
556,1540287592.0515678,77,1
557,1540287592.0690262,77,-1
558,1540287592.0715592,66,1
559,1540287593.3000972,477,1
560,1540287593.3166661,60,-1
561,1540287601.4594011,77,-1
562,1540287601.4645329,66,1
563,1540287612.743182,277,1
564,1540287612.7597916,60,-1
565,1540287612.7892404,1027,1
566,1540287612.7909336,1514,1
567,1540287612.790968,631,1
568,1540287612.79099,491,1
569,1540287612.791429,491,1
570,1540287612.7917972,1514,1
571,1540287612.7932026,1514,1
572,1540287612.8059325,60,-1
573,1540287612.8076813,60,-1
574,1540287612.807684,60,-1
575,1540287612.8076856,60,-1
576,1540287612.8079894,60,-1
577,1540287612.8085983,60,-1
578,1540287612.809957,60,-1
579,1540287612.8121402,1514,1
580,1540287612.813843,1514,1
581,1540287612.813874,762,1
582,1540287612.815187,491,1
583,1540287612.8191094,1291,1
584,1540287612.8289723,60,-1
585,1540287612.8305757,60,-1
586,1540287612.8305776,60,-1
587,1540287612.831754,60,-1
588,1540287612.8358212,60,-1
589,1540287612.8394942,1291,1
590,1540287612.8561869,60,-1
591,1540287612.9126868,214,-1
592,1540287612.933894,1514,1
593,1540287612.9352658,1514,1
594,1540287612.9506032,60,-1
595,1540287612.952808,1514,1
596,1540287612.9544332,1514,1
597,1540287612.9544644,836,1
598,1540287612.9695559,60,-1
599,1540287612.9735055,60,-1
600,1540287612.9763024,54,1
601,1540287613.0339134,491,1
602,1540287613.0426228,491,1
603,1540287613.0505447,60,-1
604,1540287613.0592093,60,-1
605,1540287613.1063254,491,1
606,1540287613.1229358,60,-1
607,1540287613.1663504,491,1
608,1540287613.183073,60,-1
609,1540287613.232775,491,1
610,1540287613.2483196,491,1
611,1540287613.2494588,60,-1
612,1540287613.26502,60,-1
613,1540287613.3133838,491,1
614,1540287613.3458016,491,1
615,1540287613.36244,60,-1
616,1540287613.4079642,491,1
617,1540287613.4361687,491,1
618,1540287613.4735246,60,-1
619,1540287613.5012207,99,-1
620,1540287613.516494,491,1
621,1540287613.5548708,54,1
622,1540287613.5552197,491,1
623,1540287613.5720737,60,-1
624,1540287613.6016173,491,1
625,1540287613.647819,491,1
626,1540287613.6643705,60,-1
627,1540287613.7105114,491,1
628,1540287613.7457068,491,1
629,1540287613.7623026,60,-1
630,1540287613.8090503,491,1
631,1540287613.8444264,491,1
632,1540287613.8611526,60,-1
633,1540287613.9094217,491,1
634,1540287613.9592376,491,1
635,1540287613.9758823,60,-1
636,1540287614.0011024,491,1
637,1540287614.0478077,491,1
638,1540287614.0643723,60,-1
639,1540287614.111054,491,1
640,1540287614.1459715,491,1
641,1540287614.1626008,60,-1
642,1540287614.2119098,491,1
643,1540287614.2364402,491,1
644,1540287614.253049,60,-1
645,1540287614.3094404,491,1
646,1540287614.3573122,491,1
647,1540287614.3738925,60,-1
648,1540287614.4003592,491,1
649,1540287614.4500551,491,1
650,1540287614.4667618,60,-1
651,1540287614.5145319,491,1
652,1540287614.546398,491,1
653,1540287614.5631752,60,-1
654,1540287614.610453,491,1
655,1540287614.635755,491,1
656,1540287614.6523201,60,-1
657,1540287614.709082,491,1
658,1540287614.751106,491,1
659,1540287614.7626488,152,-1
660,1540287614.7638962,54,1
661,1540287614.7677376,99,-1
662,1540287614.7689176,54,1
663,1540287614.7966745,491,1
664,1540287614.8148363,173,-1
665,1540287614.84584,491,1
666,1540287614.9090974,491,1
667,1540287614.9134643,60,-1
668,1540287614.925696,60,-1
669,1540287614.9423554,207,-1
670,1540287614.9428353,1514,-1
671,1540287614.942921,1514,-1
672,1540287614.943076,1077,-1
673,1540287614.947623,1514,-1
674,1540287614.9477723,1514,-1
675,1540287614.947906,1267,-1
676,1540287614.9479072,116,-1
677,1540287614.9508963,1514,-1
678,1540287614.954333,491,1
679,1540287614.9565315,54,1
680,1540287614.9572756,54,1
681,1540287614.9583542,54,1
682,1540287614.959377,54,1
683,1540287614.9732177,540,-1
684,1540287615.0077906,99,1
685,1540287615.0092816,491,1
686,1540287615.0259273,60,-1
687,1540287615.0469897,491,1
688,1540287615.109521,91,1
689,1540287615.1099591,91,1
690,1540287615.1136587,60,-1
691,1540287615.114533,157,-1
692,1540287615.1261835,60,-1
693,1540287615.1265721,60,-1
694,1540287615.1414967,304,1
695,1540287615.1580937,60,-1
696,1540287615.2777147,154,-1
697,1540287615.3246603,54,1
698,1540287616.810631,176,1
699,1540287616.8272665,60,-1
700,1540287623.0590956,77,1
701,1540287623.0770779,77,-1
702,1540287623.078394,66,1
