Serial number,time,size,direction
1,1540269473.512416,77,1
2,1540269473.5668087,66,-1
3,1540269476.7073271,54,-1
4,1540269476.950338,77,-1
5,1540269476.9680173,77,1
6,1540269476.9697828,66,-1
7,1540269479.3454268,285,-1
8,1540269479.3619769,60,-1
9,1540269479.3756492,940,-1
10,1540269479.3785417,1514,-1
11,1540269479.379863,231,-1
12,1540269479.3832657,491,-1
13,1540269479.3923569,60,-1
14,1540269479.3952358,60,-1
15,1540269479.3963904,60,-1
16,1540269479.3998375,60,-1
17,1540269479.4003222,491,-1
18,1540269479.4016771,491,-1
19,1540269479.4017072,491,-1
20,1540269479.401731,491,-1
21,1540269479.402736,1291,-1
22,1540269479.4147625,491,-1
23,1540269479.4161708,491,-1
24,1540269479.4168897,60,-1
25,1540269479.4173582,491,-1
26,1540269479.4183352,60,-1
27,1540269479.4183388,60,-1
28,1540269479.4183404,99,-1
29,1540269479.4193933,60,-1
30,1540269479.4222653,491,-1
31,1540269479.4260721,491,-1
32,1540269479.4281476,491,-1
33,1540269479.4328005,60,-1
34,1540269479.4367685,891,-1
35,1540269479.438035,491,-1
36,1540269479.4380767,491,-1
37,1540269479.4388824,60,-1
38,1540269479.4406204,491,-1
39,1540269479.445065,60,-1
40,1540269479.4508712,1514,-1
41,1540269479.4522352,631,-1
42,1540269479.4546683,60,-1
43,1540269479.4572408,60,-1
44,1540269479.4624748,491,-1
45,1540269479.4629326,491,-1
46,1540269479.4661689,491,-1
47,1540269479.4688945,60,-1
48,1540269479.4797552,60,-1
49,1540269479.484178,491,-1
50,1540269479.4847033,491,-1
51,1540269479.4847345,491,-1
52,1540269479.4847608,1514,-1
53,1540269479.4847832,231,-1
54,1540269479.5008502,60,-1
55,1540269479.501477,60,-1
56,1540269479.507549,491,-1
57,1540269479.531563,491,-1
58,1540269479.5330272,218,-1
59,1540269479.566661,54,-1
60,1540269479.5925045,60,-1
61,1540269479.5939364,491,-1
62,1540269479.6105528,60,-1
63,1540269479.6411319,491,-1
64,1540269479.6579776,60,-1
65,1540269479.6991165,491,-1
66,1540269479.715755,60,-1
67,1540269479.7382371,491,-1
68,1540269479.7555964,60,-1
69,1540269479.802004,491,-1
70,1540269479.8186314,60,-1
71,1540269479.8337338,491,-1
72,1540269479.8506413,60,-1
73,1540269479.9109159,491,-1
74,1540269479.9275846,60,-1
75,1540269479.9369888,491,-1
76,1540269479.9538083,60,-1
77,1540269480.0047421,491,-1
78,1540269480.0217865,60,-1
79,1540269480.0444946,491,-1
80,1540269480.0611331,60,-1
81,1540269480.0901644,491,-1
82,1540269480.1068194,60,-1
83,1540269480.2073183,491,-1
84,1540269480.2075083,491,-1
85,1540269480.2241526,60,-1
86,1540269480.2241552,60,-1
87,1540269480.2963665,491,-1
88,1540269480.3131185,60,-1
89,1540269480.3287938,491,-1
90,1540269480.3301477,491,-1
91,1540269480.3460348,60,-1
92,1540269480.3473644,60,-1
93,1540269480.4019675,491,-1
94,1540269480.4619012,60,-1
95,1540269480.4667075,491,-1
96,1540269480.4904938,491,-1
97,1540269480.5170183,60,-1
98,1540269480.541516,491,-1
99,1540269480.5581188,60,-1
100,1540269480.6172936,491,-1
101,1540269480.6340249,60,-1
102,1540269480.6550899,491,-1
103,1540269480.671931,60,-1
104,1540269480.7382603,491,-1
105,1540269480.7549303,60,-1
106,1540269480.7918522,491,-1
107,1540269480.7946305,491,-1
108,1540269480.8085403,60,-1
109,1540269480.8113348,60,-1
110,1540269480.8229828,491,-1
111,1540269480.8396678,60,-1
112,1540269480.8913994,491,-1
113,1540269480.9080522,60,-1
114,1540269480.9364135,491,-1
