Serial number,time,size,direction
1,1540284502.870343,77,1
2,1540284502.888393,77,-1
3,1540284502.890698,66,1
4,1540284512.841939,288,1
5,1540284512.8585203,60,-1
6,1540284512.9084547,938,1
7,1540284512.91349,1514,1
8,1540284512.9194005,631,1
9,1540284512.924636,1365,1
10,1540284512.9250867,60,-1
11,1540284512.930173,60,-1
12,1540284512.9359546,60,-1
13,1540284512.9362261,491,1
14,1540284512.936731,491,1
15,1540284512.9412692,60,-1
16,1540284512.9521213,491,1
17,1540284512.9527714,60,-1
18,1540284512.9528954,491,1
19,1540284512.9532697,60,-1
20,1540284512.9686298,60,-1
21,1540284512.9693928,60,-1
22,1540284512.998075,1514,1
23,1540284512.9983094,1514,1
24,1540284512.999027,1514,1
25,1540284512.9990578,1514,1
26,1540284513.0009618,1514,1
27,1540284513.0009933,1514,1
28,1540284513.0010338,1514,1
29,1540284513.0010853,1514,1
30,1540284513.0148084,60,-1
31,1540284513.0148108,60,-1
32,1540284513.0156717,60,-1
33,1540284513.0156736,60,-1
34,1540284513.0176744,60,-1
35,1540284513.0176766,60,-1
36,1540284513.0178695,99,-1
37,1540284513.0180442,60,-1
38,1540284513.0285456,1322,1
39,1540284513.0288074,214,-1
40,1540284513.030777,54,1
41,1540284513.036802,491,1
42,1540284513.0533276,60,-1
43,1540284513.0847552,491,1
44,1540284513.1493309,60,-1
45,1540284513.1581793,491,1
46,1540284513.1747177,60,-1
47,1540284513.223265,491,1
48,1540284513.2398343,60,-1
49,1540284513.244707,491,1
50,1540284513.261325,60,-1
51,1540284513.2935524,491,1
52,1540284513.3102374,60,-1
53,1540284513.34709,491,1
54,1540284513.3637052,60,-1
55,1540284513.392081,491,1
56,1540284513.4086661,60,-1
57,1540284513.443487,491,1
58,1540284513.4600797,60,-1
59,1540284513.4897578,491,1
60,1540284513.5063243,60,-1
61,1540284513.5540555,491,1
62,1540284513.5707824,60,-1
63,1540284513.5917995,491,1
64,1540284513.6084743,60,-1
65,1540284513.6520507,491,1
66,1540284513.6685512,60,-1
67,1540284513.676592,491,1
68,1540284513.6933343,60,-1
69,1540284513.7497938,491,1
70,1540284513.766361,60,-1
71,1540284513.789049,491,1
72,1540284513.8056734,60,-1
73,1540284513.8376095,491,1
74,1540284513.8541715,60,-1
75,1540284513.886156,491,1
76,1540284513.9027312,60,-1
77,1540284513.9524035,491,1
78,1540284513.9689126,60,-1
79,1540284513.9858902,491,1
80,1540284514.0023987,60,-1
81,1540284514.0498488,491,1
82,1540284514.0663466,60,-1
83,1540284514.081524,491,1
84,1540284514.0981205,60,-1
85,1540284514.149687,491,1
86,1540284514.1662045,60,-1
87,1540284514.1924226,491,1
88,1540284514.2089097,60,-1
89,1540284514.2443495,491,1
90,1540284514.2608373,60,-1
91,1540284514.2904284,491,1
92,1540284514.3070843,60,-1
93,1540284514.3565028,491,1
94,1540284514.373102,60,-1
95,1540284514.3914435,491,1
96,1540284514.4080079,60,-1
97,1540284514.453957,491,1
98,1540284514.4704716,60,-1
99,1540284514.5150526,491,1
100,1540284514.5315468,60,-1
101,1540284514.5458844,491,1
102,1540284514.5624413,60,-1
103,1540284514.6177046,491,1
104,1540284514.6341763,60,-1
105,1540284514.6381242,491,1
106,1540284514.654619,60,-1
107,1540284514.6863596,491,1
108,1540284514.702858,60,-1
109,1540284514.7532654,491,1
110,1540284514.7697444,60,-1
111,1540284514.7964735,491,1
112,1540284514.813124,60,-1
113,1540284514.8694198,491,1
114,1540284514.8759062,491,1
115,1540284514.8861177,60,-1
116,1540284514.892514,60,-1
117,1540284514.8925176,99,-1
118,1540284514.930871,54,1
119,1540284514.9462297,491,1
120,1540284514.9976575,491,1
121,1540284515.009356,60,-1
122,1540284515.014229,60,-1
123,1540284515.0356908,491,1
124,1540284515.0521975,60,-1
125,1540284515.0850997,491,1
126,1540284515.1015966,60,-1
127,1540284515.150916,491,1
128,1540284515.1674364,60,-1
129,1540284515.185904,491,1
130,1540284515.202398,60,-1
131,1540284515.2479115,491,1
132,1540284515.2644253,60,-1
133,1540284515.2864764,491,1
134,1540284515.302997,60,-1
135,1540284515.349237,491,1
136,1540284515.349522,491,1
137,1540284515.3652,60,-1
138,1540284515.3660579,60,-1
139,1540284515.4097047,491,1
140,1540284515.4263282,60,-1
141,1540284515.4905295,491,1
142,1540284515.4910772,491,1
143,1540284515.507241,60,-1
144,1540284515.507851,60,-1
145,1540284515.560365,491,1
146,1540284515.5768683,60,-1
147,1540284515.5975256,491,1
148,1540284515.6141133,60,-1
149,1540284515.648635,491,1
150,1540284515.6651652,60,-1
151,1540284515.6833396,491,1
152,1540284515.6998801,60,-1
153,1540284515.7614021,491,1
154,1540284515.7779558,60,-1
155,1540284515.8014243,491,1
156,1540284515.8179674,60,-1
157,1540284515.840038,491,1
158,1540284515.8566391,60,-1
159,1540284515.9390976,491,1
160,1540284515.9511046,491,1
161,1540284515.955726,60,-1
162,1540284515.9677649,60,-1
163,1540284515.986075,491,1
164,1540284516.0026834,60,-1
165,1540284516.0487518,491,1
166,1540284516.0652626,60,-1
167,1540284516.0801187,491,1
168,1540284516.0966203,60,-1
169,1540284516.150173,491,1
170,1540284516.1667764,60,-1
171,1540284516.1923687,491,1
172,1540284516.2089264,60,-1
173,1540284516.236378,150,-1
174,1540284516.2380724,54,1
175,1540284516.2421553,491,1
176,1540284516.2935262,491,1
177,1540284516.2993095,60,-1
178,1540284516.3100502,60,-1
179,1540284516.356113,491,1
180,1540284516.372772,60,-1
181,1540284516.386131,491,1
182,1540284516.4027207,60,-1
183,1540284516.4441564,491,1
184,1540284516.460786,60,-1
185,1540284516.4792228,491,1
186,1540284516.4854677,172,-1
187,1540284516.5177436,54,1
188,1540284516.5393512,60,-1
189,1540284516.5527034,491,1
190,1540284516.5935345,491,1
191,1540284516.6093118,60,-1
192,1540284516.6456172,491,1
193,1540284516.6593807,60,-1
194,1540284516.6869366,491,1
195,1540284516.70349,60,-1
196,1540284516.718098,99,-1
197,1540284516.7215276,54,1
198,1540284516.7498941,491,1
199,1540284516.787179,491,1
200,1540284516.8037074,60,-1
201,1540284516.848661,491,1
202,1540284516.8903954,491,1
203,1540284516.9069989,60,-1
204,1540284516.9518433,491,1
205,1540284516.9980755,491,1
206,1540284517.0093858,60,-1
207,1540284517.0147138,60,-1
208,1540284517.039004,491,1
209,1540284517.055598,60,-1
210,1540284517.0885603,491,1
211,1540284517.105128,60,-1
212,1540284517.1531537,491,1
213,1540284517.162425,216,-1
214,1540284517.1628518,1514,-1
215,1540284517.1629276,1514,-1
216,1540284517.1629288,288,-1
217,1540284517.1665812,54,1
218,1540284517.1666627,54,1
219,1540284517.1681163,1514,-1
220,1540284517.1682227,1514,-1
221,1540284517.1684196,1267,-1
222,1540284517.1700249,60,-1
223,1540284517.1725147,54,1
224,1540284517.1830084,150,-1
225,1540284517.205642,54,1
226,1540284517.2129395,491,1
227,1540284517.2130923,99,1
228,1540284517.2167974,1514,-1
229,1540284517.2168949,1514,-1
230,1540284517.2170107,1267,-1
231,1540284517.2171443,1514,-1
232,1540284517.2172182,1514,-1
233,1540284517.2172205,328,-1
234,1540284517.2190566,54,1
235,1540284517.2199852,54,1
236,1540284517.2208056,54,1
237,1540284517.2222586,1514,-1
238,1540284517.222454,1514,-1
239,1540284517.2267802,54,1
240,1540284517.2295668,60,-1
241,1540284517.2356343,1514,-1
242,1540284517.2358265,1514,-1
243,1540284517.2365897,1514,-1
244,1540284517.2367957,1514,-1
245,1540284517.237411,1120,-1
246,1540284517.2386773,54,1
247,1540284517.238899,54,1
248,1540284517.2424536,1514,-1
249,1540284517.2433777,1514,-1
250,1540284517.24358,1514,-1
251,1540284517.244058,54,1
252,1540284517.2455611,54,1
253,1540284517.2492144,491,1
254,1540284517.255297,1514,-1
255,1540284517.2554283,1514,-1
256,1540284517.2555468,1514,-1
257,1540284517.255749,1514,-1
258,1540284517.2607026,1514,-1
259,1540284517.2609015,1514,-1
260,1540284517.262184,1514,-1
261,1540284517.262313,1514,-1
262,1540284517.2625055,1514,-1
263,1540284517.2673957,54,1
264,1540284517.2675872,54,1
265,1540284517.2684305,54,1
266,1540284517.2692142,99,1
267,1540284517.2769961,54,1
268,1540284517.2775815,99,1
269,1540284517.2811124,491,1
270,1540284517.284048,1514,-1
271,1540284517.2841792,1514,-1
272,1540284517.2842836,1514,-1
273,1540284517.2844727,1514,-1
274,1540284517.2850115,1514,-1
275,1540284517.2852042,1514,-1
276,1540284517.2862768,54,1
277,1540284517.2871156,54,1
278,1540284517.287995,54,1
279,1540284517.293614,1514,-1
280,1540284517.2938194,1514,-1
281,1540284517.2942045,1514,-1
282,1540284517.2971025,54,1
283,1540284517.302832,1514,-1
284,1540284517.302859,376,-1
285,1540284517.3125818,54,1
286,1540284517.338051,91,1
287,1540284517.3381233,91,1
288,1540284517.3525429,302,1
289,1540284517.3545864,60,-1
290,1540284517.4093654,60,-1
291,1540284517.6696887,156,-1
292,1540284517.6952567,151,-1
293,1540284517.6967864,54,1
294,1540284526.363192,177,1
295,1540284526.3798041,60,-1
296,1540284533.221032,77,1
297,1540284533.2383375,77,-1
298,1540284533.2398937,66,1
299,1540284542.615526,284,1
300,1540284542.6270225,937,1
301,1540284542.632068,60,-1
302,1540284542.6436112,60,-1
303,1540284542.6574767,1514,1
304,1540284542.6588392,631,1
305,1540284542.6611514,491,1
306,1540284542.674161,60,-1
307,1540284542.6742957,491,1
308,1540284542.67537,60,-1
309,1540284542.6776805,60,-1
310,1540284542.6882985,491,1
311,1540284542.6900969,491,1
312,1540284542.6909673,60,-1
313,1540284542.7048688,60,-1
314,1540284542.7065847,60,-1
315,1540284542.7068996,491,1
316,1540284542.7075133,491,1
317,1540284542.7087326,491,1
318,1540284542.7234192,60,-1
319,1540284542.7239995,60,-1
320,1540284542.7252834,60,-1
321,1540284542.7255404,1514,1
322,1540284542.7262144,1031,1
323,1540284542.7382448,1514,1
324,1540284542.7395728,231,1
325,1540284542.742222,60,-1
326,1540284542.7429266,60,-1
327,1540284542.7487292,491,1
328,1540284542.7491605,1514,1
329,1540284542.7505505,1431,1
330,1540284542.7510104,491,1
331,1540284542.7548983,60,-1
332,1540284542.7560914,60,-1
333,1540284542.7585607,491,1
334,1540284542.7606437,215,-1
335,1540284542.765845,60,-1
336,1540284542.7675934,60,-1
337,1540284542.7688549,491,1
338,1540284542.7720075,491,1
339,1540284542.7725654,491,1
340,1540284542.7737455,491,1
341,1540284542.7853997,60,-1
342,1540284542.7890875,60,-1
343,1540284542.797039,891,1
344,1540284542.8079712,491,1
345,1540284542.813654,60,-1
346,1540284542.8695407,60,-1
347,1540284542.8762646,491,1
348,1540284542.8928094,60,-1
349,1540284542.9126055,491,1
350,1540284542.9291923,60,-1
351,1540284542.964046,491,1
352,1540284542.9805994,60,-1
353,1540284543.0098405,491,1
354,1540284543.0264184,60,-1
355,1540284543.07465,491,1
356,1540284543.091185,60,-1
357,1540284543.1120756,491,1
358,1540284543.1286218,60,-1
359,1540284543.1698642,491,1
360,1540284543.1865077,60,-1
361,1540284543.2017572,491,1
362,1540284543.2183957,60,-1
363,1540284543.2700286,491,1
364,1540284543.2866194,60,-1
365,1540284543.3246465,491,1
366,1540284543.341359,60,-1
367,1540284543.3627663,491,1
368,1540284543.37937,60,-1
369,1540284543.4041069,491,1
370,1540284543.420643,60,-1
371,1540284543.4765117,491,1
372,1540284543.5067523,491,1
373,1540284543.5233212,60,-1
374,1540284543.5674508,491,1
375,1540284543.5993774,491,1
376,1540284543.6158726,60,-1
377,1540284543.6698356,491,1
378,1540284543.686391,60,-1
379,1540284543.7566905,491,1
380,1540284543.773313,60,-1
381,1540284543.795793,491,1
382,1540284543.8110332,491,1
383,1540284543.812413,60,-1
384,1540284543.827619,60,-1
385,1540284543.8846548,491,1
386,1540284543.9012103,60,-1
387,1540284543.9335518,491,1
388,1540284543.9501488,60,-1
389,1540284544.0326335,491,1
390,1540284544.0489306,491,1
391,1540284544.0491877,60,-1
392,1540284544.065459,60,-1
393,1540284544.0666957,491,1
394,1540284544.0832098,60,-1
395,1540284544.1139512,491,1
396,1540284544.1305215,60,-1
397,1540284544.1628108,491,1
398,1540284544.1793807,60,-1
399,1540284544.211389,491,1
400,1540284544.2280402,60,-1
401,1540284544.2280443,99,-1
402,1540284544.271889,491,1
403,1540284544.3297007,60,-1
404,1540284544.3911583,491,1
405,1540284544.391612,491,1
406,1540284544.4011557,491,1
407,1540284544.4077902,60,-1
